,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-06-23,714.0,714.0,714.0,714.0,844997497500,25999923,2749900,22.0,714.0
1,2021-06-26,750.0,750.0,750.0,750.0,26054847000,763512,17626,714.0,750.0
2,2021-06-27,787.0,787.0,787.0,787.0,46061252134,1285514,17474,750.0,787.0
3,2021-06-28,826.0,826.0,826.0,826.0,31420389520,835160,24990,787.0,826.0
4,2021-06-29,868.0,868.0,868.0,868.0,35755073869,905123,32471,826.0,868.0
5,2021-06-30,911.0,911.0,911.0,911.0,39874916778,961351,35366,868.0,911.0
6,2021-07-03,957.0,957.0,957.0,957.0,52067136744,1195544,59703,911.0,957.0
7,2021-07-04,1004.0,1004.0,1004.0,1004.0,56957699328,1245576,59949,957.0,1004.0
8,2021-07-05,1055.0,1055.0,1055.0,1055.0,62258553450,1296675,72217,1004.0,1055.0
9,2021-07-06,1107.0,1107.0,1107.0,1107.0,43448045550,861825,21010,1055.0,1107.0
10,2021-07-10,1163.0,1163.0,1163.0,1163.0,97867290570,1848855,83587,1107.0,1163.0
11,2021-07-11,1221.0,1221.0,1221.0,1221.0,94698649080,1703826,66170,1163.0,1221.0
12,2021-07-12,1282.0,1282.0,1282.0,1282.0,88400637507,1514773,61331,1221.0,1282.0
13,2021-07-13,1346.0,1346.0,1346.0,1346.0,94106884212,1535787,61764,1282.0,1346.0
14,2021-07-14,1413.0,1413.0,1413.0,1413.0,131919463159,2050381,110138,1346.0,1413.0
15,2021-07-17,1484.0,1484.0,1465.0,1484.0,1910787507940,28291510,246912,1413.0,1484.0
16,2021-07-18,1492.0,1493.0,1409.0,1442.0,485181911588,7390702,176701,1484.0,1409.0
17,2021-07-19,1395.0,1503.0,1370.0,1442.0,933488541809,14222269,158463,1442.0,1483.0
18,2021-07-26,1483.0,1499.0,1370.0,1401.0,387659781547,6077402,35723,1442.0,1370.0
19,2021-07-27,1369.0,1370.0,1331.0,1338.0,164045472017,2693200,23023,1401.0,1331.0
20,2021-07-28,1274.0,1329.0,1271.0,1279.0,318259974404,5467935,62920,1338.0,1271.0
21,2021-07-31,1270.0,1342.0,1232.0,1326.0,346677981558,5742085,32730,1279.0,1342.0
22,2021-08-01,1351.0,1353.0,1260.0,1279.0,258847005968,4446318,29489,1326.0,1260.0
23,2021-08-02,1243.0,1252.0,1215.0,1220.0,208348514588,3751507,20911,1279.0,1215.0
24,2021-08-03,1184.0,1259.0,1180.0,1211.0,119700602002,2171686,21420,1220.0,1195.0
25,2021-08-04,1206.0,1233.0,1180.0,1198.0,128338137327,2353117,20829,1211.0,1185.0
26,2021-08-07,1198.0,1198.0,1142.0,1161.0,100276175688,1897539,22221,1198.0,1155.0
27,2021-08-08,1169.0,1219.0,1164.0,1213.0,116488697188,2110264,11493,1161.0,1219.0
28,2021-08-09,1261.0,1273.0,1241.0,1266.0,264864636432,4596949,18514,1213.0,1262.0
29,2021-08-10,1276.0,1276.0,1202.0,1220.0,169003999758,3042960,25700,1266.0,1224.0
30,2021-08-11,1220.0,1274.0,1204.0,1252.0,170243503538,2987027,29967,1220.0,1272.0
31,2021-08-14,1252.0,1281.0,1213.0,1238.0,99728980899,1770063,14463,1252.0,1220.0
32,2021-08-15,1230.0,1249.0,1189.0,1221.0,91618648497,1648912,14168,1238.0,1215.0
33,2021-08-22,1217.0,1252.0,1202.0,1218.0,99541089038,1794739,16523,1221.0,1211.0
34,2021-08-23,1209.0,1263.0,1182.0,1227.0,158995552066,2847578,14829,1218.0,1246.0
35,2021-08-24,1260.0,1288.0,1246.0,1273.0,196216642516,3386800,14433,1227.0,1255.0
36,2021-08-25,1278.0,1278.0,1231.0,1254.0,153228897206,2683290,16210,1273.0,1254.0
37,2021-08-28,1274.0,1317.0,1255.0,1304.0,199403097406,3360308,12624,1254.0,1317.0
38,2021-08-29,1336.0,1336.0,1239.0,1290.0,154570405759,2632427,14463,1304.0,1257.0
39,2021-08-30,1231.0,1274.0,1225.0,1234.0,97809341671,1741027,6744,1290.0,1225.0
40,2021-08-31,1184.0,1230.0,1172.0,1182.0,120518677991,2240416,10430,1234.0,1181.0
41,2021-09-01,1180.0,1241.0,1180.0,1235.0,100770733492,1792573,9287,1182.0,1241.0
42,2021-09-04,1289.0,1297.0,1246.0,1288.0,206380914074,3520123,12132,1235.0,1297.0
43,2021-09-05,1318.0,1334.0,1295.0,1313.0,144887067576,2424738,10737,1288.0,1296.0
44,2021-09-06,1288.0,1309.0,1247.0,1261.0,184040037846,3206887,30806,1313.0,1247.0
45,2021-09-07,1211.0,1252.0,1202.0,1221.0,71264831843,1282129,33572,1261.0,1214.0
46,2021-09-08,1216.0,1252.0,1204.0,1219.0,68234255994,1229745,49144,1221.0,1215.0
47,2021-09-11,1231.0,1263.0,1186.0,1216.0,51671052732,933414,10013,1219.0,1207.0
48,2021-09-12,1216.0,1216.0,1155.0,1161.0,98668044402,1866426,8069,1216.0,1175.0
49,2021-09-13,1132.0,1186.0,1109.0,1145.0,69797406499,1338926,13381,1161.0,1132.0
50,2021-09-14,1148.0,1202.0,1126.0,1191.0,90530457154,1669515,20163,1145.0,1198.0
51,2021-09-15,1169.0,1169.0,1140.0,1153.0,54220056654,1032875,27794,1191.0,1144.0
52,2021-09-18,1151.0,1151.0,1095.0,1099.0,85561587233,1709746,4253,1153.0,1095.0
53,2021-09-19,1049.0,1094.0,1044.0,1049.0,55327112954,1158766,3223,1099.0,1044.0
54,2021-09-20,1015.0,1101.0,1015.0,1059.0,54838064313,1137993,9290,1049.0,1037.0
55,2021-09-21,1037.0,1057.0,1006.0,1009.0,64941377312,1414410,5334,1059.0,1006.0
56,2021-09-22,978.0,1005.0,958.0,965.0,69112926618,1572663,8342,1009.0,973.0
57,2021-09-25,995.0,1000.0,961.0,978.0,29092060650,653323,8641,965.0,985.0
58,2021-09-26,1003.0,1003.0,938.0,968.0,27694809831,628369,6729,978.0,963.0
59,2021-09-28,963.0,964.0,923.0,935.0,29756159074,698898,6936,968.0,925.0
60,2021-09-29,926.0,982.0,919.0,973.0,57460066449,1297223,7946,935.0,982.0
61,2021-10-02,999.0,1017.0,973.0,988.0,33979795143,755497,6420,973.0,984.0
62,2021-10-03,988.0,988.0,942.0,961.0,21534510741,492322,4546,988.0,964.0
63,2021-10-04,942.0,989.0,942.0,969.0,21737809449,492931,5197,961.0,978.0
64,2021-10-06,967.0,999.0,967.0,980.0,11270981948,251719,4682,969.0,984.0
65,2021-10-09,995.0,995.0,934.0,960.0,18736481927,428768,3568,980.0,938.0
66,2021-10-10,934.0,945.0,912.0,916.0,45292675502,1086486,4303,960.0,912.0
67,2021-10-11,916.0,946.0,916.0,929.0,24914435456,589318,4527,916.0,937.0
68,2021-10-12,937.0,937.0,884.0,897.0,23836000067,583713,2988,929.0,888.0
69,2021-10-13,883.0,898.0,852.0,858.0,29223359598,748247,2849,897.0,862.0
70,2021-10-16,879.0,901.0,858.0,896.0,27499445625,673924,4149,858.0,900.0
71,2021-10-17,869.0,922.0,869.0,884.0,16279050460,404435,3185,896.0,876.0
72,2021-10-18,865.0,877.0,852.0,862.0,20663138614,526628,3041,884.0,864.0
73,2021-10-19,881.0,886.0,862.0,868.0,13446641809,339993,3255,862.0,862.0
74,2021-10-20,862.0,868.0,846.0,859.0,11058752885,283941,2565,868.0,849.0
75,2021-10-23,856.0,856.0,816.0,822.0,22037438291,588651,2499,859.0,816.0
76,2021-10-25,827.0,827.0,797.0,813.0,11255448872,305216,3009,822.0,810.0
77,2021-10-26,794.0,831.0,794.0,819.0,23169826023,621494,3065,813.0,830.0
78,2021-10-27,826.0,860.0,826.0,857.0,44262991141,1134144,3622,819.0,860.0
79,2021-10-30,865.0,865.0,825.0,832.0,38344802552,1011954,4237,857.0,826.0
80,2021-10-31,839.0,839.0,791.0,792.0,43630502639,1210444,2855,832.0,791.0
81,2021-11-01,792.0,831.0,772.0,802.0,15822990572,433183,2642,792.0,793.0
82,2021-11-02,788.0,827.0,787.0,804.0,12686840536,346650,2645,802.0,801.0
83,2021-11-03,806.0,844.0,780.0,828.0,40918082495,1085377,2913,804.0,842.0
84,2021-11-06,846.0,870.0,826.0,867.0,40332367108,1022051,3328,828.0,868.0
85,2021-11-07,868.0,880.0,824.0,834.0,56231564404,1481576,2476,867.0,832.0
86,2021-11-08,828.0,863.0,824.0,838.0,12765107998,334525,2442,834.0,836.0
87,2021-11-09,837.0,866.0,804.0,845.0,13378739053,347584,2725,838.0,837.0
88,2021-11-10,845.0,887.0,832.0,871.0,36307434609,915722,2441,845.0,863.0
89,2021-11-13,859.0,876.0,835.0,847.0,16962167297,439983,2243,871.0,846.0
90,2021-11-14,850.0,887.0,850.0,874.0,22312641535,560504,3204,847.0,883.0
91,2021-11-15,879.0,918.0,857.0,909.0,81479946506,1968795,3492,874.0,893.0
92,2021-11-16,901.0,925.0,864.0,893.0,55728077535,1370099,2754,909.0,918.0
93,2021-11-17,909.0,938.0,909.0,935.0,49860144350,1171719,2989,893.0,938.0
94,2021-11-20,937.0,937.0,888.0,906.0,25493132747,617861,2423,935.0,895.0
95,2021-11-21,881.0,942.0,881.0,920.0,25614449277,611410,4807,906.0,927.0
96,2021-11-22,933.0,943.0,890.0,908.0,17700453834,428299,2471,920.0,920.0
97,2021-11-23,902.0,919.0,890.0,900.0,12121926135,296453,2678,908.0,894.0
98,2021-11-24,863.0,904.0,855.0,859.0,55045526988,1407910,2217,900.0,857.0
99,2021-11-27,856.0,856.0,824.0,850.0,7715115232,201120,1214,859.0,834.0
100,2021-11-28,824.0,850.0,817.0,838.0,16459941418,431575,1941,850.0,826.0
101,2021-11-29,875.0,875.0,818.0,839.0,13682373201,358098,1696,838.0,836.0
102,2021-11-30,815.0,862.0,815.0,837.0,15474735618,405926,1926,839.0,831.0
103,2021-12-01,813.0,838.0,797.0,817.0,22531458157,605931,1473,837.0,832.0
104,2021-12-04,802.0,852.0,802.0,821.0,12706845217,339710,1987,817.0,833.0
105,2021-12-05,833.0,852.0,824.0,834.0,12970480322,340785,1863,821.0,845.0
106,2021-12-06,835.0,854.0,813.0,834.0,19040549366,501543,1676,834.0,820.0
107,2021-12-07,814.0,831.0,800.0,822.0,8486109125,229232,1450,834.0,823.0
108,2021-12-08,803.0,833.0,803.0,821.0,5658317250,151632,1735,822.0,822.0
109,2021-12-11,804.0,818.0,800.0,815.0,7470000514,202892,1497,821.0,818.0
110,2021-12-12,801.0,817.0,800.0,808.0,11806478591,321795,1209,815.0,813.0
111,2021-12-13,811.0,816.0,768.0,786.0,14101568019,394530,1482,808.0,778.0
112,2021-12-14,767.0,780.0,747.0,757.0,20727929860,601447,1340,786.0,755.0
113,2021-12-15,746.0,775.0,746.0,760.0,5788470103,166215,1416,757.0,769.0
114,2021-12-18,752.0,796.0,752.0,777.0,14432054470,407471,1679,760.0,791.0
115,2021-12-19,801.0,812.0,777.0,791.0,21601351864,599707,1524,777.0,778.0
116,2021-12-20,791.0,822.0,780.0,802.0,21653248501,593184,1385,791.0,813.0
117,2021-12-21,797.0,836.0,797.0,814.0,13549174954,364431,1100,802.0,819.0
118,2021-12-22,824.0,855.0,813.0,840.0,19070444729,498977,1554,814.0,855.0
119,2021-12-25,857.0,881.0,814.0,840.0,9391250420,245340,1582,840.0,837.0
120,2021-12-26,824.0,856.0,824.0,839.0,9746338993,255406,1259,840.0,851.0
121,2021-12-27,835.0,868.0,835.0,854.0,19051025511,490137,1765,839.0,867.0
122,2021-12-28,865.0,873.0,851.0,856.0,5861387946,149702,1240,854.0,865.0
123,2021-12-29,835.0,865.0,828.0,848.0,8170240997,213421,1213,856.0,835.0
124,2022-01-01,813.0,864.0,811.0,826.0,13213207581,352365,1161,848.0,820.0
125,2022-01-02,811.0,831.0,807.0,817.0,9420996823,254561,1108,826.0,810.0
126,2022-01-03,804.0,832.0,804.0,817.0,4441520919,119725,1155,817.0,817.0
127,2022-01-04,830.0,830.0,807.0,816.0,3276111369,88400,933,817.0,818.0
128,2022-01-05,809.0,857.0,809.0,848.0,34252166375,887307,1443,816.0,857.0
129,2022-01-08,890.0,890.0,890.0,890.0,98039281500,2420723,1566,848.0,890.0
130,2022-01-09,894.0,912.0,846.0,862.0,105796103300,2695926,1886,890.0,846.0
131,2022-01-10,841.0,844.0,819.0,826.0,23197835200,617342,1348,862.0,824.0
132,2022-01-11,819.0,849.0,814.0,828.0,7329556850,193753,1074,826.0,830.0
133,2022-01-12,814.0,841.0,803.0,822.0,9184527600,246830,1122,828.0,817.0
134,2022-01-15,802.0,815.0,785.0,806.0,9448832000,260097,1126,822.0,791.0
135,2022-01-16,779.0,815.0,779.0,801.0,13293233250,364895,1192,806.0,795.0
136,2022-01-17,781.0,815.0,781.0,798.0,12253218300,337003,1146,801.0,797.0
137,2022-01-18,789.0,789.0,759.0,763.0,23436894850,674477,904,798.0,763.0
138,2022-01-19,748.0,780.0,744.0,761.0,7820365750,226415,983,763.0,760.0
139,2022-01-22,761.0,780.0,744.0,760.0,5087357500,147719,1106,761.0,748.0
140,2022-01-23,730.0,747.0,723.0,737.0,11296623850,339520,938,760.0,726.0
141,2022-01-24,725.0,731.0,714.0,731.0,5038311300,153261,953,737.0,715.0
142,2022-01-25,723.0,727.0,695.0,699.0,30904800450,971378,918,731.0,703.0
143,2022-01-26,685.0,715.0,685.0,700.0,7062247200,221090,844,699.0,705.0
144,2022-01-29,725.0,734.0,711.0,713.0,5938642650,177924,1160,700.0,734.0
145,2022-01-30,747.0,748.0,717.0,741.0,19155364050,567260,1483,713.0,722.0
146,2022-01-31,712.0,758.0,712.0,740.0,6022961950,179112,1046,741.0,741.0
147,2022-02-01,733.0,758.0,729.0,740.0,3707050450,109825,1129,740.0,734.0
148,2022-02-02,726.0,745.0,726.0,738.0,5511736200,164904,1061,740.0,733.0
149,2022-02-05,715.0,733.0,704.0,725.0,9403072650,287968,1185,738.0,714.0
150,2022-02-06,724.0,724.0,689.0,697.0,14227738150,448188,1012,725.0,696.0
151,2022-02-07,696.0,724.0,674.0,699.0,4842381950,152003,1026,697.0,695.0
152,2022-02-08,681.0,721.0,681.0,699.0,2947629800,92347,1357,699.0,697.0
153,2022-02-09,681.0,719.0,681.0,700.0,6137205100,192592,3329,699.0,710.0
154,2022-02-12,703.0,722.0,699.0,708.0,10078885650,310217,1256,700.0,712.0
155,2022-02-13,725.0,727.0,703.0,717.0,10211954150,310588,1111,708.0,722.0
156,2022-02-14,728.0,736.0,717.0,719.0,7539889900,229251,1065,717.0,718.0
157,2022-02-16,725.0,730.0,716.0,721.0,6578292700,200190,1261,719.0,725.0
158,2022-02-19,725.0,734.0,708.0,719.0,5598161000,171400,1080,721.0,710.0
159,2022-02-20,725.0,733.0,722.0,722.0,7458503600,226190,1091,719.0,724.0
160,2022-02-21,740.0,740.0,721.0,723.0,7140868200,216553,1134,722.0,726.0
161,2022-02-22,725.0,733.0,721.0,724.0,9464223350,287093,1054,723.0,728.0
162,2022-02-23,729.0,756.0,727.0,730.0,7069399400,210295,1154,724.0,738.0
163,2022-02-26,747.0,755.0,731.0,733.0,4800070900,142960,1021,730.0,731.0
164,2022-02-27,727.0,739.0,727.0,733.0,3137422000,94198,875,733.0,734.0
165,2022-02-28,741.0,751.0,735.0,738.0,6118675650,180422,1044,733.0,741.0
166,2022-03-02,751.0,751.0,729.0,738.0,1864127650,55290,1045,738.0,730.0
167,2022-03-05,752.0,752.0,726.0,735.0,8853077250,265603,1389,738.0,728.0
168,2022-03-06,745.0,747.0,728.0,737.0,10085576550,299907,2484,735.0,742.0
169,2022-03-07,731.0,773.0,731.0,745.0,6531019950,190127,1611,737.0,745.0
170,2022-03-08,731.0,749.0,731.0,744.0,3700466550,109506,1035,745.0,742.0
171,2022-03-09,737.0,760.0,737.0,747.0,7482764450,219269,1273,744.0,753.0
172,2022-03-12,740.0,747.0,728.0,745.0,2563255800,76551,907,747.0,739.0
173,2022-03-13,730.0,750.0,728.0,742.0,4929846500,147015,994,745.0,736.0
174,2022-03-14,736.0,746.0,729.0,741.0,3432169100,102391,807,742.0,734.0
175,2022-03-15,727.0,742.0,727.0,740.0,2741826250,81677,657,741.0,738.0
176,2022-03-16,738.0,759.0,728.0,742.0,10933803400,323191,806,740.0,747.0
177,2022-03-19,736.0,760.0,736.0,749.0,6738746250,195759,879,742.0,755.0
178,2022-03-26,755.0,769.0,755.0,752.0,4617752550,133504,876,749.0,760.0
179,2022-03-27,746.0,777.0,746.0,763.0,10876221700,311044,1128,752.0,764.0
180,2022-03-28,0.0,0.0,0.0,763.0,10876221700,311044,1128,763.0,764.0
181,2022-03-29,766.0,801.0,766.0,798.0,35475939700,975507,1822,763.0,801.0
182,2022-03-30,835.0,835.0,807.0,822.0,15735337100,420161,1328,798.0,812.0
183,2022-04-03,812.0,835.0,802.0,815.0,16806332150,453304,1750,822.0,813.0
184,2022-04-04,813.0,826.0,789.0,808.0,11746465900,319731,1320,815.0,803.0
185,2022-04-05,813.0,829.0,795.0,814.0,13503486000,364194,1281,808.0,816.0
186,2022-04-06,798.0,828.0,789.0,811.0,6648389950,181317,1045,814.0,802.0
187,2022-04-09,791.0,828.0,791.0,814.0,6667405850,179163,1190,811.0,818.0
188,2022-04-10,818.0,835.0,811.0,823.0,10997371900,292272,1236,814.0,826.0
189,2022-04-11,825.0,863.0,816.0,859.0,42605744200,1090105,2328,823.0,863.0
190,2022-04-12,879.0,879.0,816.0,826.0,21745550250,578532,967,859.0,817.0
191,2022-04-13,806.0,841.0,805.0,823.0,7299992700,195881,970,826.0,826.0
192,2022-04-16,819.0,837.0,809.0,822.0,13012014550,348050,1381,823.0,823.0
193,2022-04-17,817.0,862.0,817.0,853.0,45399991900,1168670,1606,822.0,862.0
194,2022-04-18,855.0,895.0,855.0,887.0,55338000300,1369471,2035,853.0,872.0
195,2022-04-19,857.0,900.0,857.0,879.0,12674681650,317581,1207,887.0,858.0
196,2022-04-20,857.0,923.0,848.0,902.0,56864523200,1385593,1868,879.0,922.0
197,2022-04-24,927.0,927.0,868.0,890.0,26116563150,645186,1621,902.0,886.0
198,2022-04-25,880.0,934.0,863.0,928.0,65311804250,1545856,2124,890.0,934.0
199,2022-04-26,949.0,974.0,929.0,963.0,102868744950,2346598,3518,928.0,969.0
200,2022-05-01,1010.0,1010.0,981.0,1004.0,49103224300,1074665,1232,963.0,982.0
201,2022-05-02,960.0,1053.0,960.0,1014.0,56329366600,1219921,2517,1004.0,1040.0
202,2022-05-07,1040.0,1059.0,985.0,1006.0,71978153100,1571623,2604,1014.0,993.0
203,2022-05-08,1015.0,1024.0,979.0,1006.0,77142918100,1684560,2544,1006.0,1001.0
204,2022-05-09,1013.0,1014.0,957.0,976.0,44498015150,1001555,1996,1006.0,975.0
205,2022-05-10,965.0,1013.0,952.0,994.0,37452229750,827520,1756,976.0,1004.0
206,2022-05-11,982.0,1032.0,982.0,1010.0,48574312100,1056462,2122,994.0,1005.0
