,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-01-23,100.0,100.0,100.0,100.0,1036015802100,505373562,360083,49.0,100.0
1,2019-01-26,105.0,105.0,105.0,101.0,521354280,242265,232,100.0,105.0
2,2019-01-27,106.0,106.0,106.0,106.0,4088266925,1888345,918,101.0,106.0
3,2019-01-29,111.0,111.0,111.0,111.0,5447912668,2404198,927,106.0,111.0
4,2019-01-30,117.0,117.0,117.0,117.0,16499230956,6935364,3926,111.0,117.0
5,2019-02-02,122.0,122.0,111.0,120.0,343496256018,140628139,86809,117.0,112.0
6,2019-02-03,114.0,115.0,114.0,114.0,154055999752,66345970,41491,120.0,114.0
7,2019-02-04,111.0,115.0,108.0,111.0,257824904259,113377785,69429,114.0,110.0
8,2019-02-05,110.0,113.0,109.0,110.0,90681135535,40208386,22325,111.0,110.0
9,2019-02-06,110.0,112.0,109.0,110.0,69692375545,31042916,13598,110.0,110.0
10,2019-02-10,110.0,112.0,109.0,110.0,78914994252,35020203,17493,110.0,110.0
11,2019-02-12,111.0,115.0,110.0,112.0,115529533113,50358618,22214,110.0,112.0
12,2019-02-13,112.0,114.0,111.0,112.0,108142702633,47108163,29317,112.0,112.0
13,2019-02-16,112.0,114.0,111.0,113.0,84901372715,36915874,19366,112.0,113.0
14,2019-02-17,113.0,114.0,112.0,113.0,56986568111,24754828,6480,113.0,112.0
15,2019-02-18,112.0,113.0,112.0,112.0,46025997112,20103569,5774,113.0,112.0
16,2019-02-19,112.0,112.0,111.0,112.0,39082664220,17120344,5784,112.0,111.0
17,2019-02-20,112.0,112.0,110.0,111.0,46184827534,20374489,5423,112.0,111.0
18,2019-02-23,111.0,111.0,109.0,110.0,49345133086,22027148,6821,111.0,109.0
19,2019-02-24,109.0,111.0,108.0,109.0,36858010127,16499846,5087,110.0,110.0
20,2019-02-25,109.0,110.0,108.0,109.0,25421184161,11432002,4429,109.0,108.0
21,2019-02-26,108.0,109.0,107.0,108.0,25348485545,11478140,3507,109.0,108.0
22,2019-02-27,108.0,112.0,108.0,111.0,35367528456,15618436,3827,108.0,110.0
23,2019-03-02,111.0,114.0,111.0,113.0,52473993512,22665469,5444,111.0,114.0
24,2019-03-03,114.0,116.0,113.0,115.0,59328488660,25318437,5400,113.0,115.0
25,2019-03-04,116.0,118.0,110.0,115.0,33569113739,14330434,4029,115.0,114.0
26,2019-03-05,113.0,114.0,111.0,112.0,16722816462,7325877,2479,115.0,113.0
27,2019-03-06,111.0,114.0,111.0,112.0,11420170246,4994591,1875,112.0,112.0
28,2019-03-09,112.0,116.0,112.0,113.0,16449145902,7118298,2490,112.0,113.0
29,2019-03-10,113.0,114.0,112.0,113.0,50344600288,21769517,3222,113.0,113.0
30,2019-03-11,113.0,118.0,113.0,115.0,88892398683,37758724,6938,113.0,118.0
31,2019-03-18,123.0,123.0,120.0,122.0,10495558126,5115497,1049,115.0,122.0
32,2019-03-19,124.0,124.0,121.0,123.0,25756270245,12517902,2589,122.0,124.0
33,2019-03-25,124.0,124.0,122.0,123.0,13766722490,6685836,1669,123.0,122.0
34,2019-03-26,123.0,124.0,122.0,122.0,12899439616,6293720,1845,123.0,124.0
35,2019-03-27,123.0,124.0,122.0,123.0,9502113981,4610586,1421,122.0,124.0
36,2019-03-30,124.0,126.0,122.0,124.0,16609909571,8001133,1613,123.0,126.0
37,2019-03-31,126.0,128.0,124.0,125.0,14810359029,7041796,1463,124.0,126.0
38,2019-04-06,126.0,126.0,124.0,125.0,16243860630,7741313,1706,125.0,125.0
39,2019-04-07,125.0,128.0,125.0,126.0,24138396748,11394411,1997,125.0,126.0
40,2019-04-08,127.0,127.0,124.0,125.0,31988181237,15215589,1874,126.0,126.0
41,2019-04-09,125.0,126.0,123.0,124.0,15760546162,7577680,1761,125.0,124.0
42,2019-04-10,125.0,126.0,123.0,125.0,13260812660,6319478,1748,124.0,125.0
43,2019-04-13,124.0,125.0,123.0,124.0,16053440348,7731192,1797,125.0,123.0
44,2019-04-14,123.0,125.0,123.0,124.0,13934073745,6715822,1757,124.0,123.0
45,2019-04-15,124.0,126.0,124.0,125.0,18540194842,8834769,2177,124.0,124.0
46,2019-04-16,125.0,125.0,123.0,124.0,14953990019,7199175,1566,125.0,124.0
47,2019-04-17,124.0,125.0,123.0,124.0,24068307463,11569170,1462,124.0,125.0
48,2019-04-20,125.0,127.0,124.0,126.0,15268246901,7240219,1436,124.0,126.0
49,2019-04-22,125.0,126.0,123.0,124.0,17426140789,8400165,1635,126.0,123.0
50,2019-04-23,123.0,125.0,123.0,124.0,9828694861,4726038,1098,124.0,124.0
51,2019-04-24,124.0,126.0,124.0,125.0,13508646022,6442228,1163,124.0,125.0
52,2019-04-27,126.0,126.0,124.0,125.0,11502927332,5492638,1875,125.0,125.0
53,2019-04-28,124.0,125.0,123.0,124.0,17378325689,8370857,2521,125.0,123.0
54,2019-04-29,123.0,125.0,123.0,123.0,20745367418,10023544,4091,124.0,124.0
55,2019-04-30,124.0,130.0,124.0,128.0,29246566183,13656562,2530,123.0,127.0
56,2019-05-01,129.0,134.0,129.0,132.0,24271944558,10937893,2106,128.0,134.0
57,2019-05-04,134.0,136.0,134.0,135.0,25322495844,11200962,1684,132.0,135.0
58,2019-05-05,134.0,138.0,130.0,134.0,22084598179,9817703,1582,135.0,132.0
59,2019-05-06,131.0,133.0,127.0,129.0,23153481160,10715234,1441,134.0,128.0
60,2019-05-07,124.0,126.0,123.0,124.0,12472796893,6003553,1093,129.0,125.0
61,2019-05-08,125.0,128.0,124.0,126.0,11013414511,5200067,1093,124.0,128.0
62,2019-05-11,128.0,132.0,126.0,129.0,12869182745,5969538,1129,126.0,127.0
63,2019-05-12,128.0,128.0,124.0,125.0,7355534471,3512596,712,129.0,126.0
64,2019-05-13,126.0,127.0,125.0,126.0,5524029220,2614457,680,125.0,126.0
65,2019-05-14,126.0,129.0,126.0,127.0,16126314719,7576098,1125,126.0,126.0
66,2019-05-15,126.0,126.0,125.0,126.0,8185019300,3883262,699,127.0,126.0
67,2019-05-18,125.0,128.0,125.0,126.0,9525192549,4523228,898,126.0,125.0
68,2019-05-19,125.0,126.0,124.0,125.0,10186790629,4863272,860,126.0,125.0
69,2019-05-20,125.0,128.0,124.0,125.0,11028336858,5262197,891,125.0,126.0
70,2019-05-21,126.0,129.0,126.0,127.0,7901698967,3703152,1211,125.0,127.0
