,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-26,176.0,176.0,176.0,176.0,65744881,28647,6,0.0,176.0
1,2001-03-28,173.0,176.0,173.0,176.0,53919062,23658,21,176.0,176.0
2,2001-03-31,176.0,176.0,176.0,176.0,575000,250,1,176.0,176.0
3,2001-04-03,176.0,176.0,176.0,176.0,1487850,650,1,176.0,176.0
4,2001-04-07,175.0,175.0,175.0,175.0,1982829,867,1,176.0,175.0
5,2001-04-08,175.0,175.0,175.0,175.0,2181378,954,4,175.0,175.0
6,2001-04-09,169.0,175.0,169.0,169.0,6968135,3165,3,175.0,169.0
7,2001-04-11,169.0,169.0,168.0,168.0,19260593,8766,16,169.0,168.0
8,2001-04-14,168.0,168.0,168.0,168.0,1643850,750,6,168.0,168.0
9,2001-04-15,168.0,168.0,166.0,166.0,7663758,3528,5,168.0,166.0
10,2001-04-17,158.0,169.0,158.0,169.0,420613563,193676,77,166.0,169.0
11,2001-04-18,168.0,168.0,161.0,161.0,12293618,5802,3,169.0,161.0
12,2001-04-21,161.0,161.0,159.0,160.0,29758444,14205,12,161.0,160.0
13,2001-04-22,158.0,160.0,157.0,160.0,77695647,37552,27,160.0,160.0
14,2001-04-23,159.0,159.0,157.0,159.0,94455881,45809,28,160.0,159.0
15,2001-04-24,158.0,159.0,158.0,159.0,14022500,6787,8,159.0,159.0
16,2001-04-25,158.0,159.0,158.0,158.0,72736830,35242,40,159.0,158.0
17,2001-04-28,158.0,161.0,158.0,160.0,66766349,32083,27,158.0,160.0
18,2001-04-29,160.0,163.0,160.0,163.0,49169193,23375,17,160.0,163.0
19,2001-04-30,165.0,165.0,164.0,165.0,90446487,42045,31,163.0,165.0
20,2001-05-23,165.0,165.0,157.0,158.0,26996173,12941,18,165.0,158.0
21,2001-05-26,154.0,154.0,152.0,152.0,19957719,9973,22,158.0,152.0
22,2001-05-27,148.0,149.0,148.0,148.0,27226006,14110,16,152.0,148.0
23,2001-05-28,147.0,147.0,140.0,140.0,26466463,14351,24,148.0,140.0
24,2001-05-29,138.0,140.0,133.0,135.0,71642225,40589,35,140.0,135.0
25,2001-05-30,135.0,137.0,134.0,134.0,64290261,36263,33,135.0,134.0
26,2001-06-02,133.0,133.0,128.0,129.0,35668718,21090,22,134.0,129.0
27,2001-06-03,129.0,129.0,125.0,125.0,34882106,21223,19,129.0,125.0
28,2001-06-06,125.0,129.0,123.0,129.0,141768733,86119,44,125.0,129.0
29,2001-06-09,129.0,130.0,129.0,130.0,81858054,48674,29,129.0,130.0
30,2001-06-11,130.0,134.0,130.0,131.0,49666738,29147,22,130.0,131.0
31,2001-06-12,134.0,134.0,131.0,132.0,71855108,41837,26,131.0,132.0
32,2001-06-13,132.0,135.0,131.0,135.0,81879364,47147,38,132.0,135.0
33,2001-06-16,138.0,142.0,138.0,142.0,31503160,17316,12,135.0,142.0
34,2001-06-17,149.0,149.0,142.0,146.0,333235708,174471,70,142.0,146.0
35,2001-06-18,146.0,146.0,142.0,146.0,199006056,105299,78,146.0,146.0
36,2001-06-19,145.0,146.0,144.0,146.0,347342084,183065,49,146.0,146.0
37,2001-06-20,146.0,146.0,144.0,146.0,170205982,89703,31,146.0,146.0
38,2001-06-23,143.0,143.0,142.0,142.0,7249920,3904,3,146.0,142.0
39,2001-06-24,135.0,138.0,135.0,138.0,180554771,101826,42,142.0,138.0
40,2001-07-10,100.0,100.0,100.0,100.0,7272200,5594,4,138.0,100.0
41,2001-07-11,105.0,105.0,105.0,105.0,2620800,1920,2,100.0,105.0
42,2001-07-14,110.0,110.0,110.0,110.0,1871498,1306,2,105.0,110.0
43,2001-07-15,115.0,115.0,115.0,115.0,34686752,23063,16,110.0,115.0
44,2001-07-16,121.0,121.0,121.0,121.0,131259112,83128,32,115.0,121.0
45,2001-07-17,127.0,127.0,120.0,121.0,367654504,223695,94,121.0,121.0
46,2001-07-18,119.0,121.0,115.0,119.0,50679560,32967,27,121.0,119.0
47,2001-07-21,116.0,120.0,116.0,120.0,105609678,68966,81,119.0,120.0
