,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2011-12-27,528.0,528.0,512.0,512.0,2227479660000,139217460,2204,32.0,512.0
1,2011-12-28,520.0,534.0,512.0,523.0,234205358389,14319391,2998,512.0,531.0
2,2011-12-31,527.0,530.0,517.0,522.0,34583004566,2117526,725,523.0,521.0
3,2012-01-01,515.0,527.0,515.0,521.0,83062256630,5096513,990,522.0,521.0
4,2012-01-02,517.0,526.0,515.0,523.0,63987421142,3910093,694,521.0,526.0
5,2012-01-03,523.0,549.0,523.0,542.0,73081980677,4308991,859,523.0,549.0
6,2012-01-04,547.0,569.0,547.0,565.0,71887802323,4068942,627,542.0,569.0
7,2012-01-07,576.0,576.0,544.0,564.0,26984921160,1529885,268,565.0,569.0
8,2012-01-08,555.0,564.0,550.0,562.0,22829376682,1299569,182,564.0,558.0
9,2012-01-09,563.0,576.0,552.0,567.0,7802080822,440112,206,562.0,564.0
10,2012-01-10,552.0,576.0,552.0,567.0,15563164293,877927,184,567.0,564.0
11,2012-01-11,554.0,568.0,545.0,552.0,6864330716,397755,163,567.0,550.0
12,2012-01-15,553.0,559.0,546.0,555.0,4481120559,258057,90,552.0,556.0
13,2012-01-16,556.0,568.0,549.0,565.0,18576510642,1051260,126,555.0,553.0
14,2012-01-17,559.0,559.0,548.0,558.0,19107203678,1095660,137,565.0,555.0
15,2012-01-18,556.0,559.0,544.0,556.0,2630577513,151382,49,558.0,555.0
16,2012-01-21,547.0,559.0,544.0,552.0,3011385503,174525,68,556.0,550.0
17,2012-01-23,530.0,553.0,528.0,547.0,3839820038,224619,55,552.0,543.0
18,2012-01-25,532.0,544.0,521.0,537.0,3225686581,192237,77,547.0,544.0
19,2012-01-28,523.0,534.0,523.0,530.0,4371049159,263692,18,537.0,523.0
20,2012-01-29,544.0,556.0,525.0,550.0,5480970008,318462,53,530.0,531.0
21,2012-01-30,540.0,550.0,526.0,543.0,6342432769,373541,77,550.0,544.0
22,2012-01-31,543.0,544.0,525.0,541.0,1754058279,103635,29,543.0,544.0
23,2012-02-01,528.0,540.0,525.0,536.0,927280403,55330,26,541.0,540.0
24,2012-02-04,523.0,535.0,523.0,531.0,701543186,42260,24,536.0,534.0
25,2012-02-05,521.0,533.0,512.0,525.0,2743957145,167225,48,531.0,512.0
26,2012-02-06,518.0,526.0,510.0,524.0,1420050322,86653,32,525.0,524.0
27,2012-02-07,512.0,525.0,512.0,518.0,766832049,47309,23,524.0,513.0
28,2012-02-08,515.0,524.0,512.0,517.0,920080401,56921,35,518.0,524.0
29,2012-02-12,523.0,531.0,518.0,528.0,3810465717,230800,41,517.0,522.0
30,2012-02-13,513.0,528.0,513.0,528.0,7989367950,484282,89,528.0,525.0
31,2012-02-14,527.0,528.0,515.0,525.0,3192973326,194483,55,528.0,519.0
32,2012-02-15,519.0,528.0,504.0,521.0,2973326333,182602,74,525.0,518.0
33,2012-02-18,520.0,524.0,512.0,520.0,2544620798,156620,57,521.0,515.0
34,2012-02-19,523.0,528.0,512.0,519.0,1592406774,98030,38,520.0,515.0
35,2012-02-20,507.0,524.0,507.0,520.0,1277072171,78601,25,519.0,522.0
36,2012-02-21,520.0,524.0,518.0,522.0,638393663328,39093347,39,520.0,522.0
37,2012-02-22,505.0,524.0,505.0,515.0,629082195525,39024825,27,522.0,518.0
38,2012-02-25,518.0,518.0,518.0,518.0,300422160,18540,8,515.0,518.0
39,2012-02-26,512.0,520.0,512.0,515.0,741756868,46051,16,518.0,512.0
