,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-08-11,1107.0,1107.0,1107.0,1107.0,1054828608629,209999723,2796717,220.0,1107.0
1,2021-08-14,1162.0,1162.0,1162.0,1121.0,4064919678,770747,10412,1107.0,1162.0
2,2021-08-15,1177.0,1177.0,1177.0,1177.0,15929176250,2981875,10814,1121.0,1177.0
3,2021-08-22,1236.0,1236.0,1236.0,1236.0,35329627051,6298739,18044,1177.0,1236.0
4,2021-08-23,1298.0,1298.0,1298.0,1298.0,37947320307,6443763,15470,1236.0,1298.0
5,2021-08-24,1363.0,1363.0,1363.0,1363.0,69522239385,11244095,17845,1298.0,1363.0
6,2021-08-25,1431.0,1431.0,1431.0,1431.0,76216346172,11740041,21129,1363.0,1431.0
7,2021-08-28,1502.0,1502.0,1502.0,1502.0,79397368800,11648675,22640,1431.0,1502.0
8,2021-08-29,1577.0,1577.0,1577.0,1577.0,89953539096,12570366,33693,1502.0,1577.0
9,2021-08-30,1656.0,1656.0,1656.0,1656.0,217301308862,28923374,51347,1577.0,1656.0
10,2021-08-31,1738.0,1738.0,1738.0,1738.0,38506068688,4881601,5630,1656.0,1738.0
11,2021-09-04,1825.0,1825.0,1825.0,1825.0,107085903874,12929957,37456,1738.0,1825.0
12,2021-09-05,1916.0,1916.0,1916.0,1916.0,68808030472,7912607,37886,1825.0,1916.0
13,2021-09-06,2012.0,2012.0,2012.0,2012.0,155635147580,17046566,91286,1916.0,2012.0
14,2021-09-07,2113.0,2113.0,2113.0,2113.0,330011451228,34426398,117988,2012.0,2113.0
15,2021-09-08,2218.0,2218.0,2218.0,2218.0,287245085325,28539005,179395,2113.0,2218.0
16,2021-09-11,2329.0,2329.0,2329.0,2329.0,334966899984,31696338,46418,2218.0,2329.0
17,2021-09-12,2445.0,2445.0,2445.0,2445.0,368991388296,33254451,58461,2329.0,2445.0
18,2021-09-13,2567.0,2567.0,2567.0,2567.0,618903885050,53124797,119094,2445.0,2567.0
19,2021-09-18,2696.0,2696.0,2696.0,2696.0,628910714168,51415199,83972,2567.0,2696.0
20,2021-09-19,2711.0,2753.0,2561.0,2602.0,1745445894530,147810149,175914,2696.0,2561.0
21,2021-09-20,2472.0,2472.0,2472.0,2472.0,155258899575,13838925,3346,2602.0,2472.0
22,2021-09-21,2349.0,2349.0,2349.0,2349.0,93981554172,8817108,1797,2472.0,2349.0
23,2021-09-22,2248.0,2449.0,2232.0,2243.0,1640694872981,161168920,324713,2349.0,2233.0
24,2021-09-25,2263.0,2336.0,2154.0,2229.0,513033428744,50725203,155749,2243.0,2208.0
25,2021-09-26,2228.0,2243.0,2118.0,2137.0,470998403049,48573994,66548,2229.0,2120.0
26,2021-09-28,2094.0,2200.0,2038.0,2097.0,219091710535,23025410,58208,2137.0,2072.0
27,2021-09-29,2094.0,2202.0,2039.0,2161.0,317378179712,32369144,37899,2097.0,2202.0
28,2021-10-02,2269.0,2269.0,2206.0,2266.0,551491976075,53635118,34726,2161.0,2269.0
29,2021-10-03,2269.0,2288.0,2162.0,2218.0,254441459854,25277321,29097,2266.0,2217.0
30,2021-10-04,2204.0,2254.0,2182.0,2219.0,136464263398,13549861,24498,2218.0,2222.0
31,2021-10-06,2248.0,2254.0,2172.0,2195.0,144997726193,14557930,21335,2219.0,2189.0
32,2021-10-09,2189.0,2191.0,2085.0,2097.0,240504523735,25276574,17483,2195.0,2085.0
33,2021-10-10,2049.0,2085.0,2005.0,2043.0,100994385722,10893592,17730,2097.0,2065.0
34,2021-10-11,2032.0,2107.0,2032.0,2058.0,71032340110,7605606,13067,2043.0,2039.0
35,2021-10-12,2038.0,2045.0,1955.0,1966.0,283284153819,31753079,9958,2058.0,1955.0
36,2021-10-13,1959.0,2060.0,1919.0,1994.0,145128113505,16037779,12456,1966.0,2043.0
37,2021-10-16,2094.0,2094.0,2063.0,2094.0,102092345518,10745877,8659,1994.0,2094.0
38,2021-10-17,2127.0,2131.0,1997.0,2047.0,182554659010,19651829,12345,2094.0,2025.0
39,2021-10-18,1990.0,2046.0,1976.0,2008.0,76113403061,8353882,9847,2047.0,2027.0
40,2021-10-19,2028.0,2078.0,2008.0,2047.0,90329058031,9726501,10524,2008.0,2045.0
41,2021-10-20,2016.0,2047.0,1986.0,2008.0,71800032220,7881271,7986,2047.0,2012.0
42,2021-10-23,2012.0,2040.0,1913.0,1949.0,80194129308,9065556,8114,2008.0,1939.0
43,2021-10-25,1950.0,1950.0,1862.0,1888.0,95684534726,11165831,9196,1949.0,1879.0
44,2021-10-26,1858.0,1942.0,1851.0,1899.0,52258647674,6065968,7601,1888.0,1895.0
45,2021-10-27,1915.0,1993.0,1889.0,1972.0,115879478765,12951030,9801,1899.0,1993.0
46,2021-10-30,2010.0,2014.0,1906.0,1956.0,98105599415,11053789,12869,1972.0,1983.0
47,2021-10-31,1942.0,2027.0,1942.0,1998.0,117985307085,13010545,10741,1956.0,2012.0
48,2021-11-01,2028.0,2098.0,2028.0,2091.0,70572678098,7437370,5945,1998.0,2098.0
49,2021-11-02,2171.0,2196.0,2102.0,2180.0,223565982080,22600617,8024,2091.0,2196.0
50,2021-11-03,2248.0,2256.0,2180.0,2223.0,184094036939,18252302,9245,2180.0,2224.0
