,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2014-01-07,596.0,596.0,596.0,596.0,49909575000,16918500,14964,202.0,596.0
1,2014-01-08,625.0,625.0,625.0,625.0,306655649,99017,67,596.0,625.0
2,2014-01-11,656.0,656.0,656.0,656.0,52094024,16024,50,625.0,656.0
3,2014-01-12,689.0,689.0,689.0,689.0,10842903046,3176942,957,656.0,689.0
4,2014-01-13,723.0,723.0,723.0,723.0,7268534711,2028617,466,689.0,723.0
5,2014-01-14,760.0,760.0,760.0,760.0,7731564588,2055174,499,723.0,760.0
6,2014-01-15,797.0,797.0,797.0,797.0,4825564900,1221662,344,760.0,797.0
7,2014-01-18,837.0,837.0,837.0,837.0,199255056,48048,97,797.0,837.0
8,2014-01-20,879.0,879.0,879.0,879.0,21142418794,4855861,2717,837.0,879.0
9,2014-01-21,919.0,923.0,878.0,914.0,91286678248,20166650,15151,879.0,898.0
10,2014-01-22,888.0,888.0,868.0,874.0,7280184063,1682297,1277,914.0,868.0
11,2014-01-25,830.0,848.0,830.0,830.0,14003745357,3404752,2130,874.0,830.0
12,2014-01-26,789.0,826.0,789.0,794.0,18721143521,4762502,4465,830.0,789.0
13,2014-01-27,780.0,833.0,780.0,828.0,13389508993,3266118,2289,794.0,833.0
14,2014-01-28,869.0,869.0,869.0,869.0,1014283830,235606,162,828.0,869.0
15,2014-01-29,913.0,913.0,913.0,913.0,687501040,152102,127,869.0,913.0
16,2014-02-01,958.0,958.0,958.0,958.0,507589446,106951,135,913.0,958.0
17,2014-02-02,1006.0,1006.0,919.0,1001.0,35560282756,7172115,2492,958.0,1006.0
18,2014-02-03,1030.0,1051.0,1001.0,1041.0,42561982327,8258704,3332,1001.0,1051.0
19,2014-02-04,1092.0,1092.0,1092.0,1092.0,1849360758,341778,139,1041.0,1092.0
20,2014-02-05,1147.0,1147.0,1092.0,1142.0,75814730649,13399443,5837,1092.0,1110.0
21,2014-02-08,1085.0,1085.0,1085.0,1085.0,1834382592,341217,137,1142.0,1085.0
22,2014-02-09,1031.0,1068.0,1031.0,1036.0,43363279058,8450466,9416,1085.0,1031.0
23,2014-02-10,1044.0,1088.0,1011.0,1058.0,24425948041,4663073,3117,1036.0,1038.0
24,2014-02-12,1009.0,1026.0,1005.0,1006.0,3686874485,739551,449,1058.0,1005.0
25,2014-02-23,1136.0,1190.0,1113.0,1161.0,17203295343,2990619,1635,1006.0,1161.0
26,2014-02-24,1171.0,1219.0,1161.0,1203.0,19068761925,3200587,1749,1161.0,1219.0
27,2014-02-25,1234.0,1263.0,1217.0,1260.0,21404664636,3428795,1420,1203.0,1263.0
28,2014-02-26,1282.0,1323.0,1272.0,1315.0,11397479598,1749364,938,1260.0,1323.0
29,2014-03-01,1381.0,1381.0,1381.0,1381.0,2355449760,344364,147,1315.0,1381.0
30,2014-03-02,1450.0,1450.0,1450.0,1450.0,1352104866,188263,124,1381.0,1450.0
31,2014-03-03,1522.0,1522.0,1522.0,1522.0,29576088558,3922038,1468,1450.0,1522.0
32,2014-03-04,1446.0,1599.0,1446.0,1524.0,67061712018,8881633,4405,1522.0,1527.0
33,2014-03-05,1551.0,1601.0,1549.0,1592.0,19580838895,2482958,1496,1524.0,1592.0
34,2014-03-08,1611.0,1651.0,1513.0,1561.0,15571276789,2013377,1289,1592.0,1513.0
35,2014-03-09,1484.0,1484.0,1484.0,1484.0,797706228,108561,49,1561.0,1484.0
36,2014-03-10,1409.0,1409.0,1409.0,1409.0,178950954,25634,27,1484.0,1409.0
37,2014-03-11,1339.0,1339.0,1339.0,1339.0,226641968,34174,20,1409.0,1339.0
38,2014-03-12,1272.0,1352.0,1272.0,1291.0,26472949848,4140197,2205,1339.0,1293.0
39,2014-03-15,1332.0,1355.0,1313.0,1348.0,5485748111,821353,522,1291.0,1355.0
40,2014-03-16,1416.0,1416.0,1353.0,1411.0,17449096729,2496413,1808,1348.0,1416.0
41,2014-03-17,1459.0,1482.0,1423.0,1472.0,7595503932,1041456,692,1411.0,1482.0
42,2014-03-18,1494.0,1546.0,1399.0,1450.0,27382307515,3812215,1875,1472.0,1399.0
43,2014-03-19,1378.0,1413.0,1378.0,1381.0,17607411771,2574459,1765,1450.0,1378.0
44,2014-03-25,1381.0,1381.0,1312.0,1319.0,13116465418,2007317,1053,1381.0,1312.0
45,2014-03-26,1287.0,1385.0,1287.0,1374.0,12216675011,1795198,930,1319.0,1385.0
46,2014-03-29,1403.0,1412.0,1305.0,1340.0,9461833827,1425531,924,1374.0,1308.0
47,2014-03-30,1292.0,1399.0,1292.0,1373.0,9093228862,1337016,814,1340.0,1391.0
48,2014-03-31,1389.0,1395.0,1322.0,1345.0,13632290799,2046709,1145,1373.0,1332.0
49,2014-04-05,1345.0,1345.0,1279.0,1297.0,10864802123,1691696,1448,1345.0,1300.0
50,2014-04-06,1290.0,1292.0,1232.0,1244.0,11632703748,1887629,1314,1297.0,1238.0
51,2014-04-07,1232.0,1306.0,1218.0,1298.0,13579406877,2112450,1163,1244.0,1306.0
52,2014-04-08,1326.0,1332.0,1253.0,1282.0,9448123839,1487585,977,1298.0,1263.0
53,2014-04-09,1288.0,1288.0,1232.0,1246.0,4500783748,729484,541,1282.0,1248.0
54,2014-04-12,1232.0,1236.0,1183.0,1191.0,7555368646,1280867,824,1246.0,1183.0
55,2014-04-13,1147.0,1232.0,1132.0,1156.0,4705173560,821720,479,1191.0,1132.0
56,2014-04-14,1112.0,1191.0,1098.0,1115.0,9710084799,1758494,850,1156.0,1098.0
57,2014-04-15,1112.0,1171.0,1100.0,1154.0,18573152587,3249870,1651,1115.0,1171.0
58,2014-04-16,1187.0,1211.0,1171.0,1211.0,10329654279,1722596,671,1154.0,1211.0
59,2014-04-19,1228.0,1252.0,1150.0,1171.0,6117643992,1054989,665,1211.0,1155.0
60,2014-04-20,1211.0,1229.0,1191.0,1225.0,3860330049,636336,402,1171.0,1229.0
61,2014-04-21,1286.0,1286.0,1262.0,1285.0,4604622778,723435,313,1225.0,1286.0
62,2014-04-22,1349.0,1349.0,1313.0,1344.0,24224835455,3637873,1692,1285.0,1349.0
63,2014-04-23,1373.0,1393.0,1314.0,1367.0,13054657020,1927606,1024,1344.0,1353.0
64,2014-04-26,1373.0,1435.0,1373.0,1430.0,10251420258,1447292,863,1367.0,1435.0
65,2014-04-27,1474.0,1474.0,1363.0,1413.0,14749621340,2106904,1386,1430.0,1389.0
66,2014-04-28,1403.0,1417.0,1370.0,1393.0,6303091064,913602,580,1413.0,1379.0
67,2014-04-29,1393.0,1423.0,1367.0,1397.0,5330944832,770360,476,1393.0,1373.0
68,2014-04-30,1395.0,1435.0,1350.0,1404.0,6995302318,1006058,515,1397.0,1393.0
69,2014-05-03,1403.0,1423.0,1363.0,1393.0,3258526637,472375,348,1404.0,1369.0
70,2014-05-04,1353.0,1353.0,1323.0,1330.0,3572256153,542337,302,1393.0,1343.0
71,2014-05-05,1296.0,1396.0,1296.0,1385.0,6750075839,983759,506,1330.0,1373.0
72,2014-05-06,1413.0,1423.0,1367.0,1398.0,2351949538,339576,257,1385.0,1373.0
73,2014-05-07,1343.0,1403.0,1343.0,1381.0,2594036184,379156,311,1398.0,1379.0
74,2014-05-10,1403.0,1403.0,1312.0,1334.0,2814291100,425856,250,1381.0,1329.0
75,2014-05-11,1324.0,1383.0,1313.0,1364.0,2394494999,354382,277,1334.0,1368.0
76,2014-05-12,1386.0,1386.0,1313.0,1350.0,2282663140,341367,226,1364.0,1319.0
77,2014-05-14,1315.0,1349.0,1292.0,1310.0,3006346351,463467,313,1350.0,1302.0
78,2014-05-17,1276.0,1278.0,1246.0,1257.0,2422087326,388964,301,1310.0,1262.0
79,2014-05-18,1248.0,1298.0,1248.0,1276.0,2716469364,429941,312,1257.0,1288.0
80,2014-05-19,1298.0,1298.0,1223.0,1250.0,4271760282,690219,404,1276.0,1244.0
81,2014-05-20,1236.0,1312.0,1236.0,1304.0,5977526556,925607,421,1250.0,1312.0
82,2014-05-21,1343.0,1363.0,1316.0,1343.0,4931478697,741380,402,1304.0,1319.0
83,2014-05-24,1315.0,1343.0,1276.0,1315.0,3560400822,546794,278,1343.0,1283.0
84,2014-05-25,1312.0,1312.0,1252.0,1279.0,1780642361,281069,177,1315.0,1292.0
85,2014-05-26,1272.0,1340.0,1272.0,1312.0,7610833905,1170954,696,1279.0,1285.0
86,2014-06-07,1344.0,1386.0,1344.0,1361.0,2477288384,382225,254,1312.0,1352.0
87,2014-06-08,1345.0,1346.0,1296.0,1307.0,1423985961,228721,186,1361.0,1299.0
88,2014-06-09,1336.0,1336.0,1281.0,1292.0,733549625,119193,103,1307.0,1285.0
89,2014-06-10,1302.0,1302.0,1239.0,1247.0,996946391,167855,139,1292.0,1243.0
90,2014-06-11,1229.0,1229.0,1193.0,1208.0,1345456514,233950,204,1247.0,1216.0
91,2014-06-14,1193.0,1193.0,1147.0,1150.0,1473436366,268919,195,1208.0,1147.0
92,2014-06-15,1174.0,1174.0,1093.0,1095.0,2496697314,478790,355,1150.0,1113.0
93,2014-06-16,1131.0,1150.0,1131.0,1149.0,1808958008,330709,118,1095.0,1150.0
