,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-07-05,12486.0,12486.0,9348.0,10159.0,1385077873110,126000000,225,924.0,9348.0
1,2023-07-08,10665.0,10665.0,10665.0,10665.0,121170000000,10500000,499,10159.0,10665.0
2,2023-07-09,11192.0,11192.0,11192.0,11192.0,127775903920,10551272,486,10665.0,11192.0
3,2023-07-10,11746.0,11746.0,11746.0,11746.0,133522274030,10505293,488,11192.0,11746.0
4,2023-07-11,12328.0,12328.0,12328.0,12328.0,353195296060,26476409,1219,11746.0,12328.0
5,2023-07-12,11719.0,11903.0,11719.0,11728.0,977344988450,77000074,5609,12328.0,11719.0
6,2023-07-15,11728.0,12144.0,11349.0,11792.0,516201058230,40457005,4925,11728.0,11950.0
7,2023-07-16,12079.0,12218.0,11506.0,11950.0,271976268060,21028654,3011,11792.0,11903.0
8,2023-07-17,11977.0,11977.0,11358.0,11469.0,179967846250,14507247,1568,11950.0,11451.0
9,2023-07-18,11645.0,11968.0,11460.0,11663.0,133848295380,10603220,1513,11469.0,11922.0
10,2023-07-19,11950.0,12144.0,11423.0,11802.0,169643203370,13282436,1700,11663.0,11478.0
11,2023-07-22,11460.0,11645.0,11219.0,11284.0,146852323170,12030935,1141,11802.0,11219.0
12,2023-07-23,10998.0,11543.0,10720.0,11266.0,133930323210,10986841,1438,11284.0,11349.0
13,2023-07-24,11478.0,11820.0,11478.0,11709.0,92395100460,7290722,1139,11266.0,11645.0
14,2023-07-25,11903.0,12171.0,11645.0,11950.0,124320583850,9613806,1443,11709.0,11829.0
15,2023-07-26,11737.0,12014.0,11635.0,11903.0,94584618840,7342609,1038,11950.0,11996.0
16,2023-07-29,11755.0,12181.0,11663.0,11839.0,43472990310,3392963,682,11903.0,11903.0
17,2023-07-30,11663.0,11931.0,11247.0,11349.0,82354040240,6705010,1072,11839.0,11247.0
18,2023-07-31,11367.0,11552.0,11210.0,11386.0,34883111660,2831574,580,11349.0,11552.0
19,2023-08-01,11635.0,11950.0,11635.0,11894.0,78528932770,6103506,911,11386.0,11940.0
20,2023-08-05,12060.0,12088.0,11709.0,11931.0,97461162130,7550885,1155,11894.0,11987.0
21,2023-08-06,11913.0,11977.0,11691.0,11848.0,60080822470,4686687,709,11931.0,11894.0
22,2023-08-07,11940.0,12088.0,11552.0,11866.0,73339885930,5711048,785,11848.0,11848.0
23,2023-08-08,11894.0,11894.0,11552.0,11654.0,39794671920,3155399,639,11866.0,11645.0
24,2023-08-09,11478.0,11829.0,11478.0,11626.0,54061192030,4298634,629,11654.0,11645.0
25,2023-08-12,11598.0,11811.0,11146.0,11414.0,77973298080,6312059,937,11626.0,11275.0
26,2023-08-13,11414.0,11598.0,11275.0,11441.0,54575905460,4409552,749,11414.0,11460.0
27,2023-08-14,11543.0,11728.0,11090.0,11219.0,97700113140,8050295,1231,11441.0,11229.0
28,2023-08-15,11173.0,11312.0,10905.0,11118.0,33349417990,2772825,581,11219.0,11025.0
29,2023-08-16,11238.0,11238.0,10767.0,10933.0,21128558450,1786004,528,11118.0,10822.0
30,2023-08-19,11182.0,11247.0,10730.0,10961.0,19582087420,1650886,389,10933.0,10776.0
31,2023-08-20,10961.0,10998.0,10480.0,10776.0,26101362380,2239057,422,10961.0,10730.0
32,2023-08-21,10785.0,11044.0,10767.0,10878.0,31167509370,2648188,375,10776.0,10831.0
33,2023-08-22,10582.0,10961.0,10351.0,10610.0,25746401330,2242734,372,10878.0,10720.0
34,2023-08-23,10730.0,10951.0,10378.0,10785.0,31266389590,2678632,379,10610.0,10767.0
35,2023-08-26,10813.0,11256.0,10813.0,11035.0,30126165520,2522472,463,10785.0,11035.0
36,2023-08-27,11072.0,11303.0,10933.0,11081.0,50584430580,4220422,676,11035.0,11090.0
37,2023-08-28,10914.0,11238.0,10905.0,11099.0,36928331330,3074940,415,11081.0,10961.0
38,2023-08-29,10674.0,11090.0,10674.0,10859.0,19995523180,1701585,363,11099.0,10878.0
39,2023-08-30,10998.0,11025.0,10748.0,10850.0,17969041240,1530084,348,10859.0,10887.0
40,2023-09-02,11035.0,11035.0,10536.0,10730.0,11716886700,1008910,311,10850.0,10610.0
41,2023-09-03,10739.0,10776.0,10443.0,10582.0,29619606230,2587610,596,10730.0,10573.0
42,2023-09-04,10582.0,10646.0,10369.0,10489.0,32000966560,2819247,753,10582.0,10517.0
43,2023-09-05,10489.0,10998.0,10471.0,10693.0,70539245990,6097158,969,10489.0,10859.0
44,2023-09-09,11007.0,11053.0,10489.0,10665.0,52308270060,4532507,766,10693.0,10499.0
45,2023-09-10,10536.0,10878.0,10443.0,10730.0,20697364460,1782078,436,10665.0,10776.0
