,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2024-01-01,24514.0,24514.0,19938.0,21038.0,2317209824896,35999888,952187,327.0,19938.0
1,2024-01-02,22079.0,22079.0,22079.0,22079.0,104548350900,1547718,2523,21038.0,22079.0
2,2024-01-03,23174.0,23174.0,23174.0,23174.0,219701800400,3098756,4395,22079.0,23174.0
3,2024-01-06,24318.0,24318.0,24318.0,24318.0,286209062400,3846896,11161,23174.0,24318.0
4,2024-01-07,25527.0,25527.0,25527.0,25527.0,355192630100,4547921,12140,24318.0,25527.0
5,2024-01-08,26802.0,26802.0,26802.0,26802.0,631497252000,7701186,48910,25527.0,26802.0
6,2024-01-09,28142.0,28142.0,27831.0,28142.0,1680651482500,19520562,112658,26802.0,28142.0
7,2024-01-10,29547.0,29547.0,28763.0,29531.0,1361356168400,15063473,66130,28142.0,29547.0
8,2024-01-13,30953.0,31002.0,30561.0,30969.0,918804516000,9696565,41710,29531.0,31002.0
9,2024-01-14,32505.0,32505.0,32505.0,32505.0,45272026800,455224,3606,30969.0,32505.0
10,2024-01-16,34123.0,34123.0,34123.0,34123.0,274178307600,2626229,16597,32505.0,34123.0
11,2024-01-17,35823.0,35823.0,34810.0,35790.0,2788751090650,25464958,39089,34123.0,35512.0
12,2024-01-20,34646.0,35284.0,34009.0,34303.0,655306172850,6244880,14197,35790.0,34009.0
13,2024-01-21,32603.0,32603.0,32603.0,32603.0,72684034500,728662,723,34303.0,32603.0
14,2024-01-22,30986.0,32358.0,30986.0,31198.0,1943251378100,20358069,140701,32603.0,30986.0
15,2024-01-23,30724.0,30969.0,29645.0,30119.0,343397392050,3726458,13755,31198.0,29645.0
16,2024-01-24,28616.0,29907.0,28616.0,28894.0,1434663416500,16232671,75352,30119.0,29466.0
17,2024-01-27,29891.0,30332.0,29874.0,30250.0,173995908550,1880309,12607,28894.0,30332.0
18,2024-01-28,31214.0,31312.0,28877.0,29956.0,977547951650,10665184,49585,30250.0,29008.0
19,2024-01-29,28469.0,28926.0,28469.0,28501.0,825106915600,9463202,25318,29956.0,28469.0
20,2024-01-30,28338.0,28371.0,27080.0,27439.0,509039517500,6063415,42988,28501.0,27096.0
21,2024-01-31,27456.0,28796.0,27129.0,28501.0,504302235550,5782693,15770,27439.0,28779.0
22,2024-02-03,28681.0,29923.0,27684.0,29466.0,421097120800,4670763,11289,28501.0,28796.0
23,2024-02-04,29139.0,29139.0,27995.0,28224.0,388962672400,4503999,14308,29466.0,27995.0
24,2024-02-05,27995.0,28747.0,27554.0,27880.0,177285777700,2077940,10367,28224.0,27668.0
25,2024-02-06,28077.0,28077.0,27145.0,27488.0,159645552550,1898297,10626,27880.0,27145.0
26,2024-02-07,27129.0,27913.0,27129.0,27423.0,133367528700,1589902,19891,27488.0,27619.0
27,2024-02-10,27603.0,28273.0,27161.0,27603.0,105476692050,1248686,5733,27423.0,27276.0
28,2024-02-12,27194.0,27619.0,26508.0,26834.0,217676346800,2650788,11607,27603.0,26540.0
29,2024-02-13,26508.0,28109.0,26508.0,27439.0,122596563950,1460241,7850,26834.0,27423.0
30,2024-02-14,27161.0,27505.0,26475.0,26802.0,155310469650,1893502,12574,27439.0,26655.0
31,2024-02-17,26687.0,27243.0,26181.0,26508.0,112777404350,1390568,5328,26802.0,26181.0
32,2024-02-18,26328.0,27112.0,26066.0,26508.0,109738850650,1353521,5297,26508.0,26720.0
33,2024-02-19,27456.0,27456.0,26410.0,26736.0,75340753600,921310,3589,26508.0,26459.0
34,2024-02-20,26344.0,26606.0,25413.0,25641.0,176764655950,2253058,4301,26736.0,25413.0
35,2024-02-21,25200.0,25838.0,24857.0,25266.0,114542223250,1481885,4773,25641.0,25168.0
36,2024-02-24,25266.0,25511.0,24187.0,24645.0,90625264450,1201560,5004,25266.0,24448.0
37,2024-02-26,24514.0,24645.0,23419.0,23533.0,194310910650,2699603,4396,24645.0,23435.0
38,2024-02-27,23517.0,23811.0,23043.0,23403.0,67311429650,940400,3170,23533.0,23795.0
39,2024-02-28,23762.0,24301.0,23566.0,23975.0,48324184950,658938,2811,23403.0,23615.0
40,2024-03-02,25168.0,25168.0,24220.0,24612.0,67096684600,891188,2176,23975.0,24416.0
41,2024-03-03,24808.0,25641.0,24138.0,24694.0,136055257900,1800294,3969,24612.0,24203.0
