,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-09-11,266.0,266.0,266.0,266.0,73741695300,15006450,138232,54.0,266.0
1,2018-09-12,280.0,280.0,280.0,280.0,188587245,36555,387,266.0,280.0
2,2018-09-15,294.0,294.0,294.0,294.0,429218000,79250,766,280.0,294.0
3,2018-09-16,308.0,308.0,308.0,308.0,619484014,108949,1039,294.0,308.0
4,2018-09-17,324.0,324.0,324.0,324.0,965086320,161656,1572,308.0,324.0
5,2018-09-18,340.0,340.0,340.0,340.0,988601496,157722,1510,324.0,340.0
6,2018-09-22,357.0,357.0,357.0,357.0,2243456319,340899,3312,340.0,357.0
7,2018-09-23,375.0,375.0,375.0,375.0,745519900,107890,1047,357.0,375.0
8,2018-09-24,393.0,393.0,393.0,393.0,1836414620,253124,952,375.0,393.0
9,2018-09-25,413.0,413.0,413.0,413.0,2373914220,311660,1159,393.0,413.0
10,2018-09-26,433.0,433.0,433.0,433.0,2559423856,320048,919,413.0,433.0
11,2018-09-29,455.0,455.0,455.0,455.0,1688477580,201105,1803,433.0,455.0
12,2018-09-30,478.0,478.0,478.0,478.0,3762427115,426821,928,455.0,478.0
13,2018-10-01,502.0,502.0,502.0,502.0,16097600955,1739341,8212,478.0,502.0
14,2018-10-02,527.0,527.0,527.0,527.0,2025771009,208477,1599,502.0,527.0
15,2018-10-07,500.0,500.0,475.0,488.0,5655982546,628674,990,527.0,475.0
16,2018-10-08,463.0,494.0,463.0,472.0,74912351307,8597087,45072,488.0,493.0
17,2018-10-09,496.0,496.0,477.0,494.0,45790505047,5022160,12098,472.0,494.0
18,2018-10-10,495.0,505.0,470.0,488.0,36796664703,4083814,12396,494.0,492.0
19,2018-10-13,499.0,499.0,464.0,471.0,23613370953,2719553,10521,488.0,465.0
20,2018-10-14,477.0,494.0,472.0,489.0,21296624543,2361426,4797,471.0,494.0
21,2018-10-15,513.0,513.0,500.0,513.0,20502943131,2165807,4477,489.0,513.0
22,2018-10-16,539.0,539.0,501.0,522.0,37969841291,3941505,4298,513.0,515.0
23,2018-10-17,501.0,511.0,496.0,498.0,21508477588,2339985,4550,522.0,499.0
24,2018-10-20,494.0,518.0,494.0,503.0,15555652284,1676175,2522,498.0,501.0
25,2018-10-21,494.0,503.0,483.0,491.0,16141892252,1783056,2225,503.0,484.0
26,2018-10-22,482.0,482.0,466.0,470.0,13966348223,1612285,1742,491.0,473.0
27,2018-10-23,453.0,485.0,453.0,466.0,10476510814,1219962,1516,470.0,463.0
28,2018-10-24,466.0,473.0,459.0,464.0,4537202221,529740,1426,466.0,466.0
29,2018-10-27,463.0,487.0,462.0,476.0,6466436868,736256,1866,464.0,482.0
30,2018-10-28,470.0,500.0,470.0,492.0,17020598532,1876193,1345,476.0,498.0
31,2018-10-29,499.0,512.0,474.0,488.0,11458335936,1272277,1212,492.0,484.0
32,2018-10-31,487.0,499.0,469.0,486.0,5835127819,650640,1030,488.0,488.0
33,2018-11-03,478.0,485.0,474.0,479.0,3591971787,406724,563,486.0,483.0
34,2018-11-04,480.0,498.0,477.0,486.0,5821685869,649414,1063,479.0,482.0
35,2018-11-05,478.0,496.0,478.0,489.0,3100001205,343569,1227,486.0,488.0
36,2018-11-06,478.0,492.0,478.0,482.0,6503485998,731811,2310,489.0,479.0
37,2018-11-10,477.0,482.0,472.0,476.0,1617225999,184253,505,482.0,472.0
38,2018-11-11,472.0,496.0,472.0,496.0,22865099384,2500896,1069,476.0,496.0
39,2018-11-12,509.0,509.0,480.0,492.0,9304838894,1026136,816,496.0,487.0
40,2018-11-13,477.0,489.0,474.0,480.0,8243158277,930809,989,492.0,476.0
41,2018-11-14,474.0,488.0,474.0,482.0,4757037144,534724,747,480.0,486.0
42,2018-11-17,477.0,491.0,477.0,486.0,7883818100,878892,1267,482.0,483.0
43,2018-11-18,488.0,493.0,473.0,484.0,6185363580,692739,632,486.0,483.0
44,2018-11-19,477.0,487.0,477.0,481.0,2824367010,318252,692,484.0,485.0
45,2018-11-20,480.0,491.0,476.0,481.0,6833947884,770133,598,481.0,485.0
46,2018-11-21,477.0,493.0,477.0,487.0,5773804759,643038,846,481.0,493.0
47,2018-11-24,490.0,496.0,478.0,489.0,3564313830,394999,662,487.0,487.0
48,2018-11-26,489.0,489.0,466.0,478.0,4380612582,497116,710,489.0,479.0
49,2018-11-27,472.0,488.0,466.0,477.0,3985822043,452821,836,478.0,481.0
50,2018-11-28,469.0,483.0,469.0,476.0,2631559556,299688,549,477.0,477.0
51,2018-12-01,470.0,480.0,462.0,469.0,5745305519,663665,584,476.0,463.0
52,2018-12-02,477.0,477.0,466.0,471.0,1584253848,182451,338,469.0,474.0
53,2018-12-03,466.0,477.0,466.0,470.0,2468527121,284681,363,471.0,472.0
54,2018-12-04,462.0,472.0,462.0,465.0,3016098330,351369,302,470.0,462.0
