,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-09,88.0,88.0,88.0,88.0,6183874,2549,3,88.0,88.0
1,2001-04-23,88.0,89.0,88.0,89.0,32007849,13194,8,88.0,89.0
2,2001-04-24,93.0,93.0,93.0,93.0,6375000,2500,1,89.0,93.0
3,2001-04-25,95.0,98.0,95.0,98.0,3089380,1158,3,93.0,98.0
4,2001-04-28,100.0,100.0,100.0,100.0,6809220,2494,3,98.0,100.0
5,2001-04-29,100.0,100.0,100.0,100.0,20963156,7676,3,100.0,100.0
6,2001-04-30,100.0,100.0,95.0,95.0,76396414,29125,20,100.0,95.0
7,2001-05-01,95.0,95.0,95.0,95.0,12261114,4714,5,95.0,95.0
8,2001-05-02,96.0,96.0,96.0,96.0,2620000,1000,1,95.0,96.0
9,2001-05-05,94.0,94.0,94.0,94.0,6450000,2500,1,96.0,94.0
10,2001-05-06,94.0,94.0,94.0,94.0,20382000,7900,2,94.0,94.0
11,2001-05-07,94.0,94.0,94.0,94.0,5159616,2000,2,94.0,94.0
12,2001-05-08,94.0,94.0,94.0,94.0,5761140,2233,4,94.0,94.0
13,2001-05-09,94.0,94.0,94.0,94.0,24060410,9299,5,94.0,94.0
14,2001-05-12,95.0,99.0,95.0,95.0,104638259,40281,28,94.0,95.0
15,2001-05-13,95.0,100.0,95.0,100.0,17694726,6506,2,95.0,100.0
16,2001-05-15,100.0,100.0,100.0,100.0,7294011,2667,2,100.0,100.0
17,2001-05-16,100.0,100.0,100.0,100.0,1233936,451,1,100.0,100.0
18,2001-05-20,102.0,105.0,102.0,102.0,18883678,6623,7,100.0,102.0
19,2001-05-21,106.0,106.0,106.0,106.0,14500000,5000,1,102.0,106.0
20,2001-05-23,108.0,108.0,102.0,102.0,5072700,1759,4,106.0,102.0
21,2001-05-26,102.0,102.0,102.0,102.0,4680040,1676,2,102.0,102.0
22,2001-05-27,102.0,102.0,102.0,102.0,23022200,8250,13,102.0,102.0
23,2001-05-28,102.0,102.0,102.0,102.0,7820332,2802,7,102.0,102.0
24,2001-05-29,102.0,102.0,102.0,102.0,32654139,11658,21,102.0,102.0
25,2001-05-30,102.0,102.0,102.0,102.0,2096829,747,1,102.0,102.0
26,2001-06-02,103.0,103.0,103.0,103.0,2397392,852,5,102.0,103.0
27,2001-06-06,103.0,103.0,103.0,103.0,4551756,1616,3,103.0,103.0
28,2001-06-09,102.0,103.0,102.0,103.0,9134200,3250,9,103.0,103.0
