,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2017-11-15,3499.0,3501.0,3499.0,3499.0,36307720,10379,6,1000.0,3499.0
1,2017-11-18,3848.0,3848.0,3848.0,3848.0,1315674,342,4,3499.0,3848.0
2,2017-11-20,4232.0,4232.0,4232.0,4232.0,3790976,896,3,3848.0,4232.0
3,2017-11-21,4655.0,4655.0,4655.0,4655.0,50416782,10833,6,4232.0,4655.0
4,2017-11-22,5120.0,5120.0,5120.0,5120.0,208215325,40675,21,4655.0,5120.0
5,2017-11-26,5597.0,5554.0,5200.0,5249.0,16420494,3129,3,5120.0,5554.0
6,2017-12-10,4725.0,4725.0,4725.0,4725.0,47240,10,1,5249.0,4725.0
7,2017-12-11,4253.0,4253.0,4253.0,4253.0,43880640,10320,10,4725.0,4253.0
8,2017-12-12,4101.0,4101.0,4101.0,4101.0,359098500,87585,3,4253.0,4101.0
9,2017-12-17,3711.0,3711.0,3711.0,3711.0,37100000,10000,4,4101.0,3711.0
10,2017-12-18,3801.0,4081.0,3801.0,3808.0,97578120,25631,9,3711.0,4081.0
11,2017-12-19,4001.0,4001.0,4001.0,4001.0,22344000,5586,4,3808.0,4001.0
12,2017-12-20,4001.0,4001.0,4001.0,4001.0,3828000,957,1,4001.0,4001.0
13,2018-06-13,4111.0,4151.0,4111.0,4115.0,452500000,110000,6,4001.0,4151.0
14,2018-06-17,4201.0,4201.0,4201.0,4201.0,966000000,230000,6,4115.0,4201.0
15,2018-06-18,4001.0,4301.0,4001.0,4168.0,537500000,129000,4,4201.0,4301.0
16,2018-06-19,4301.0,4584.0,4301.0,4510.0,932792704,206888,7,4168.0,4584.0
17,2023-03-27,37690.0,37690.0,35030.0,35910.0,12758607280,355319,384,4510.0,36070.0
18,2023-03-28,35020.0,37440.0,34040.0,35700.0,15135993670,423935,240,35910.0,35300.0
19,2023-03-29,33160.0,35690.0,33160.0,34890.0,9949863970,285216,209,35700.0,34800.0
20,2023-04-03,34370.0,35520.0,32500.0,33750.0,6869660000,203525,194,34890.0,34590.0
21,2023-04-04,35580.0,37120.0,34850.0,36690.0,26319482510,717410,337,33750.0,37120.0
22,2023-04-05,40210.0,40350.0,37480.0,39650.0,21699728650,547239,252,36690.0,40350.0
23,2023-04-08,42810.0,42810.0,40520.0,41580.0,20336179590,489093,295,39650.0,41900.0
24,2023-04-09,41580.0,43510.0,41010.0,41680.0,6746805900,161886,176,41580.0,41850.0
25,2023-04-10,41020.0,42350.0,39100.0,41510.0,21919821490,528033,272,41680.0,41980.0
26,2023-04-11,42800.0,45280.0,42020.0,43830.0,8929356830,203729,148,41510.0,44080.0
27,2023-04-15,45070.0,47910.0,44030.0,45260.0,6387900370,141148,147,43830.0,45750.0
28,2023-04-16,46890.0,48000.0,44260.0,46130.0,8321138910,180389,183,45260.0,46100.0
29,2023-04-17,46510.0,48100.0,46500.0,47570.0,5125967460,107751,110,46130.0,48090.0
30,2023-04-18,49500.0,51950.0,48500.0,49900.0,6783295450,135941,157,47570.0,50420.0
31,2023-04-19,50420.0,52790.0,50010.0,51590.0,5289069420,102521,112,49900.0,52770.0
32,2023-04-24,49000.0,54700.0,48810.0,50340.0,13996965120,278036,248,51590.0,50250.0
33,2023-04-25,47090.0,51280.0,47090.0,48940.0,9034213030,184596,240,50340.0,47650.0
34,2023-04-26,47030.0,51950.0,47030.0,49770.0,11599700320,233056,205,48940.0,50180.0
35,2023-04-29,48770.0,54740.0,48770.0,54040.0,27509522050,509047,386,49770.0,54740.0
36,2023-04-30,58680.0,59440.0,54750.0,58230.0,14817805200,254456,248,54040.0,59440.0
37,2023-05-01,63800.0,64050.0,59000.0,63580.0,10528806720,165592,146,58230.0,64050.0
38,2023-05-02,69900.0,69930.0,65760.0,69560.0,20360325490,292698,257,63580.0,69930.0
39,2023-05-03,76510.0,76510.0,62610.0,69970.0,40357101140,576752,731,69560.0,63000.0
40,2023-08-21,45480.0,45480.0,44000.0,44020.0,263286744000,5980426,288,69970.0,44000.0
