,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-06-21,3734.0,3734.0,2943.0,3097.0,2550378577750,32029862,1846100,39.0,2943.0
1,2023-06-24,3252.0,3252.0,3252.0,3252.0,117582062400,1406484,6629,3097.0,3252.0
2,2023-06-25,3413.0,3413.0,3413.0,3413.0,124030149750,1413449,7150,3252.0,3413.0
3,2023-06-26,3582.0,3582.0,3582.0,3582.0,133985974800,1454788,10991,3413.0,3582.0
4,2023-06-27,3761.0,3761.0,3761.0,3761.0,148556438700,1536261,8230,3582.0,3761.0
5,2023-06-28,3948.0,3948.0,3948.0,3948.0,159130989500,1567793,17708,3761.0,3948.0
6,2023-07-01,4145.0,4145.0,4145.0,4145.0,213862791450,2007159,44493,3948.0,4145.0
7,2023-07-02,4351.0,4351.0,4240.0,4347.0,2750409167750,24609074,383333,4145.0,4351.0
8,2023-07-03,4345.0,4477.0,4131.0,4390.0,1202907368000,10661438,328294,4347.0,4380.0
9,2023-07-04,4415.0,4417.0,4172.0,4240.0,738546228750,6777028,193240,4390.0,4222.0
10,2023-07-05,4170.0,4493.0,4170.0,4454.0,633392648550,5531459,46471,4240.0,4493.0
11,2023-07-08,4625.0,4625.0,4413.0,4489.0,451001455500,3907628,52602,4454.0,4483.0
12,2023-07-17,3957.0,4083.0,3761.0,3915.0,404890512350,4181404,30047,4489.0,4030.0
13,2023-07-18,4095.0,4109.0,4030.0,4101.0,220366660200,2171797,23690,3915.0,4109.0
14,2023-07-19,4224.0,4285.0,3977.0,4111.0,244102863950,2400619,39501,4101.0,4024.0
15,2023-07-22,4042.0,4099.0,3907.0,3961.0,148296536000,1513428,20054,4111.0,3929.0
16,2023-07-23,4022.0,4022.0,3840.0,3907.0,85554781950,884987,13714,3961.0,3848.0
17,2023-07-24,3880.0,3977.0,3856.0,3901.0,66341827100,687420,10115,3907.0,3907.0
18,2023-07-25,3917.0,3996.0,3759.0,3887.0,87606733800,911105,8565,3901.0,3848.0
19,2023-07-26,3812.0,4081.0,3773.0,3917.0,207238328250,2138927,11585,3887.0,4081.0
20,2023-07-29,4081.0,4111.0,4042.0,4109.0,116889212900,1149705,7811,3917.0,4111.0
21,2023-07-30,4111.0,4313.0,4002.0,4230.0,313083818850,2992031,14701,4109.0,4313.0
22,2023-07-31,4432.0,4440.0,4293.0,4410.0,93263105850,854768,8273,4230.0,4440.0
23,2023-08-01,4622.0,4630.0,4527.0,4616.0,309517648250,2710069,15144,4410.0,4630.0
24,2023-08-05,4630.0,4794.0,4523.0,4679.0,220826540550,1907578,11379,4616.0,4677.0
25,2023-08-06,4685.0,4729.0,4471.0,4612.0,71852020500,629652,5884,4679.0,4644.0
26,2023-08-07,4843.0,4843.0,4616.0,4754.0,177099988800,1505875,20834,4612.0,4675.0
27,2023-08-08,4667.0,4673.0,4517.0,4570.0,185112011100,1637743,8797,4754.0,4517.0
28,2023-08-09,4527.0,4798.0,4527.0,4721.0,445561043050,3815541,12706,4570.0,4796.0
29,2023-08-12,4800.0,4956.0,4731.0,4946.0,862870921950,7051998,14197,4721.0,4956.0
30,2023-08-13,5081.0,5170.0,4770.0,4958.0,325075118150,2650010,11215,4946.0,4891.0
31,2023-08-14,4972.0,4972.0,4711.0,4808.0,199686606650,1679052,12706,4958.0,4853.0
32,2023-08-15,4814.0,4847.0,4576.0,4657.0,85858074800,745220,8744,4808.0,4644.0
