,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2017-09-13,170.0,170.0,170.0,170.0,1140000000000,400000000,104873,60.0,170.0
1,2017-09-16,178.0,178.0,178.0,178.0,4805603792,1606151,361,170.0,178.0
2,2017-09-17,187.0,187.0,187.0,187.0,5093850789,1621729,344,178.0,187.0
3,2017-09-18,196.0,196.0,196.0,196.0,5369599124,1628138,410,187.0,196.0
4,2017-09-20,206.0,206.0,206.0,206.0,8183101704,2363692,512,196.0,206.0
5,2017-09-23,217.0,217.0,217.0,217.0,11723856450,3225270,586,206.0,217.0
6,2017-09-24,227.0,227.0,227.0,227.0,21995130168,5763923,498,217.0,227.0
7,2017-09-25,239.0,239.0,239.0,239.0,42378821022,10578837,473,227.0,239.0
8,2017-09-26,251.0,251.0,251.0,251.0,46299887742,11008057,519,239.0,251.0
9,2017-09-27,263.0,263.0,263.0,263.0,239381189952,54207697,5256,251.0,263.0
10,2017-10-02,274.0,276.0,268.0,273.0,1074797189487,234165389,68190,263.0,270.0
11,2017-10-03,268.0,273.0,260.0,263.0,419098773045,95084554,29274,273.0,267.0
12,2017-10-04,271.0,276.0,269.0,274.0,246291436267,53613786,13169,263.0,276.0
13,2017-10-07,277.0,282.0,269.0,275.0,174277270033,37807869,10070,274.0,272.0
14,2017-10-08,268.0,269.0,261.0,263.0,138562217209,31412273,7822,275.0,265.0
15,2017-10-09,264.0,275.0,263.0,270.0,128011254804,28198096,7802,263.0,273.0
16,2017-10-10,277.0,280.0,271.0,277.0,96327811304,20736996,5159,270.0,272.0
17,2017-10-11,272.0,273.0,265.0,268.0,56649609075,12605664,3265,277.0,267.0
18,2017-10-14,268.0,273.0,267.0,269.0,40470328767,8964434,2272,268.0,267.0
19,2017-10-15,267.0,267.0,262.0,264.0,48088284609,10851278,2774,269.0,265.0
20,2017-10-16,264.0,271.0,264.0,268.0,43608176690,9679007,2733,264.0,269.0
21,2017-10-17,268.0,272.0,264.0,270.0,151374670084,33373458,4610,268.0,269.0
22,2017-10-18,268.0,270.0,265.0,266.0,45297905123,10141925,4228,270.0,265.0
23,2017-10-21,268.0,268.0,262.0,264.0,34580511342,7798461,2136,266.0,262.0
24,2017-10-22,264.0,264.0,262.0,263.0,30975973545,7025310,1776,264.0,262.0
25,2017-10-23,265.0,268.0,263.0,265.0,29116417309,6556139,1617,263.0,263.0
26,2017-10-24,263.0,276.0,263.0,269.0,256031990762,56797414,5421,265.0,274.0
27,2017-10-25,274.0,277.0,271.0,274.0,50171855536,10919593,2475,269.0,272.0
28,2017-10-28,282.0,287.0,282.0,286.0,81082937122,16911498,1613,274.0,287.0
29,2017-12-05,300.0,300.0,300.0,300.0,201291149982,39986323,736,286.0,300.0
30,2017-12-09,315.0,315.0,315.0,315.0,17825987900,3372940,278,300.0,315.0
31,2017-12-10,331.0,331.0,331.0,331.0,12567441788,2264812,201,315.0,331.0
32,2017-12-11,347.0,347.0,331.0,343.0,966322713366,167946120,16663,331.0,338.0
33,2017-12-12,345.0,360.0,340.0,356.0,350634078078,58636608,6101,343.0,360.0
34,2018-08-20,349.0,349.0,342.0,344.0,38255101317,6626475,674,356.0,342.0
