,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-07-10,10006.0,10006.0,10006.0,10006.0,439529980000,43952998,8634,10006.0,10006.0
1,2021-07-11,10006.0,10006.0,10006.0,10006.0,228067610000,22806761,5147,10006.0,10006.0
2,2021-07-12,10006.0,10006.0,10006.0,10006.0,182535030000,18253503,6257,10006.0,10006.0
3,2021-07-13,10006.0,10006.0,10006.0,10006.0,295964460000,29596446,5925,10006.0,10006.0
4,2021-08-29,10328.0,10332.0,10328.0,10328.0,83270586406,8066927,1993,10006.0,10329.0
5,2021-08-30,10334.0,10343.0,10333.0,10335.0,48257376783,4672147,1571,10328.0,10337.0
6,2021-08-31,10340.0,10351.0,10339.0,10343.0,37928364569,3669341,1074,10335.0,10348.0
7,2021-09-01,10357.0,10357.0,10348.0,10356.0,57007480361,5507888,978,10343.0,10357.0
8,2021-09-04,10375.0,10375.0,10363.0,10367.0,40786236956,3936576,1039,10356.0,10375.0
9,2021-09-05,10370.0,10380.0,10370.0,10372.0,23737773570,2289899,822,10367.0,10373.0
10,2021-09-06,10378.0,10378.0,10375.0,10375.0,117848648266,11365365,1702,10372.0,10375.0
11,2021-09-07,10381.0,10388.0,10381.0,10383.0,26368664573,2541155,1410,10375.0,10386.0
12,2021-09-08,10387.0,10399.0,10387.0,10397.0,22474358869,2162945,1037,10383.0,10397.0
13,2021-09-11,10406.0,10417.0,10406.0,10416.0,54426219359,5228040,543,10397.0,10417.0
14,2021-09-12,10423.0,10423.0,10417.0,10422.0,40431388756,3881505,770,10416.0,10423.0
15,2021-09-13,10429.0,10429.0,10418.0,10426.0,25521357648,2449217,768,10422.0,10423.0
16,2021-09-14,10423.0,10426.0,10423.0,10424.0,37402842041,3590294,1200,10426.0,10423.0
17,2021-09-15,10429.0,10441.0,10429.0,10433.0,28447089248,2728196,795,10424.0,10441.0
18,2021-09-18,10447.0,10460.0,10447.0,10456.0,22324203329,2136379,493,10433.0,10460.0
19,2021-09-19,10456.0,10466.0,10453.0,10460.0,46341100284,4433011,520,10456.0,10466.0
20,2021-09-20,10472.0,10472.0,10459.0,10467.0,16078642255,1537021,338,10460.0,10472.0
21,2021-09-21,10477.0,10478.0,10476.0,10478.0,45586046428,4353215,520,10467.0,10478.0
22,2021-09-22,10485.0,10485.0,10480.0,10485.0,38921959915,3714431,671,10478.0,10483.0
23,2021-09-25,10025.0,10025.0,10022.0,10025.0,100708499149,10052104,1458,10485.0,10025.0
24,2021-09-26,10025.0,10030.0,10020.0,10027.0,49538750972,4943478,878,10025.0,10029.0
25,2021-09-28,10041.0,10042.0,10028.0,10032.0,37849911307,3775334,760,10027.0,10031.0
26,2021-09-29,10041.0,10046.0,10035.0,10040.0,25057529833,2497283,676,10032.0,10044.0
27,2021-10-02,10051.0,10061.0,10050.0,10052.0,44459882512,4425826,753,10040.0,10057.0
28,2021-10-03,10068.0,10070.0,10060.0,10070.0,33268784730,3305860,537,10052.0,10070.0
29,2021-10-04,10071.0,10075.0,10071.0,10075.0,86781588135,8618846,630,10070.0,10075.0
30,2021-10-06,10077.0,10087.0,10077.0,10086.0,20951589113,2078480,429,10075.0,10087.0
31,2021-10-09,10093.0,10104.0,10093.0,10103.0,33566633125,3324415,461,10086.0,10104.0
