,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2002-09-17,329.0,329.0,329.0,329.0,1050000,1000,1,329.0,329.0
1,2002-09-17,329.0,329.0,329.0,329.0,1050000,1000,1,329.0,329.0
2,2002-10-28,346.0,346.0,346.0,346.0,5946392,5396,4,329.0,346.0
3,2002-10-28,363.0,363.0,363.0,363.0,5946392,5396,4,346.0,363.0
4,2002-11-05,364.0,364.0,364.0,364.0,1935499000,1750000,6,363.0,364.0
5,2002-11-05,365.0,365.0,365.0,365.0,1935499000,1750000,6,364.0,365.0
6,2002-11-06,365.0,365.0,365.0,365.0,1106000,1000,1,365.0,365.0
7,2002-11-06,365.0,365.0,365.0,365.0,1106000,1000,1,365.0,365.0
8,2003-04-07,365.0,365.0,365.0,365.0,165900,150,3,365.0,365.0
9,2003-04-07,365.0,365.0,365.0,365.0,165900,150,3,365.0,365.0
10,2003-04-26,365.0,365.0,365.0,365.0,2763894,2499,1,365.0,365.0
11,2003-04-26,365.0,365.0,365.0,365.0,2763894,2499,1,365.0,365.0
12,2003-08-09,365.0,365.0,365.0,365.0,235578,213,1,365.0,365.0
13,2003-08-09,365.0,365.0,365.0,365.0,235578,213,1,365.0,365.0
14,2003-12-29,330.0,330.0,330.0,330.0,100000,100,1,365.0,330.0
15,2003-12-29,299.0,299.0,299.0,299.0,100000,100,1,330.0,299.0
16,2004-01-13,299.0,299.0,299.0,299.0,586130000,586130,1,299.0,299.0
17,2004-01-13,299.0,299.0,299.0,299.0,586130000,586130,1,299.0,299.0
18,2004-02-15,299.0,299.0,299.0,299.0,2499000,2499,1,299.0,299.0
19,2004-02-15,299.0,299.0,299.0,299.0,2499000,2499,1,299.0,299.0
20,2004-04-03,314.0,314.0,299.0,299.0,208450,199,2,299.0,299.0
21,2004-04-03,314.0,314.0,299.0,299.0,208450,199,2,299.0,299.0
22,2004-04-05,314.0,314.0,307.0,307.0,5806270,5530,2,299.0,307.0
23,2004-04-05,322.0,322.0,315.0,315.0,5806270,5530,2,307.0,315.0
24,2004-05-22,319.0,319.0,319.0,319.0,196560,189,1,315.0,319.0
25,2004-05-22,323.0,323.0,323.0,323.0,196560,189,1,319.0,323.0
26,2004-10-03,373.0,373.0,373.0,373.0,1200000,1000,1,323.0,373.0
27,2004-10-03,430.0,430.0,430.0,430.0,1200000,1000,1,373.0,430.0
28,2004-10-06,452.0,452.0,434.0,434.0,3090290,2453,2,430.0,434.0
29,2004-10-06,456.0,456.0,438.0,438.0,3090290,2453,2,434.0,438.0
30,2004-10-11,460.0,460.0,442.0,442.0,3188449,2509,4,438.0,442.0
31,2004-10-11,464.0,464.0,446.0,446.0,3188449,2509,4,442.0,446.0
32,2004-12-01,468.0,468.0,449.0,449.0,1935507,1509,3,446.0,449.0
33,2004-12-01,471.0,471.0,451.0,451.0,1935507,1509,3,449.0,451.0
34,2004-12-20,474.0,474.0,451.0,451.0,38090,30,2,451.0,451.0
35,2004-12-20,474.0,474.0,451.0,451.0,38090,30,2,451.0,451.0
36,2004-12-28,474.0,474.0,420.0,453.0,118590405,103445,249,451.0,453.0
37,2004-12-28,475.0,475.0,422.0,454.0,118590405,103445,249,453.0,454.0
38,2004-12-29,1363.0,1547.0,454.0,454.0,15431311830,4115044,4,454.0,454.0
39,2004-12-29,1363.0,1547.0,454.0,454.0,15431311830,4115044,4,454.0,454.0
40,2005-01-05,477.0,477.0,472.0,472.0,12952800,10010,6,454.0,472.0
41,2005-01-05,495.0,495.0,490.0,490.0,12952800,10010,6,472.0,490.0
42,2005-01-11,514.0,514.0,493.0,493.0,2700890,2010,2,490.0,493.0
43,2005-01-11,518.0,518.0,496.0,496.0,2700890,2010,2,493.0,496.0
44,2005-02-15,521.0,521.0,521.0,521.0,75491988,55796,18,496.0,521.0
45,2005-02-15,547.0,547.0,547.0,547.0,75491988,55796,18,521.0,547.0
46,2005-02-22,574.0,574.0,550.0,550.0,2142180,1509,2,547.0,550.0
47,2005-02-22,577.0,577.0,553.0,553.0,2142180,1509,2,550.0,553.0
48,2005-03-02,580.0,580.0,580.0,580.0,18564000,13000,6,553.0,580.0
49,2005-03-02,609.0,609.0,609.0,609.0,18564000,13000,6,580.0,609.0
50,2005-03-05,640.0,640.0,640.0,640.0,19487000,13000,4,609.0,640.0
51,2005-03-05,671.0,671.0,671.0,671.0,19487000,13000,4,640.0,671.0
52,2005-03-06,704.0,704.0,704.0,704.0,20449000,13000,4,671.0,704.0
53,2005-03-06,739.0,739.0,739.0,739.0,20449000,13000,4,704.0,739.0
54,2005-03-07,776.0,776.0,776.0,776.0,22225762,13462,11,739.0,776.0
55,2005-03-07,814.0,814.0,814.0,814.0,22225762,13462,11,776.0,814.0
56,2005-03-08,855.0,855.0,855.0,855.0,25995000,15000,2,814.0,855.0
57,2005-03-08,897.0,897.0,897.0,897.0,25995000,15000,2,855.0,897.0
58,2005-03-09,942.0,942.0,935.0,935.0,20027050,11010,3,897.0,935.0
59,2005-03-09,981.0,981.0,973.0,973.0,20027050,11010,3,935.0,973.0
60,2005-03-12,1022.0,1022.0,1011.0,1011.0,18968740,10010,3,973.0,1011.0
61,2005-03-12,1061.0,1061.0,1049.0,1049.0,18968740,10010,3,1011.0,1049.0
62,2005-03-13,1101.0,1101.0,1101.0,1101.0,25571000,13000,4,1049.0,1101.0
63,2005-03-13,1156.0,1156.0,1156.0,1156.0,25571000,13000,4,1101.0,1156.0
64,2005-03-14,1214.0,1214.0,1214.0,1214.0,26845000,13000,11,1156.0,1214.0
65,2005-03-14,1274.0,1274.0,1274.0,1274.0,26845000,13000,11,1214.0,1274.0
66,2005-03-15,1338.0,1338.0,1323.0,1323.0,21701440,10010,5,1274.0,1323.0
67,2005-03-15,1389.0,1389.0,1373.0,1373.0,21701440,10010,5,1323.0,1373.0
68,2005-03-16,1442.0,1442.0,1442.0,1442.0,34933269,15519,6,1373.0,1442.0
69,2005-03-16,1514.0,1514.0,1514.0,1514.0,34933269,15519,6,1442.0,1514.0
70,2005-03-26,1589.0,1589.0,1589.0,1589.0,33318300,14100,13,1514.0,1589.0
71,2005-03-26,1668.0,1668.0,1668.0,1668.0,33318300,14100,13,1589.0,1668.0
72,2005-03-27,1752.0,1752.0,1675.0,1675.0,2504720,1010,3,1668.0,1675.0
73,2005-03-27,1758.0,1758.0,1681.0,1681.0,2504720,1010,3,1675.0,1681.0
74,2005-03-29,1765.0,1765.0,1765.0,1765.0,54780000,22000,11,1681.0,1765.0
75,2005-03-29,1852.0,1852.0,1852.0,1852.0,54780000,22000,11,1765.0,1852.0
76,2005-03-30,1945.0,1945.0,1945.0,1945.0,130700000,50000,11,1852.0,1945.0
77,2005-03-30,2042.0,2042.0,2042.0,2042.0,130700000,50000,11,1945.0,2042.0
78,2005-04-04,2143.0,2143.0,2045.0,2045.0,1260980,460,5,2042.0,2045.0
79,2005-04-04,2146.0,2146.0,2048.0,2048.0,1260980,460,5,2045.0,2048.0
80,2005-04-10,2149.0,2149.0,2149.0,2149.0,74196000,27000,9,2048.0,2149.0
81,2005-04-10,2256.0,2256.0,2256.0,2256.0,74196000,27000,9,2149.0,2256.0
82,2005-04-12,2369.0,2369.0,2369.0,2369.0,57700000,20000,16,2256.0,2369.0
83,2005-04-12,2487.0,2487.0,2487.0,2487.0,57700000,20000,16,2369.0,2487.0
84,2005-04-13,2611.0,2611.0,2611.0,2611.0,130852800,43200,25,2487.0,2611.0
85,2005-04-13,2741.0,2741.0,2741.0,2741.0,130852800,43200,25,2611.0,2741.0
86,2005-11-01,2487.0,2487.0,905.0,1781.0,65660951,33357,20,2741.0,1781.0
87,2005-11-01,1616.0,1616.0,588.0,1157.0,65660951,33357,20,1781.0,1157.0
88,2005-11-02,1176.0,1176.0,1161.0,1161.0,4963740,2482,3,1157.0,1161.0
89,2005-11-02,1180.0,1180.0,1164.0,1164.0,4963740,2482,3,1161.0,1164.0
90,2005-11-06,1150.0,1163.0,1150.0,1163.0,1794220,920,3,1164.0,1163.0
91,2005-11-06,1149.0,1162.0,1149.0,1162.0,1794220,920,3,1163.0,1162.0
92,2005-11-08,1178.0,1178.0,1162.0,1162.0,219720,110,2,1162.0,1162.0
93,2005-11-08,1178.0,1178.0,1162.0,1162.0,219720,110,2,1162.0,1162.0
94,2005-11-12,1220.0,1220.0,1171.0,1171.0,4159870,2010,4,1162.0,1171.0
95,2005-11-12,1229.0,1229.0,1180.0,1180.0,4159870,2010,4,1171.0,1180.0
96,2005-11-14,1187.0,1187.0,1180.0,1180.0,2019880,1010,2,1180.0,1180.0
97,2005-11-14,1188.0,1188.0,1181.0,1181.0,2019880,1010,2,1180.0,1181.0
98,2005-11-15,1240.0,1240.0,1181.0,1181.0,541640,260,4,1181.0,1181.0
99,2005-11-15,1240.0,1240.0,1182.0,1182.0,541640,260,4,1181.0,1182.0
100,2005-11-16,1190.0,1241.0,1189.0,1215.0,24964058,12179,9,1182.0,1215.0
101,2005-11-16,1224.0,1276.0,1222.0,1249.0,24964058,12179,9,1215.0,1249.0
102,2005-11-21,1277.0,1312.0,1277.0,1306.0,31149671,14563,10,1249.0,1306.0
103,2005-11-21,1335.0,1371.0,1335.0,1366.0,31149671,14563,10,1306.0,1366.0
104,2005-11-27,1433.0,1433.0,1403.0,1403.0,16026168,7142,4,1366.0,1403.0
105,2005-11-27,1472.0,1472.0,1441.0,1441.0,16026168,7142,4,1403.0,1441.0
106,2005-12-04,1512.0,1512.0,1451.0,1451.0,4632120,2010,2,1441.0,1451.0
107,2005-12-04,1523.0,1523.0,1462.0,1462.0,4632120,2010,2,1451.0,1462.0
108,2005-12-05,1535.0,1535.0,1535.0,1535.0,34830000,15000,2,1462.0,1535.0
109,2005-12-05,1611.0,1611.0,1611.0,1611.0,34830000,15000,2,1535.0,1611.0
110,2005-12-06,1691.0,1691.0,1616.0,1616.0,2322334,953,2,1611.0,1616.0
111,2005-12-06,1697.0,1697.0,1622.0,1622.0,2322334,953,2,1616.0,1622.0
112,2005-12-11,1703.0,1703.0,1627.0,1627.0,2070672,847,3,1622.0,1627.0
113,2005-12-11,1708.0,1708.0,1632.0,1632.0,2070672,847,3,1627.0,1632.0
114,2005-12-14,1713.0,1713.0,1633.0,1633.0,837786,342,2,1632.0,1633.0
115,2005-12-14,1714.0,1714.0,1635.0,1635.0,837786,342,2,1633.0,1635.0
116,2005-12-17,1716.0,1716.0,1716.0,1716.0,36825000,15000,2,1635.0,1716.0
117,2005-12-17,1801.0,1801.0,1801.0,1801.0,36825000,15000,2,1716.0,1801.0
118,2005-12-18,1885.0,1885.0,1810.0,1810.0,3879680,1510,2,1801.0,1810.0
119,2005-12-18,1895.0,1895.0,1820.0,1820.0,3879680,1510,2,1810.0,1820.0
120,2005-12-19,1911.0,1911.0,1911.0,1911.0,33683000,13000,5,1820.0,1911.0
121,2005-12-19,2006.0,2006.0,2006.0,2006.0,33683000,13000,5,1911.0,2006.0
122,2005-12-21,2106.0,2106.0,2106.0,2106.0,35360000,13000,2,2006.0,2106.0
123,2005-12-21,2210.0,2210.0,2210.0,2210.0,35360000,13000,2,2106.0,2210.0
124,2005-12-24,2321.0,2321.0,2253.0,2253.0,14307720,5010,2,2210.0,2253.0
125,2005-12-24,2365.0,2365.0,2296.0,2296.0,14307720,5010,2,2253.0,2296.0
126,2005-12-25,2410.0,2410.0,2410.0,2410.0,48003360,16496,8,2296.0,2410.0
127,2005-12-25,2530.0,2530.0,2530.0,2530.0,48003360,16496,8,2410.0,2530.0
128,2005-12-26,2656.0,2656.0,2656.0,2656.0,52301600,17120,10,2530.0,2656.0
129,2005-12-26,2788.0,2788.0,2788.0,2788.0,52301600,17120,10,2656.0,2788.0
130,2005-12-27,2927.0,2927.0,2927.0,2927.0,153936000,48000,13,2788.0,2927.0
131,2005-12-27,3073.0,3073.0,3073.0,3073.0,153936000,48000,13,2927.0,3073.0
132,2005-12-28,3226.0,3226.0,3073.0,3207.0,506230788,151249,49,3073.0,3207.0
133,2005-12-28,3367.0,3367.0,3207.0,3347.0,506230788,151249,49,3207.0,3347.0
134,2007-07-31,3347.0,3347.0,3347.0,3347.0,3347,1,1,3347.0,3347.0
135,2007-07-31,3347.0,3347.0,3347.0,3347.0,3347,1,1,3347.0,3347.0
