,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-03-13,8.0,8.0,8.0,8.0,2200000000,1000000,100,3.0,8.0
1,2013-03-17,8.0,8.0,8.0,8.0,92180000000,41900000,4190,8.0,8.0
2,2013-03-18,8.0,8.0,8.0,8.0,16225000000,7375000,739,8.0,8.0
3,2013-04-09,8.0,8.0,8.0,8.0,1100000000,500000,50,8.0,8.0
4,2013-04-15,8.0,8.0,8.0,8.0,110000,50,1,8.0,8.0
5,2013-04-20,7.0,7.0,7.0,7.0,10450000000,5000000,500,8.0,7.0
6,2013-04-28,7.0,7.0,7.0,7.0,2047800000,1000000,1810,7.0,7.0
7,2013-05-07,7.0,7.0,7.0,7.0,14190235472,6984739,716,7.0,7.0
8,2013-06-11,7.0,7.0,7.0,7.0,965500,500,1,7.0,7.0
9,2013-06-15,7.0,7.0,7.0,7.0,1102854110,571427,60,7.0,7.0
10,2013-06-26,7.0,7.0,7.0,7.0,1526169200,802510,1602,7.0,7.0
11,2013-06-29,6.0,6.0,6.0,6.0,48166928,26641,8,7.0,6.0
12,2013-06-30,6.0,6.0,6.0,6.0,2992256600,1617436,298,6.0,6.0
13,2013-07-06,7.0,7.0,6.0,7.0,273453005,142855,23,6.0,6.0
14,2013-07-14,7.0,7.0,7.0,7.0,17534552,8728,2,7.0,7.0
15,2013-07-16,7.0,7.0,7.0,7.0,1394264510,693771,81,7.0,7.0
16,2013-07-17,7.0,7.0,7.0,7.0,3165000,1500,1,7.0,7.0
17,2013-08-20,9.0,9.0,9.0,8.0,230000000,100000,10,7.0,9.0
18,2013-09-08,8.0,8.0,8.0,8.0,1057000,500,1,8.0,8.0
19,2013-09-15,10.0,10.0,10.0,8.0,2500000,1000,1,8.0,10.0
20,2013-09-21,12.0,12.0,12.0,10.0,175500000,58500,54,8.0,12.0
21,2013-11-19,14.0,14.0,14.0,11.0,131289000,107000,11,10.0,14.0
22,2013-11-20,16.0,16.0,16.0,12.0,136300000,100000,10,11.0,16.0
23,2013-11-25,18.0,18.0,18.0,12.0,75300000,50000,5,12.0,18.0
24,2013-11-26,18.0,18.0,18.0,14.0,161265456,101809,18,12.0,18.0
25,2013-11-27,20.0,20.0,20.0,18.0,543120000,310000,32,14.0,20.0
26,2013-11-30,19.0,19.0,19.0,19.0,3244000,2000,1,18.0,19.0
27,2013-12-01,20.0,20.0,20.0,20.0,8515000,5000,1,19.0,20.0
28,2013-12-03,21.0,21.0,21.0,21.0,58662492,32809,11,20.0,21.0
29,2013-12-04,22.0,22.0,22.0,22.0,175124100,93300,17,21.0,22.0
30,2013-12-08,23.0,23.0,23.0,23.0,37430000,19000,7,22.0,23.0
31,2013-12-09,24.0,24.0,24.0,24.0,80652000,39000,8,23.0,24.0
