,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,437.0,437.0,437.0,437.0,33608153,6621,15,0.0,437.0
1,2001-03-26,437.0,437.0,431.0,431.0,97802060,19360,16,437.0,431.0
2,2001-03-27,431.0,436.0,430.0,436.0,273181440,54528,50,431.0,436.0
3,2001-03-28,435.0,436.0,433.0,436.0,87493040,17326,24,436.0,436.0
4,2001-03-31,436.0,436.0,434.0,436.0,169651859,33528,28,436.0,436.0
5,2001-04-03,436.0,436.0,436.0,436.0,7229829,1427,6,436.0,436.0
6,2001-04-07,436.0,436.0,435.0,435.0,24290536,4798,12,436.0,435.0
7,2001-04-08,433.0,436.0,433.0,435.0,205576874,40678,61,435.0,435.0
8,2001-04-09,434.0,439.0,434.0,439.0,277940709,54770,74,435.0,439.0
9,2001-04-10,439.0,442.0,439.0,440.0,1190955662,232564,84,439.0,440.0
10,2001-04-11,440.0,440.0,439.0,440.0,485154249,95079,92,440.0,440.0
11,2001-04-14,440.0,442.0,439.0,442.0,586259588,114711,128,440.0,442.0
12,2001-04-15,442.0,446.0,441.0,442.0,789677616,153551,143,442.0,442.0
13,2001-04-16,442.0,447.0,439.0,444.0,1338764197,260550,102,442.0,444.0
14,2001-04-17,444.0,456.0,444.0,444.0,1806530474,346812,188,444.0,444.0
15,2001-04-18,447.0,459.0,444.0,452.0,1001036127,190180,134,444.0,452.0
16,2001-04-21,454.0,475.0,454.0,469.0,446776780,82488,115,452.0,469.0
17,2001-04-22,469.0,470.0,466.0,470.0,535950384,98376,132,469.0,470.0
18,2001-04-23,470.0,474.0,470.0,473.0,6003082600,1091862,160,470.0,473.0
19,2001-04-24,473.0,491.0,472.0,482.0,8691824825,1552433,147,473.0,482.0
20,2001-04-25,486.0,506.0,483.0,503.0,693803071,120399,115,482.0,503.0
21,2001-04-28,516.0,516.0,508.0,508.0,837256667,140658,136,503.0,508.0
22,2001-04-29,508.0,511.0,507.0,508.0,930373098,157474,141,508.0,508.0
23,2001-04-30,509.0,509.0,507.0,508.0,548222140,92846,105,508.0,508.0
24,2001-05-01,508.0,508.0,292.0,497.0,881597244,167075,220,508.0,497.0
25,2001-05-02,497.0,497.0,482.0,489.0,481328083,84769,94,497.0,489.0
26,2001-05-05,489.0,491.0,485.0,491.0,633857118,112031,98,489.0,491.0
27,2001-05-06,491.0,494.0,491.0,491.0,564652503,98878,102,491.0,491.0
28,2001-05-07,491.0,499.0,491.0,497.0,484417482,84394,83,491.0,497.0
29,2001-05-08,499.0,516.0,498.0,508.0,1638357222,278416,182,497.0,508.0
30,2001-05-09,508.0,512.0,508.0,509.0,416208655,70424,90,508.0,509.0
31,2001-05-12,509.0,510.0,508.0,510.0,504737029,85332,91,509.0,510.0
32,2001-05-13,510.0,510.0,505.0,507.0,509486920,86384,78,510.0,507.0
33,2001-05-15,507.0,507.0,500.0,501.0,559378190,95837,90,507.0,501.0
34,2001-05-16,500.0,501.0,499.0,501.0,1203371320,207275,124,501.0,501.0
35,2001-05-19,503.0,516.0,499.0,516.0,1238234213,210118,136,501.0,516.0
36,2001-05-20,516.0,542.0,508.0,516.0,3967032004,638030,237,516.0,516.0
37,2001-05-21,517.0,534.0,517.0,521.0,562747197,92912,73,516.0,521.0
38,2001-05-23,521.0,528.0,521.0,525.0,623207993,102227,98,521.0,525.0
39,2001-05-26,526.0,528.0,525.0,528.0,336786777,55135,88,525.0,528.0
40,2001-05-27,527.0,529.0,525.0,529.0,582489172,95004,111,528.0,529.0
41,2001-05-28,529.0,532.0,528.0,529.0,626570325,101868,123,529.0,529.0
42,2001-05-29,526.0,530.0,525.0,530.0,730602209,118958,83,529.0,530.0
43,2001-05-30,533.0,534.0,530.0,534.0,1792117389,289064,136,530.0,534.0
44,2001-06-02,534.0,534.0,531.0,534.0,309773001,50027,81,534.0,534.0
45,2001-06-03,534.0,534.0,531.0,534.0,645078063,104347,98,534.0,534.0
46,2001-06-06,532.0,534.0,532.0,533.0,323610002,52276,86,534.0,533.0
47,2001-06-09,533.0,534.0,529.0,533.0,587987172,95251,102,533.0,533.0
48,2001-06-11,532.0,535.0,532.0,534.0,1473391641,237507,127,533.0,534.0
49,2001-06-12,534.0,536.0,532.0,534.0,952154740,153664,129,534.0,534.0
50,2001-06-13,534.0,534.0,533.0,533.0,973790390,157041,131,534.0,533.0
51,2001-06-16,533.0,533.0,531.0,533.0,758854243,122783,120,533.0,533.0
52,2001-06-17,532.0,537.0,532.0,535.0,5335184219,859073,144,533.0,535.0
53,2001-06-18,532.0,536.0,532.0,536.0,834201485,134337,122,535.0,536.0
54,2001-06-19,536.0,536.0,534.0,534.0,649555927,104515,93,536.0,534.0
55,2001-06-20,534.0,542.0,532.0,542.0,1202325009,192275,119,534.0,542.0
56,2001-06-23,542.0,547.0,542.0,547.0,836583091,131875,143,542.0,547.0
57,2001-06-24,547.0,547.0,541.0,542.0,535739681,84486,92,547.0,542.0
58,2001-06-25,542.0,542.0,538.0,540.0,339844517,54120,71,542.0,540.0
59,2001-06-26,534.0,541.0,534.0,540.0,1535735267,245001,168,540.0,540.0
