,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2009-05-18,4.0,4.0,4.0,4.0,737313616800,612322042,1632,3.0,4.0
1,2009-05-19,4.0,4.0,4.0,4.0,181017205080,145981617,3938,4.0,4.0
2,2009-05-20,4.0,4.0,4.0,4.0,131954707643,103791602,5598,4.0,4.0
3,2009-05-23,5.0,5.0,4.0,4.0,17314104651,13641791,1129,4.0,4.0
4,2009-05-24,4.0,4.0,4.0,4.0,158824644494,126463300,6182,4.0,4.0
5,2009-05-25,4.0,4.0,4.0,4.0,36845487356,29336312,1377,4.0,4.0
6,2009-05-26,4.0,4.0,4.0,4.0,27565253218,21938798,1210,4.0,4.0
7,2009-05-27,4.0,4.0,4.0,4.0,6640717956,5252030,447,4.0,4.0
8,2009-05-30,4.0,4.0,4.0,4.0,11265636962,8891604,547,4.0,4.0
9,2009-05-31,4.0,4.0,4.0,4.0,31510197955,24984387,1246,4.0,4.0
10,2009-06-01,4.0,4.0,4.0,4.0,19544283445,15759128,1705,4.0,4.0
11,2009-06-02,4.0,4.0,4.0,4.0,20942873001,16889158,1450,4.0,4.0
12,2009-06-03,4.0,4.0,4.0,4.0,4644912535,3728915,307,4.0,4.0
13,2009-06-06,4.0,4.0,4.0,4.0,17268863877,13926707,2085,4.0,4.0
14,2009-06-07,4.0,4.0,4.0,4.0,21417889521,17274139,2752,4.0,4.0
15,2009-06-08,4.0,4.0,4.0,4.0,18921635318,15259974,2628,4.0,4.0
16,2009-06-09,4.0,4.0,4.0,4.0,26513593630,21397315,3405,4.0,4.0
17,2009-06-10,4.0,4.0,4.0,4.0,17009085917,13715539,2347,4.0,4.0
18,2009-06-13,4.0,4.0,4.0,4.0,13146819975,10650085,2445,4.0,4.0
19,2009-06-14,4.0,4.0,4.0,4.0,14197132074,11675966,2000,4.0,4.0
20,2009-06-15,4.0,4.0,4.0,4.0,27931304118,23280888,3847,4.0,4.0
21,2009-06-16,4.0,4.0,4.0,4.0,4037212099,3465616,516,4.0,4.0
22,2009-06-17,4.0,4.0,4.0,4.0,2089729052,1792116,231,4.0,4.0
23,2009-06-20,4.0,4.0,4.0,4.0,2844444431,2434055,369,4.0,4.0
24,2009-06-21,4.0,4.0,4.0,4.0,1321956988,1129370,175,4.0,4.0
25,2009-06-22,4.0,4.0,4.0,4.0,694842579,586908,68,4.0,4.0
26,2009-06-23,4.0,4.0,4.0,4.0,1386576976,1167837,99,4.0,4.0
27,2009-06-24,4.0,4.0,4.0,4.0,1871316772,1549201,89,4.0,4.0
28,2009-06-27,4.0,4.0,4.0,4.0,2034796954,1663798,88,4.0,4.0
29,2009-06-28,4.0,4.0,4.0,4.0,9206639525,7436760,964,4.0,4.0
30,2009-06-29,4.0,4.0,4.0,4.0,6869097560,5535261,1058,4.0,4.0
31,2009-06-30,4.0,4.0,4.0,4.0,4022206818,3210263,579,4.0,4.0
32,2009-07-01,4.0,4.0,4.0,4.0,2224321320,1780855,121,4.0,4.0
33,2009-07-04,4.0,4.0,4.0,4.0,10100199357,8148131,848,4.0,4.0
34,2009-07-05,4.0,4.0,4.0,4.0,8316427732,6667604,775,4.0,4.0
35,2009-07-07,4.0,4.0,4.0,4.0,2062950282,1650729,308,4.0,4.0
36,2009-07-11,4.0,4.0,4.0,4.0,8726471950,6932980,1183,4.0,4.0
37,2009-07-12,4.0,4.0,4.0,4.0,5984268689,4740895,649,4.0,4.0
38,2009-07-14,4.0,5.0,4.0,4.0,25433088973,19794781,1105,4.0,5.0
39,2009-07-15,5.0,5.0,5.0,5.0,40469848218,31224484,816,4.0,5.0
40,2009-07-18,5.0,5.0,4.0,5.0,57967278497,44745489,2282,5.0,5.0
41,2009-07-19,5.0,5.0,5.0,5.0,13883808785,10628371,666,5.0,5.0
42,2009-07-26,5.0,5.0,5.0,5.0,7000975408,6405665,408,5.0,5.0
43,2009-07-27,4.0,5.0,4.0,4.0,12681788863,11885187,840,5.0,4.0
44,2009-07-28,4.0,5.0,4.0,4.0,5277273494,4941513,649,4.0,4.0
45,2009-07-29,4.0,5.0,4.0,4.0,3553852312,3321859,424,4.0,5.0
46,2009-08-01,4.0,4.0,4.0,4.0,2665618363,2492608,358,4.0,4.0
47,2009-08-02,4.0,5.0,4.0,4.0,3675489915,3431005,533,4.0,4.0
48,2009-08-03,4.0,5.0,4.0,4.0,3879473262,3618769,568,4.0,4.0
49,2009-08-04,4.0,5.0,4.0,4.0,2687798756,2500059,342,4.0,5.0
50,2009-08-05,5.0,5.0,4.0,5.0,5546570880,5154594,462,4.0,5.0
51,2009-08-08,5.0,5.0,4.0,5.0,3529457197,3277020,199,5.0,5.0
52,2009-08-09,5.0,5.0,5.0,5.0,4833000345,4466521,235,5.0,5.0
