,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-12-01,253.0,254.0,250.0,252.0,2043704958,1440000,377,253.0,252.0
1,2003-12-02,264.0,264.0,264.0,264.0,52115000,35000,17,252.0,264.0
2,2003-12-03,277.0,277.0,277.0,277.0,171930000,110000,38,264.0,277.0
3,2003-12-07,291.0,291.0,291.0,291.0,292283433,178113,63,277.0,291.0
4,2003-12-08,306.0,306.0,306.0,306.0,536299257,311259,88,291.0,306.0
5,2003-12-09,321.0,321.0,321.0,321.0,3813574608,2108112,415,306.0,321.0
6,2003-12-10,337.0,337.0,323.0,337.0,1188775647,626043,145,321.0,337.0
7,2003-12-13,353.0,353.0,337.0,353.0,1318326535,662590,172,337.0,353.0
8,2003-12-14,353.0,370.0,337.0,361.0,937511257,460679,147,353.0,361.0
9,2003-12-15,361.0,361.0,343.0,349.0,251492152,127777,60,361.0,349.0
10,2003-12-16,335.0,353.0,332.0,338.0,332155583,174200,63,349.0,338.0
11,2003-12-17,337.0,337.0,325.0,333.0,88822068,47229,22,338.0,333.0
12,2003-12-21,329.0,329.0,317.0,317.0,52396580,29288,15,333.0,317.0
13,2003-12-22,303.0,333.0,301.0,316.0,158729884,88927,39,317.0,316.0
14,2003-12-23,332.0,332.0,332.0,332.0,75916436,40532,9,316.0,332.0
15,2003-12-24,349.0,349.0,348.0,348.0,436633274,222124,50,332.0,348.0
16,2003-12-27,350.0,355.0,339.0,349.0,358203514,181797,41,348.0,349.0
17,2003-12-28,355.0,362.0,349.0,355.0,518086794,258580,67,349.0,355.0
18,2003-12-29,360.0,360.0,351.0,356.0,430102045,214108,51,355.0,356.0
19,2003-12-30,354.0,355.0,344.0,353.0,138742992,69646,27,356.0,353.0
20,2003-12-31,355.0,355.0,336.0,344.0,274399553,141548,39,353.0,344.0
21,2004-01-03,355.0,355.0,339.0,341.0,411618161,214004,52,344.0,341.0
22,2004-01-04,354.0,355.0,339.0,342.0,770992254,400204,63,341.0,342.0
23,2004-01-05,342.0,346.0,328.0,339.0,444514634,232585,52,342.0,339.0
24,2004-01-12,353.0,383.0,353.0,375.0,786231824,371410,97,339.0,375.0
25,2004-01-28,375.0,375.0,375.0,375.0,4661548,2203,5,375.0,375.0
26,2004-01-31,390.0,390.0,375.0,380.0,339620534,158649,49,375.0,380.0
27,2004-02-01,376.0,381.0,376.0,380.0,32618028,15188,8,380.0,380.0
28,2004-02-03,373.0,378.0,361.0,378.0,10321660,4921,9,380.0,378.0
29,2004-02-04,361.0,378.0,361.0,378.0,1231288,604,2,378.0,378.0
30,2004-02-07,359.0,377.0,359.0,377.0,2005760,990,2,378.0,377.0
31,2004-02-08,358.0,375.0,358.0,375.0,4061170,2010,2,377.0,375.0
32,2004-02-09,357.0,359.0,357.0,359.0,42322550,21035,7,375.0,359.0
33,2004-02-14,341.0,359.0,341.0,359.0,982220,510,2,359.0,359.0
34,2004-02-15,341.0,341.0,341.0,341.0,135430500,70500,15,359.0,341.0
35,2004-02-16,324.0,338.0,324.0,338.0,5758705,3155,7,341.0,338.0
36,2004-02-17,322.0,323.0,322.0,323.0,39904200,22010,8,338.0,323.0
37,2004-02-18,307.0,322.0,307.0,308.0,993992683,572843,109,323.0,308.0
38,2004-02-21,319.0,323.0,310.0,319.0,423538717,235623,37,308.0,319.0
39,2004-02-22,324.0,334.0,324.0,332.0,289069496,154326,36,319.0,332.0
40,2004-02-23,328.0,349.0,328.0,348.0,452938804,231020,63,332.0,348.0
41,2004-02-24,334.0,348.0,330.0,342.0,645058530,334749,72,348.0,342.0
42,2004-02-25,348.0,359.0,348.0,355.0,394192370,196778,42,342.0,355.0
43,2004-02-28,373.0,373.0,373.0,373.0,549791496,261432,57,355.0,373.0
44,2004-02-29,392.0,392.0,392.0,392.0,427431264,193583,58,373.0,392.0
45,2004-03-03,411.0,411.0,411.0,411.0,811564252,350114,94,392.0,411.0
46,2004-03-06,411.0,412.0,403.0,409.0,330764406,143479,39,411.0,409.0
47,2004-03-07,413.0,417.0,412.0,414.0,341100887,146166,47,409.0,414.0
48,2004-03-08,414.0,434.0,414.0,430.0,419917912,173177,37,414.0,430.0
49,2004-03-09,435.0,436.0,414.0,426.0,1049706345,436945,72,430.0,426.0
50,2004-03-10,427.0,447.0,422.0,433.0,441184196,180449,44,426.0,433.0
51,2004-03-13,455.0,455.0,447.0,452.0,317222514,124579,35,433.0,452.0
52,2004-03-14,474.0,474.0,455.0,471.0,1396803910,525635,101,452.0,471.0
53,2004-03-15,495.0,495.0,495.0,495.0,113199932,40588,15,471.0,495.0
54,2004-03-16,495.0,514.0,479.0,501.0,1375278974,482719,76,495.0,501.0
55,2004-03-17,502.0,503.0,497.0,501.0,885954196,313556,53,501.0,501.0
56,2004-03-27,504.0,504.0,480.0,495.0,96517013,34556,9,501.0,495.0
57,2004-03-28,471.0,474.0,471.0,474.0,55272384,20826,6,495.0,474.0
58,2004-03-29,450.0,461.0,450.0,452.0,434940530,170699,31,474.0,452.0
59,2004-03-30,443.0,449.0,429.0,435.0,393664630,160610,42,452.0,435.0
60,2004-04-03,435.0,456.0,435.0,454.0,242560274,94710,29,435.0,454.0
61,2004-04-04,477.0,477.0,468.0,476.0,420719986,156641,45,454.0,476.0
62,2004-04-05,476.0,488.0,457.0,477.0,561663582,208975,55,476.0,477.0
63,2004-04-06,480.0,494.0,470.0,477.0,1678095896,631330,50,477.0,477.0
64,2004-04-07,500.0,500.0,479.0,499.0,130292520,46300,22,477.0,499.0
65,2004-04-10,532.0,532.0,530.0,531.0,361150991,120660,27,499.0,531.0
66,2004-04-12,512.0,557.0,504.0,538.0,577624473,190260,66,531.0,538.0
67,2004-04-13,538.0,538.0,511.0,519.0,510754810,174369,32,538.0,519.0
68,2004-04-14,511.0,541.0,497.0,526.0,1232838367,415640,88,519.0,526.0
69,2004-04-17,550.0,552.0,525.0,547.0,537683196,174363,56,526.0,547.0
70,2004-04-18,574.0,574.0,574.0,574.0,400721178,123794,51,547.0,574.0
71,2004-04-21,603.0,603.0,603.0,603.0,117373716,34542,7,574.0,603.0
72,2004-04-24,633.0,633.0,601.0,632.0,3066721755,860121,205,603.0,632.0
73,2004-04-25,663.0,664.0,630.0,653.0,1862770905,505630,142,632.0,653.0
74,2004-04-26,686.0,686.0,686.0,686.0,2603585612,673109,139,653.0,686.0
75,2004-04-27,720.0,720.0,656.0,672.0,1048014684,276492,105,686.0,672.0
76,2004-04-28,672.0,692.0,658.0,673.0,1533132494,404032,106,672.0,673.0
77,2004-05-01,676.0,691.0,674.0,680.0,553442265,144306,57,673.0,680.0
78,2004-05-02,680.0,683.0,670.0,674.0,557198898,146546,50,680.0,674.0
79,2004-05-03,675.0,700.0,641.0,665.0,1615510127,436026,90,674.0,665.0
80,2004-05-04,698.0,698.0,682.0,696.0,195817160,49890,37,665.0,696.0
81,2004-05-05,731.0,731.0,731.0,731.0,190986720,46356,33,696.0,731.0
82,2004-05-08,767.0,767.0,748.0,748.0,63997734,14794,11,731.0,748.0
83,2004-06-07,798.0,887.0,497.0,792.0,1769361916,396178,153,748.0,792.0
84,2004-06-08,832.0,832.0,799.0,799.0,28647980,6110,7,792.0,799.0
85,2004-06-09,839.0,839.0,807.0,807.0,29219722,6174,11,799.0,807.0
86,2004-06-12,847.0,847.0,816.0,840.0,1798330746,379820,158,807.0,840.0
87,2004-06-13,830.0,837.0,798.0,801.0,594539644,131684,49,840.0,801.0
88,2004-06-14,816.0,816.0,761.0,793.0,2825296061,638772,183,801.0,793.0
89,2004-06-15,793.0,812.0,793.0,803.0,915529335,202282,72,793.0,803.0
90,2004-06-16,798.0,798.0,763.0,783.0,1453362638,329148,106,803.0,783.0
91,2004-06-19,780.0,782.0,744.0,748.0,1051605389,249298,83,783.0,748.0
92,2004-06-20,711.0,748.0,711.0,716.0,387516288,96033,45,748.0,716.0
93,2004-06-21,710.0,727.0,686.0,711.0,1285368231,320649,113,716.0,711.0
94,2004-06-22,711.0,745.0,711.0,729.0,899744955,218720,81,711.0,729.0
95,2004-06-23,744.0,766.0,742.0,747.0,1007030839,238969,59,729.0,747.0
96,2004-06-26,785.0,785.0,774.0,781.0,224760234,51063,28,747.0,781.0
97,2004-06-27,775.0,775.0,746.0,760.0,115777717,27157,27,781.0,760.0
98,2004-06-28,759.0,759.0,722.0,723.0,223806416,54873,16,760.0,723.0
99,2004-06-29,709.0,709.0,687.0,687.0,686109571,176989,59,723.0,687.0
100,2004-06-30,688.0,701.0,688.0,689.0,175228583,45084,29,687.0,689.0
101,2004-07-03,709.0,709.0,692.0,694.0,101592441,25905,13,689.0,694.0
102,2004-07-04,692.0,692.0,660.0,666.0,363442915,96788,44,694.0,666.0
103,2004-07-05,633.0,699.0,633.0,684.0,425337482,110286,51,666.0,684.0
104,2004-07-06,718.0,718.0,709.0,717.0,790500162,195393,76,684.0,717.0
105,2004-07-07,718.0,745.0,692.0,716.0,960525836,237986,67,717.0,716.0
106,2004-07-10,693.0,734.0,683.0,720.0,887696805,218781,72,716.0,720.0
107,2004-07-11,753.0,755.0,719.0,751.0,372572881,87977,51,720.0,751.0
108,2004-07-12,788.0,788.0,788.0,788.0,12582919335,2830803,455,751.0,788.0
109,2004-07-13,828.0,828.0,828.0,828.0,172641664,36992,33,788.0,828.0
110,2004-07-14,869.0,869.0,869.0,869.0,221744600,45254,18,828.0,869.0
111,2004-07-17,912.0,912.0,912.0,912.0,284240670,55246,22,869.0,912.0
112,2004-07-18,958.0,958.0,867.0,930.0,6081808975,1159571,376,912.0,930.0
113,2004-07-19,884.0,908.0,884.0,892.0,1196043664,237728,120,930.0,892.0
114,2004-07-20,937.0,937.0,909.0,928.0,2171167152,414667,109,892.0,928.0
115,2004-07-24,975.0,975.0,975.0,975.0,2292282672,417082,161,928.0,975.0
116,2004-07-25,1023.0,1023.0,1023.0,1023.0,710546650,123145,67,975.0,1023.0
117,2004-07-28,1023.0,1241.0,1023.0,1219.0,4174980416,607279,143,1023.0,1219.0
118,2004-07-31,1280.0,1280.0,1207.0,1265.0,4334097282,607597,208,1219.0,1265.0
119,2004-08-01,1241.0,1328.0,1215.0,1266.0,4312086179,608709,144,1265.0,1266.0
120,2004-08-02,1312.0,1329.0,1291.0,1328.0,1552935526,207433,75,1266.0,1328.0
121,2004-08-03,1383.0,1394.0,1339.0,1377.0,923994548,119003,55,1328.0,1377.0
122,2004-08-04,1446.0,1446.0,1446.0,1446.0,490611816,60183,27,1377.0,1446.0
123,2004-08-07,1518.0,1518.0,1374.0,1390.0,5146664997,656695,170,1446.0,1390.0
124,2004-08-08,1321.0,1371.0,1321.0,1325.0,896135961,119971,53,1390.0,1325.0
125,2004-08-09,1372.0,1373.0,1280.0,1330.0,2307849961,307630,137,1325.0,1330.0
126,2004-08-10,1358.0,1397.0,1332.0,1366.0,1067559671,138603,69,1330.0,1366.0
127,2004-08-11,1434.0,1434.0,1434.0,1434.0,1287919446,159258,57,1366.0,1434.0
128,2004-08-14,1506.0,1506.0,1363.0,1425.0,3261212319,405924,151,1434.0,1425.0
129,2004-08-15,1354.0,1397.0,1354.0,1354.0,1510085077,197807,98,1425.0,1354.0
130,2004-08-16,1354.0,1399.0,1349.0,1373.0,4317042781,560108,60,1354.0,1373.0
131,2004-08-17,1383.0,1401.0,1374.0,1390.0,963232572,122907,61,1373.0,1390.0
132,2004-08-18,1399.0,1399.0,1321.0,1359.0,603879254,78822,54,1390.0,1359.0
133,2004-08-21,1347.0,1347.0,1291.0,1297.0,528209047,72225,30,1359.0,1297.0
134,2004-08-22,1232.0,1241.0,1232.0,1233.0,1127666494,162213,72,1297.0,1233.0
135,2004-08-23,1241.0,1241.0,1206.0,1226.0,1071057283,154898,82,1233.0,1226.0
136,2004-08-24,1226.0,1286.0,1226.0,1254.0,720254037,101848,62,1226.0,1254.0
137,2004-08-25,1256.0,1317.0,1254.0,1310.0,1452257344,196672,66,1254.0,1310.0
138,2004-08-28,1375.0,1375.0,1375.0,1375.0,250522689,32313,19,1310.0,1375.0
139,2004-08-29,1444.0,1444.0,1444.0,1444.0,1448309500,177925,70,1375.0,1444.0
140,2004-08-31,1507.0,1507.0,1499.0,1507.0,1048028590,123307,43,1444.0,1507.0
141,2004-10-02,1432.0,1525.0,1432.0,1463.0,11893290587,1442114,362,1507.0,1463.0
142,2004-10-03,1477.0,1536.0,1474.0,1534.0,6105334713,705656,183,1463.0,1534.0
143,2004-10-04,1536.0,1536.0,1458.0,1467.0,2595624412,313749,176,1534.0,1467.0
144,2004-10-05,1467.0,1507.0,1433.0,1469.0,2512185085,303259,141,1467.0,1469.0
145,2004-10-06,1473.0,1542.0,1473.0,1524.0,3205357909,372928,148,1469.0,1524.0
146,2004-10-09,1600.0,1600.0,1541.0,1579.0,3053253598,342911,109,1524.0,1579.0
147,2004-10-10,1578.0,1579.0,1501.0,1543.0,2791366971,320758,106,1579.0,1543.0
148,2004-10-11,1525.0,1552.0,1490.0,1526.0,1761468426,204675,109,1543.0,1526.0
149,2004-10-12,1543.0,1550.0,1526.0,1542.0,954632766,109777,75,1526.0,1542.0
150,2004-10-13,1543.0,1570.0,1541.0,1556.0,2185440153,249093,110,1542.0,1556.0
151,2004-10-16,1561.0,1596.0,1560.0,1579.0,2948454830,331073,133,1556.0,1579.0
152,2004-10-17,1596.0,1640.0,1577.0,1615.0,1057298107,116115,73,1579.0,1615.0
153,2004-10-18,1630.0,1649.0,1543.0,1608.0,2687501332,296330,131,1615.0,1608.0
154,2004-10-19,1608.0,1612.0,1543.0,1588.0,1322163227,147660,75,1608.0,1588.0
155,2004-10-20,1588.0,1591.0,1509.0,1566.0,843782681,95573,69,1588.0,1566.0
156,2004-10-23,1553.0,1614.0,1553.0,1588.0,1118866024,124923,77,1566.0,1588.0
157,2004-10-24,1596.0,1596.0,1570.0,1582.0,530576802,59480,41,1588.0,1582.0
158,2004-10-25,1573.0,1578.0,1573.0,1575.0,514595181,57945,33,1582.0,1575.0
159,2004-10-26,1575.0,1578.0,1516.0,1551.0,594949776,68044,52,1575.0,1551.0
160,2004-10-27,1524.0,1525.0,1507.0,1518.0,683855388,79868,50,1551.0,1518.0
161,2004-10-30,1516.0,1543.0,1486.0,1493.0,922033415,109519,54,1518.0,1493.0
162,2004-10-31,1479.0,1479.0,1419.0,1426.0,380280133,47337,24,1493.0,1426.0
163,2004-11-01,1367.0,1419.0,1357.0,1368.0,499468765,64736,58,1426.0,1368.0
164,2004-11-02,1419.0,1437.0,1401.0,1432.0,870613590,107809,63,1368.0,1432.0
165,2004-11-03,1437.0,1472.0,1437.0,1464.0,829101509,100455,47,1432.0,1464.0
166,2004-11-06,1472.0,1537.0,1471.0,1518.0,1603094932,187322,84,1464.0,1518.0
167,2004-11-07,1585.0,1589.0,1552.0,1572.0,2132784781,240662,94,1518.0,1572.0
168,2004-11-15,1591.0,1596.0,1509.0,1579.0,1455629665,163427,67,1572.0,1579.0
169,2004-11-16,1543.0,1556.0,1501.0,1516.0,1499252540,175433,79,1579.0,1516.0
170,2004-11-17,1515.0,1515.0,1472.0,1496.0,1206021586,142954,80,1516.0,1496.0
171,2004-11-20,1484.0,1507.0,1484.0,1494.0,538689783,63951,38,1496.0,1494.0
172,2004-11-21,1481.0,1490.0,1472.0,1478.0,924702458,110944,52,1494.0,1478.0
173,2004-11-22,1479.0,1507.0,1467.0,1482.0,1147660229,137311,61,1478.0,1482.0
174,2004-11-23,1506.0,1507.0,1484.0,1500.0,634595994,75017,46,1482.0,1500.0
175,2004-11-24,1507.0,1507.0,1472.0,1479.0,739455290,88637,67,1500.0,1479.0
176,2004-11-27,1472.0,1472.0,1454.0,1466.0,662963188,80220,34,1479.0,1466.0
177,2004-11-28,1454.0,1454.0,1444.0,1450.0,3084926114,377264,63,1466.0,1450.0
178,2004-11-29,1450.0,1507.0,1437.0,1476.0,1189729692,142917,79,1450.0,1476.0
179,2004-11-30,1490.0,1550.0,1490.0,1522.0,9410290847,1094918,125,1476.0,1522.0
180,2004-12-01,1543.0,1598.0,1516.0,1571.0,3574419604,403409,153,1522.0,1571.0
181,2005-01-11,1188.0,1188.0,1109.0,1134.0,4233667515,662308,204,1571.0,1134.0
182,2005-01-12,1135.0,1152.0,1077.0,1143.0,10129668441,1606572,174,1134.0,1143.0
