,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-10-30,35.0,35.0,35.0,35.0,320400000,320400,3,35.0,35.0
1,2013-12-01,35.0,35.0,35.0,35.0,132000000,132000,42,35.0,35.0
2,2013-12-02,35.0,35.0,35.0,35.0,167600000,167600,58,35.0,35.0
3,2013-12-07,35.0,35.0,35.0,35.0,58500000,58500,45,35.0,35.0
4,2013-12-08,35.0,35.0,35.0,35.0,71500000,71500,55,35.0,35.0
5,2013-12-09,35.0,35.0,35.0,35.0,142350000,142350,100,35.0,35.0
6,2013-12-10,35.0,35.0,35.0,35.0,59800000,59800,42,35.0,35.0
7,2013-12-14,35.0,35.0,35.0,35.0,58500000,58500,32,35.0,35.0
8,2013-12-16,35.0,35.0,35.0,35.0,33800000,33800,24,35.0,35.0
9,2013-12-18,35.0,35.0,35.0,35.0,1300000,1300,1,35.0,35.0
10,2013-12-22,35.0,35.0,35.0,35.0,7800000,7800,2,35.0,35.0
11,2013-12-29,35.0,35.0,35.0,35.0,5080600000,5080600,25,35.0,35.0
12,2014-01-04,35.0,35.0,35.0,35.0,1024000000,1024000,30,35.0,35.0
13,2014-01-05,35.0,35.0,35.0,35.0,20800000,20800,12,35.0,35.0
14,2014-01-11,35.0,35.0,35.0,35.0,433320000,433320,10,35.0,35.0
15,2014-04-15,37.0,37.0,35.0,36.0,75518800,73600,21,35.0,37.0
16,2014-04-16,35.0,35.0,35.0,35.0,271550000,271550,73,36.0,35.0
17,2014-04-19,35.0,35.0,35.0,35.0,317500000,317500,100,35.0,35.0
18,2014-04-20,35.0,35.0,35.0,35.0,10800000,10800,3,35.0,35.0
19,2014-04-27,35.0,35.0,35.0,35.0,3600000,3600,1,35.0,35.0
20,2014-04-28,35.0,35.0,35.0,35.0,711700000,711700,199,35.0,35.0
21,2014-04-30,35.0,35.0,35.0,35.0,3600000,3600,1,35.0,35.0
22,2014-05-04,35.0,35.0,35.0,35.0,2000000,2000,1,35.0,35.0
23,2014-05-05,35.0,35.0,35.0,35.0,446200000,446200,125,35.0,35.0
24,2014-05-07,35.0,35.0,35.0,35.0,32400000,32400,9,35.0,35.0
25,2014-05-10,35.0,35.0,35.0,35.0,228900000,228900,65,35.0,35.0
26,2014-06-01,35.0,35.0,35.0,35.0,212400000,212400,59,35.0,35.0
27,2014-06-02,35.0,35.0,35.0,35.0,501300000,501300,140,35.0,35.0
28,2014-06-09,35.0,35.0,35.0,35.0,3600000,3600,1,35.0,35.0
29,2014-06-16,35.0,35.0,35.0,35.0,133200000,133200,37,35.0,35.0
30,2014-06-17,35.0,35.0,35.0,35.0,265800000,265800,74,35.0,35.0
31,2014-06-18,35.0,35.0,35.0,35.0,284200000,284200,80,35.0,35.0
32,2014-06-21,35.0,35.0,35.0,35.0,28800000,28800,8,35.0,35.0
33,2014-06-24,35.0,35.0,35.0,35.0,2000000,2000,2,35.0,35.0
34,2014-06-28,35.0,35.0,35.0,35.0,4600000,4600,2,35.0,35.0
35,2014-06-30,35.0,35.0,35.0,35.0,374400000,374400,104,35.0,35.0
36,2014-07-01,35.0,35.0,35.0,35.0,315200000,315200,88,35.0,35.0
37,2014-07-02,35.0,35.0,35.0,35.0,39600000,39600,11,35.0,35.0
38,2014-07-05,35.0,35.0,35.0,35.0,36000000,36000,10,35.0,35.0
39,2014-07-06,35.0,35.0,35.0,35.0,115200000,115200,32,35.0,35.0
40,2014-07-09,35.0,35.0,35.0,35.0,3600000,3600,1,35.0,35.0
41,2014-07-14,35.0,35.0,35.0,35.0,14400000,14400,4,35.0,35.0
42,2014-07-27,35.0,35.0,35.0,35.0,283300000,283300,79,35.0,35.0
43,2014-08-02,35.0,35.0,35.0,35.0,129600000,129600,36,35.0,35.0
44,2014-08-09,35.0,35.0,35.0,35.0,3600000,3600,1,35.0,35.0
45,2014-08-10,35.0,35.0,35.0,35.0,413800000,413800,115,35.0,35.0
46,2014-08-12,35.0,35.0,35.0,35.0,62600000,62600,17,35.0,35.0
47,2014-08-16,35.0,35.0,35.0,35.0,3000000,3000,1,35.0,35.0
48,2014-08-20,35.0,35.0,35.0,35.0,3600000,3600,1,35.0,35.0
49,2014-08-24,35.0,35.0,35.0,35.0,203000000,203000,57,35.0,35.0
50,2014-08-25,35.0,35.0,35.0,35.0,155100000,155100,43,35.0,35.0
51,2014-08-26,35.0,35.0,35.0,35.0,75600000,75600,21,35.0,35.0
52,2014-08-27,35.0,35.0,35.0,35.0,7200000,7200,2,35.0,35.0
53,2014-08-30,35.0,35.0,35.0,35.0,249200000,249200,71,35.0,35.0
54,2014-08-31,35.0,35.0,35.0,35.0,133900000,133900,37,35.0,35.0
55,2014-09-03,35.0,35.0,35.0,35.0,61200000,61200,17,35.0,35.0
56,2014-09-22,35.0,35.0,35.0,35.0,7200000,7200,2,35.0,35.0
57,2014-09-23,35.0,35.0,35.0,35.0,501800000,501800,139,35.0,35.0
58,2014-09-24,35.0,35.0,35.0,35.0,23600000,23600,8,35.0,35.0
59,2014-09-27,35.0,35.0,35.0,35.0,131400000,131400,38,35.0,35.0
60,2014-09-28,35.0,35.0,35.0,35.0,47400000,47400,12,35.0,35.0
61,2014-09-29,35.0,35.0,35.0,35.0,93900000,93900,26,35.0,35.0
