,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-27,20.0,20.0,20.0,20.0,4347600,4200,4,0.0,20.0
1,2001-03-28,20.0,20.0,19.0,20.0,3885792,3742,3,20.0,20.0
2,2001-03-31,20.0,20.0,20.0,20.0,4982640,4791,2,20.0,20.0
3,2001-04-07,20.0,20.0,20.0,20.0,15932870,15330,4,20.0,20.0
4,2001-04-08,20.0,20.0,20.0,20.0,95131412,90728,23,20.0,20.0
5,2001-04-09,20.0,20.0,20.0,20.0,63201748,60150,18,20.0,20.0
6,2001-04-10,20.0,20.0,20.0,20.0,20053198,18918,6,20.0,20.0
7,2001-04-11,20.0,20.0,20.0,20.0,381780,360,2,20.0,20.0
8,2001-04-14,20.0,20.0,20.0,20.0,215070,201,1,20.0,20.0
9,2001-04-15,21.0,21.0,21.0,21.0,7589500,7000,3,20.0,21.0
10,2001-04-16,21.0,22.0,21.0,22.0,81800010,71850,18,21.0,22.0
11,2001-04-17,22.0,23.0,22.0,23.0,282834400,237700,41,22.0,23.0
12,2001-04-18,24.0,24.0,24.0,24.0,13483008,10752,4,23.0,24.0
13,2001-04-21,25.0,25.0,25.0,25.0,1877932000,1427000,209,24.0,25.0
14,2001-04-22,25.0,25.0,25.0,25.0,1239295846,941726,191,25.0,25.0
15,2001-04-23,26.0,26.0,25.0,25.0,1860295820,1389990,49,25.0,25.0
16,2001-04-24,25.0,25.0,25.0,25.0,132667400,101030,31,25.0,25.0
17,2001-04-25,25.0,25.0,25.0,25.0,92999400,71538,23,25.0,25.0
18,2001-04-28,25.0,25.0,24.0,24.0,108763582,83819,19,25.0,24.0
19,2001-04-29,24.0,24.0,24.0,24.0,227867187,179889,37,24.0,24.0
20,2001-04-30,24.0,25.0,24.0,25.0,123955202,95853,37,24.0,25.0
21,2001-05-01,25.0,25.0,24.0,24.0,121250200,93914,26,25.0,24.0
22,2001-05-02,24.0,25.0,24.0,25.0,42172760,32714,44,24.0,25.0
23,2001-05-05,25.0,25.0,24.0,24.0,32138156,24932,9,25.0,24.0
24,2001-05-06,25.0,25.0,24.0,25.0,187804284,144991,40,24.0,25.0
25,2001-05-07,25.0,25.0,25.0,25.0,307471910,235462,63,25.0,25.0
26,2001-05-08,25.0,25.0,25.0,25.0,345104210,263767,36,25.0,25.0
27,2001-05-09,25.0,25.0,25.0,25.0,703630435,536772,60,25.0,25.0
28,2001-05-12,26.0,26.0,26.0,26.0,42802800,31700,11,25.0,26.0
29,2001-05-13,26.0,27.0,26.0,26.0,318321534,230859,59,26.0,26.0
30,2001-05-15,26.0,27.0,26.0,27.0,430368350,308742,60,26.0,27.0
31,2001-05-16,28.0,28.0,27.0,28.0,609321840,422000,97,27.0,28.0
32,2001-05-19,28.0,28.0,27.0,27.0,222433940,153315,53,28.0,27.0
33,2001-05-23,27.0,27.0,27.0,27.0,107987675,76165,15,27.0,27.0
34,2001-05-26,27.0,28.0,27.0,28.0,1035978780,706571,162,27.0,28.0
35,2001-05-27,30.0,30.0,29.0,29.0,401607020,259186,73,28.0,29.0
36,2001-05-28,30.0,30.0,29.0,29.0,576363495,379041,101,29.0,29.0
37,2001-05-29,29.0,29.0,28.0,29.0,223427046,151115,61,29.0,29.0
38,2001-05-30,28.0,28.0,28.0,28.0,300109765,203220,59,29.0,28.0
39,2001-06-02,28.0,28.0,28.0,28.0,151711968,102578,34,28.0,28.0
40,2001-06-03,28.0,28.0,28.0,28.0,473952062,320945,64,28.0,28.0
41,2001-06-06,28.0,28.0,28.0,28.0,207034802,140100,25,28.0,28.0
42,2001-06-09,28.0,28.0,28.0,28.0,179737668,123000,23,28.0,28.0
43,2001-06-11,28.0,28.0,28.0,28.0,116447608,80000,18,28.0,28.0
44,2001-06-12,27.0,28.0,27.0,28.0,281666279,195437,47,28.0,28.0
45,2001-06-19,27.0,27.0,26.0,26.0,6238720,4472,6,28.0,26.0
46,2001-06-20,26.0,26.0,26.0,26.0,172327780,127718,40,26.0,26.0
47,2001-06-23,26.0,26.0,25.0,26.0,53655840,39834,14,26.0,26.0
48,2001-06-24,26.0,26.0,26.0,26.0,49226806,36433,17,26.0,26.0
49,2001-06-25,27.0,27.0,26.0,27.0,111621193,80030,12,26.0,27.0
50,2001-06-26,27.0,27.0,27.0,27.0,146287538,103800,65,27.0,27.0
51,2001-06-27,27.0,27.0,27.0,27.0,84023748,60000,23,27.0,27.0
52,2001-07-01,26.0,26.0,26.0,26.0,27891600,20656,10,27.0,26.0
53,2001-07-02,26.0,26.0,26.0,26.0,91434409,67523,14,26.0,26.0
54,2001-07-03,26.0,26.0,26.0,26.0,22902632,16744,7,26.0,26.0
55,2001-07-04,26.0,26.0,26.0,26.0,843808530,623061,58,26.0,26.0
56,2001-07-07,27.0,27.0,26.0,27.0,109412414,78856,21,26.0,27.0
57,2001-07-08,27.0,27.0,26.0,27.0,54127692,39000,19,27.0,27.0
58,2001-07-09,26.0,26.0,26.0,26.0,22536922,16668,10,27.0,26.0
59,2001-07-10,26.0,26.0,26.0,26.0,150337650,111139,11,26.0,26.0
60,2001-07-11,26.0,26.0,26.0,26.0,132303990,97830,28,26.0,26.0
61,2001-07-14,26.0,26.0,26.0,26.0,105331172,78000,18,26.0,26.0
62,2001-07-15,26.0,26.0,26.0,26.0,64197900,47554,14,26.0,26.0
63,2001-07-16,26.0,26.0,26.0,26.0,20520000,15200,7,26.0,26.0
64,2001-07-17,26.0,26.0,26.0,26.0,67858300,50258,21,26.0,26.0
65,2001-07-18,26.0,26.0,26.0,26.0,39150000,29000,12,26.0,26.0
66,2001-07-21,26.0,26.0,26.0,26.0,60672505,44935,19,26.0,26.0
67,2001-07-22,26.0,26.0,26.0,26.0,75843000,56180,18,26.0,26.0
68,2001-07-23,26.0,26.0,26.0,26.0,59888700,44362,11,26.0,26.0
69,2001-07-24,26.0,26.0,26.0,26.0,27000000,20000,4,26.0,26.0
70,2001-07-25,26.0,26.0,26.0,26.0,116131464,86151,54,26.0,26.0
71,2001-07-28,26.0,26.0,26.0,26.0,34480724,25600,9,26.0,26.0
72,2001-07-29,26.0,26.0,26.0,26.0,66137404,49000,10,26.0,26.0
73,2001-07-30,26.0,26.0,26.0,26.0,156626332,116027,31,26.0,26.0
74,2001-07-31,26.0,27.0,26.0,27.0,75476000,54200,9,26.0,27.0
75,2001-08-01,27.0,27.0,27.0,27.0,56125000,40000,10,27.0,27.0
76,2001-08-04,27.0,27.0,27.0,27.0,297707870,211307,51,27.0,27.0
77,2001-08-05,27.0,27.0,27.0,27.0,493500,350,1,27.0,27.0
78,2001-08-06,27.0,27.0,27.0,27.0,226007690,160289,33,27.0,27.0
