,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-09-23,2651.0,2819.0,2651.0,2808.0,54332921179506,5399986386,5457654,279.0,2819.0
1,2020-09-26,2949.0,2949.0,2949.0,2949.0,126009177600,11927040,10950,2808.0,2949.0
2,2020-09-27,3096.0,3096.0,3096.0,3096.0,173167953173,15610561,18966,2949.0,3096.0
3,2020-09-28,3251.0,3251.0,2941.0,3250.0,7766965988581,666969554,344244,3096.0,3251.0
4,2020-09-29,3344.0,3412.0,3088.0,3370.0,4858533283017,402374750,240062,3250.0,3412.0
5,2020-09-30,3538.0,3538.0,3412.0,3538.0,718230608193,56651749,33061,3370.0,3538.0
6,2020-10-03,3715.0,3715.0,3715.0,3715.0,721035851931,54168421,29679,3538.0,3715.0
7,2020-10-04,3901.0,3901.0,3768.0,3899.0,5434250861931,388958461,111437,3715.0,3901.0
8,2020-10-05,4089.0,4094.0,3704.0,4085.0,5586925586963,381691441,218753,3899.0,4094.0
9,2020-10-07,4289.0,4289.0,4289.0,4289.0,1123526095304,73108153,47421,4085.0,4289.0
10,2020-10-11,4503.0,4503.0,4301.0,4498.0,3384833475566,209997116,111632,4289.0,4502.0
11,2020-10-12,4298.0,4498.0,4274.0,4290.0,14466927867026,941093641,589959,4498.0,4380.0
12,2020-10-13,4298.0,4505.0,4087.0,4223.0,5545017175790,366452991,272659,4290.0,4102.0
13,2020-10-14,4015.0,4100.0,4012.0,4016.0,5478878600635,380790921,207953,4223.0,4012.0
14,2020-10-18,3944.0,4186.0,3815.0,3898.0,3715040635302,265966537,141428,4016.0,3816.0
15,2020-10-19,3741.0,3815.0,3704.0,3711.0,1223087843461,91986507,41084,3898.0,3704.0
16,2020-10-20,3526.0,3698.0,3526.0,3568.0,2092392079227,163681900,71217,3711.0,3669.0
17,2020-10-21,3712.0,3746.0,3533.0,3688.0,3171005244780,239997026,110895,3568.0,3658.0
18,2020-10-24,3628.0,3726.0,3503.0,3532.0,929453400047,73431322,26980,3688.0,3503.0
19,2020-10-26,3358.0,3430.0,3356.0,3362.0,2857989055791,237281539,81320,3532.0,3356.0
20,2020-10-27,3380.0,3430.0,3194.0,3264.0,2318123042272,198220210,73463,3362.0,3218.0
21,2020-10-28,3237.0,3422.0,3129.0,3312.0,2620192728906,220800405,92007,3264.0,3404.0
22,2020-10-31,3405.0,3478.0,3352.0,3458.0,1608203606142,129787695,60746,3312.0,3478.0
23,2020-11-01,3476.0,3476.0,3285.0,3311.0,1447307931498,122002362,42935,3458.0,3285.0
24,2020-11-02,3212.0,3349.0,3154.0,3219.0,1140791828034,98911519,46450,3311.0,3265.0
25,2020-11-04,3219.0,3349.0,3154.0,3261.0,1031660598797,88291165,44667,3219.0,3286.0
26,2020-11-07,3263.0,3346.0,3098.0,3170.0,1007557566357,88711068,33996,3261.0,3098.0
27,2020-11-14,3712.0,3896.0,3526.0,3663.0,2931837631413,223390089,80696,3170.0,3671.0
