,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-09-01,38.0,39.0,38.0,38.0,3791654872,2581367,111,26.0,39.0
1,2013-09-03,40.0,40.0,40.0,39.0,302767452,198276,23,38.0,40.0
2,2013-09-04,40.0,40.0,37.0,39.0,2363502350,1598922,130,39.0,37.0
3,2013-09-07,37.0,38.0,37.0,39.0,107708938,75739,30,39.0,38.0
4,2013-09-08,38.0,38.0,38.0,38.0,79659590,54926,16,39.0,38.0
5,2013-09-09,37.0,38.0,37.0,38.0,508586655,353860,42,38.0,37.0
6,2013-09-10,38.0,40.0,38.0,38.0,294877268,195780,56,38.0,40.0
7,2013-09-11,40.0,40.0,39.0,39.0,742110053,489265,66,38.0,40.0
8,2013-09-14,41.0,41.0,39.0,40.0,397755270,258113,38,39.0,40.0
9,2013-09-15,41.0,41.0,38.0,40.0,202711588,135317,47,40.0,38.0
10,2013-09-16,40.0,40.0,38.0,39.0,162787788,110421,27,40.0,38.0
11,2013-09-17,39.0,39.0,38.0,39.0,116167036,79518,35,39.0,38.0
12,2013-09-18,39.0,40.0,39.0,39.0,256949215,171103,45,39.0,39.0
13,2013-09-21,39.0,40.0,39.0,39.0,161797632,107779,23,39.0,39.0
14,2013-09-22,39.0,39.0,38.0,39.0,295898360,199513,40,39.0,39.0
15,2013-09-23,39.0,39.0,38.0,39.0,430238697,289424,51,39.0,39.0
16,2013-09-24,39.0,39.0,39.0,39.0,197692442,132004,33,39.0,39.0
17,2013-09-25,39.0,40.0,39.0,39.0,115666766,77817,24,39.0,39.0
18,2013-09-28,39.0,40.0,39.0,39.0,384711954,253874,56,39.0,40.0
19,2013-09-29,39.0,40.0,39.0,39.0,68906984,46198,27,39.0,39.0
20,2013-09-30,39.0,41.0,39.0,40.0,405704639,264472,47,39.0,41.0
21,2013-10-01,41.0,41.0,39.0,40.0,745518724,483300,101,40.0,41.0
22,2013-10-02,42.0,42.0,41.0,41.0,495448358,312536,59,40.0,42.0
23,2013-10-05,42.0,42.0,42.0,41.0,173290144,107234,17,41.0,42.0
24,2013-10-06,43.0,43.0,43.0,41.0,41569125,25581,15,41.0,43.0
25,2013-10-07,43.0,43.0,43.0,41.0,68159911,41893,9,41.0,43.0
26,2013-10-08,43.0,43.0,43.0,41.0,23807780,14606,5,41.0,43.0
27,2013-10-09,43.0,43.0,43.0,41.0,89155353,54663,8,41.0,43.0
28,2013-10-12,43.0,43.0,43.0,43.0,1214095232,742112,23,41.0,43.0
29,2013-10-13,44.0,44.0,44.0,43.0,174022200,102366,23,43.0,44.0
30,2013-10-14,45.0,45.0,45.0,45.0,1227860103,718467,35,43.0,45.0
31,2013-10-15,46.0,46.0,46.0,46.0,1286863148,725402,25,45.0,46.0
32,2013-10-19,48.0,48.0,48.0,48.0,1363816800,740400,27,46.0,48.0
