,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2007-09-25,18.0,18.0,18.0,18.0,175282193794,144450000,5047,18.0,18.0
1,2007-09-26,18.0,18.0,18.0,18.0,45038781427,36447979,7348,18.0,18.0
2,2007-09-29,18.0,18.0,18.0,18.0,10884011153,8970539,1341,18.0,18.0
3,2007-09-30,17.0,17.0,17.0,17.0,1389762650,1168850,275,18.0,17.0
4,2007-10-01,17.0,17.0,17.0,17.0,1341724362,1150707,145,17.0,17.0
5,2007-10-02,17.0,17.0,17.0,17.0,1212026913,1060391,125,17.0,17.0
6,2007-10-06,16.0,17.0,16.0,17.0,17106354276,15094738,3008,17.0,17.0
7,2007-10-07,17.0,17.0,16.0,16.0,5354185310,4803219,835,17.0,16.0
8,2007-10-08,16.0,16.0,16.0,16.0,9870087196,9037202,1125,16.0,16.0
9,2007-10-09,16.0,16.0,16.0,16.0,1235560179,1115580,258,16.0,16.0
10,2007-10-10,17.0,17.0,16.0,16.0,5162952267,4593565,452,16.0,16.0
11,2007-10-14,16.0,16.0,16.0,16.0,3161092685,2880875,427,16.0,16.0
12,2007-10-15,16.0,16.0,16.0,16.0,992785280,922600,222,16.0,16.0
13,2007-10-16,16.0,16.0,15.0,15.0,429793213,407166,99,16.0,15.0
14,2007-10-17,15.0,16.0,15.0,15.0,4174064922,4024195,633,15.0,15.0
15,2007-10-20,15.0,15.0,15.0,15.0,1975597875,1911552,356,15.0,15.0
16,2007-10-21,15.0,15.0,15.0,15.0,2104763056,2049706,422,15.0,15.0
17,2007-10-22,15.0,15.0,15.0,15.0,2006502440,1931112,362,15.0,15.0
18,2007-10-23,15.0,15.0,15.0,15.0,1512710569,1469010,272,15.0,15.0
19,2007-10-24,15.0,15.0,15.0,15.0,1674777661,1617993,261,15.0,15.0
20,2007-10-27,15.0,15.0,15.0,15.0,813478201,780116,179,15.0,15.0
21,2007-10-28,15.0,15.0,15.0,15.0,2799267577,2716776,496,15.0,15.0
22,2007-10-29,15.0,15.0,15.0,15.0,1956060167,1913320,385,15.0,15.0
23,2007-10-30,15.0,15.0,15.0,15.0,1748382309,1696375,343,15.0,15.0
24,2007-10-31,15.0,15.0,15.0,15.0,449766314,428829,85,15.0,15.0
25,2007-11-03,16.0,16.0,15.0,15.0,888030856,841553,169,15.0,15.0
26,2007-11-04,16.0,16.0,15.0,15.0,1631990614,1569947,265,15.0,15.0
27,2007-11-05,15.0,15.0,15.0,15.0,346125190,334643,76,15.0,15.0
28,2007-11-07,15.0,15.0,15.0,15.0,711827040,677362,141,15.0,15.0
29,2007-11-10,15.0,16.0,15.0,16.0,1664963339,1580551,118,15.0,16.0
30,2007-11-11,15.0,16.0,15.0,15.0,1474217135,1412597,82,16.0,15.0
31,2007-11-12,15.0,15.0,15.0,15.0,1632961959,1568658,61,15.0,15.0
32,2007-11-13,15.0,15.0,15.0,15.0,791178170,759503,147,15.0,15.0
33,2007-11-14,15.0,15.0,15.0,15.0,798440498,777035,153,15.0,15.0
34,2007-11-17,15.0,15.0,15.0,15.0,562350714,542292,76,15.0,15.0
35,2007-11-18,15.0,15.0,15.0,15.0,97154694,94237,26,15.0,15.0
36,2007-11-19,15.0,15.0,15.0,15.0,102356020,100095,33,15.0,15.0
37,2007-11-20,15.0,15.0,15.0,15.0,190102732,187232,45,15.0,15.0
38,2007-11-21,15.0,15.0,15.0,15.0,588064502,582907,120,15.0,15.0
39,2007-11-24,15.0,15.0,15.0,15.0,749925856,739736,129,15.0,15.0
40,2007-11-25,15.0,15.0,15.0,15.0,504272398,496984,80,15.0,15.0
41,2007-11-26,15.0,15.0,15.0,15.0,418255945,412281,76,15.0,15.0
42,2007-11-27,15.0,15.0,15.0,15.0,553115376,552607,95,15.0,15.0
43,2007-11-28,15.0,15.0,15.0,15.0,457757630,456132,82,15.0,15.0
44,2007-12-01,15.0,15.0,15.0,15.0,506737542,506828,93,15.0,15.0
45,2007-12-02,15.0,15.0,14.0,15.0,727761617,732615,142,15.0,15.0
46,2007-12-03,14.0,15.0,14.0,15.0,787144049,792691,152,15.0,15.0
47,2007-12-04,15.0,15.0,14.0,15.0,1603324791,1614092,258,15.0,15.0
48,2007-12-05,15.0,15.0,15.0,15.0,818398514,813663,151,15.0,15.0
49,2007-12-08,15.0,15.0,15.0,15.0,407548200,397608,83,15.0,15.0
50,2007-12-09,15.0,15.0,15.0,15.0,84655290,81010,20,15.0,15.0
51,2007-12-10,15.0,15.0,15.0,15.0,468822227,446923,60,15.0,15.0
52,2007-12-11,16.0,16.0,15.0,16.0,1629002133,1525118,229,15.0,16.0
53,2007-12-12,15.0,16.0,15.0,16.0,656402877,614993,100,16.0,16.0
54,2007-12-15,16.0,16.0,16.0,16.0,241722560,222255,52,16.0,16.0
55,2007-12-16,16.0,16.0,16.0,16.0,1078351255,982134,176,16.0,16.0
56,2007-12-17,16.0,16.0,16.0,16.0,190619679,173085,40,16.0,16.0
57,2007-12-18,16.0,16.0,16.0,16.0,368517319,335761,64,16.0,16.0
58,2007-12-19,16.0,16.0,16.0,16.0,279579657,256434,52,16.0,16.0
59,2007-12-22,16.0,16.0,16.0,16.0,157451424,144651,24,16.0,16.0
60,2007-12-23,16.0,16.0,16.0,16.0,426360610,397858,67,16.0,16.0
61,2007-12-24,16.0,16.0,16.0,16.0,217616620,199730,40,16.0,16.0
62,2007-12-25,16.0,16.0,16.0,16.0,356480216,327585,55,16.0,16.0
63,2007-12-26,16.0,16.0,16.0,16.0,140482697,129010,29,16.0,16.0
64,2007-12-30,16.0,16.0,16.0,16.0,155694921,146167,40,16.0,16.0
65,2007-12-31,16.0,16.0,16.0,16.0,411336617,387853,51,16.0,16.0
66,2008-01-01,16.0,16.0,16.0,16.0,367262353,337735,65,16.0,16.0
67,2008-01-02,16.0,16.0,16.0,16.0,598276824,559074,110,16.0,16.0
68,2008-01-05,16.0,16.0,15.0,16.0,415418455,394995,77,16.0,16.0
69,2008-01-06,16.0,16.0,15.0,16.0,239001790,223488,52,16.0,16.0
70,2008-01-08,16.0,16.0,15.0,16.0,126219916,118495,22,16.0,16.0
71,2008-01-09,15.0,16.0,15.0,16.0,425186565,399357,85,16.0,16.0
72,2008-01-12,16.0,16.0,15.0,16.0,673813772,636476,61,16.0,16.0
