,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-10-04,960.0,960.0,779.0,807.0,933239722796,600000000,278,517.0,779.0
1,2022-10-08,863.0,863.0,863.0,863.0,106908244951,64286377,800,807.0,863.0
2,2022-10-09,923.0,923.0,923.0,923.0,65472574359,36803021,427,863.0,923.0
3,2022-10-10,987.0,987.0,859.0,971.0,469278580473,250658849,6195,923.0,964.0
4,2022-10-11,942.0,960.0,903.0,928.0,118070708578,66012202,2468,971.0,935.0
5,2022-10-12,952.0,959.0,918.0,939.0,47423612390,26194620,1273,928.0,924.0
6,2022-10-15,939.0,965.0,908.0,942.0,59862442739,32983440,1177,939.0,913.0
7,2022-10-16,908.0,933.0,879.0,891.0,51907806089,30205997,980,942.0,885.0
8,2022-10-17,877.0,886.0,833.0,849.0,31516977101,19258613,844,891.0,843.0
9,2022-10-18,843.0,897.0,836.0,875.0,24595164722,14585910,826,849.0,873.0
10,2022-10-19,882.0,898.0,846.0,872.0,13696632873,8151138,524,875.0,847.0
11,2022-10-22,857.0,872.0,830.0,838.0,30106859393,18637873,765,872.0,832.0
12,2022-10-23,830.0,858.0,808.0,828.0,19633031759,12297550,698,838.0,820.0
13,2022-10-24,816.0,835.0,772.0,800.0,22306082508,14461123,616,828.0,801.0
14,2022-10-25,800.0,827.0,767.0,789.0,14526324964,9555549,547,800.0,790.0
15,2022-10-26,794.0,812.0,751.0,774.0,15231746503,10210034,314,789.0,763.0
16,2022-10-29,744.0,770.0,720.0,729.0,21771066725,15508367,543,774.0,720.0
17,2022-10-30,717.0,717.0,680.0,695.0,17901622710,13368143,503,729.0,706.0
18,2022-10-31,717.0,721.0,701.0,708.0,9296401125,6810608,359,695.0,713.0
19,2022-11-01,711.0,758.0,711.0,754.0,35306394717,24283745,751,708.0,758.0
20,2022-11-02,765.0,807.0,758.0,794.0,44950279569,29351182,1025,754.0,807.0
21,2022-11-05,839.0,848.0,801.0,825.0,28968459154,18218830,653,794.0,817.0
22,2022-11-06,816.0,865.0,795.0,840.0,52391622207,32351127,868,825.0,864.0
23,2022-11-07,855.0,899.0,832.0,889.0,37388712525,21816574,700,840.0,898.0
24,2022-11-08,903.0,924.0,867.0,893.0,36813105021,21397729,694,889.0,890.0
25,2022-11-09,918.0,918.0,836.0,855.0,23693129184,14381824,572,893.0,856.0
26,2022-11-12,831.0,856.0,807.0,826.0,20952394806,13171202,540,855.0,820.0
27,2022-11-13,810.0,822.0,788.0,803.0,11038906122,7133418,357,826.0,809.0
28,2022-11-14,812.0,850.0,812.0,837.0,19449449584,12059740,548,803.0,836.0
29,2022-11-15,855.0,855.0,790.0,811.0,13823574786,8847868,395,837.0,804.0
30,2022-11-16,790.0,824.0,790.0,803.0,4926622690,3181605,190,811.0,804.0
31,2022-11-19,817.0,817.0,769.0,779.0,6875867203,4577019,238,803.0,780.0
32,2022-11-20,780.0,804.0,768.0,778.0,20225546067,13479421,464,779.0,774.0
33,2022-11-21,774.0,789.0,768.0,776.0,9313860975,6230928,301,778.0,769.0
34,2022-11-22,785.0,785.0,760.0,769.0,14832405495,10011348,386,776.0,775.0
35,2022-11-23,762.0,779.0,760.0,762.0,11719569268,7979997,324,769.0,761.0
36,2022-11-26,764.0,800.0,763.0,788.0,9859790939,6493314,328,762.0,788.0
37,2022-11-27,780.0,793.0,771.0,781.0,6294449634,4178216,289,788.0,788.0
38,2022-11-28,781.0,797.0,767.0,775.0,12161393156,8142242,378,781.0,769.0
39,2022-11-29,771.0,783.0,768.0,776.0,5274923744,3525371,194,775.0,776.0
40,2022-11-30,796.0,796.0,773.0,778.0,7457337314,4970218,279,776.0,775.0
41,2022-12-03,791.0,791.0,763.0,771.0,8150408789,5488332,223,778.0,764.0
42,2022-12-04,777.0,815.0,757.0,778.0,63099317986,42076313,1202,771.0,799.0
43,2022-12-05,815.0,815.0,789.0,799.0,27566733222,17909697,716,778.0,789.0
44,2022-12-06,796.0,796.0,774.0,783.0,11550341482,7654590,397,799.0,783.0
45,2022-12-07,776.0,795.0,771.0,777.0,5616811479,3748995,256,783.0,774.0
46,2022-12-10,773.0,790.0,752.0,761.0,11603094039,7912603,328,777.0,752.0
47,2022-12-11,768.0,768.0,746.0,751.0,8223641389,5680999,269,761.0,750.0
48,2022-12-12,758.0,791.0,758.0,780.0,9566319832,6365348,250,751.0,781.0
49,2022-12-13,778.0,825.0,778.0,810.0,17522033723,11228090,447,780.0,808.0
50,2022-12-14,809.0,826.0,784.0,802.0,12888974340,8344589,323,810.0,802.0
51,2022-12-17,789.0,821.0,789.0,807.0,10563686031,6790487,279,802.0,814.0
52,2022-12-18,810.0,855.0,810.0,839.0,25141479540,15556125,690,807.0,830.0
53,2022-12-19,831.0,897.0,831.0,895.0,150356265977,87189472,1963,839.0,897.0
54,2022-12-20,898.0,934.0,859.0,893.0,46946900147,27295645,982,895.0,876.0
55,2022-12-21,876.0,907.0,857.0,874.0,28235306678,16768612,725,893.0,871.0
56,2022-12-24,887.0,908.0,882.0,896.0,31826040522,18428406,667,874.0,902.0
57,2022-12-25,908.0,958.0,898.0,943.0,56042270555,30820187,996,896.0,949.0
58,2022-12-26,950.0,983.0,919.0,950.0,29587343043,16163933,629,943.0,949.0
59,2022-12-28,943.0,990.0,943.0,970.0,28169834675,15075152,600,950.0,969.0
60,2022-12-31,935.0,954.0,902.0,912.0,30911527684,17597393,649,970.0,903.0
61,2023-01-01,943.0,943.0,868.0,907.0,26530343224,15182937,465,912.0,911.0
62,2023-01-02,929.0,959.0,908.0,940.0,27139472565,14983051,433,907.0,942.0
63,2023-01-03,949.0,1005.0,934.0,1000.0,221306310817,114860753,2353,940.0,1005.0
64,2023-01-04,1012.0,1069.0,1006.0,1051.0,232898010934,115021189,2210,1000.0,1069.0
65,2023-01-07,1124.0,1124.0,1095.0,1123.0,42194569143,19486471,320,1051.0,1124.0
66,2023-01-08,1202.0,1202.0,1202.0,1202.0,63378016272,27365292,343,1123.0,1202.0
67,2023-01-09,1286.0,1286.0,1286.0,1286.0,10361861076,4181542,54,1202.0,1286.0
68,2023-01-11,1328.0,1376.0,1196.0,1286.0,577257328771,232922267,5686,1286.0,1235.0
69,2023-01-14,1214.0,1219.0,1196.0,1197.0,47939699914,20783791,600,1286.0,1196.0
70,2023-01-16,1193.0,1245.0,1114.0,1164.0,447516721185,199460171,6573,1197.0,1189.0
71,2023-01-17,1230.0,1246.0,1210.0,1243.0,320677023060,133835104,3823,1164.0,1246.0
72,2023-01-18,1261.0,1311.0,1202.0,1242.0,174648597762,72961093,3064,1243.0,1204.0
73,2023-01-21,1199.0,1239.0,1156.0,1162.0,139846835881,62460393,2260,1242.0,1156.0
74,2023-01-22,1168.0,1184.0,1091.0,1129.0,84667805606,38903748,1581,1162.0,1144.0
75,2023-01-23,1159.0,1173.0,1050.0,1086.0,136325482242,65158725,2139,1129.0,1065.0
76,2023-01-24,1050.0,1111.0,1044.0,1069.0,62332042498,30256356,1357,1086.0,1060.0
77,2023-01-25,1095.0,1121.0,1043.0,1082.0,111664134276,53527729,1768,1069.0,1067.0
78,2023-01-28,1066.0,1119.0,1051.0,1091.0,77432091594,36844617,1285,1082.0,1082.0
79,2023-01-29,1070.0,1105.0,1014.0,1021.0,41941267235,21325242,650,1091.0,1014.0
80,2023-01-30,1007.0,1033.0,950.0,966.0,85314941492,45852966,1284,1021.0,990.0
81,2023-01-31,1005.0,1033.0,955.0,1025.0,45315583953,22938268,535,966.0,1033.0
82,2023-02-01,1079.0,1089.0,1043.0,1061.0,62742082015,30691571,1037,1025.0,1054.0
83,2023-02-05,1058.0,1058.0,1005.0,1032.0,44572623145,22421310,669,1061.0,1006.0
84,2023-02-06,1005.0,1074.0,1001.0,1049.0,45032886451,22283686,830,1032.0,1064.0
85,2023-02-07,1053.0,1095.0,1048.0,1070.0,37311977201,18094633,668,1049.0,1063.0
86,2023-02-08,1074.0,1105.0,1040.0,1079.0,57101574069,27470374,1056,1070.0,1062.0
87,2023-02-12,1079.0,1079.0,1004.0,1020.0,50604553413,25746699,822,1079.0,1015.0
88,2023-02-13,1037.0,1050.0,1000.0,1025.0,25872519707,13099267,538,1020.0,1012.0
89,2023-02-14,1012.0,1012.0,955.0,973.0,25569738825,13626544,652,1025.0,968.0
90,2023-02-15,969.0,991.0,924.0,949.0,19596308698,10722640,585,973.0,936.0
91,2023-02-19,934.0,978.0,923.0,952.0,20901081856,11388443,555,949.0,946.0
92,2023-02-20,971.0,1018.0,934.0,989.0,37729510525,19804727,658,952.0,987.0
93,2023-02-21,1007.0,1032.0,950.0,995.0,61247555197,31936509,1216,989.0,965.0
94,2023-02-22,966.0,994.0,944.0,962.0,26663944637,14389876,699,995.0,966.0
95,2023-02-25,986.0,1028.0,985.0,1026.0,73505143425,37186937,1004,962.0,1028.0
96,2023-02-26,1074.0,1085.0,992.0,1030.0,48428571093,24393427,1143,1026.0,1004.0
97,2023-02-27,986.0,1037.0,986.0,1011.0,36301533103,18624741,1221,1030.0,1006.0
98,2023-02-28,993.0,1037.0,986.0,1005.0,33568898542,17335172,975,1011.0,1001.0
99,2023-03-01,1019.0,1048.0,986.0,1019.0,70166641954,35749074,1525,1005.0,1004.0
100,2023-03-04,1019.0,1047.0,989.0,1026.0,29609216466,14980601,719,1019.0,1013.0
101,2023-03-05,1038.0,1053.0,1014.0,1028.0,50319662128,25389643,966,1026.0,1027.0
102,2023-03-06,1035.0,1048.0,1012.0,1036.0,32291412025,16169656,696,1028.0,1033.0
103,2023-03-07,1052.0,1108.0,1028.0,1087.0,117076896448,55893419,1691,1036.0,1108.0
104,2023-03-11,1163.0,1163.0,1106.0,1149.0,114235069831,51574717,1827,1087.0,1121.0
105,2023-03-12,1101.0,1135.0,1069.0,1082.0,71468910442,34274903,1302,1149.0,1069.0
106,2023-03-13,1066.0,1121.0,1066.0,1085.0,69971326408,33472762,971,1082.0,1088.0
107,2023-03-14,1116.0,1116.0,1068.0,1079.0,42494139928,20430508,852,1085.0,1090.0
108,2023-03-15,1115.0,1118.0,1090.0,1098.0,21244623413,10039651,602,1079.0,1100.0
109,2023-03-18,1112.0,1157.0,1112.0,1138.0,35642139864,16246095,746,1098.0,1132.0
110,2023-03-19,1140.0,1175.0,1101.0,1122.0,58678487093,27135408,1056,1138.0,1124.0
111,2023-03-25,1137.0,1180.0,1093.0,1137.0,54488989679,24871293,1111,1122.0,1161.0
112,2023-03-26,1183.0,1183.0,1118.0,1147.0,11437375151,5175608,228,1137.0,1151.0
113,2023-03-27,1178.0,1218.0,1126.0,1186.0,65892544721,28819805,1555,1147.0,1181.0
114,2023-03-28,1144.0,1221.0,1144.0,1187.0,57053322792,24942518,1212,1186.0,1174.0
115,2023-03-29,1205.0,1270.0,1170.0,1244.0,73879896699,30819930,969,1187.0,1270.0
116,2023-04-03,1330.0,1330.0,1297.0,1325.0,204842016409,80244264,2912,1244.0,1330.0
117,2023-04-04,1344.0,1344.0,1232.0,1274.0,184219073544,75030130,3598,1325.0,1235.0
118,2023-04-05,1235.0,1300.0,1209.0,1265.0,82115305584,33674742,1631,1274.0,1275.0
119,2023-04-08,1301.0,1326.0,1251.0,1297.0,79900786547,31975567,1550,1265.0,1269.0
120,2023-04-09,1284.0,1313.0,1251.0,1285.0,70211839296,28355051,1613,1297.0,1272.0
121,2023-04-10,1294.0,1336.0,1220.0,1280.0,62532095062,25360466,1225,1285.0,1245.0
122,2023-04-11,1266.0,1369.0,1246.0,1341.0,159051282296,61555231,1858,1280.0,1369.0
123,2023-04-15,1434.0,1434.0,1433.0,1434.0,67759140036,24515521,520,1341.0,1434.0
124,2023-04-16,1533.0,1534.0,1492.0,1532.0,256700932315,86938089,2076,1434.0,1534.0
125,2023-04-17,1598.0,1602.0,1481.0,1546.0,220075759479,73872424,3076,1532.0,1513.0
126,2023-04-18,1531.0,1654.0,1531.0,1609.0,240674648969,77649364,3087,1546.0,1586.0
127,2023-04-19,1567.0,1686.0,1567.0,1627.0,168077457696,53614233,2586,1609.0,1622.0
128,2023-04-24,1678.0,1678.0,1552.0,1602.0,129217634392,41844573,2105,1627.0,1618.0
129,2023-04-25,1629.0,1714.0,1619.0,1684.0,145721912549,44892266,2092,1602.0,1661.0
130,2023-04-26,1686.0,1747.0,1641.0,1695.0,114370108959,35018444,1937,1684.0,1645.0
131,2023-04-29,1694.0,1763.0,1658.0,1713.0,118187233252,35801435,1774,1695.0,1707.0
132,2023-04-30,1648.0,1772.0,1648.0,1707.0,125980484553,38299642,1986,1713.0,1720.0
133,2023-05-01,1721.0,1826.0,1721.0,1815.0,160915449906,46013585,1487,1707.0,1826.0
134,2023-05-02,1941.0,1941.0,1895.0,1941.0,85423893818,22836177,671,1815.0,1941.0
135,2023-05-07,1806.0,1806.0,1806.0,1806.0,28409077440,8163528,263,1941.0,1806.0
136,2023-05-08,1680.0,1680.0,1680.0,1680.0,24601672602,7600146,208,1806.0,1680.0
137,2023-05-09,1562.0,1671.0,1562.0,1598.0,150876361383,49000118,2063,1680.0,1654.0
138,2023-05-10,1676.0,1686.0,1486.0,1528.0,95961760607,32587348,1297,1598.0,1486.0
139,2023-05-20,1635.0,1635.0,1453.0,1624.0,117630510034,40460874,1261,1528.0,1629.0
