,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-08-08,386.0,386.0,386.0,386.0,12110804244,2180948,1094,69.0,386.0
1,2021-08-09,397.0,397.0,397.0,393.0,6068156388,1061052,543,386.0,397.0
2,2021-08-10,404.0,404.0,404.0,398.0,4667640000,802000,416,393.0,404.0
3,2021-08-11,410.0,410.0,410.0,403.0,4882716000,828000,433,398.0,410.0
4,2021-08-14,423.0,423.0,423.0,413.0,5153322500,845500,457,403.0,423.0
5,2021-08-15,425.0,425.0,425.0,419.0,4929706250,804850,414,413.0,425.0
6,2021-08-22,431.0,431.0,431.0,425.0,5031205380,810178,422,419.0,431.0
7,2021-08-23,438.0,438.0,438.0,431.0,5060408712,803112,418,425.0,438.0
8,2021-08-24,453.0,453.0,453.0,453.0,3936268000,604000,312,431.0,453.0
9,2021-08-25,466.0,466.0,466.0,466.0,4221848000,629000,337,453.0,466.0
10,2021-08-28,480.0,480.0,480.0,480.0,4168539000,603000,314,466.0,480.0
11,2021-08-29,495.0,495.0,495.0,495.0,4781727920,671591,381,480.0,495.0
12,2021-08-30,519.0,519.0,519.0,519.0,4650072000,622000,329,495.0,519.0
13,2021-08-31,535.0,535.0,535.0,520.0,137452700,17851,20,519.0,535.0
14,2021-09-01,535.0,535.0,535.0,524.0,1408330938,182734,186,520.0,535.0
15,2021-09-04,540.0,540.0,540.0,529.0,1312042116,168708,169,524.0,540.0
16,2021-11-20,738.0,760.0,716.0,749.0,79087149908,42783407,26748,529.0,760.0
17,2021-11-21,772.0,772.0,772.0,772.0,31868689328,16737757,2059,749.0,772.0
18,2021-11-22,795.0,795.0,795.0,795.0,29479079597,15032677,1637,772.0,795.0
19,2021-11-23,818.0,818.0,818.0,818.0,8749110372,4333388,494,795.0,818.0
20,2021-11-24,859.0,859.0,859.0,859.0,9029891767,4261393,468,818.0,859.0
21,2021-11-27,884.0,884.0,833.0,871.0,143924479321,66945572,13447,859.0,833.0
22,2021-11-28,845.0,845.0,845.0,858.0,3832417974,1837209,309,871.0,845.0
23,2021-11-29,832.0,883.0,832.0,843.0,30896490975,14845226,3046,858.0,869.0
24,2021-11-30,863.0,869.0,820.0,864.0,39891462541,18711096,3660,843.0,869.0
25,2021-12-01,880.0,880.0,839.0,844.0,13627037870,6545099,1187,864.0,839.0
26,2021-12-04,824.0,851.0,819.0,837.0,2063169662,1018308,197,844.0,819.0
27,2021-12-05,813.0,813.0,813.0,837.0,243745845,121569,23,837.0,813.0
28,2021-12-06,795.0,819.0,795.0,802.0,5687144611,2899821,607,837.0,795.0
29,2021-12-07,778.0,778.0,778.0,779.0,6468794880,3369164,694,802.0,778.0
30,2021-12-08,771.0,790.0,756.0,760.0,14138857326,7545762,1541,779.0,777.0
31,2021-12-11,780.0,780.0,737.0,741.0,8515514072,4659861,861,760.0,737.0
32,2021-12-12,722.0,722.0,719.0,720.0,5871957392,3311104,639,741.0,719.0
33,2021-12-13,702.0,741.0,698.0,718.0,13354319515,7536308,1487,720.0,698.0
34,2021-12-14,697.0,709.0,697.0,700.0,5122971789,2978732,604,718.0,697.0
35,2021-12-15,680.0,715.0,680.0,680.0,13446394618,8011875,1550,700.0,680.0
36,2021-12-18,666.0,700.0,666.0,699.0,5944539167,3444134,689,680.0,700.0
37,2021-12-19,720.0,720.0,711.0,719.0,9841267549,5545665,1068,699.0,720.0
38,2021-12-20,741.0,741.0,741.0,738.0,5395785576,2951777,608,719.0,741.0
39,2021-12-21,775.0,775.0,756.0,772.0,13241500345,6952303,1337,738.0,769.0
40,2021-12-22,750.0,780.0,749.0,758.0,5979927484,3204972,622,772.0,749.0
41,2021-12-25,735.0,749.0,735.0,736.0,6164639752,3399159,701,758.0,735.0
42,2021-12-26,714.0,714.0,714.0,714.0,9854677006,5596046,1135,736.0,714.0
43,2021-12-27,687.0,740.0,679.0,702.0,5617219665,3248128,640,714.0,708.0
44,2021-12-28,687.0,712.0,681.0,682.0,13287899934,7895881,1596,702.0,695.0
45,2021-12-29,673.0,690.0,662.0,666.0,10994800894,6688366,1326,682.0,685.0
46,2022-01-01,686.0,686.0,665.0,676.0,4135848792,2466694,463,666.0,684.0
47,2022-01-02,686.0,696.0,657.0,685.0,6127613859,3628409,716,676.0,696.0
48,2022-01-03,705.0,705.0,685.0,702.0,7822947772,4513632,893,685.0,685.0
49,2022-01-04,685.0,691.0,682.0,686.0,4944640988,2935912,583,702.0,682.0
50,2022-01-05,669.0,706.0,666.0,698.0,10173610220,5907217,1181,686.0,706.0
51,2022-01-08,698.0,719.0,698.0,710.0,4144399623,2345914,421,698.0,719.0
52,2022-01-09,731.0,731.0,730.0,723.0,4052980208,2246762,427,710.0,731.0
53,2022-01-10,731.0,760.0,716.0,751.0,8546469520,4613068,918,723.0,760.0
54,2022-01-11,751.0,773.0,751.0,766.0,4465092924,2341516,470,751.0,764.0
