,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-06-01,474.0,474.0,474.0,474.0,92434447540,87202309,20952,447.0,474.0
1,2016-06-05,498.0,498.0,498.0,498.0,525011004,471708,93,474.0,498.0
2,2016-06-06,522.0,522.0,522.0,522.0,555031264,475198,127,498.0,522.0
3,2016-06-07,548.0,548.0,548.0,540.0,385049820,314070,183,522.0,548.0
4,2016-06-08,567.0,567.0,567.0,567.0,2754056361,2173683,968,540.0,567.0
5,2016-06-11,595.0,595.0,572.0,590.0,99349620196,75317042,32086,567.0,595.0
6,2016-06-12,581.0,582.0,564.0,575.0,19130980816,14868938,5664,590.0,575.0
7,2016-06-13,568.0,594.0,565.0,580.0,11299895672,8706429,2640,575.0,572.0
8,2016-06-14,568.0,574.0,552.0,555.0,12561376695,10124406,1565,580.0,559.0
9,2016-06-15,555.0,583.0,548.0,581.0,18292179505,14071157,1704,555.0,583.0
10,2016-06-18,583.0,588.0,559.0,568.0,5521401780,4345625,733,581.0,568.0
11,2016-06-19,555.0,565.0,546.0,550.0,5239531479,4261968,975,568.0,546.0
12,2016-06-20,547.0,548.0,528.0,536.0,2782797183,2321449,521,550.0,529.0
13,2016-06-21,525.0,554.0,523.0,540.0,3828884426,3172088,590,536.0,550.0
14,2016-06-22,538.0,561.0,541.0,552.0,3531796613,2860306,435,540.0,545.0
15,2016-06-25,541.0,545.0,525.0,533.0,2724316033,2287894,381,552.0,527.0
16,2016-06-26,517.0,545.0,517.0,529.0,3839678157,3243364,574,533.0,529.0
17,2016-06-28,526.0,550.0,526.0,541.0,2241735900,1852163,444,529.0,532.0
18,2016-06-29,537.0,537.0,515.0,522.0,3679488063,3151277,456,541.0,515.0
19,2016-07-02,514.0,536.0,514.0,521.0,1441728701,1237329,303,522.0,523.0
20,2016-07-03,519.0,534.0,518.0,525.0,1101426805,937059,293,521.0,523.0
21,2016-07-04,525.0,525.0,515.0,517.0,969074850,838255,210,525.0,515.0
22,2016-07-05,515.0,521.0,510.0,516.0,1302264342,1128237,223,517.0,517.0
23,2016-07-09,510.0,514.0,501.0,506.0,1120608779,989508,196,516.0,503.0
24,2016-07-10,502.0,514.0,501.0,506.0,1318019368,1163891,194,506.0,505.0
25,2016-07-11,505.0,516.0,504.0,513.0,1637028900,1427366,210,506.0,511.0
26,2016-07-12,506.0,516.0,499.0,507.0,1104104746,973765,209,513.0,502.0
27,2016-07-13,507.0,509.0,501.0,503.0,1396271642,1241356,232,507.0,502.0
28,2016-07-16,502.0,503.0,493.0,499.0,1557110618,1395546,217,503.0,499.0
29,2016-07-17,495.0,509.0,495.0,504.0,836090516,741262,165,499.0,501.0
30,2016-07-18,501.0,510.0,501.0,505.0,424208882,375526,145,504.0,503.0
31,2016-07-19,505.0,529.0,503.0,519.0,2007236414,1730202,385,505.0,528.0
32,2016-07-20,521.0,545.0,521.0,539.0,4471046058,3706850,558,519.0,545.0
33,2016-07-23,544.0,549.0,529.0,541.0,1547697526,1279759,276,539.0,532.0
34,2016-07-24,532.0,544.0,523.0,529.0,2484285076,2101472,345,541.0,523.0
35,2016-07-25,528.0,532.0,516.0,519.0,3472448098,2990707,376,529.0,517.0
36,2016-07-26,519.0,528.0,515.0,523.0,790887056,676426,194,519.0,523.0
37,2016-07-27,523.0,546.0,523.0,538.0,4092726764,3399574,536,523.0,532.0
38,2016-07-31,546.0,547.0,528.0,535.0,1282425102,1072382,184,538.0,528.0
39,2016-08-01,523.0,530.0,515.0,521.0,1043958579,895710,190,535.0,523.0
40,2016-08-02,519.0,527.0,513.0,516.0,4705910747,4080345,514,521.0,514.0
