,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-07-08,1905.0,1905.0,1905.0,1905.0,1078801193600,337125373,4512223,595.0,1905.0
1,2020-07-11,2000.0,2000.0,2000.0,1911.0,2608408320,776312,10678,1905.0,2000.0
2,2020-07-12,2006.0,2006.0,2006.0,1917.0,4318894270,1281571,10721,1911.0,2006.0
3,2020-07-13,2012.0,2012.0,2012.0,1923.0,4814296240,1424348,12639,1917.0,2012.0
4,2020-07-14,2018.0,2018.0,2018.0,1935.0,5205914520,1535668,8519,1923.0,2018.0
5,2020-07-15,2030.0,2030.0,2030.0,1941.0,4835086740,1417914,5702,1935.0,2030.0
6,2020-07-18,2036.0,2036.0,2036.0,1947.0,4166630460,1218313,9774,1941.0,2036.0
7,2020-07-19,2042.0,2042.0,2042.0,1947.0,722296260,210582,2872,1947.0,2042.0
8,2020-07-20,2042.0,2042.0,2042.0,1953.0,2940569870,857309,11369,1947.0,2042.0
9,2020-07-21,2048.0,2048.0,2048.0,1959.0,2906975440,845051,11377,1953.0,2048.0
10,2020-07-22,2054.0,2054.0,2054.0,1965.0,1838977650,533037,7326,1959.0,2054.0
11,2020-07-25,2060.0,2060.0,2060.0,1971.0,2812526740,812869,10437,1965.0,2060.0
12,2020-07-26,2066.0,2066.0,2066.0,1977.0,4180371460,1204718,7789,1971.0,2066.0
13,2020-07-27,2072.0,2072.0,2072.0,1982.0,3043587120,874594,11805,1977.0,2072.0
14,2020-07-28,2078.0,2078.0,2078.0,1988.0,4564096360,1307764,17300,1982.0,2078.0
15,2020-07-29,2084.0,2084.0,2084.0,2000.0,6882893500,1966541,26832,1988.0,2084.0
16,2020-08-01,2096.0,2096.0,2096.0,2006.0,5084400640,1444432,18827,2000.0,2096.0
17,2020-08-02,2102.0,2102.0,2102.0,2012.0,4852602750,1374675,18400,2006.0,2102.0
18,2020-08-03,2107.0,2107.0,2107.0,2018.0,5141152620,1452303,18195,2012.0,2107.0
19,2020-08-04,2113.0,2113.0,2113.0,2030.0,6110540450,1721279,20572,2018.0,2113.0
20,2020-08-05,2131.0,2131.0,2131.0,2042.0,5803563060,1621107,15249,2030.0,2131.0
21,2020-08-09,2143.0,2143.0,2143.0,2048.0,3797949600,1054986,13676,2042.0,2143.0
22,2020-08-10,2149.0,2149.0,2149.0,2054.0,3268143830,905303,12018,2048.0,2149.0
23,2020-08-11,2155.0,2155.0,2155.0,2060.0,3507772760,968998,9930,2054.0,2155.0
24,2020-08-12,2161.0,2161.0,2161.0,2066.0,2674819950,736865,9000,2060.0,2161.0
25,2020-08-15,2167.0,2167.0,2167.0,2072.0,2484846000,682650,8445,2066.0,2167.0
26,2020-08-16,2173.0,2173.0,2173.0,2078.0,1767238750,484175,6677,2072.0,2173.0
27,2020-08-17,2179.0,2179.0,2179.0,2084.0,2565528240,700964,8289,2078.0,2179.0
28,2020-08-18,2185.0,2185.0,2185.0,2090.0,4084603570,1112971,13524,2084.0,2185.0
29,2020-08-19,2191.0,2191.0,2191.0,2096.0,2893664960,786322,9645,2090.0,2191.0
30,2020-08-22,2197.0,2197.0,2197.0,2102.0,3482053740,943646,11532,2096.0,2197.0
31,2020-08-23,2203.0,2203.0,2203.0,2113.0,5107594700,1380431,12952,2102.0,2203.0
32,2020-08-24,2215.0,2215.0,2215.0,2131.0,10060747440,2704502,12405,2113.0,2215.0
33,2020-08-25,2233.0,2233.0,2233.0,2137.0,3852566250,1027351,12316,2131.0,2233.0
34,2020-08-26,2238.0,2238.0,2238.0,2143.0,3851999680,1024468,12202,2137.0,2238.0
35,2020-08-31,2250.0,2250.0,2250.0,2155.0,6438833100,1703395,20577,2143.0,2250.0
36,2020-09-01,2262.0,2262.0,2262.0,2167.0,6125843200,1612064,20839,2155.0,2262.0
37,2020-09-02,2274.0,2274.0,2274.0,2173.0,3862550980,1011139,13765,2167.0,2274.0
38,2020-09-05,2280.0,2280.0,2280.0,2179.0,4955931910,1293977,17539,2173.0,2280.0
39,2020-09-06,2286.0,2286.0,2286.0,2191.0,6207586560,1616559,18560,2179.0,2286.0
40,2020-09-07,2298.0,2298.0,2298.0,2203.0,7669847020,1987007,23009,2191.0,2298.0
41,2020-09-08,2310.0,2310.0,2310.0,2227.0,14111633720,3637019,25476,2203.0,2310.0
42,2020-09-09,2334.0,2334.0,2334.0,2238.0,6503954240,1659172,22571,2227.0,2334.0
43,2020-09-12,2346.0,2346.0,2346.0,2244.0,4475509040,1135916,14298,2238.0,2346.0
44,2020-09-13,2352.0,2352.0,2352.0,2256.0,7352482600,1861388,13850,2244.0,2352.0
45,2020-09-14,2363.0,2363.0,2363.0,2262.0,5035226430,1268319,15867,2256.0,2363.0
46,2020-09-15,2375.0,2375.0,2375.0,2274.0,5482730820,1374118,17886,2262.0,2375.0
47,2020-09-16,2387.0,2387.0,2387.0,2292.0,9176929110,2288511,29968,2274.0,2387.0
48,2020-09-19,2405.0,2405.0,2405.0,2316.0,14314261360,3543134,47862,2292.0,2405.0
49,2020-09-20,2429.0,2429.0,2429.0,2346.0,16103874240,3947028,52088,2316.0,2429.0
50,2020-09-21,2459.0,2459.0,2459.0,2352.0,4038776560,977912,13244,2346.0,2459.0
51,2020-09-22,2465.0,2465.0,2465.0,2358.0,4521699720,1092198,14651,2352.0,2465.0
52,2020-09-23,2471.0,2471.0,2471.0,2369.0,5621693750,1354625,18339,2358.0,2471.0
53,2020-09-26,2483.0,2483.0,2483.0,2381.0,6033819030,1446959,19594,2369.0,2483.0
54,2020-09-27,2500.0,2500.0,2500.0,2393.0,8138592000,1937760,18779,2381.0,2500.0
55,2020-09-28,2512.0,2512.0,2512.0,2411.0,11175690960,2648268,26353,2393.0,2512.0
56,2020-09-29,2530.0,2530.0,2530.0,2423.0,8016401000,1886212,25411,2411.0,2530.0
57,2020-09-30,2542.0,2542.0,2542.0,2435.0,6148539530,1439939,19054,2423.0,2542.0
58,2020-10-03,2554.0,2554.0,2554.0,2447.0,8018730720,1869168,24364,2435.0,2554.0
59,2020-10-04,2566.0,2566.0,2566.0,2459.0,6588192730,1528583,20627,2447.0,2566.0
60,2020-10-05,2578.0,2578.0,2578.0,2471.0,7199802760,1662772,22440,2459.0,2578.0
61,2020-10-06,2590.0,2590.0,2590.0,2483.0,5805227250,1334535,14528,2471.0,2590.0
62,2020-10-07,2602.0,2602.0,2602.0,2500.0,9070489990,2075627,28062,2483.0,2602.0
63,2020-10-10,2625.0,2625.0,2625.0,2512.0,7830894330,1775713,23779,2500.0,2625.0
64,2020-10-11,2637.0,2637.0,2637.0,2536.0,13187410060,2976842,28490,2512.0,2637.0
65,2020-10-12,2661.0,2661.0,2661.0,2554.0,9422447100,2107930,28303,2536.0,2661.0
66,2020-10-13,2679.0,2679.0,2679.0,2572.0,8877222000,1972716,26664,2554.0,2679.0
67,2020-10-14,2697.0,2697.0,2697.0,2584.0,7838852430,1730431,22093,2572.0,2697.0
68,2020-10-18,2709.0,2709.0,2709.0,2596.0,8231364050,1809091,24153,2584.0,2709.0
69,2020-10-19,2721.0,2721.0,2721.0,2608.0,5966418340,1305562,17498,2596.0,2721.0
70,2020-10-20,2733.0,2733.0,2733.0,2619.0,8257313610,1798979,17607,2608.0,2733.0
71,2020-10-21,2750.0,2750.0,2750.0,2631.0,6387330180,1382539,18494,2619.0,2750.0
72,2020-10-24,2762.0,2762.0,2762.0,2643.0,5392867840,1162256,15688,2631.0,2762.0
73,2020-10-26,2774.0,2774.0,2774.0,2655.0,7336997580,1574463,18997,2643.0,2774.0
74,2020-10-27,2786.0,2786.0,2786.0,2667.0,6457552920,1379819,17098,2655.0,2786.0
75,2020-10-28,2798.0,2798.0,2798.0,2679.0,6049130300,1287049,14834,2667.0,2798.0
76,2020-10-31,2810.0,2810.0,2810.0,2691.0,6640973920,1406986,17014,2679.0,2810.0
