,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-06-09,1058.0,1058.0,1058.0,1058.0,329998935200,149999516,2910378,481.0,1058.0
1,2021-06-12,1111.0,1111.0,1111.0,1105.0,14030443350,6073785,15993,1058.0,1111.0
2,2021-06-13,1160.0,1160.0,1160.0,1152.0,13935624264,5777622,15170,1105.0,1160.0
3,2021-06-14,1209.0,1209.0,1209.0,1190.0,11463078258,4559697,16722,1152.0,1209.0
4,2021-06-15,1249.0,1249.0,1249.0,1249.0,18203450766,7006717,23567,1190.0,1249.0
5,2021-06-16,1311.0,1311.0,1311.0,1311.0,20822469363,7635669,38376,1249.0,1311.0
6,2021-06-19,1377.0,1377.0,1377.0,1377.0,15828212883,5528541,19985,1311.0,1377.0
7,2021-06-20,1445.0,1445.0,1445.0,1445.0,16560222336,5509056,22307,1377.0,1445.0
8,2021-06-21,1518.0,1518.0,1518.0,1518.0,38920719864,12332294,29031,1445.0,1518.0
9,2021-06-22,1593.0,1593.0,1593.0,1593.0,42092049308,12705116,43757,1518.0,1593.0
10,2021-07-03,1923.0,2019.0,1921.0,1965.0,573281388093,147657067,193487,1593.0,2019.0
11,2021-07-04,2024.0,2063.0,1867.0,2043.0,295975463158,73291854,230364,1965.0,2063.0
12,2021-07-05,2145.0,2145.0,2145.0,2145.0,49261703013,11621067,54280,2043.0,2145.0
13,2021-07-06,2252.0,2252.0,2252.0,2252.0,68844103250,15470585,43544,2145.0,2252.0
14,2021-07-07,2364.0,2364.0,2364.0,2364.0,78240764608,16746739,34762,2252.0,2364.0
15,2021-07-10,2482.0,2482.0,2293.0,2414.0,631210800466,132329056,176158,2364.0,2394.0
16,2021-07-11,2424.0,2424.0,2295.0,2343.0,283934580956,61326266,119069,2414.0,2304.0
17,2021-07-12,2267.0,2377.0,2226.0,2280.0,199172904744,44197532,90295,2343.0,2245.0
18,2021-07-13,2226.0,2383.0,2175.0,2323.0,218899189758,47691715,62996,2280.0,2359.0
19,2021-07-14,2323.0,2439.0,2318.0,2426.0,165883125059,34603959,46922,2323.0,2439.0
20,2021-07-17,2480.0,2495.0,2307.0,2397.0,252607915188,53328888,48952,2426.0,2332.0
21,2021-07-18,2348.0,2348.0,2278.0,2280.0,45906736857,10190153,8935,2397.0,2278.0
22,2021-07-19,2181.0,2343.0,2176.0,2240.0,109897511343,24823208,49836,2280.0,2211.0
23,2021-07-26,2260.0,2262.0,2128.0,2143.0,133582866844,31541026,25707,2240.0,2128.0
24,2021-07-27,2143.0,2143.0,2036.0,2063.0,44797383743,10988094,15992,2143.0,2036.0
25,2021-07-28,1962.0,2080.0,1960.0,2026.0,86028584473,21483134,36476,2063.0,2072.0
26,2021-07-31,2115.0,2127.0,2049.0,2121.0,122442135703,29211399,18818,2026.0,2127.0
27,2021-08-01,2171.0,2176.0,2070.0,2145.0,97717498134,23054144,16567,2121.0,2151.0
28,2021-08-02,2166.0,2175.0,2106.0,2153.0,55531190515,13049872,12948,2145.0,2146.0
29,2021-08-03,2155.0,2175.0,2120.0,2154.0,55579822805,13055967,12664,2153.0,2155.0
30,2021-08-04,2125.0,2164.0,2075.0,2136.0,54657197892,12949421,13972,2154.0,2105.0
31,2021-08-07,2135.0,2135.0,2029.0,2079.0,52543368171,12790554,15210,2136.0,2082.0
32,2021-08-08,2100.0,2181.0,2070.0,2139.0,57033628631,13497009,11884,2079.0,2148.0
33,2021-08-09,2191.0,2237.0,2125.0,2207.0,47690957853,10935360,12484,2139.0,2197.0
34,2021-08-10,2243.0,2243.0,2139.0,2183.0,39370102121,9127347,17153,2207.0,2156.0
35,2021-08-11,2146.0,2291.0,2146.0,2239.0,106553616225,24079287,26912,2183.0,2282.0
36,2021-08-14,2302.0,2351.0,2292.0,2348.0,105243069192,22682060,11901,2239.0,2351.0
37,2021-08-15,2442.0,2442.0,2252.0,2349.0,52466861822,11305755,11357,2348.0,2336.0
38,2021-08-22,2337.0,2466.0,2337.0,2445.0,97424675071,20162605,15735,2349.0,2466.0
39,2021-08-23,2525.0,2567.0,2480.0,2564.0,78167958486,15425834,8714,2445.0,2567.0
40,2021-08-24,2682.0,2692.0,2581.0,2690.0,57244368957,10770365,10426,2564.0,2692.0
41,2021-08-25,2824.0,2824.0,2556.0,2705.0,151829079168,28406853,15917,2690.0,2773.0
42,2021-08-28,2824.0,2839.0,2733.0,2834.0,189853829660,33880381,13014,2705.0,2839.0
43,2021-08-29,2935.0,2940.0,2692.0,2824.0,183742289520,32947235,15949,2834.0,2717.0
44,2021-08-30,2687.0,2733.0,2687.0,2692.0,72031093930,13547176,5669,2824.0,2687.0
45,2021-08-31,2561.0,2687.0,2561.0,2596.0,76818525180,14988756,8500,2692.0,2561.0
46,2021-09-01,2520.0,2723.0,2520.0,2692.0,100464228510,18867580,10674,2596.0,2723.0
47,2021-09-04,2738.0,2824.0,2738.0,2814.0,113997994160,20503785,11904,2692.0,2824.0
48,2021-09-05,2829.0,2879.0,2687.0,2778.0,77364737640,14093306,10836,2814.0,2748.0
49,2021-09-06,2748.0,2814.0,2642.0,2667.0,103301442080,19610039,23726,2778.0,2642.0
50,2021-09-07,2561.0,2621.0,2535.0,2545.0,93972356380,18665273,31639,2667.0,2540.0
51,2021-09-08,2469.0,2591.0,2419.0,2469.0,59125370550,12110383,49203,2545.0,2459.0
52,2021-09-11,2429.0,2593.0,2429.0,2525.0,75152381501,15062571,10885,2469.0,2485.0
53,2021-09-12,2505.0,2505.0,2399.0,2409.0,33082584847,6947992,6913,2525.0,2399.0
54,2021-09-13,2293.0,2488.0,2289.0,2343.0,69995980339,15119004,13522,2409.0,2289.0
55,2021-09-14,2254.0,2409.0,2254.0,2354.0,57915830608,12448486,21453,2343.0,2385.0
56,2021-09-15,2444.0,2444.0,2267.0,2315.0,32731913698,7155337,30010,2354.0,2328.0
57,2021-09-18,2333.0,2357.0,2199.0,2251.0,52179288895,11731630,6871,2315.0,2201.0
58,2021-09-19,2157.0,2226.0,2139.0,2142.0,69279728869,16367189,6272,2251.0,2146.0
59,2021-09-20,2090.0,2216.0,2090.0,2151.0,11829287566,2780573,7950,2142.0,2176.0
60,2021-09-21,2196.0,2196.0,2044.0,2060.0,25143063667,6178018,5358,2151.0,2049.0
61,2021-09-22,2035.0,2128.0,1981.0,2063.0,28053976014,6882678,8135,2060.0,2084.0
62,2021-09-25,2001.0,2125.0,2001.0,2091.0,15176305180,3672731,8171,2063.0,2100.0
63,2021-09-26,2100.0,2195.0,2050.0,2151.0,47705996859,11225510,8616,2091.0,2176.0
64,2021-09-28,2196.0,2226.0,2085.0,2154.0,22281948509,5233851,6619,2151.0,2141.0
65,2021-09-29,2085.0,2258.0,2077.0,2184.0,22555731080,5227856,6596,2154.0,2211.0
66,2021-10-02,2177.0,2292.0,2177.0,2261.0,28191745022,6309207,6929,2184.0,2222.0
67,2021-10-03,2282.0,2282.0,2191.0,2229.0,21282845469,4831814,4776,2261.0,2227.0
68,2021-10-04,2211.0,2318.0,2158.0,2234.0,18093591223,4098471,5034,2229.0,2216.0
69,2021-10-06,2187.0,2272.0,2123.0,2231.0,25159934929,5707167,5278,2234.0,2235.0
70,2021-10-09,2206.0,2249.0,2130.0,2204.0,24861497549,5708454,3943,2231.0,2232.0
71,2021-10-10,2227.0,2247.0,2105.0,2145.0,35420678906,8355237,3908,2204.0,2117.0
