,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-04-20,689.0,744.0,689.0,737.0,86494017,117236,52,4295.0,744.0
1,2015-04-21,796.0,796.0,753.0,790.0,723421980,914336,138,737.0,771.0
2,2015-04-22,788.0,819.0,733.0,766.0,172565402,224987,54,790.0,749.0
3,2015-04-25,749.0,749.0,707.0,728.0,51082818,70116,34,766.0,713.0
4,2015-04-26,705.0,705.0,670.0,676.0,35441624,52319,14,728.0,682.0
5,2015-04-27,725.0,649.0,636.0,645.0,41420404,64105,20,676.0,636.0
6,2015-04-28,639.0,639.0,609.0,623.0,48550820,77818,36,645.0,610.0
7,2015-04-29,612.0,623.0,609.0,613.0,44601021,72624,29,623.0,609.0
8,2015-05-03,594.0,658.0,594.0,597.0,3852912,6444,8,613.0,594.0
9,2015-05-04,569.0,599.0,569.0,588.0,10142890,17217,6,597.0,599.0
10,2015-05-05,593.0,593.0,569.0,580.0,57564000,99000,20,588.0,569.0
11,2015-05-06,557.0,564.0,534.0,549.0,188937123,343370,43,580.0,563.0
12,2015-05-09,506.0,507.0,505.0,505.0,459030092,906973,46,549.0,505.0
13,2015-05-10,467.0,536.0,467.0,500.0,33166177,66228,16,505.0,533.0
14,2015-05-11,487.0,540.0,487.0,539.0,361635491,669373,78,500.0,540.0
15,2015-05-12,582.0,582.0,577.0,581.0,90214859,154896,14,539.0,582.0
16,2015-05-13,627.0,627.0,627.0,627.0,94074400,149800,22,581.0,627.0
17,2015-05-17,677.0,677.0,673.0,677.0,422469471,623222,65,627.0,677.0
18,2015-05-18,649.0,712.0,649.0,700.0,131969652,188239,27,677.0,700.0
19,2015-05-19,716.0,716.0,670.0,703.0,188740288,268238,17,700.0,699.0
20,2015-05-20,673.0,674.0,673.0,674.0,4128380,6120,4,703.0,674.0
21,2015-05-24,611.0,649.0,611.0,646.0,25089286,38751,7,674.0,649.0
22,2015-05-25,599.0,669.0,599.0,663.0,39288547,59198,14,646.0,669.0
23,2015-05-26,679.0,683.0,639.0,674.0,65619440,97143,4,663.0,639.0
24,2015-05-27,668.0,669.0,615.0,661.0,15433105,23304,8,674.0,615.0
25,2015-05-30,599.0,649.0,598.0,626.0,17486610,27875,12,661.0,649.0
26,2015-05-31,629.0,629.0,619.0,629.0,71991640,114279,17,626.0,629.0
27,2015-06-01,629.0,659.0,629.0,652.0,98008820,150000,14,629.0,659.0
28,2015-06-02,589.0,589.0,589.0,589.0,3538820,5998,2,652.0,589.0
29,2015-06-06,592.0,592.0,592.0,592.0,10081000,17000,1,589.0,592.0
30,2015-06-07,599.0,645.0,599.0,622.0,25469146,40895,13,592.0,645.0
31,2015-06-08,581.0,622.0,581.0,618.0,213394979,344878,22,622.0,609.0
32,2015-06-09,592.0,592.0,592.0,592.0,19090449,32193,2,618.0,592.0
33,2015-06-10,539.0,599.0,539.0,564.0,193257674,341868,25,592.0,599.0
34,2015-06-13,618.0,620.0,618.0,620.0,128627623,207211,46,564.0,620.0
35,2015-06-14,610.0,651.0,610.0,625.0,40683674,64984,12,620.0,651.0
36,2015-06-15,572.0,649.0,572.0,633.0,64562027,101821,8,625.0,649.0
37,2015-06-16,581.0,689.0,581.0,661.0,335176362,506475,55,633.0,668.0
38,2015-09-26,449.0,449.0,449.0,449.0,450000000,1000000,10,661.0,449.0
39,2015-09-27,439.0,439.0,439.0,439.0,884855400,2011035,22,449.0,439.0
40,2015-09-28,449.0,449.0,449.0,449.0,1383750000,3075000,43,439.0,449.0
41,2015-09-29,449.0,449.0,449.0,449.0,900000000,2000000,20,449.0,449.0
42,2015-09-30,449.0,449.0,449.0,449.0,1138795200,2530656,28,449.0,449.0
43,2015-10-03,449.0,449.0,449.0,449.0,7044641550,15654759,223,449.0,449.0
44,2015-10-04,449.0,449.0,449.0,449.0,9049500000,20110000,202,449.0,449.0
45,2015-10-05,449.0,449.0,449.0,449.0,17054023500,37897830,762,449.0,449.0
46,2022-10-15,2697.0,2709.0,2522.0,2637.0,26147061300,9902435,1304,449.0,2687.0
47,2022-10-16,2508.0,2627.0,2508.0,2583.0,7305171930,2824710,541,2637.0,2562.0
48,2022-10-17,2519.0,2618.0,2519.0,2587.0,5834385279,2252843,430,2583.0,2595.0
49,2022-10-18,2532.0,2587.0,2509.0,2537.0,4068707582,1602157,378,2587.0,2527.0
50,2022-10-19,2487.0,2547.0,2478.0,2497.0,4090741344,1635975,352,2537.0,2482.0
51,2022-10-22,2457.0,2477.0,2331.0,2458.0,12642105572,5137760,333,2497.0,2469.0
52,2022-10-23,2478.0,2478.0,2387.0,2440.0,7292124859,2984583,251,2458.0,2427.0
53,2022-10-24,2398.0,2411.0,2351.0,2382.0,2134317981,894899,254,2440.0,2373.0
54,2022-10-25,2357.0,2357.0,2202.0,2295.0,2761964140,1201892,266,2382.0,2277.0
55,2022-10-26,2267.0,2267.0,2173.0,2202.0,1703984582,772802,213,2295.0,2217.0
56,2022-10-29,2137.0,2481.0,2098.0,2351.0,5180600006,2200355,402,2202.0,2446.0
57,2022-10-30,2347.0,2680.0,2347.0,2601.0,19597894844,7525313,660,2351.0,2680.0
58,2022-10-31,2840.0,2840.0,2685.0,2740.0,20555473856,7494528,516,2601.0,2747.0
59,2022-11-01,2775.0,2840.0,2687.0,2773.0,13563240083,4886715,464,2740.0,2727.0
60,2022-11-02,2603.0,2816.0,2603.0,2742.0,7460328726,2717985,295,2773.0,2787.0
61,2022-11-05,2727.0,2947.0,2727.0,2854.0,10660393078,3730869,329,2742.0,2939.0
62,2022-11-06,2827.0,2941.0,2827.0,2885.0,5040822025,1745641,240,2854.0,2897.0
63,2022-11-07,2851.0,3033.0,2851.0,2985.0,12443068683,4162340,354,2885.0,3003.0
64,2022-11-08,2937.0,3092.0,2899.0,3013.0,7159062010,2372609,368,2985.0,2927.0
65,2022-11-09,3059.0,3059.0,2899.0,2973.0,9841248091,3306781,311,3013.0,2945.0
66,2022-11-12,2827.0,2973.0,2827.0,2900.0,3164108894,1089921,259,2973.0,2876.0
67,2022-11-13,2972.0,2972.0,2597.0,2758.0,3711858358,1344533,237,2900.0,2733.0
68,2022-11-14,2848.0,2848.0,2702.0,2790.0,4338559516,1553217,140,2758.0,2762.0
69,2022-11-15,2711.0,2837.0,2711.0,2785.0,5585202320,2003323,161,2790.0,2798.0
70,2022-11-16,2733.0,2847.0,2733.0,2808.0,3746340750,1332914,191,2785.0,2812.0
71,2022-11-19,2797.0,2827.0,2607.0,2751.0,4841067238,1757812,195,2808.0,2783.0
72,2022-11-20,2718.0,2847.0,2718.0,2794.0,1162778817,415693,108,2751.0,2802.0
73,2022-11-21,2747.0,2911.0,2608.0,2734.0,8066584176,2947242,177,2794.0,2797.0
74,2022-11-22,2734.0,2859.0,2708.0,2825.0,4707905324,1664858,236,2734.0,2859.0
75,2022-11-23,2858.0,2941.0,2773.0,2919.0,14718902563,5037636,265,2825.0,2897.0
76,2022-11-26,2938.0,2984.0,2788.0,2910.0,10563176324,3626380,280,2919.0,2906.0
77,2022-11-27,2981.0,2982.0,2838.0,2907.0,6566673632,2256701,171,2910.0,2902.0
78,2022-11-28,2884.0,2912.0,2831.0,2878.0,4862985110,1687832,210,2907.0,2895.0
79,2022-11-29,2896.0,2941.0,2855.0,2900.0,4655663069,1603771,151,2878.0,2907.0
80,2022-11-30,2837.0,2941.0,2837.0,2909.0,2542866479,873216,190,2900.0,2867.0
81,2022-12-03,2857.0,2937.0,2857.0,2914.0,4541062733,1556615,206,2909.0,2917.0
82,2022-12-04,2903.0,3046.0,2903.0,2987.0,5622701599,1879915,296,2914.0,2987.0
83,2022-12-05,2987.0,3091.0,2915.0,3037.0,7184538088,2362541,254,2987.0,2937.0
84,2022-12-06,2986.0,3016.0,2909.0,2993.0,2605111834,869351,176,3037.0,3011.0
85,2022-12-07,2948.0,3045.0,2948.0,3001.0,7187808203,2391636,176,2993.0,3013.0
86,2022-12-10,2907.0,3016.0,2903.0,2953.0,1293434603,437584,88,3001.0,2937.0
87,2022-12-11,2917.0,2993.0,2903.0,2958.0,1400496446,472921,109,2953.0,2989.0
88,2022-12-12,2919.0,3146.0,2919.0,3055.0,13960473240,4563558,243,2958.0,3126.0
89,2022-12-13,2997.0,3345.0,2997.0,3263.0,16138385704,4940065,325,3055.0,3295.0
90,2022-12-14,3319.0,3359.0,3184.0,3281.0,13931765017,4240631,350,3263.0,3256.0
91,2022-12-19,3316.0,3376.0,3248.0,3329.0,5409125766,1623057,237,3281.0,3281.0
92,2022-12-20,3214.0,3329.0,3014.0,3289.0,7940511346,2411301,313,3329.0,3316.0
93,2022-12-21,3339.0,3535.0,3249.0,3410.0,8470725385,2481140,414,3289.0,3465.0
94,2023-07-02,6900.0,6900.0,6900.0,6900.0,251484300,36447,23,3410.0,6900.0
95,2023-07-03,6900.0,6900.0,6900.0,6900.0,25737000,3730,4,6900.0,6900.0
96,2023-07-04,6880.0,6880.0,6850.0,6880.0,9020098670,1311647,47,6900.0,6850.0
97,2023-07-05,6900.0,6900.0,6800.0,6840.0,5033029390,735335,35,6880.0,6800.0
98,2023-07-08,6900.0,6900.0,6800.0,6830.0,44882820,6573,6,6840.0,6800.0
99,2023-07-09,6900.0,6900.0,6800.0,6830.0,73139350,10701,4,6830.0,6800.0
100,2023-07-11,6700.0,6700.0,6700.0,6700.0,5360000,800,1,6830.0,6700.0
101,2023-07-12,6400.0,6400.0,6400.0,6400.0,2560000000,400000,12,6700.0,6400.0
102,2023-07-15,6380.0,6380.0,6300.0,6330.0,5397527000,852370,20,6400.0,6300.0
103,2023-07-17,6200.0,6200.0,6050.0,6050.0,2165787000,357960,5,6330.0,6050.0
104,2023-07-18,6050.0,6050.0,6000.0,6030.0,16494029350,2735367,77,6050.0,6000.0
105,2023-07-19,6000.0,6000.0,6000.0,6000.0,5404848000,900808,45,6030.0,6000.0
106,2023-07-23,5900.0,5900.0,5900.0,5900.0,59000000,10000,1,6000.0,5900.0
107,2023-07-24,5900.0,5900.0,5700.0,5770.0,6522376510,1131011,51,5900.0,5700.0
108,2023-07-25,5700.0,5700.0,5500.0,5500.0,1199880253570,218041141,2437,5770.0,5510.0
