,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-07-28,330.0,330.0,330.0,330.0,798838474596,419999198,2635796,174.0,330.0
1,2021-07-31,347.0,347.0,347.0,347.0,19194906387,9611871,10601,330.0,347.0
2,2021-08-01,364.0,364.0,364.0,364.0,29506442096,14077501,10386,347.0,364.0
3,2021-08-02,382.0,382.0,382.0,382.0,21172738400,9623972,9888,364.0,382.0
4,2021-08-03,401.0,401.0,401.0,401.0,22710845850,9831535,11984,382.0,401.0
5,2021-08-04,421.0,421.0,421.0,421.0,26659155050,10993466,16112,401.0,421.0
6,2021-08-07,442.0,442.0,442.0,442.0,29984987978,11777293,24242,421.0,442.0
7,2021-08-08,464.0,464.0,464.0,464.0,30998914650,11597050,21989,442.0,464.0
8,2021-08-09,487.0,487.0,487.0,487.0,41025569154,14620659,40181,464.0,487.0
9,2021-08-10,511.0,511.0,511.0,498.0,7982779146,2709701,7587,487.0,511.0
10,2021-08-14,523.0,523.0,523.0,523.0,41099698850,13654385,32867,498.0,523.0
11,2021-08-15,549.0,549.0,549.0,549.0,73295959840,23194924,42226,523.0,549.0
12,2021-08-22,576.0,576.0,576.0,576.0,79551083934,23975613,39674,549.0,576.0
13,2021-08-23,605.0,605.0,605.0,605.0,74769989409,21467123,31799,576.0,605.0
14,2021-08-24,635.0,635.0,635.0,635.0,94301354838,25786534,35442,605.0,635.0
15,2021-08-25,666.0,666.0,666.0,666.0,159415672768,41525312,52581,635.0,666.0
16,2021-08-29,700.0,700.0,687.0,699.0,603454079217,149763300,65646,666.0,700.0
17,2021-08-30,712.0,734.0,665.0,728.0,957903646207,228421222,218548,699.0,734.0
18,2021-08-31,764.0,764.0,736.0,763.0,409581634596,93129576,93317,728.0,764.0
19,2021-09-01,801.0,801.0,801.0,801.0,189976151466,41147098,34668,763.0,801.0
20,2021-09-04,841.0,841.0,833.0,841.0,659268297781,136020607,61680,801.0,841.0
21,2021-09-05,883.0,883.0,843.0,882.0,1309411904266,257592647,172339,841.0,883.0
22,2021-09-06,918.0,920.0,838.0,864.0,1073259514368,215605118,230825,882.0,838.0
23,2021-09-07,821.0,821.0,821.0,821.0,79810051530,16873161,2218,864.0,821.0
24,2021-09-08,790.0,839.0,780.0,794.0,1222867246271,267374879,313421,821.0,781.0
25,2021-09-11,804.0,818.0,754.0,772.0,507557439621,114171991,75584,794.0,754.0
26,2021-09-12,748.0,754.0,733.0,736.0,182450975247,43057983,17359,772.0,733.0
27,2021-09-13,715.0,746.0,699.0,711.0,492682255243,120370220,65233,736.0,721.0
28,2021-09-14,726.0,742.0,709.0,727.0,258904106556,61830450,62869,711.0,722.0
29,2021-09-15,722.0,722.0,691.0,695.0,344528439310,86068123,79307,727.0,691.0
30,2021-09-18,693.0,694.0,660.0,664.0,124594988225,32559356,10992,695.0,660.0
31,2021-09-19,637.0,660.0,631.0,637.0,110667105272,30165761,10866,664.0,631.0
32,2021-09-20,625.0,635.0,605.0,616.0,213990378432,60305016,29416,637.0,613.0
33,2021-09-21,614.0,647.0,609.0,643.0,304630564345,82283514,23792,616.0,647.0
34,2021-09-22,660.0,675.0,618.0,658.0,325898018718,86038042,28620,643.0,667.0
35,2021-09-25,667.0,682.0,625.0,639.0,173446955932,47142696,24681,658.0,628.0
36,2021-09-26,625.0,625.0,607.0,609.0,111649528464,31814900,11039,639.0,607.0
37,2021-09-28,579.0,604.0,579.0,581.0,153993746882,45979048,10675,609.0,579.0
38,2021-09-29,561.0,599.0,554.0,575.0,157825573914,47604793,17192,581.0,585.0
39,2021-10-02,590.0,592.0,568.0,582.0,81663118902,24371363,12421,575.0,574.0
40,2021-10-03,582.0,582.0,553.0,558.0,102183344455,31785458,10906,582.0,558.0
41,2021-10-04,558.0,569.0,539.0,554.0,67702532593,21200586,10547,558.0,558.0
42,2021-10-06,554.0,573.0,542.0,558.0,97131533089,30207725,10420,554.0,567.0
43,2021-10-09,569.0,585.0,561.0,576.0,109543924308,33004566,9860,558.0,566.0
44,2021-10-10,566.0,572.0,548.0,553.0,87195434865,27371215,8333,576.0,548.0
45,2021-10-11,545.0,562.0,530.0,544.0,54618997538,17439880,7160,553.0,530.0
46,2021-10-12,527.0,529.0,517.0,517.0,112192069974,37632979,5287,544.0,517.0
47,2021-10-13,503.0,520.0,492.0,498.0,51284926215,17887387,5352,517.0,501.0
48,2021-10-16,508.0,522.0,500.0,518.0,40791258181,13668292,5816,498.0,517.0
49,2021-10-17,519.0,519.0,492.0,494.0,81547693401,28629399,6173,518.0,492.0
50,2021-10-18,479.0,495.0,474.0,482.0,66654461587,24018608,5228,494.0,490.0
51,2021-10-19,490.0,498.0,479.0,490.0,29755592679,10532561,5510,482.0,496.0
52,2021-10-20,510.0,510.0,498.0,503.0,33446383394,11538748,4706,490.0,503.0
53,2021-10-23,513.0,513.0,480.0,485.0,35446139814,12688198,4084,503.0,483.0
54,2021-10-25,476.0,494.0,471.0,485.0,40074926282,14351778,5184,485.0,484.0
55,2021-10-26,488.0,492.0,476.0,481.0,24738204595,8921060,3991,485.0,477.0
56,2021-10-27,477.0,504.0,459.0,483.0,48078089753,17276100,4902,481.0,486.0
57,2021-10-30,495.0,495.0,471.0,478.0,43693292347,15857091,6254,483.0,474.0
58,2021-10-31,472.0,477.0,455.0,462.0,39417047691,14820453,4974,478.0,457.0
59,2021-11-01,457.0,485.0,457.0,480.0,48096909764,17408704,5145,462.0,485.0
60,2021-11-02,495.0,504.0,479.0,498.0,34404027840,11985565,4592,480.0,504.0
61,2021-11-03,503.0,523.0,498.0,520.0,36699900499,12259594,3909,498.0,523.0
62,2021-11-06,535.0,546.0,528.0,544.0,49698409660,15851022,4479,520.0,546.0
63,2021-11-07,543.0,557.0,517.0,526.0,80432518714,26558457,4462,544.0,519.0
64,2021-11-08,507.0,540.0,507.0,525.0,34883083549,11526403,3883,526.0,521.0
65,2021-11-09,514.0,533.0,513.0,521.0,20394352202,6793248,3937,525.0,516.0
66,2021-11-10,514.0,547.0,514.0,533.0,44059962019,14341960,4627,521.0,541.0
67,2021-11-13,541.0,541.0,511.0,519.0,30133159786,10073954,3398,533.0,516.0
68,2021-11-14,516.0,525.0,504.0,513.0,35250319301,11915023,3824,519.0,505.0
69,2021-11-15,512.0,512.0,488.0,496.0,49747878406,17398847,3120,513.0,504.0
70,2021-11-16,492.0,510.0,491.0,502.0,22804736319,7887354,9941,496.0,502.0
71,2021-11-17,502.0,513.0,499.0,505.0,31559122869,10856840,3200,502.0,505.0
72,2021-11-20,502.0,512.0,491.0,498.0,29626378856,10326932,2953,505.0,498.0
73,2021-11-21,490.0,509.0,489.0,500.0,20649871261,7174210,3030,498.0,504.0
74,2021-11-22,500.0,512.0,500.0,507.0,17751149210,6077070,3265,500.0,508.0
75,2021-11-23,514.0,514.0,498.0,508.0,86019249331,29403354,4603,507.0,508.0
76,2021-11-24,502.0,505.0,495.0,499.0,27419406797,9541274,2929,508.0,504.0
77,2021-11-27,496.0,496.0,474.0,487.0,32393285175,11535136,2527,499.0,481.0
78,2021-11-28,486.0,490.0,472.0,486.0,29475890472,10525793,2632,487.0,486.0
79,2021-11-29,486.0,491.0,483.0,487.0,17968227233,6408193,2517,486.0,486.0
80,2021-11-30,491.0,491.0,477.0,483.0,18052273473,6490026,2134,487.0,484.0
81,2021-12-01,475.0,483.0,473.0,477.0,24821090346,9041106,2079,483.0,481.0
82,2021-12-04,483.0,484.0,460.0,468.0,16269376874,6040020,2492,477.0,466.0
83,2021-12-05,465.0,479.0,465.0,475.0,20391468119,7444069,2402,468.0,476.0
84,2021-12-06,483.0,483.0,476.0,478.0,11834931682,4286183,1969,475.0,478.0
85,2021-12-07,477.0,480.0,469.0,477.0,10065533248,3672208,1969,478.0,476.0
86,2021-12-08,468.0,483.0,468.0,477.0,15204820843,5535151,2471,477.0,475.0
87,2021-12-11,477.0,486.0,474.0,478.0,13598786478,4942275,1967,477.0,474.0
88,2021-12-12,489.0,489.0,470.0,475.0,17302785435,6327527,1570,478.0,483.0
89,2021-12-13,475.0,491.0,469.0,476.0,32303464090,11770400,2267,475.0,472.0
90,2021-12-14,476.0,478.0,467.0,470.0,22431222557,8292960,1884,476.0,469.0
91,2021-12-15,469.0,474.0,452.0,462.0,24887397700,9347740,1918,470.0,469.0
92,2021-12-18,457.0,475.0,457.0,468.0,14198347727,5265997,2118,462.0,465.0
93,2021-12-19,458.0,471.0,457.0,465.0,16679975374,6227600,1945,468.0,467.0
94,2021-12-20,460.0,477.0,460.0,469.0,14970498246,5536160,1710,465.0,470.0
95,2021-12-21,464.0,491.0,464.0,484.0,18407265970,6608158,1704,469.0,489.0
96,2021-12-22,489.0,508.0,489.0,502.0,25854575166,8943418,2516,484.0,508.0
97,2021-12-25,513.0,513.0,485.0,500.0,27730879595,9622498,2360,502.0,491.0
98,2021-12-26,493.0,498.0,485.0,491.0,12965877539,4592570,1729,500.0,492.0
99,2021-12-27,488.0,502.0,488.0,493.0,15057586139,5306118,2242,491.0,493.0
100,2021-12-28,493.0,495.0,480.0,490.0,12785728633,4532345,1619,493.0,490.0
101,2021-12-29,488.0,495.0,480.0,489.0,11226697080,3985619,1839,490.0,481.0
102,2022-01-01,480.0,489.0,471.0,474.0,16460784563,6030453,1501,489.0,473.0
103,2022-01-02,471.0,484.0,471.0,475.0,9579234137,3499925,1568,474.0,476.0
104,2022-01-03,472.0,481.0,470.0,475.0,6206163637,2269112,1535,475.0,476.0
105,2022-01-04,475.0,476.0,469.0,473.0,8973237691,3306399,1350,475.0,470.0
106,2022-01-05,475.0,475.0,466.0,471.0,8036173558,2968036,1404,473.0,472.0
107,2022-01-08,465.0,475.0,465.0,470.0,7818792927,2899916,1654,471.0,468.0
108,2022-01-09,465.0,472.0,458.0,465.0,9867133807,3706949,1457,470.0,463.0
109,2022-01-10,460.0,469.0,458.0,464.0,15163562509,5673240,1583,465.0,467.0
