,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-09-17,1672.0,1672.0,1672.0,1672.0,84000000000,40000000,932,796.0,1672.0
1,2019-09-29,2235.0,2302.0,2168.0,2219.0,34033219921,14281280,744,1672.0,2302.0
2,2019-09-30,2285.0,2285.0,2285.0,2285.0,2486736360,1013340,43,2219.0,2285.0
3,2019-10-01,2353.0,2353.0,2353.0,2353.0,2835342013,1122019,58,2285.0,2353.0
4,2019-10-02,2423.0,2423.0,2423.0,2423.0,8675068000,3334000,141,2353.0,2423.0
5,2019-10-05,2495.0,2495.0,2495.0,2495.0,8149210000,3040750,126,2423.0,2495.0
6,2019-10-06,2570.0,2570.0,2570.0,2570.0,151405320,54857,11,2495.0,2570.0
7,2019-10-07,2646.0,2646.0,2646.0,2646.0,62273904,21912,10,2570.0,2646.0
8,2019-10-08,2725.0,2725.0,2725.0,2725.0,47370568,16184,5,2646.0,2725.0
9,2019-10-09,2806.0,2806.0,2806.0,2806.0,3085585514,1023751,51,2725.0,2806.0
10,2019-10-12,2890.0,2890.0,2890.0,2890.0,111899200,36050,5,2806.0,2890.0
11,2019-10-13,2977.0,2977.0,2804.0,2885.0,61801024510,19946542,1329,2890.0,2804.0
12,2019-10-14,2799.0,2799.0,2799.0,2799.0,1312215192,436532,112,2885.0,2799.0
13,2019-10-15,2715.0,2715.0,2715.0,2715.0,54164700,18575,16,2799.0,2715.0
14,2019-10-16,2634.0,2634.0,2634.0,2634.0,150324573,53137,12,2715.0,2634.0
15,2019-10-21,2556.0,2556.0,2556.0,2556.0,562285800,204840,74,2634.0,2556.0
16,2019-10-22,2514.0,2632.0,2480.0,2519.0,37977843831,14041443,1054,2556.0,2532.0
17,2019-10-23,2593.0,2594.0,2451.0,2534.0,9167281949,3368400,381,2519.0,2536.0
18,2019-10-26,2561.0,2610.0,2537.0,2609.0,26370787995,9410465,514,2534.0,2610.0
19,2019-10-28,2685.0,2687.0,2531.0,2580.0,14714571327,5309721,535,2609.0,2536.0
20,2019-10-30,2575.0,2652.0,2520.0,2597.0,7293363330,2614637,465,2580.0,2591.0
