,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-06-08,46.0,46.0,46.0,46.0,407068734000,228690300,58797,26.0,46.0
1,2016-06-11,48.0,48.0,48.0,48.0,4268257728,2283712,852,46.0,48.0
2,2016-06-12,48.0,50.0,48.0,48.0,209332376085,111028595,46389,48.0,48.0
3,2016-06-13,48.0,48.0,46.0,47.0,59648562600,32398615,14664,48.0,47.0
4,2016-06-14,47.0,47.0,46.0,47.0,46453577060,25651855,9559,47.0,46.0
5,2016-06-15,46.0,48.0,46.0,47.0,21098804085,11577742,4730,47.0,47.0
6,2016-06-18,47.0,47.0,46.0,46.0,14614243636,8115891,3403,47.0,46.0
7,2016-06-19,46.0,46.0,44.0,46.0,24499567866,13738049,5942,46.0,45.0
8,2016-06-20,45.0,46.0,45.0,46.0,20828376254,11699272,3771,46.0,46.0
9,2016-06-21,46.0,46.0,45.0,46.0,9413451677,5262841,2237,46.0,46.0
10,2016-06-22,46.0,48.0,46.0,47.0,21956446123,11970045,4298,46.0,47.0
11,2016-06-25,47.0,47.0,46.0,46.0,7797462460,4332159,1742,47.0,46.0
12,2016-06-26,46.0,46.0,46.0,46.0,8324767607,4646459,1741,46.0,46.0
13,2016-06-28,46.0,46.0,45.0,46.0,9557477193,5349040,2059,46.0,46.0
14,2016-06-29,46.0,46.0,45.0,45.0,7658220531,4356868,1532,46.0,45.0
15,2016-07-02,45.0,47.0,45.0,47.0,28574646312,15619822,4777,45.0,47.0
16,2016-07-03,48.0,49.0,47.0,48.0,28115720395,15007615,4852,47.0,48.0
17,2016-07-04,47.0,47.0,46.0,47.0,3907618735,2150951,883,48.0,47.0
18,2016-07-05,47.0,47.0,46.0,46.0,3001416291,1659679,620,47.0,46.0
19,2016-07-09,46.0,46.0,46.0,46.0,3895907773,2175792,769,46.0,46.0
20,2016-07-10,46.0,46.0,45.0,46.0,3720013788,2097000,713,46.0,46.0
21,2016-07-11,46.0,46.0,45.0,46.0,4733782044,2661236,914,46.0,46.0
22,2016-07-12,45.0,47.0,45.0,46.0,8639341907,4814505,1693,46.0,46.0
23,2016-07-13,46.0,48.0,46.0,47.0,12539655441,6841877,2672,46.0,48.0
24,2016-07-16,47.0,48.0,47.0,48.0,14981744030,8072287,2708,47.0,48.0
25,2016-07-17,48.0,50.0,48.0,49.0,49429723831,25854466,7864,48.0,50.0
26,2016-07-18,50.0,52.0,49.0,51.0,35010745576,17703933,5483,49.0,50.0
27,2016-07-19,51.0,51.0,49.0,50.0,10907714762,5617076,2014,51.0,49.0
28,2016-07-20,50.0,52.0,49.0,52.0,46883475886,23242184,6439,50.0,52.0
29,2016-07-23,53.0,54.0,52.0,53.0,23400398784,11280027,3989,52.0,53.0
30,2016-07-24,53.0,53.0,51.0,52.0,14314644013,7006450,2471,53.0,52.0
31,2016-07-25,52.0,53.0,52.0,53.0,30901176334,15064601,4352,52.0,53.0
32,2016-07-26,53.0,55.0,53.0,54.0,33040033834,15805189,5427,53.0,54.0
33,2016-07-27,54.0,54.0,53.0,53.0,15552189055,7517696,2352,54.0,53.0
34,2016-07-31,53.0,53.0,52.0,53.0,12408882458,6063401,2198,53.0,53.0
35,2016-08-01,52.0,53.0,52.0,53.0,7437709453,3616359,1044,53.0,52.0
36,2016-08-02,52.0,53.0,52.0,53.0,30331751307,14750824,4636,53.0,53.0
37,2016-08-03,53.0,54.0,53.0,54.0,14871392201,7076717,1990,53.0,54.0
38,2016-08-06,54.0,57.0,54.0,57.0,28457514498,12934732,3548,54.0,57.0
39,2016-08-07,58.0,58.0,56.0,57.0,10631844215,4821746,1596,57.0,56.0
40,2016-08-08,56.0,59.0,55.0,59.0,38261372042,16781403,4857,57.0,59.0
41,2016-08-09,60.0,61.0,59.0,61.0,50926875048,21350139,5546,59.0,61.0
42,2016-08-10,62.0,62.0,59.0,60.0,8338949386,3553059,1342,61.0,60.0
43,2016-08-13,60.0,61.0,59.0,59.0,8726137921,3776689,1318,60.0,59.0
