,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-11-30,165.0,165.0,165.0,165.0,31550640000,4780400,4769,165.0,165.0
1,2004-12-01,173.0,173.0,173.0,173.0,32051250000,4625000,3647,165.0,173.0
2,2004-12-04,182.0,182.0,180.0,182.0,172953437614,23777030,5904,173.0,182.0
3,2004-12-05,191.0,191.0,182.0,189.0,70174793585,9220922,1828,182.0,189.0
4,2004-12-06,189.0,199.0,189.0,198.0,34135342932,4311320,2767,189.0,198.0
5,2004-12-07,197.0,207.0,197.0,204.0,76573751229,9425576,2044,198.0,204.0
6,2004-12-11,203.0,203.0,196.0,199.0,23717929419,2967650,1442,204.0,199.0
7,2004-12-12,199.0,199.0,189.0,192.0,47128937643,6144832,1186,199.0,192.0
8,2004-12-13,189.0,189.0,183.0,186.0,34246180302,4611909,1073,192.0,186.0
9,2004-12-14,186.0,187.0,183.0,184.0,35623211481,4822772,938,186.0,184.0
10,2004-12-15,184.0,185.0,181.0,183.0,36721785049,5001933,848,184.0,183.0
11,2004-12-18,185.0,185.0,180.0,182.0,18615331255,2554458,713,183.0,182.0
12,2004-12-19,181.0,181.0,178.0,180.0,55183313760,7675316,708,182.0,180.0
13,2004-12-20,179.0,179.0,175.0,176.0,42566060572,6031586,659,180.0,176.0
14,2004-12-21,176.0,179.0,172.0,175.0,30455194335,4339963,869,176.0,175.0
15,2004-12-22,175.0,183.0,175.0,180.0,17338974239,2405216,614,175.0,180.0
16,2004-12-25,182.0,183.0,179.0,180.0,10870450411,1503828,599,180.0,180.0
17,2004-12-26,179.0,182.0,178.0,181.0,16613699498,2295962,667,180.0,181.0
18,2004-12-27,180.0,182.0,179.0,181.0,39711663960,5495194,716,181.0,181.0
19,2004-12-28,181.0,182.0,179.0,181.0,11872259893,1639242,566,181.0,181.0
20,2004-12-29,180.0,180.0,177.0,179.0,16173651350,2256755,1681,181.0,179.0
21,2005-01-01,179.0,179.0,175.0,177.0,43389892670,6133906,719,179.0,177.0
22,2005-01-02,177.0,180.0,175.0,177.0,30462588510,4270030,6746,177.0,177.0
23,2005-01-03,179.0,181.0,176.0,179.0,26117459423,3647266,830,177.0,179.0
24,2005-01-04,179.0,179.0,176.0,177.0,19778976103,2786543,665,179.0,177.0
25,2005-01-05,178.0,178.0,176.0,177.0,14875273503,2101025,579,177.0,177.0
26,2005-01-08,178.0,178.0,176.0,176.0,17105319705,2421626,650,177.0,176.0
27,2005-01-09,176.0,176.0,175.0,175.0,21088516517,3000940,746,176.0,175.0
28,2005-01-10,175.0,175.0,172.0,174.0,36555148498,5228045,573,175.0,174.0
29,2005-01-11,174.0,175.0,172.0,174.0,38102966990,5458824,623,174.0,174.0
30,2005-01-12,172.0,175.0,168.0,172.0,18160730749,2633246,563,174.0,172.0
31,2005-01-15,168.0,170.0,163.0,165.0,9794365037,1490306,394,172.0,165.0
32,2005-01-16,165.0,172.0,157.0,168.0,64441234642,9581529,1070,165.0,168.0
33,2005-01-17,170.0,171.0,163.0,169.0,68999711391,10180421,646,168.0,169.0
34,2005-01-18,165.0,170.0,163.0,167.0,59650713460,8889359,676,169.0,167.0
35,2005-01-19,166.0,171.0,160.0,168.0,126869564740,19167699,674,167.0,168.0
36,2005-01-22,167.0,168.0,165.0,167.0,18237093333,2719668,453,168.0,167.0
37,2005-01-23,168.0,168.0,167.0,167.0,18856191562,2810391,602,167.0,167.0
38,2005-01-24,167.0,168.0,165.0,167.0,17827832483,2657152,634,167.0,167.0
39,2005-01-25,168.0,168.0,167.0,167.0,28401478330,4229742,4848,167.0,167.0
40,2005-01-26,168.0,168.0,166.0,167.0,26444642999,3941730,1183,167.0,167.0
41,2005-01-30,167.0,168.0,166.0,167.0,36191333941,5393413,1725,167.0,167.0
42,2005-01-31,167.0,168.0,167.0,167.0,34053793320,5073193,1240,167.0,167.0
43,2005-02-01,167.0,168.0,166.0,167.0,36317913963,5411302,1553,167.0,167.0
44,2005-02-02,167.0,168.0,167.0,167.0,24078007672,3589141,1259,167.0,167.0
45,2005-02-05,167.0,167.0,167.0,167.0,29357763747,4378262,1299,167.0,167.0
46,2005-02-06,167.0,167.0,162.0,166.0,18271978670,2742391,994,167.0,166.0
47,2005-02-07,162.0,165.0,158.0,165.0,1582246288,249178,68,166.0,165.0
48,2005-02-08,157.0,164.0,157.0,164.0,1424742193,226761,61,165.0,164.0
49,2005-02-09,156.0,163.0,156.0,163.0,563294490,90300,27,164.0,163.0
50,2005-02-12,155.0,163.0,155.0,163.0,441374320,70960,19,163.0,163.0
51,2005-02-13,155.0,163.0,155.0,163.0,374448346,60336,23,163.0,163.0
52,2005-02-14,155.0,162.0,155.0,162.0,252216646,40719,34,163.0,162.0
53,2005-02-15,154.0,162.0,154.0,162.0,145703245,23557,22,162.0,162.0
54,2005-02-16,154.0,162.0,154.0,162.0,497258240,80462,44,162.0,162.0
55,2005-02-21,154.0,154.0,154.0,154.0,9894354176,1605184,907,162.0,154.0
