,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-06-24,872.0,872.0,872.0,872.0,2295993456400,559998404,2547303,213.0,872.0
1,2020-06-27,916.0,916.0,916.0,874.0,1416943395,329139,1666,872.0,916.0
2,2020-06-28,917.0,917.0,917.0,875.0,1912945896,443736,2183,874.0,917.0
3,2020-06-29,919.0,919.0,919.0,888.0,15334198186,3551227,3405,875.0,919.0
4,2020-06-30,932.0,932.0,932.0,892.0,5071520077,1157617,5654,888.0,932.0
5,2020-07-01,937.0,937.0,937.0,898.0,6793562580,1543290,2634,892.0,937.0
6,2020-07-04,942.0,942.0,942.0,909.0,12849870987,2901303,4308,898.0,942.0
7,2020-07-05,954.0,954.0,954.0,924.0,18086650051,4034497,5025,909.0,954.0
8,2020-07-06,970.0,970.0,970.0,929.0,5757232560,1262551,5982,924.0,970.0
9,2020-07-07,975.0,975.0,975.0,949.0,23214980400,5064350,5241,929.0,975.0
10,2020-07-08,996.0,996.0,996.0,971.0,26271532056,5612376,3954,949.0,996.0
11,2020-07-11,1020.0,1020.0,1020.0,998.0,28948759520,6041060,5085,971.0,1020.0
12,2020-07-12,1048.0,1048.0,1048.0,1025.0,29425720596,5975979,4717,998.0,1048.0
13,2020-07-13,1076.0,1076.0,1076.0,1053.0,30790145070,6087415,5445,1025.0,1076.0
14,2020-07-14,1106.0,1106.0,1106.0,1083.0,32567928654,6265473,5380,1053.0,1106.0
15,2020-07-15,1138.0,1138.0,1138.0,1110.0,28500654006,5331211,1696,1083.0,1138.0
16,2020-07-18,1165.0,1165.0,1165.0,1147.0,35200932720,6428220,6849,1110.0,1165.0
17,2020-07-19,1204.0,1204.0,1204.0,1183.0,34768279169,6143891,5489,1147.0,1204.0
18,2020-07-20,1243.0,1243.0,1243.0,1221.0,35174909840,6023101,4472,1183.0,1243.0
19,2020-07-21,1282.0,1282.0,1282.0,1229.0,8320316752,1381424,5450,1221.0,1282.0
20,2020-07-22,1291.0,1291.0,1291.0,1265.0,34137452286,5627671,3103,1229.0,1291.0
21,2020-07-25,1329.0,1329.0,1329.0,1311.0,38158882272,6111288,4714,1265.0,1329.0
22,2020-07-26,1377.0,1377.0,1377.0,1322.0,9031199382,1395642,4762,1311.0,1377.0
23,2020-07-27,1388.0,1388.0,1388.0,1386.0,52763593736,8087614,5592,1322.0,1388.0
24,2020-07-28,1455.0,1455.0,1455.0,1439.0,44762249220,6547060,2764,1386.0,1455.0
25,2020-08-01,1511.0,1511.0,1511.0,1506.0,48832776953,6874951,4354,1439.0,1511.0
26,2020-08-02,1581.0,1581.0,1581.0,1566.0,43810584656,5894858,4134,1506.0,1581.0
27,2020-08-03,1645.0,1645.0,1645.0,1617.0,36950378105,4780745,3906,1566.0,1645.0
28,2020-08-04,1698.0,1698.0,1698.0,1687.0,51349862474,6436433,5509,1617.0,1698.0
29,2020-08-05,1771.0,1771.0,1771.0,1729.0,30645315675,3681119,3357,1687.0,1771.0
30,2020-08-09,1815.0,1815.0,1815.0,1799.0,42826706748,5019539,4865,1729.0,1815.0
31,2020-08-10,2979.0,3128.0,2979.0,3035.0,942563098400,66071176,25934,1799.0,3128.0
32,2020-08-11,3187.0,3187.0,3187.0,3187.0,139382980254,9305226,11998,3035.0,3187.0
33,2020-08-12,3346.0,3346.0,3346.0,3346.0,118657179689,7544807,5828,3187.0,3346.0
34,2020-08-15,3514.0,3514.0,3514.0,3514.0,202728895551,12276927,9656,3346.0,3514.0
35,2020-08-16,3689.0,3689.0,3689.0,3645.0,41239195872,2378544,2569,3514.0,3689.0
