,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2012-02-15,263.0,263.0,263.0,263.0,2879205600000,599834500,1729,55.0,263.0
1,2012-02-18,274.0,274.0,274.0,274.0,16191262464,3243442,103,263.0,274.0
2,2012-02-19,285.0,285.0,285.0,285.0,34625241795,6670245,357,274.0,285.0
3,2012-02-20,291.0,296.0,291.0,296.0,869684379078,161495197,10846,285.0,296.0
4,2012-02-21,301.0,303.0,297.0,301.0,810341515536,147601771,9376,296.0,302.0
5,2012-02-22,300.0,300.0,295.0,297.0,160952101431,29770468,2828,301.0,297.0
6,2012-02-25,294.0,294.0,291.0,291.0,97571106480,18381792,2073,297.0,291.0
7,2012-02-26,291.0,297.0,291.0,294.0,33331501466,6227742,1041,291.0,293.0
8,2012-02-27,296.0,305.0,294.0,302.0,72893901848,13233140,1871,294.0,305.0
9,2012-02-28,304.0,314.0,303.0,311.0,110040929672,19415418,1782,302.0,313.0
10,2012-02-29,313.0,318.0,307.0,312.0,47748913142,8410639,1357,311.0,308.0
11,2012-03-03,309.0,312.0,307.0,309.0,42553394254,7552841,839,312.0,308.0
12,2012-03-04,307.0,310.0,306.0,308.0,34592095136,6158371,857,309.0,306.0
13,2012-03-05,306.0,306.0,301.0,302.0,46910127472,8514042,860,308.0,305.0
14,2012-03-06,303.0,304.0,302.0,302.0,43212949004,7850614,683,302.0,302.0
15,2012-03-07,302.0,309.0,302.0,305.0,22842851527,4108449,558,302.0,303.0
16,2012-03-10,304.0,309.0,304.0,306.0,21183758018,3795691,506,305.0,305.0
17,2012-03-11,306.0,309.0,306.0,307.0,33621202044,6003259,793,306.0,307.0
18,2012-03-12,307.0,307.0,303.0,304.0,16245164754,2928775,444,307.0,304.0
19,2012-03-13,305.0,313.0,303.0,307.0,36218982966,6473094,846,304.0,311.0
20,2012-03-14,312.0,319.0,312.0,318.0,16088343683,2773331,286,307.0,319.0
21,2012-03-17,331.0,331.0,324.0,331.0,65392242728,10857969,903,318.0,331.0
22,2012-03-18,337.0,344.0,333.0,335.0,227962634451,37340105,1964,331.0,341.0
23,2012-03-24,345.0,348.0,345.0,341.0,6908194701,1090189,139,335.0,348.0
24,2012-03-25,354.0,354.0,343.0,352.0,78710548295,12257147,1297,341.0,354.0
25,2012-03-26,352.0,354.0,346.0,349.0,26735049895,4203417,727,352.0,351.0
26,2012-03-27,351.0,363.0,351.0,360.0,47947679595,7312184,702,349.0,363.0
27,2012-03-28,368.0,374.0,365.0,372.0,70998693209,10466209,1624,360.0,374.0
28,2012-04-02,382.0,386.0,376.0,382.0,87460124189,12575597,1962,372.0,380.0
29,2012-04-03,379.0,381.0,369.0,374.0,39137369022,5736475,976,382.0,373.0
30,2012-04-04,373.0,384.0,373.0,379.0,77174537302,11178108,1284,374.0,381.0
31,2012-04-07,384.0,394.0,384.0,393.0,40021568246,5594285,509,379.0,394.0
32,2012-04-28,408.0,408.0,403.0,406.0,786076067190,106308285,3817,393.0,408.0
33,2012-04-29,408.0,413.0,402.0,407.0,169606293532,22846650,2518,406.0,408.0
34,2012-04-30,408.0,413.0,407.0,409.0,66139084193,8868711,1071,407.0,410.0
35,2012-05-01,410.0,410.0,401.0,407.0,106989447818,14439196,1162,409.0,409.0
36,2012-05-02,406.0,406.0,402.0,403.0,44603512474,6074299,797,407.0,405.0
37,2012-05-05,401.0,406.0,396.0,401.0,77595417084,10610922,1007,403.0,401.0
38,2012-05-06,403.0,409.0,395.0,400.0,41656916118,5717112,912,401.0,396.0
39,2012-05-07,396.0,396.0,387.0,390.0,29532744245,4152864,757,400.0,389.0
40,2012-05-08,386.0,395.0,385.0,389.0,33951858215,4790092,885,390.0,392.0
41,2012-05-09,394.0,396.0,391.0,394.0,20176229478,2808350,505,389.0,393.0
42,2012-05-12,396.0,396.0,378.0,382.0,42134193521,6058339,619,394.0,378.0
43,2012-05-13,374.0,384.0,370.0,379.0,35888840641,5197508,763,382.0,383.0
44,2012-05-14,384.0,392.0,384.0,388.0,18310831002,2589720,421,379.0,387.0
45,2012-05-15,391.0,392.0,380.0,385.0,15479079833,2209171,356,388.0,381.0
46,2012-05-16,383.0,384.0,379.0,383.0,23323721552,3340826,531,385.0,384.0
47,2012-05-19,382.0,382.0,376.0,379.0,21690253666,3138912,333,383.0,380.0
48,2012-05-20,380.0,385.0,380.0,381.0,22791570012,3286653,375,379.0,380.0
49,2012-05-21,384.0,390.0,382.0,387.0,28514997262,4046685,470,381.0,385.0
50,2012-05-22,387.0,389.0,385.0,386.0,26288978261,3737674,418,387.0,385.0
51,2012-05-23,389.0,389.0,380.0,383.0,27499315754,3935230,605,386.0,380.0
52,2012-05-26,384.0,384.0,376.0,380.0,11873969113,1722457,337,383.0,377.0
53,2012-05-27,379.0,379.0,372.0,377.0,11090573273,1617856,343,380.0,373.0
54,2012-05-28,378.0,378.0,372.0,374.0,13671740287,2011697,329,377.0,373.0
55,2012-05-29,371.0,375.0,371.0,373.0,20368751844,2995999,343,374.0,373.0
56,2012-05-30,373.0,373.0,369.0,372.0,14555743853,2146849,313,373.0,373.0
57,2012-06-02,372.0,373.0,368.0,372.0,9476652217,1398111,209,372.0,373.0
58,2012-06-05,370.0,373.0,368.0,371.0,6549427178,974959,154,372.0,369.0
59,2012-06-06,368.0,370.0,362.0,366.0,19909685444,2984288,338,371.0,364.0
60,2012-06-09,362.0,362.0,352.0,352.0,18147782280,2828155,283,366.0,352.0
61,2012-06-10,346.0,366.0,343.0,358.0,44318072018,6785964,707,352.0,362.0
62,2012-06-11,362.0,370.0,362.0,367.0,87252694804,13048693,442,358.0,366.0
63,2012-06-12,370.0,370.0,361.0,365.0,18221381328,2742372,263,367.0,365.0
64,2012-06-13,366.0,370.0,364.0,367.0,37125257025,5553693,368,365.0,368.0
65,2012-06-16,367.0,367.0,359.0,366.0,4823618016,727041,142,367.0,362.0
66,2012-06-17,368.0,368.0,358.0,363.0,10531907952,1597524,199,366.0,364.0
67,2012-06-19,357.0,362.0,357.0,362.0,4917759994,753856,103,363.0,357.0
