,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-09-22,112.0,112.0,112.0,112.0,1053500000,49000,18,112.0,112.0
1,2003-09-23,112.0,112.0,112.0,112.0,129000000,6000,2,112.0,112.0
2,2003-10-07,112.0,112.0,112.0,112.0,5375000,250,1,112.0,112.0
3,2003-10-08,112.0,112.0,112.0,112.0,9890000,460,4,112.0,112.0
4,2003-10-14,112.0,112.0,112.0,112.0,817000,38,1,112.0,112.0
5,2003-10-15,112.0,112.0,112.0,112.0,53750000,2500,1,112.0,112.0
6,2003-10-19,112.0,112.0,112.0,112.0,430000000,20000,5,112.0,112.0
7,2003-10-20,112.0,112.0,112.0,112.0,2150000,100,1,112.0,112.0
8,2003-10-21,112.0,112.0,112.0,112.0,198875000,9250,2,112.0,112.0
9,2003-10-22,112.0,112.0,112.0,112.0,26875000,1250,3,112.0,112.0
10,2003-10-26,112.0,112.0,112.0,112.0,279539000,13000,2,112.0,112.0
11,2003-10-28,112.0,112.0,112.0,112.0,21715920,1010,4,112.0,112.0
12,2003-10-29,118.0,118.0,117.0,117.0,237075570,10510,5,112.0,117.0
13,2003-11-02,117.0,117.0,117.0,117.0,5639250,250,1,117.0,117.0
14,2003-11-03,117.0,117.0,117.0,117.0,5865070,260,2,117.0,117.0
15,2003-11-08,117.0,117.0,117.0,117.0,16917750,750,3,117.0,117.0
16,2003-11-09,117.0,117.0,117.0,117.0,22557000,1000,2,117.0,117.0
17,2003-11-17,117.0,117.0,117.0,117.0,11278500,500,3,117.0,117.0
18,2003-11-30,117.0,117.0,117.0,117.0,5867070,260,2,117.0,117.0
19,2003-12-03,117.0,117.0,117.0,117.0,11504120,510,3,117.0,117.0
20,2004-01-11,47.0,47.0,47.0,47.0,18000000,2000,1,117.0,47.0
21,2004-01-14,47.0,47.0,47.0,47.0,2250000,250,1,47.0,47.0
22,2004-01-28,47.0,47.0,47.0,47.0,116987000,13000,2,47.0,47.0
23,2004-02-15,47.0,47.0,47.0,47.0,5507364280,612610,3,47.0,47.0
24,2004-02-22,47.0,47.0,47.0,47.0,5049034,562,5,47.0,47.0
25,2004-02-25,47.0,47.0,47.0,47.0,5706200,635,2,47.0,47.0
26,2004-03-07,47.0,47.0,47.0,47.0,2336690,260,2,47.0,47.0
27,2004-03-15,44.0,44.0,44.0,44.0,111085000,13000,2,47.0,44.0
28,2004-03-16,42.0,42.0,42.0,42.0,81180000,10000,1,44.0,42.0
29,2004-03-28,42.0,42.0,40.0,40.0,77316714,10023,2,42.0,40.0
30,2004-04-04,42.0,42.0,40.0,40.0,10200110,1260,2,40.0,40.0
