,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-12-01,97447.0,107192.0,88030.0,93140.0,4196028936500,36892044,185583,81889.0,92780.0
1,2020-12-02,90290.0,90290.0,83960.0,86941.0,8522905676340,80278011,412852,93140.0,84804.0
2,2020-12-05,84763.0,95629.0,84755.0,86794.0,6703556775890,63247256,161907,86941.0,87162.0
3,2020-12-06,88358.0,90077.0,86843.0,88661.0,7130698380870,65859801,142333,86794.0,87760.0
4,2020-12-07,87416.0,88104.0,82765.0,85549.0,6436675294860,61615363,158174,88661.0,83649.0
5,2020-12-08,84427.0,84755.0,81938.0,82830.0,4222260072040,41744281,143232,85549.0,82208.0
6,2020-12-09,82470.0,83518.0,81889.0,82102.0,3971587099610,39613764,133114,82830.0,82044.0
7,2020-12-12,82544.0,83117.0,81528.0,82003.0,5048480209350,50415527,119785,82102.0,81897.0
8,2020-12-13,81897.0,88440.0,81889.0,85303.0,8629808131030,82845166,157053,82003.0,86130.0
9,2020-12-14,85737.0,85737.0,81889.0,82503.0,4559894871090,45260285,101354,85303.0,81897.0
10,2020-12-15,81889.0,81921.0,75583.0,79416.0,4045280635170,41711266,101151,82503.0,77221.0
11,2020-12-16,77221.0,79907.0,75747.0,77589.0,2605019969040,27493062,59901,79416.0,77336.0
12,2020-12-19,78629.0,79432.0,76156.0,77598.0,2176036863540,22964331,48180,77589.0,77082.0
13,2020-12-20,77385.0,77843.0,72897.0,74691.0,1976241518650,21667726,58183,77598.0,73127.0
14,2020-12-21,73045.0,76443.0,70850.0,73298.0,2223703142090,24842583,53582,74691.0,71898.0
15,2020-12-22,72144.0,74764.0,70965.0,72955.0,2991453930920,33578022,59822,73298.0,74076.0
16,2020-12-23,74928.0,75419.0,71210.0,72570.0,1753272944520,19784889,42295,72955.0,71407.0
17,2020-12-26,71325.0,71407.0,66543.0,68197.0,1690185065880,20295655,60335,72570.0,66936.0
18,2020-12-27,66412.0,70007.0,64700.0,67304.0,2408122247340,29299805,50816,68197.0,67304.0
19,2020-12-28,68377.0,73618.0,68377.0,71341.0,3760809000120,43165973,64943,67304.0,72291.0
20,2020-12-29,72390.0,72471.0,67247.0,68549.0,2056951183150,24572929,41901,71341.0,67402.0
21,2020-12-30,67599.0,68541.0,65020.0,66395.0,1891981951040,23335119,43569,68549.0,65511.0
22,2021-01-02,65020.0,65020.0,61179.0,62325.0,1549250349320,20354463,41777,66395.0,61204.0
23,2021-01-03,61007.0,64201.0,59762.0,61875.0,2226041865830,29460602,42213,62325.0,61826.0
24,2021-01-04,63464.0,64201.0,61416.0,63054.0,2367125240570,30742892,40334,61875.0,62727.0
25,2021-01-05,61965.0,62235.0,58739.0,60123.0,1409561355220,19198695,37723,63054.0,58984.0
26,2021-01-06,58305.0,58550.0,55316.0,56470.0,1426260815390,20683722,41702,60123.0,55602.0
27,2021-01-09,56323.0,58018.0,52900.0,54710.0,1532167451040,22933603,36857,56470.0,54833.0
28,2021-01-10,56503.0,58141.0,55275.0,56986.0,2000113474840,28740506,38042,54710.0,57691.0
29,2021-01-11,58239.0,58796.0,54300.0,56200.0,1585229882200,23097304,31658,56986.0,54939.0
30,2021-01-12,54046.0,54046.0,50755.0,51893.0,1094968702130,17278104,34080,56200.0,50877.0
31,2021-01-13,49952.0,51590.0,48519.0,49731.0,1594657748990,26256437,33041,51893.0,49362.0
