,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2024-01-27,10000.0,10000.0,10000.0,10000.0,881353830000,88135383,14872,10000.0,10000.0
1,2024-01-28,10000.0,10000.0,10000.0,10000.0,1098646170000,109864617,544,10000.0,10000.0
2,2024-03-02,10221.0,10498.0,10221.0,10221.0,569423557931,55710861,132,10000.0,10235.0
3,2024-03-03,10230.0,10297.0,10221.0,10225.0,44035051862,4306409,338,10221.0,10249.0
4,2024-03-04,10100.0,10349.0,10100.0,10236.0,2812164403,274739,145,10225.0,10265.0
5,2024-03-05,10279.0,10390.0,10233.0,10318.0,10234816390,991967,107,10236.0,10389.0
6,2024-03-06,10310.0,10370.0,10300.0,10307.0,9814697276,952251,116,10318.0,10309.0
7,2024-03-10,10307.0,10401.0,10307.0,10313.0,597025373,57891,28,10307.0,10399.0
8,2024-03-11,10313.0,10332.0,10313.0,10315.0,17608609842,1707131,167,10313.0,10328.0
9,2024-03-12,10317.0,10339.0,10315.0,10315.0,14693965054,1424488,64,10315.0,10339.0
10,2024-03-13,10315.0,10340.0,10280.0,10306.0,1659368094,161004,38,10315.0,10280.0
11,2024-03-16,10270.0,10279.0,10219.0,10238.0,415832389,40616,38,10306.0,10230.0
12,2024-03-17,10309.0,10360.0,10214.0,10250.0,393982602,38437,30,10238.0,10260.0
13,2024-03-18,10339.0,10500.0,10281.0,10356.0,11420974811,1102820,66,10250.0,10390.0
14,2024-03-24,10379.0,10683.0,10379.0,10455.0,6935364145,663375,66,10356.0,10491.0
15,2024-03-25,10450.0,10627.0,10450.0,10515.0,9737994761,926140,79,10455.0,10627.0
16,2024-03-26,10520.0,10739.0,10520.0,10705.0,2140882260,199996,58,10515.0,10542.0
17,2024-03-27,10565.0,10879.0,10565.0,10751.0,747433384,69524,69,10705.0,10879.0
18,2024-03-30,10703.0,10869.0,10702.0,10837.0,1044245431,96359,33,10751.0,10850.0
19,2024-04-02,10702.0,10702.0,10530.0,10654.0,365644044,34319,41,10837.0,10699.0
20,2024-04-03,10657.0,10800.0,10657.0,10745.0,2059166248,191632,53,10654.0,10799.0
21,2024-04-06,10681.0,10870.0,10681.0,10709.0,422952142,39496,39,10745.0,10870.0
22,2024-04-07,10630.0,10860.0,10630.0,10688.0,384952249,36016,26,10709.0,10715.0
23,2024-04-08,10712.0,10919.0,10712.0,10805.0,4593257576,425118,34,10688.0,10820.0
24,2024-04-09,10661.0,10880.0,10661.0,10757.0,509503868,47365,24,10805.0,10856.0
25,2024-04-13,10670.0,10670.0,10460.0,10624.0,5386741777,507048,60,10757.0,10500.0
26,2024-04-14,10412.0,10523.0,10412.0,10412.0,15443311297,1483215,34,10624.0,10490.0
27,2024-04-15,10441.0,10620.0,10441.0,10620.0,56584001527,5328171,85,10412.0,10620.0
28,2024-04-16,10531.0,10531.0,10481.0,10510.0,75043585,7140,14,10620.0,10484.0
29,2024-04-17,10500.0,10709.0,10500.0,10670.0,729263010,68345,20,10510.0,10650.0
30,2024-04-20,10800.0,11690.0,10520.0,10898.0,107855082642,9896952,176,10670.0,11100.0
31,2024-04-21,11099.0,11099.0,10955.0,11032.0,1854253156,168075,68,10898.0,11040.0
32,2024-04-22,11000.0,11160.0,10840.0,10992.0,10890094951,990706,81,11032.0,11110.0
33,2024-04-23,10821.0,11130.0,10781.0,10784.0,25011817340,2319400,34,10992.0,10781.0
34,2024-04-24,10800.0,11100.0,10800.0,10981.0,532622807,48506,41,10784.0,10999.0
35,2024-04-27,11010.0,11010.0,10828.0,10876.0,658834403,60579,28,10981.0,10870.0
36,2024-04-28,10811.0,10984.0,10760.0,10785.0,1019911698,94570,34,10876.0,10915.0
37,2024-04-29,10701.0,10985.0,10701.0,10758.0,1401246256,130257,38,10785.0,10757.0
38,2024-04-30,10751.0,10889.0,10742.0,10800.0,54529159290,5049089,45,10758.0,10880.0
39,2024-05-01,10999.0,10999.0,10750.0,10994.0,242730938,22078,31,10800.0,10995.0
40,2024-05-05,10810.0,11000.0,10810.0,10930.0,117747559,10773,16,10994.0,10930.0
41,2024-05-06,10900.0,11000.0,10900.0,10910.0,1201011567,110087,33,10930.0,10994.0
42,2024-05-07,10901.0,11000.0,10900.0,10902.0,641749171,58863,20,10910.0,10900.0
43,2024-05-08,10900.0,10990.0,10900.0,10901.0,777791540,71353,18,10902.0,10901.0
44,2024-05-11,10935.0,10945.0,10900.0,10913.0,2216938326,203143,19,10901.0,10900.0
