,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-11-08,2683.0,2683.0,2415.0,2581.0,163456765,63157,23,997.0,2415.0
1,2015-11-09,2324.0,2324.0,2324.0,2324.0,216624760,92972,34,2581.0,2324.0
2,2015-11-10,2092.0,2175.0,2092.0,2104.0,1375003327,652063,215,2324.0,2094.0
3,2015-11-11,2096.0,2105.0,2063.0,2094.0,41007059,19539,17,2104.0,2095.0
4,2015-11-14,2054.0,2055.0,1945.0,2040.0,202710035,99117,30,2094.0,1995.0
5,2015-11-15,1945.0,1945.0,1896.0,1907.0,119620873,62574,27,2040.0,1898.0
6,2015-11-16,1905.0,1917.0,1845.0,1874.0,339532996,180685,48,1907.0,1850.0
7,2015-11-17,1776.0,1895.0,1776.0,1880.0,895960667,475409,148,1874.0,1895.0
8,2015-11-18,1965.0,2068.0,1895.0,2046.0,1945172054,948628,236,1880.0,2068.0
9,2015-11-21,2184.0,2184.0,2071.0,2080.0,1691370605,811050,312,2046.0,2071.0
10,2015-12-07,2085.0,2085.0,1876.0,1935.0,696920476,359200,101,2080.0,1876.0
11,2015-12-08,1921.0,1921.0,1742.0,1766.0,352108308,198913,74,1935.0,1742.0
12,2015-12-09,1726.0,1726.0,1627.0,1695.0,455644380,268128,76,1766.0,1696.0
13,2015-12-13,1632.0,1632.0,1531.0,1553.0,238792137,153407,52,1695.0,1543.0
14,2015-12-14,1546.0,1646.0,1546.0,1597.0,351405356,219488,76,1553.0,1568.0
15,2015-12-15,1645.0,1645.0,1576.0,1603.0,117722192,73264,32,1597.0,1606.0
16,2015-12-16,1581.0,1642.0,1581.0,1615.0,109006126,67336,35,1603.0,1584.0
17,2015-12-19,1635.0,1636.0,1546.0,1610.0,315650297,195560,59,1615.0,1636.0
18,2015-12-20,1497.0,1673.0,1497.0,1625.0,206444183,126715,49,1610.0,1646.0
19,2015-12-21,1596.0,1786.0,1596.0,1743.0,942802175,539548,130,1625.0,1786.0
20,2015-12-22,1885.0,1892.0,1795.0,1871.0,145559454,77588,40,1743.0,1873.0
21,2015-12-23,1795.0,1873.0,1762.0,1809.0,105313576,58051,46,1871.0,1840.0
22,2015-12-26,1795.0,1795.0,1641.0,1721.0,128802312,74650,38,1809.0,1692.0
23,2015-12-27,1766.0,1766.0,1585.0,1625.0,689159108,422978,117,1721.0,1596.0
24,2015-12-28,1596.0,1596.0,1463.0,1522.0,807668261,529393,121,1625.0,1463.0
25,2015-12-30,1441.0,1441.0,1371.0,1386.0,1678241753,1208414,241,1522.0,1406.0
26,2016-01-02,1347.0,1395.0,1279.0,1340.0,761594157,567206,122,1386.0,1346.0
27,2016-06-18,1747.0,1747.0,1746.0,1746.0,17536684772,10020347,389,1340.0,1746.0
28,2016-06-19,1746.0,1746.0,1746.0,1746.0,24514236250,14008135,577,1746.0,1746.0
29,2020-05-04,17823.0,17823.0,16042.0,16195.0,137794965370,8487146,1247,1746.0,16042.0
30,2020-05-05,16179.0,16358.0,14576.0,15216.0,545671524819,35771880,7026,16195.0,14576.0
31,2020-05-06,14942.0,15560.0,13715.0,14500.0,334370457620,23000573,4610,15216.0,14532.0
32,2020-05-09,15311.0,15950.0,14485.0,15688.0,258336642340,16425779,2754,14500.0,15950.0
33,2020-05-10,17257.0,17257.0,15965.0,16980.0,405227443512,23804147,4684,15688.0,17257.0
