,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2002-01-13,6238.0,6238.0,6238.0,6238.0,11170000,10000,1,6238.0,6238.0
1,2002-01-13,6238.0,6238.0,6238.0,6238.0,11170000,10000,1,6238.0,6238.0
2,2002-01-14,6250.0,6261.0,6238.0,6261.0,325626480,290880,34,6238.0,6261.0
3,2002-01-14,6272.0,6283.0,6261.0,6283.0,325626480,290880,34,6261.0,6283.0
4,2002-01-15,6283.0,6283.0,6283.0,6283.0,1084007,967,1,6283.0,6283.0
5,2002-01-15,6283.0,6283.0,6283.0,6283.0,1084007,967,1,6283.0,6283.0
6,2002-10-01,560.0,560.0,560.0,560.0,43503100,435031,2,6283.0,560.0
7,2002-10-01,50.0,50.0,50.0,50.0,43503100,435031,2,560.0,50.0
8,2005-08-10,100.0,100.0,100.0,100.0,19628200,98141,11,50.0,100.0
9,2005-08-10,200.0,200.0,200.0,200.0,19628200,98141,11,100.0,200.0
