,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-04-05,3205.0,3205.0,3205.0,3205.0,2386989605000,433998110,1544818,583.0,3205.0
1,2023-04-08,3362.0,3362.0,3362.0,3362.0,31931797390,5534107,2450,3205.0,3362.0
2,2023-04-09,3525.0,3525.0,3525.0,3525.0,46875575450,7748029,3358,3362.0,3525.0
3,2023-04-10,3700.0,3700.0,3700.0,3700.0,130901389200,20614392,4609,3525.0,3700.0
4,2023-04-11,3880.0,3880.0,3880.0,3880.0,239507532720,35962092,7466,3700.0,3880.0
5,2023-04-15,4073.0,4073.0,4073.0,4073.0,209035083240,29904876,7669,3880.0,4073.0
6,2023-04-16,4271.0,4271.0,4271.0,4271.0,124229015920,16948024,9025,4073.0,4271.0
7,2023-04-17,4481.0,4481.0,4481.0,4481.0,164750729180,21424022,28886,4271.0,4481.0
8,2023-04-26,6718.0,7051.0,6718.0,6833.0,634709372100,56317045,95904,4481.0,7051.0
9,2023-04-29,7172.0,7172.0,7172.0,7172.0,118794340210,10041787,33740,6833.0,7172.0
10,2023-04-30,7530.0,7530.0,7530.0,7530.0,72955266300,5874015,15882,7172.0,7530.0
11,2023-05-01,7906.0,7906.0,7906.0,7906.0,74142166960,5685749,15038,7530.0,7906.0
12,2023-05-02,8300.0,8300.0,8300.0,8300.0,59709181420,4361518,10601,7906.0,8300.0
13,2023-05-03,8712.0,8712.0,8712.0,8712.0,116888037270,8134171,22455,8300.0,8712.0
14,2023-05-06,9143.0,9143.0,9143.0,9143.0,120947918520,8020419,18756,8712.0,9143.0
15,2023-05-07,9598.0,9598.0,9598.0,9598.0,564306098700,35647890,74722,9143.0,9598.0
16,2023-05-08,10077.0,10077.0,9810.0,10077.0,2975301433270,179061738,246344,9598.0,10077.0
17,2023-05-09,10580.0,10580.0,10580.0,10580.0,220412852050,12631109,15219,10077.0,10580.0
18,2023-05-14,11107.0,11107.0,11107.0,11107.0,179083752480,9775314,21193,10580.0,11107.0
19,2023-05-17,11659.0,11659.0,11659.0,11659.0,585684283230,30456801,21363,11107.0,11659.0
20,2023-05-20,12241.0,12241.0,11829.0,12217.0,4918249788110,244085909,196139,11659.0,12241.0
21,2023-05-21,12217.0,12217.0,11611.0,11665.0,2109298018440,109639300,117703,12217.0,11611.0
22,2023-05-22,11216.0,12247.0,11168.0,11732.0,1950581622680,100813950,114023,11665.0,12247.0
23,2023-05-23,12314.0,12314.0,12314.0,12314.0,222816846450,10970795,6850,11732.0,12314.0
24,2023-05-24,12884.0,12926.0,12320.0,12811.0,3076830485140,145604255,44827,12314.0,12926.0
25,2023-05-27,13029.0,13448.0,12193.0,13223.0,1443679092880,66183894,42682,12811.0,13278.0
26,2023-05-28,13223.0,13793.0,12860.0,13448.0,1147800111840,51753578,30439,13223.0,13708.0
27,2023-05-29,13708.0,14115.0,13708.0,14078.0,353105647640,15208490,5942,13448.0,14115.0
28,2023-05-30,14782.0,14782.0,13375.0,14151.0,1966431450980,84246835,16110,14078.0,13375.0
29,2023-05-31,13448.0,13448.0,13448.0,13448.0,174288066740,7857893,2208,14151.0,13448.0
30,2023-06-03,12781.0,12781.0,12781.0,12781.0,100336499680,4759796,1141,13448.0,12781.0
31,2023-06-06,12144.0,13242.0,12144.0,12447.0,2168108122510,105624877,48610,12781.0,12174.0
32,2023-06-07,12247.0,12611.0,11829.0,12047.0,875327418560,44051206,23064,12447.0,11829.0
33,2023-06-10,11526.0,11932.0,11447.0,11550.0,1244098893370,65320531,29314,12047.0,11689.0
34,2023-06-11,11641.0,12126.0,11641.0,12047.0,895303405900,45062753,28864,11550.0,12126.0
35,2023-06-12,12278.0,12429.0,11447.0,11732.0,610823557610,31570928,12454,12047.0,11568.0
36,2023-06-13,11532.0,11944.0,11168.0,11417.0,405514454230,21536355,10513,11732.0,11198.0
37,2023-06-14,11223.0,11574.0,11162.0,11362.0,476174334420,25408961,9213,11417.0,11289.0
38,2023-06-17,11247.0,11926.0,11247.0,11677.0,295205717470,15331126,7067,11362.0,11514.0
39,2023-06-18,11556.0,11611.0,11216.0,11362.0,324476206550,17310417,7334,11677.0,11562.0
40,2023-06-19,11550.0,11920.0,11398.0,11726.0,344784389680,17827847,6391,11362.0,11823.0
41,2023-06-20,11823.0,12156.0,11641.0,11956.0,203767240030,10332182,5067,11726.0,11932.0
42,2023-06-21,11974.0,12302.0,11974.0,12181.0,258499478270,12864221,7230,11956.0,12144.0
43,2023-06-24,12132.0,12193.0,11653.0,11889.0,229538917750,11705543,7750,12181.0,11786.0
44,2023-06-25,11756.0,12484.0,11647.0,12302.0,500589981440,24673301,7579,11889.0,12229.0
45,2023-06-26,12235.0,12647.0,11841.0,12387.0,288374735670,14115942,6983,12302.0,12387.0
46,2023-06-27,12199.0,12581.0,12187.0,12405.0,299984420750,14658550,4005,12387.0,12308.0
47,2023-06-28,12453.0,12453.0,12126.0,12193.0,188667326060,9384074,3682,12405.0,12150.0
48,2023-07-01,12156.0,12405.0,11926.0,12187.0,238493653670,11863310,3436,12193.0,12011.0
49,2023-07-02,12023.0,12271.0,11914.0,12077.0,298528502330,14986018,5973,12187.0,12187.0
50,2023-07-03,12005.0,12247.0,11792.0,12011.0,206414694310,10421368,4424,12077.0,12071.0
51,2023-07-04,12071.0,12187.0,11823.0,12047.0,197435674270,9935852,4564,12011.0,12126.0
52,2023-07-05,12065.0,12423.0,12065.0,12241.0,206424540350,10225158,3274,12047.0,12205.0
53,2023-07-08,12132.0,12247.0,12114.0,12126.0,152465784640,7622385,2960,12241.0,12114.0
54,2023-07-09,12114.0,12429.0,11956.0,12156.0,132902796520,6629730,2961,12126.0,12047.0
55,2023-07-10,12265.0,12265.0,11883.0,11932.0,141023528660,7166814,2356,12156.0,11902.0
56,2023-07-11,11877.0,12126.0,11338.0,11514.0,482158905040,25383540,3094,11932.0,11338.0
57,2023-07-12,11095.0,11277.0,10944.0,10944.0,367758305880,20369398,1977,11514.0,10944.0
