,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-12-02,19828.0,19828.0,19828.0,19828.0,749998125000,29999925,4445627,793.0,19828.0
1,2020-12-05,20820.0,20820.0,20820.0,19950.0,6465900000,246320,36566,19828.0,20820.0
2,2020-12-06,20947.0,20947.0,20947.0,20434.0,25646903359,971069,41597,19950.0,20947.0
3,2020-12-07,21456.0,21456.0,21456.0,20566.0,6975060628,257839,38231,20434.0,21456.0
4,2020-12-08,21594.0,21594.0,21594.0,20693.0,6739197328,247528,36924,20566.0,21594.0
5,2020-12-09,21727.0,21727.0,21727.0,20809.0,6155459194,224701,33618,20693.0,21727.0
6,2020-12-12,21849.0,21849.0,21849.0,20893.0,4206799984,152708,21640,20809.0,21849.0
7,2020-12-13,21937.0,21937.0,21937.0,20955.0,3117722480,112720,16751,20893.0,21937.0
8,2020-12-14,22002.0,22002.0,22002.0,21044.0,4508356356,162516,21900,20955.0,22002.0
9,2020-12-15,22096.0,22096.0,22096.0,21130.0,4313241816,154824,22973,21044.0,22096.0
10,2020-12-16,22186.0,22186.0,22186.0,21195.0,3287135203,117511,17441,21130.0,22186.0
11,2020-12-19,22254.0,22254.0,22254.0,21276.0,3997397376,142464,20947,21195.0,22254.0
12,2020-12-20,22339.0,22339.0,22339.0,21372.0,4738000022,168217,20850,21276.0,22339.0
13,2020-12-21,22440.0,22440.0,22440.0,21472.0,5009586873,177061,20426,21372.0,22440.0
14,2020-12-22,22546.0,22546.0,22546.0,21570.0,4829463696,169896,25131,21472.0,22546.0
15,2020-12-23,22648.0,22648.0,22648.0,21682.0,5545095450,194190,25091,21570.0,22648.0
16,2020-12-26,22765.0,22765.0,22765.0,21840.0,7635457248,266016,39246,21682.0,22765.0
17,2020-12-27,22931.0,22931.0,22931.0,22000.0,7770822800,268775,39694,21840.0,22931.0
18,2020-12-28,23099.0,23099.0,23099.0,22143.0,6907164336,237164,35017,22000.0,23099.0
19,2020-12-29,23249.0,23249.0,23249.0,23249.0,53743773285,1833445,30078,22143.0,23249.0
20,2020-12-30,24411.0,24411.0,24411.0,24411.0,57067736594,1854173,51490,23249.0,24411.0
21,2021-01-02,25631.0,25631.0,25631.0,25631.0,53921798964,1668579,51947,24411.0,25631.0
22,2021-01-03,26912.0,26912.0,26912.0,26912.0,60662418627,1787817,44960,25631.0,26912.0
23,2021-01-04,28257.0,28257.0,28257.0,28257.0,58262863839,1635357,39114,26912.0,28257.0
24,2021-01-05,29669.0,29669.0,29669.0,29669.0,63532624960,1698370,55132,28257.0,29669.0
25,2021-01-06,31153.0,31153.0,31153.0,31153.0,66086256228,1682526,71303,29669.0,31153.0
26,2021-01-09,32710.0,32710.0,32710.0,32710.0,52735072905,1278705,13921,31153.0,32710.0
27,2021-01-11,34345.0,34345.0,34345.0,34345.0,80655864679,1862593,47162,32710.0,34345.0
28,2021-01-12,36062.0,36062.0,36062.0,36062.0,73465875828,1615771,37797,34345.0,36062.0
29,2021-01-13,37865.0,37865.0,37865.0,37865.0,64963470268,1360748,32898,36062.0,37865.0
30,2021-01-16,39758.0,39758.0,39757.0,39758.0,1095319135645,21850446,90165,37865.0,39758.0
31,2021-01-18,39657.0,41746.0,37771.0,41121.0,1419561559361,27380444,200139,39758.0,39260.0
32,2021-01-19,39065.0,39065.0,39065.0,39065.0,62039944368,1259592,731,41121.0,39065.0
33,2021-01-20,37112.0,41018.0,37112.0,39767.0,1267884996414,25287439,128673,39065.0,41018.0
34,2021-01-23,41754.0,41754.0,41754.0,41599.0,48392494835,919223,31504,39767.0,41754.0
35,2021-01-24,43679.0,43679.0,39519.0,43383.0,719418005887,13152197,45790,41599.0,43679.0
36,2021-01-25,44169.0,45552.0,42924.0,45154.0,300239096211,5273691,27435,43383.0,45552.0
37,2021-01-26,47411.0,47411.0,47411.0,46021.0,22918143138,383394,19591,45154.0,47411.0
38,2021-01-27,48322.0,48322.0,48322.0,46794.0,20391018310,334685,18570,46021.0,48322.0
39,2021-01-30,49133.0,49133.0,49133.0,47983.0,26683977104,430748,24019,46794.0,49133.0
40,2021-01-31,50381.0,50381.0,50381.0,49067.0,24342837318,383219,13225,47983.0,50381.0
41,2021-02-01,51520.0,51520.0,51520.0,50316.0,28033534312,431564,20488,49067.0,51520.0
42,2021-02-02,52832.0,52832.0,52832.0,50972.0,14726914020,221085,19685,50316.0,52832.0
43,2021-02-03,53521.0,53521.0,50166.0,53227.0,248444257259,3702069,28613,50972.0,53521.0
44,2021-02-06,54488.0,54488.0,50566.0,52353.0,290573828997,4402073,5046,53227.0,50566.0
45,2021-02-07,49736.0,49736.0,49736.0,49736.0,74185131700,1183025,773,52353.0,49736.0
46,2021-02-08,47249.0,47249.0,47249.0,48049.0,30108611211,505407,296,49736.0,47249.0
47,2021-02-09,45646.0,45646.0,45646.0,46099.0,34802269920,604710,479,48049.0,45646.0
48,2021-02-13,45178.0,48865.0,45178.0,47594.0,1156307284635,19269287,82955,46099.0,48865.0
49,2021-02-14,49006.0,50450.0,47594.0,49959.0,206506370507,3278477,33994,47594.0,50450.0
50,2021-02-15,52949.0,52956.0,50419.0,52302.0,1080638778670,16387213,41618,49959.0,50760.0
51,2021-02-16,51257.0,51491.0,51257.0,51257.0,190395115689,2946091,3143,52302.0,51257.0
52,2021-02-17,50232.0,50232.0,50232.0,50679.0,30734026846,485269,284,51257.0,50232.0
53,2021-02-20,49666.0,49666.0,49666.0,49951.0,35232454180,562639,176,50679.0,49666.0
54,2021-02-21,48952.0,48952.0,48952.0,49414.0,25942520720,420326,150,49951.0,48952.0
55,2021-02-22,48426.0,48426.0,48426.0,48897.0,25035812280,410040,60,49414.0,48426.0
56,2021-02-23,47919.0,47919.0,47919.0,48878.0,927823869,15357,55,48897.0,47919.0
57,2021-02-24,47900.0,47900.0,47900.0,48832.0,2243637100,37150,65,48878.0,47900.0
58,2021-02-27,47855.0,47855.0,47855.0,48800.0,1575157722,26106,31,48832.0,47855.0
59,2021-02-28,47824.0,47824.0,47824.0,48317.0,24259573744,402328,59,48800.0,47824.0
60,2021-03-01,47351.0,47351.0,47351.0,47827.0,24617170041,412341,170,48317.0,47351.0
61,2021-03-02,46870.0,46870.0,46870.0,47321.0,25395544395,429741,111,47827.0,46870.0
62,2021-03-03,46374.0,46374.0,46374.0,46842.0,23986966680,410244,155,47321.0,46374.0
63,2021-03-06,45906.0,45906.0,45906.0,46378.0,24279372315,419485,122,46842.0,45906.0
64,2021-03-07,45451.0,45451.0,45451.0,45934.0,23261422296,405916,79,46378.0,45451.0
65,2021-03-08,45016.0,45016.0,45016.0,45910.0,1279246023,22539,58,45934.0,45016.0
66,2021-03-09,44992.0,44992.0,44992.0,45899.0,563979834,9942,39,45910.0,44992.0
67,2021-03-10,44981.0,44981.0,44981.0,45452.0,23346870571,411667,140,45899.0,44981.0
68,2021-03-13,44543.0,44543.0,44543.0,45025.0,22989393028,409348,114,45452.0,44543.0
69,2021-03-14,44125.0,47727.0,44125.0,46672.0,1099212908607,18679799,117576,45025.0,47727.0
70,2021-03-15,47984.0,49182.0,45739.0,47244.0,495535839476,8319151,44238,46672.0,45739.0
71,2021-03-16,46299.0,46299.0,46299.0,46731.0,27623458625,473207,145,47244.0,46299.0
72,2021-03-17,45797.0,45797.0,45797.0,46696.0,1926735056,33368,103,46731.0,45797.0
73,2021-03-27,45762.0,45762.0,45762.0,46673.0,1170750118,20291,66,46696.0,45762.0
74,2021-03-28,45741.0,45741.0,45741.0,46622.0,2697272670,46770,53,46673.0,45741.0
75,2021-03-30,45690.0,45690.0,45690.0,46612.0,522495490,9070,41,46622.0,45690.0
76,2021-03-31,45680.0,45680.0,45680.0,46603.0,464265234,8061,30,46612.0,45680.0
77,2021-04-03,45671.0,45671.0,45671.0,46599.0,224055453,3891,27,46603.0,45671.0
78,2021-04-04,45667.0,45667.0,45667.0,46158.0,23202667284,402978,57,46599.0,45667.0
79,2021-04-05,45235.0,45235.0,45235.0,45716.0,23232856934,407351,51,46158.0,45235.0
80,2021-04-06,44802.0,44802.0,44802.0,45280.0,22948362976,406252,59,45716.0,44802.0
81,2021-04-07,44375.0,44375.0,44375.0,44851.0,22563504363,403287,65,45280.0,44375.0
82,2021-04-10,43955.0,43955.0,43955.0,44442.0,22375088736,403744,65,44851.0,43955.0
83,2021-04-11,43553.0,43553.0,43553.0,44027.0,22652546021,412517,43,44442.0,43553.0
84,2021-04-12,43146.0,43146.0,43146.0,43616.0,22440108800,412502,70,44027.0,43146.0
85,2021-04-13,42744.0,42744.0,42744.0,43603.0,683039882,12674,36,43616.0,42744.0
86,2021-04-14,42732.0,42732.0,42732.0,43404.0,10866775392,201696,55,43603.0,42732.0
87,2021-04-17,42536.0,42536.0,42536.0,43211.0,10908759924,203404,18,43404.0,42536.0
88,2021-04-18,42347.0,42347.0,42347.0,43066.0,8142653744,152507,34,43211.0,42347.0
89,2021-04-19,42206.0,42206.0,42206.0,42922.0,8165209374,153441,34,43066.0,42206.0
90,2021-04-20,42064.0,42064.0,42064.0,42789.0,7518984090,141774,31,42922.0,42064.0
91,2021-04-21,41505.0,41505.0,41505.0,42779.0,366578655,7005,7,42789.0,41505.0
92,2021-04-24,41496.0,41496.0,41496.0,42778.0,73037324,1396,4,42779.0,41496.0
93,2021-04-25,41494.0,41494.0,41494.0,42776.0,56188458,1074,9,42778.0,41494.0
94,2021-04-26,41493.0,41493.0,41493.0,42774.0,53728532,1027,10,42776.0,41493.0
95,2021-04-27,41492.0,41492.0,41492.0,42769.0,199525596,3814,18,42774.0,41492.0
96,2021-04-28,41486.0,41486.0,41486.0,42762.0,233916904,4472,14,42769.0,41486.0
97,2021-05-01,41480.0,41480.0,41480.0,42761.0,54600156,1044,8,42762.0,41480.0
98,2021-05-02,41478.0,41478.0,41478.0,42759.0,49420665,945,6,42761.0,41478.0
99,2021-05-03,41477.0,41477.0,41477.0,42758.0,53706965,1027,6,42759.0,41477.0
100,2021-05-05,41475.0,41475.0,41475.0,42755.0,82361475,1575,12,42758.0,41475.0
101,2021-05-08,41473.0,41473.0,41473.0,42754.0,65519370,1253,5,42755.0,41473.0
102,2021-05-09,41471.0,41471.0,41471.0,42467.0,10860792768,207711,46,42754.0,41471.0
103,2021-05-10,41193.0,41193.0,41193.0,42462.0,176533863,3399,9,42467.0,41193.0
104,2021-05-11,41188.0,41188.0,41188.0,42228.0,8860674944,170624,93,42462.0,41188.0
105,2021-05-18,29297.0,29297.0,27832.0,28042.0,67053770528,1995901,2417,42228.0,27832.0
106,2021-05-19,26640.0,26640.0,26640.0,27565.0,3215829252,100756,83,28042.0,26640.0
107,2021-05-22,26187.0,26187.0,26187.0,27456.0,1126828584,35916,45,27565.0,26187.0
108,2021-05-23,26084.0,26084.0,26084.0,27387.0,710062500,22722,23,27456.0,26084.0
109,2021-05-24,26019.0,26019.0,26019.0,27331.0,576837860,18505,30,27387.0,26019.0
110,2021-05-25,25965.0,25965.0,25965.0,27284.0,487773440,15680,24,27331.0,25965.0
111,2021-05-26,25920.0,25920.0,25920.0,27229.0,573846866,18479,55,27284.0,25920.0
112,2021-05-29,25867.0,28590.0,25867.0,27541.0,255415174242,7740758,57430,27229.0,28590.0
113,2021-05-30,28917.0,28917.0,27878.0,28712.0,184610328632,5366662,32535,27541.0,28917.0
114,2021-05-31,27795.0,28880.0,27277.0,27728.0,102138789253,3074656,19613,28712.0,27277.0
115,2021-06-01,26342.0,29114.0,26342.0,28059.0,239144246665,7113874,22521,27728.0,29114.0
116,2021-06-02,29297.0,29462.0,26681.0,28634.0,272782663850,7951770,16502,28059.0,28068.0
117,2021-06-07,27461.0,30048.0,27461.0,29194.0,158383380249,4528196,30787,28634.0,30047.0
118,2021-06-08,29815.0,30653.0,29815.0,30499.0,146280219604,4003307,24555,29194.0,30653.0
119,2021-06-09,30676.0,31551.0,28974.0,29737.0,89388258866,2509009,19509,30499.0,28974.0
120,2021-06-12,29965.0,30466.0,28279.0,29221.0,54619467202,1560133,13351,29737.0,28813.0
121,2021-06-13,27987.0,29005.0,27760.0,27894.0,128333273157,3840184,11547,29221.0,27797.0
122,2021-06-14,27803.0,29030.0,27803.0,28489.0,65872202019,1929936,14709,27894.0,28218.0
123,2021-06-15,27878.0,28629.0,27065.0,27220.0,68425635048,2098184,15375,28489.0,27065.0
124,2021-06-16,26710.0,28581.0,26710.0,28468.0,105847574789,3103416,18014,27220.0,28581.0
125,2021-06-19,28592.0,29280.0,27377.0,28297.0,65283386070,1925675,8863,28468.0,27953.0
126,2021-06-20,27386.0,28462.0,27043.0,27437.0,35925621419,1092910,9589,28297.0,27319.0
127,2021-06-21,27294.0,27945.0,26785.0,27349.0,77798079272,2374373,11254,27437.0,27695.0
128,2021-06-22,27962.0,28462.0,27352.0,27811.0,88806480257,2665238,10765,27349.0,27628.0
129,2021-06-23,27736.0,27820.0,26751.0,27170.0,91477606618,2810238,17345,27811.0,27193.0
130,2021-06-26,27170.0,28528.0,27170.0,28319.0,115718790635,3410717,11167,27170.0,28320.0
131,2021-06-27,28212.0,28713.0,27210.0,27823.0,61472794854,1844134,9832,28319.0,27628.0
132,2021-06-28,27277.0,28614.0,27277.0,27992.0,57966068826,1728498,11117,27823.0,27836.0
133,2021-06-29,27544.0,29391.0,27427.0,28946.0,239183508891,6897066,13816,27992.0,29391.0
134,2021-06-30,29881.0,30392.0,28946.0,29946.0,191681374371,5342529,12727,28946.0,30392.0
135,2021-07-03,30716.0,31443.0,30257.0,31190.0,178890654465,4787296,11076,29946.0,31217.0
136,2021-07-04,30049.0,31826.0,29714.0,30827.0,61590328317,1667632,9958,31190.0,30716.0
137,2021-07-05,30827.0,32302.0,30365.0,31673.0,82829417206,2182810,9099,30827.0,31367.0
138,2021-07-06,31718.0,32135.0,30089.0,30933.0,147915875403,3991305,11874,31673.0,31417.0
139,2021-07-07,31419.0,31888.0,30507.0,31363.0,80079003311,2131166,8358,30933.0,31300.0
140,2021-07-10,31300.0,31300.0,29795.0,30361.0,61776581645,1698324,8914,31363.0,29840.0
141,2021-07-11,29381.0,31717.0,29381.0,31027.0,111719126229,3005503,9758,30361.0,30549.0
142,2021-07-12,30424.0,31592.0,30215.0,30801.0,58992749461,1598635,12479,31027.0,30449.0
143,2021-07-13,30058.0,31293.0,29261.0,29911.0,157928224247,4407143,13532,30801.0,30315.0
144,2021-07-14,30048.0,30883.0,29297.0,30149.0,74365385243,2058774,18701,29911.0,30061.0
145,2021-07-17,29548.0,31050.0,29548.0,30484.0,88290991881,2417456,11581,30149.0,30841.0
146,2021-07-18,30716.0,32008.0,30716.0,31854.0,104917914192,2749220,7826,30484.0,32008.0
147,2021-07-19,33446.0,33446.0,32387.0,33333.0,192276982615,4814746,10189,31854.0,32928.0
148,2021-07-26,33206.0,34998.0,31776.0,33394.0,222377608010,5558374,12241,33333.0,34071.0
149,2021-07-27,34470.0,34798.0,31968.0,33418.0,102059416053,2549118,8458,33394.0,32386.0
150,2021-07-28,33345.0,33905.0,31748.0,32272.0,115602809033,2989916,11479,33418.0,31826.0
151,2021-07-31,31751.0,33878.0,31301.0,32861.0,156229442615,3968202,10539,32272.0,32886.0
152,2021-08-01,33387.0,33871.0,31300.0,32302.0,75618058500,1953937,8473,32861.0,31968.0
153,2021-08-02,31484.0,33345.0,31484.0,32636.0,73982674013,1892128,7675,32302.0,32218.0
154,2021-08-03,31734.0,32995.0,31635.0,32114.0,63000883418,1637436,7196,32636.0,32052.0
155,2021-08-04,31551.0,32686.0,31494.0,32081.0,65948837748,1715855,7646,32114.0,32113.0
156,2021-08-07,33387.0,33387.0,31768.0,32680.0,97678150458,2494809,8133,32081.0,33379.0
157,2021-08-08,33304.0,34314.0,32970.0,33852.0,168148819701,4146016,8732,32680.0,33387.0
158,2021-08-09,34162.0,34162.0,32499.0,32859.0,99047028785,2515960,9174,33852.0,32728.0
159,2021-08-10,32728.0,33676.0,32218.0,32703.0,77493704605,1977864,10140,32859.0,32738.0
160,2021-08-11,32619.0,33220.0,31492.0,32211.0,98813528394,2560552,15286,32703.0,31885.0
161,2021-08-14,31718.0,32327.0,31050.0,31532.0,62146578190,1645044,8497,32211.0,31524.0
162,2021-08-15,30883.0,32155.0,30883.0,31753.0,46801657694,1230272,7170,31532.0,31801.0
163,2021-08-22,31801.0,32945.0,31469.0,32266.0,114057849345,2950492,10821,31753.0,32539.0
164,2021-08-23,32385.0,32536.0,31567.0,32139.0,61235585308,1590331,8317,32266.0,32304.0
165,2021-08-24,32052.0,33746.0,32052.0,33481.0,147776422319,3684056,11274,32139.0,33746.0
166,2021-08-25,34501.0,34798.0,33481.0,33932.0,103905219453,2555930,9833,33481.0,33972.0
167,2021-08-28,33475.0,35628.0,33470.0,35351.0,179997417874,4249947,10334,33932.0,35628.0
168,2021-08-29,37118.0,37118.0,35474.0,36763.0,251282237053,5705122,9588,35351.0,35899.0
169,2021-08-30,35891.0,38386.0,35056.0,36556.0,205052445781,4681870,8308,36763.0,36116.0
170,2021-08-31,35899.0,38310.0,35062.0,36812.0,122792758553,2784258,7396,36556.0,37315.0
171,2021-09-01,37310.0,38645.0,37143.0,38214.0,93854814209,2049980,7564,36812.0,38479.0
172,2021-09-04,39063.0,39630.0,37152.0,38090.0,134481570376,2946910,10196,38214.0,37235.0
173,2021-09-05,37302.0,38245.0,36187.0,36849.0,145213335885,3289253,9711,38090.0,36843.0
174,2021-09-06,36275.0,37727.0,35223.0,36628.0,111988829823,2552009,21557,36849.0,35707.0
175,2021-09-07,35182.0,36058.0,34797.0,35088.0,65605342941,1560637,22511,36628.0,34797.0
176,2021-09-08,35056.0,35883.0,33905.0,34750.0,75603501324,1815964,38072,35088.0,34798.0
177,2021-09-11,35248.0,36434.0,34639.0,35684.0,84181435683,1969050,9409,34750.0,35540.0
178,2021-09-12,34731.0,35474.0,33900.0,34071.0,58398545782,1430666,5467,35684.0,33900.0
179,2021-09-13,33420.0,34806.0,32539.0,33293.0,37810577609,947952,9829,34071.0,32844.0
180,2021-09-14,32539.0,34956.0,32539.0,34132.0,47865161768,1170488,17718,33293.0,34021.0
181,2021-09-15,34714.0,34714.0,32644.0,33031.0,41712289469,1054057,25563,34132.0,32703.0
182,2021-09-18,32678.0,32736.0,31380.0,31517.0,41140794269,1089529,3660,33031.0,31380.0
183,2021-09-19,31375.0,32135.0,29941.0,30188.0,49750521730,1375594,5772,31517.0,30190.0
184,2021-09-20,29731.0,31037.0,29714.0,30390.0,24688627602,678097,7041,30188.0,29900.0
