,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2017-09-12,63.0,63.0,63.0,63.0,156000000000,80000000,101332,32.0,63.0
1,2017-09-13,66.0,66.0,66.0,66.0,1128296165,551195,160,63.0,66.0
2,2017-09-16,69.0,69.0,69.0,69.0,1785230174,830726,148,66.0,69.0
3,2017-09-17,72.0,72.0,72.0,72.0,2276624352,1009142,268,69.0,72.0
4,2017-09-18,76.0,76.0,76.0,76.0,9252479296,3907297,448,72.0,76.0
5,2017-09-19,80.0,80.0,80.0,80.0,37967340532,15272462,2785,76.0,80.0
6,2017-09-20,84.0,84.0,82.0,84.0,83953870411,32179159,22909,80.0,84.0
7,2017-09-23,85.0,88.0,84.0,86.0,186024509753,69168773,56096,84.0,88.0
8,2017-09-24,87.0,91.0,87.0,90.0,145380573834,52056714,9624,86.0,91.0
9,2017-09-25,92.0,94.0,92.0,94.0,71509547220,24495421,3542,90.0,94.0
10,2017-09-26,98.0,98.0,98.0,98.0,3718185448,1213507,217,94.0,98.0
11,2017-09-27,103.0,103.0,101.0,103.0,138614878410,43112490,5862,98.0,103.0
12,2017-10-02,106.0,106.0,98.0,100.0,105035077555,33847049,8946,103.0,98.0
13,2017-10-03,95.0,95.0,95.0,95.0,2738075868,928791,149,100.0,95.0
14,2017-10-04,94.0,99.0,91.0,96.0,77084705740,25820666,8645,95.0,97.0
15,2017-10-07,97.0,98.0,91.0,93.0,42327006336,14637958,4357,96.0,91.0
16,2017-10-08,90.0,91.0,88.0,88.0,25618042252,9308338,1677,93.0,88.0
17,2017-10-09,87.0,90.0,84.0,86.0,34379191913,12816912,3882,88.0,85.0
18,2017-10-10,85.0,87.0,84.0,85.0,22701746898,8580213,1958,86.0,84.0
19,2017-10-11,85.0,85.0,81.0,82.0,23825533202,9297529,2037,85.0,82.0
20,2017-10-14,84.0,86.0,82.0,86.0,14201416653,5328250,1026,82.0,86.0
21,2017-10-15,87.0,90.0,86.0,87.0,23698327270,8714819,1980,86.0,87.0
22,2017-10-16,87.0,87.0,85.0,85.0,18198787879,6830289,1603,87.0,85.0
23,2017-10-17,85.0,89.0,83.0,87.0,28894897766,10676896,2997,85.0,87.0
24,2017-10-18,87.0,89.0,85.0,86.0,11133444209,4138546,1686,87.0,86.0
25,2017-10-21,87.0,89.0,85.0,86.0,12738253341,4752291,1189,86.0,86.0
26,2017-10-22,85.0,85.0,82.0,83.0,21940262430,8432583,1490,86.0,83.0
27,2017-10-23,82.0,84.0,80.0,81.0,15023191227,5917250,1362,83.0,80.0
28,2017-10-24,81.0,81.0,79.0,80.0,19058458009,7684349,1381,81.0,79.0
29,2017-10-25,80.0,82.0,80.0,80.0,8434689662,3369174,967,80.0,80.0
30,2017-10-28,81.0,84.0,80.0,84.0,26089393928,9989822,1543,80.0,84.0
31,2017-10-29,85.0,86.0,82.0,84.0,16503552514,6295024,1125,84.0,82.0
