,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-05-08,12.0,12.0,12.0,12.0,197061900000,131374600,35320,8.0,12.0
1,2016-05-09,13.0,13.0,13.0,13.0,489412350,310738,116,12.0,13.0
2,2016-05-10,14.0,14.0,14.0,14.0,5827899450,3525650,657,13.0,14.0
3,2016-05-11,14.0,14.0,14.0,14.0,9165354375,5282625,1383,14.0,14.0
4,2016-05-14,15.0,15.0,15.0,15.0,95818536406,52663271,19935,14.0,15.0
5,2016-05-15,15.0,16.0,15.0,16.0,58864366319,31229619,12660,15.0,16.0
6,2016-05-16,16.0,16.0,16.0,16.0,80029709564,40604903,13258,16.0,16.0
7,2016-05-17,17.0,17.0,17.0,17.0,93485507462,45649869,17168,16.0,17.0
8,2016-05-18,17.0,18.0,17.0,17.0,41390516900,20020650,7645,17.0,17.0
9,2016-05-21,17.0,18.0,16.0,17.0,39406066811,18890031,6742,17.0,17.0
10,2016-05-23,18.0,18.0,18.0,18.0,47221010072,21692612,6170,17.0,18.0
11,2016-05-24,18.0,19.0,17.0,18.0,31223267428,14338206,5262,18.0,18.0
12,2016-05-25,18.0,18.0,17.0,18.0,21416619731,9868780,3337,18.0,18.0
13,2016-05-28,18.0,18.0,17.0,18.0,19773135651,9234594,3537,18.0,17.0
14,2016-05-29,18.0,18.0,17.0,17.0,37113846872,18045846,5365,18.0,17.0
15,2016-05-30,17.0,18.0,17.0,17.0,18954170645,9040899,2594,17.0,17.0
16,2016-05-31,17.0,18.0,17.0,17.0,15459310608,7386236,2270,17.0,17.0
17,2016-06-01,17.0,17.0,17.0,17.0,16107500230,7781638,2725,17.0,17.0
18,2016-06-05,17.0,18.0,17.0,17.0,19018313708,9064358,2610,17.0,17.0
19,2016-06-06,18.0,18.0,17.0,17.0,22671304374,10776276,3271,17.0,18.0
20,2016-06-07,18.0,18.0,17.0,17.0,11399495564,5418870,1572,17.0,17.0
21,2016-06-08,17.0,17.0,17.0,17.0,10479670593,5072393,1858,17.0,17.0
22,2016-06-11,17.0,17.0,16.0,17.0,45873269674,22374760,5500,17.0,17.0
23,2016-06-12,17.0,17.0,16.0,17.0,33067090230,16378872,3682,17.0,16.0
24,2016-06-13,17.0,17.0,17.0,17.0,33308559985,16263783,3469,17.0,17.0
25,2016-06-14,17.0,17.0,16.0,17.0,32527122766,16088244,3723,17.0,17.0
26,2016-06-15,17.0,17.0,16.0,16.0,4282621523,2151702,686,17.0,16.0
