,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2017-10-18,133.0,133.0,133.0,133.0,633670400000,360040000,151449,76.0,133.0
1,2017-10-21,140.0,140.0,140.0,140.0,5132058624,2777088,257,133.0,140.0
2,2017-10-22,147.0,147.0,147.0,147.0,20658111817,10654003,581,140.0,147.0
3,2017-10-23,154.0,154.0,147.0,152.0,443032525278,220994535,98521,147.0,148.0
4,2017-10-24,147.0,153.0,145.0,149.0,162515179970,82611006,32149,152.0,151.0
5,2017-10-25,152.0,155.0,152.0,154.0,84504250229,41633732,11974,149.0,154.0
6,2017-10-28,154.0,161.0,154.0,159.0,83679629987,39789824,7702,154.0,161.0
7,2017-10-29,163.0,167.0,160.0,163.0,94098625265,43761522,7039,159.0,161.0
8,2017-10-30,161.0,162.0,158.0,159.0,43061094933,20477306,4821,163.0,159.0
9,2017-10-31,161.0,164.0,159.0,162.0,37151503319,17376154,3068,159.0,160.0
10,2017-11-01,161.0,162.0,160.0,161.0,27630184557,13020853,2393,162.0,162.0
11,2017-11-04,162.0,169.0,161.0,167.0,93896715547,42558074,6025,161.0,167.0
12,2017-11-05,169.0,172.0,165.0,168.0,39146327147,17687999,2593,167.0,165.0
13,2017-11-06,165.0,166.0,164.0,165.0,21586547311,9929712,1739,168.0,166.0
14,2017-11-07,164.0,167.0,164.0,166.0,18524784445,8434467,1533,165.0,167.0
15,2017-11-08,167.0,167.0,164.0,165.0,18157974910,8315712,1035,166.0,165.0
16,2017-11-11,165.0,166.0,164.0,164.0,14194834967,6548922,1274,165.0,165.0
17,2017-11-12,164.0,171.0,164.0,168.0,22134603701,10012516,2006,164.0,170.0
18,2017-11-13,170.0,174.0,169.0,172.0,30059229878,13265050,1866,168.0,170.0
19,2017-11-14,170.0,173.0,170.0,172.0,16884540981,7456675,1019,172.0,171.0
20,2017-11-15,171.0,174.0,171.0,172.0,11970817011,5283761,945,172.0,172.0
21,2017-11-18,172.0,172.0,169.0,170.0,15052152262,6696415,735,172.0,170.0
22,2017-11-20,169.0,170.0,167.0,168.0,15733372693,7083440,982,170.0,169.0
23,2017-11-21,169.0,174.0,168.0,172.0,21223859296,9355169,1293,168.0,173.0
24,2017-11-22,173.0,180.0,173.0,180.0,69644180990,29395535,2538,172.0,179.0
25,2017-11-25,180.0,188.0,180.0,184.0,33830835292,13943635,1614,180.0,180.0
26,2017-11-26,180.0,182.0,177.0,179.0,21414998089,9071495,1177,184.0,180.0
27,2017-11-28,180.0,183.0,177.0,181.0,18184459692,7631687,987,179.0,180.0
28,2017-11-29,180.0,181.0,177.0,177.0,13846950159,5913895,735,181.0,177.0
29,2017-12-02,179.0,179.0,175.0,177.0,6177198410,2642677,683,177.0,176.0
30,2017-12-03,176.0,177.0,173.0,174.0,23590306041,10254864,836,177.0,174.0
31,2017-12-04,174.0,181.0,173.0,176.0,18256937446,7846085,933,174.0,177.0
32,2017-12-05,180.0,183.0,178.0,181.0,11364036975,4766865,688,176.0,181.0
33,2017-12-09,181.0,187.0,181.0,185.0,20644660089,8475020,974,181.0,185.0
34,2017-12-10,187.0,187.0,182.0,183.0,10664581545,4413704,660,185.0,183.0
35,2017-12-11,182.0,183.0,179.0,181.0,28964235897,12126014,1111,183.0,183.0
36,2017-12-12,179.0,190.0,179.0,189.0,57621900744,23093067,2033,181.0,190.0
37,2017-12-13,190.0,196.0,188.0,193.0,22616152908,8889433,1165,189.0,192.0
38,2017-12-16,197.0,201.0,192.0,196.0,31731632017,12282179,1164,193.0,198.0
39,2017-12-17,201.0,206.0,197.0,204.0,59490752048,22098127,1929,196.0,203.0
40,2017-12-18,207.0,207.0,198.0,201.0,11127378825,4200399,829,204.0,201.0
41,2017-12-19,201.0,202.0,197.0,199.0,7796267663,2970549,892,201.0,198.0
42,2017-12-20,196.0,204.0,195.0,199.0,12441891940,4731796,1782,199.0,202.0
43,2017-12-23,204.0,205.0,201.0,204.0,23335546016,8685698,976,199.0,204.0
44,2017-12-24,205.0,205.0,200.0,203.0,15564083890,5821758,798,204.0,201.0
45,2017-12-25,201.0,207.0,200.0,204.0,23999485286,8907322,914,203.0,204.0
46,2017-12-26,203.0,205.0,198.0,201.0,13216408283,4985569,687,204.0,201.0
47,2017-12-27,199.0,199.0,196.0,197.0,16804727657,6465341,801,201.0,197.0
48,2017-12-30,194.0,194.0,187.0,190.0,19621401204,7809148,880,197.0,189.0
49,2017-12-31,183.0,186.0,181.0,182.0,35918328436,14946272,1655,190.0,185.0
50,2018-01-01,185.0,189.0,185.0,187.0,6875172418,2783528,501,182.0,186.0
51,2018-01-02,187.0,189.0,185.0,187.0,6121657539,2477324,371,187.0,187.0
52,2018-01-03,191.0,191.0,185.0,185.0,10572911715,4319249,402,187.0,185.0
53,2018-01-06,186.0,191.0,186.0,188.0,6899358667,2773682,318,185.0,189.0
54,2018-01-07,186.0,190.0,185.0,186.0,7427692495,3020474,356,188.0,186.0
55,2018-01-08,186.0,187.0,184.0,185.0,9206895547,3769042,433,186.0,185.0
56,2018-01-09,184.0,184.0,182.0,183.0,8115317110,3362841,419,185.0,184.0
57,2018-01-10,182.0,190.0,182.0,188.0,12000165246,4838270,535,183.0,189.0
58,2018-01-13,190.0,192.0,188.0,189.0,3990935087,1593187,278,188.0,189.0
59,2018-01-14,186.0,194.0,184.0,191.0,11012104463,4363832,455,189.0,193.0
60,2018-01-15,191.0,197.0,191.0,194.0,12313295054,4811089,552,191.0,194.0
61,2018-01-16,194.0,195.0,191.0,193.0,9143001178,3586162,490,194.0,192.0
62,2018-01-17,190.0,195.0,190.0,193.0,12634782963,4963301,363,193.0,193.0
63,2018-01-20,192.0,193.0,189.0,190.0,10807669437,4314064,377,193.0,190.0
64,2018-01-21,190.0,191.0,185.0,186.0,6048660751,2464491,385,190.0,187.0
65,2018-01-22,187.0,191.0,182.0,187.0,10184242058,4125976,475,186.0,182.0
66,2018-01-23,184.0,187.0,183.0,185.0,5819029234,2392175,371,187.0,185.0
67,2018-01-24,183.0,186.0,182.0,184.0,9870691338,4068701,443,185.0,182.0
68,2018-01-27,183.0,186.0,181.0,183.0,10113540305,4198407,437,184.0,182.0
69,2018-01-28,181.0,184.0,181.0,182.0,15811668101,6586030,562,183.0,184.0
70,2018-01-29,184.0,186.0,181.0,182.0,16550599357,6888234,557,182.0,182.0
71,2018-01-30,185.0,185.0,180.0,182.0,6312079534,2634474,325,182.0,182.0
72,2018-01-31,181.0,184.0,181.0,182.0,5988074248,2494991,244,182.0,182.0
73,2018-02-03,183.0,183.0,179.0,181.0,14123049162,5919910,577,182.0,180.0
74,2018-02-04,179.0,181.0,178.0,180.0,16870357548,7111790,506,181.0,180.0
75,2018-02-05,180.0,183.0,180.0,181.0,4990142764,2087487,356,180.0,180.0
