,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-02-25,6.0,6.0,6.0,6.0,5750000,5000,9,6.0,6.0
1,2004-03-15,6.0,6.0,6.0,6.0,1206971,1000,2,6.0,6.0
2,2004-03-16,6.0,6.0,6.0,6.0,9443040,7640,6,6.0,6.0
3,2004-05-10,7.0,7.0,7.0,7.0,11673000,9000,6,6.0,7.0
4,2004-05-11,7.0,7.0,7.0,7.0,244916,180,3,7.0,7.0
5,2004-05-12,7.0,7.0,7.0,7.0,1197100,880,2,7.0,7.0
6,2004-05-15,7.0,7.0,7.0,7.0,13611600,9950,4,7.0,7.0
7,2004-05-16,8.0,8.0,8.0,8.0,13821500,9625,4,7.0,8.0
8,2004-05-17,8.0,8.0,8.0,8.0,13563000,9000,3,8.0,8.0
9,2004-05-18,8.0,8.0,8.0,8.0,1597160,1010,2,8.0,8.0
10,2004-05-19,8.0,8.0,8.0,8.0,14319000,9000,6,8.0,8.0
11,2004-05-22,9.0,9.0,9.0,9.0,33400000,20000,15,8.0,9.0
12,2004-05-23,9.0,9.0,9.0,9.0,3522900,2010,4,9.0,9.0
13,2004-05-24,9.0,9.0,9.0,9.0,17740000,10000,15,9.0,9.0
14,2004-05-25,10.0,10.0,10.0,10.0,16758000,9000,3,9.0,10.0
15,2004-05-26,10.0,10.0,10.0,10.0,58650000,30000,17,10.0,10.0
16,2004-05-29,11.0,11.0,11.0,11.0,18468000,9000,3,10.0,11.0
17,2004-05-30,11.0,11.0,11.0,11.0,21755400,10100,4,11.0,11.0
18,2004-05-31,12.0,12.0,12.0,12.0,45220000,20000,4,11.0,12.0
19,2004-06-01,12.0,12.0,12.0,12.0,71220000,30000,17,12.0,12.0
20,2004-06-02,13.0,13.0,13.0,13.0,79744000,32000,25,12.0,13.0
21,2004-06-05,14.0,14.0,14.0,14.0,117458400,44900,26,13.0,14.0
22,2004-06-06,14.0,14.0,14.0,14.0,122197000,44500,20,14.0,14.0
23,2004-06-07,15.0,15.0,15.0,15.0,196404375,68125,28,14.0,15.0
24,2004-06-08,16.0,16.0,15.0,15.0,6579638,2174,4,15.0,15.0
25,2004-06-09,16.0,16.0,16.0,16.0,104278000,34000,26,15.0,16.0
26,2004-06-12,17.0,17.0,17.0,17.0,112564760,34958,22,16.0,17.0
27,2004-06-13,18.0,18.0,18.0,18.0,111968577,33117,34,17.0,18.0
28,2004-06-14,19.0,19.0,19.0,19.0,128801100,36282,22,18.0,19.0
29,2004-06-15,20.0,20.0,20.0,20.0,75251857,20191,7,19.0,20.0
30,2004-06-16,21.0,21.0,21.0,21.0,156520000,40000,21,20.0,21.0
31,2004-06-19,22.0,22.0,22.0,22.0,124973576,30422,20,21.0,22.0
32,2004-06-20,23.0,23.0,23.0,23.0,194007366,44982,24,22.0,23.0
33,2004-06-21,24.0,24.0,24.0,24.0,298485760,65920,55,23.0,24.0
34,2004-06-22,25.0,25.0,23.0,24.0,307470360,67037,59,24.0,24.0
35,2004-06-23,23.0,23.0,23.0,23.0,120405695,27635,25,24.0,23.0
36,2004-06-26,22.0,22.0,22.0,22.0,141956460,34289,22,23.0,22.0
37,2004-06-27,21.0,21.0,21.0,21.0,99186327,25219,18,22.0,21.0
38,2004-06-28,20.0,20.0,20.0,20.0,72602436,19428,19,21.0,20.0
39,2004-06-29,20.0,20.0,19.0,19.0,150310656,42164,28,20.0,19.0
40,2004-06-30,18.0,18.0,18.0,18.0,118699744,35054,23,19.0,18.0
