,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-05-12,301.0,303.0,300.0,301.0,4137039500,880000,539,0.0,301.0
1,2001-05-13,313.0,316.0,303.0,303.0,799680012,165280,135,301.0,303.0
2,2001-05-15,308.0,310.0,305.0,305.0,361377317,75400,69,303.0,305.0
3,2001-05-16,307.0,312.0,307.0,311.0,139437070,28913,42,305.0,311.0
4,2001-05-19,314.0,321.0,311.0,321.0,120253660,24260,25,311.0,321.0
5,2001-05-20,321.0,321.0,321.0,321.0,212449954,42466,38,321.0,321.0
6,2001-05-21,321.0,321.0,318.0,318.0,56401097,11289,14,321.0,318.0
7,2001-05-23,317.0,317.0,310.0,313.0,114770372,23581,29,318.0,313.0
8,2001-05-26,308.0,311.0,305.0,305.0,43754587,9166,15,313.0,305.0
9,2001-05-27,305.0,305.0,302.0,305.0,289257950,61021,41,305.0,305.0
10,2001-05-28,305.0,311.0,305.0,311.0,71774440,15037,15,305.0,311.0
11,2001-05-29,311.0,312.0,311.0,312.0,20998926,4326,8,311.0,312.0
12,2001-05-30,312.0,317.0,312.0,317.0,76651396,15553,19,312.0,317.0
13,2001-06-02,317.0,317.0,317.0,317.0,3460100,700,2,317.0,317.0
14,2001-06-03,311.0,314.0,311.0,311.0,25078253,5170,9,317.0,311.0
15,2001-06-06,308.0,308.0,308.0,308.0,29692254,6186,8,311.0,308.0
16,2001-06-09,308.0,308.0,305.0,305.0,12252110,2569,6,308.0,305.0
17,2001-06-11,305.0,305.0,304.0,305.0,21274032,4482,7,305.0,305.0
18,2001-06-12,304.0,305.0,304.0,305.0,7694850,1620,6,305.0,305.0
19,2001-06-13,305.0,305.0,305.0,305.0,43700200,9200,18,305.0,305.0
20,2001-06-16,305.0,305.0,305.0,305.0,14620600,3078,4,305.0,305.0
21,2001-06-17,301.0,305.0,295.0,305.0,397081270,84808,53,305.0,305.0
22,2001-07-09,257.0,257.0,257.0,257.0,4002000,1000,1,305.0,257.0
23,2001-07-10,257.0,262.0,257.0,262.0,34465200,8516,9,257.0,262.0
24,2001-07-14,262.0,266.0,262.0,263.0,16731000,4070,11,262.0,263.0
25,2001-07-15,263.0,263.0,263.0,263.0,1027000,250,1,263.0,263.0
26,2001-07-16,269.0,274.0,269.0,274.0,10111600,2370,6,263.0,274.0
27,2001-07-17,276.0,279.0,275.0,279.0,38383325,8868,16,274.0,279.0
28,2001-07-18,282.0,285.0,279.0,283.0,53572813,12195,28,279.0,283.0
29,2001-07-21,289.0,289.0,284.0,289.0,33432262,7456,19,283.0,289.0
30,2001-07-22,289.0,292.0,289.0,289.0,20328746,4494,14,289.0,289.0
31,2001-07-23,289.0,289.0,289.0,289.0,33759000,7500,32,289.0,289.0
32,2001-07-24,289.0,293.0,289.0,293.0,78901840,17420,19,289.0,293.0
33,2001-07-25,292.0,295.0,292.0,295.0,16368000,3580,3,293.0,295.0
34,2001-07-29,298.0,302.0,298.0,302.0,21594400,4616,4,295.0,302.0
35,2001-07-30,310.0,310.0,310.0,310.0,15752320,3260,6,302.0,310.0
36,2001-07-31,317.0,317.0,310.0,310.0,83425147,17055,21,310.0,310.0
37,2001-08-01,310.0,310.0,310.0,310.0,42033794,8698,15,310.0,310.0
38,2001-08-05,304.0,304.0,302.0,302.0,9447000,2000,4,310.0,302.0
39,2001-08-06,295.0,295.0,295.0,295.0,16914810,3677,9,302.0,295.0
40,2001-08-07,295.0,295.0,295.0,295.0,4600000,1000,3,295.0,295.0
41,2001-08-08,289.0,289.0,289.0,289.0,7483500,1663,8,295.0,289.0
42,2001-08-11,289.0,289.0,289.0,289.0,7668000,1704,6,289.0,289.0
43,2001-08-12,282.0,285.0,282.0,282.0,48579300,11037,15,289.0,282.0
44,2001-08-13,289.0,289.0,284.0,289.0,39820126,8882,12,282.0,289.0
45,2001-08-14,296.0,296.0,296.0,296.0,5084200,1100,11,289.0,296.0
