,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2010-11-20,282.0,282.0,282.0,282.0,55000000,50000,1,256.0,282.0
1,2010-11-28,260.0,260.0,260.0,260.0,149523000,147750,3,282.0,260.0
2,2010-11-29,280.0,280.0,244.0,244.0,209873500,220770,6,260.0,244.0
3,2010-12-04,244.0,263.0,244.0,262.0,7151500,7000,2,244.0,263.0
4,2010-12-07,262.0,262.0,262.0,262.0,97445656,95348,5,262.0,262.0
5,2010-12-08,263.0,263.0,263.0,263.0,124537500,121500,5,262.0,263.0
6,2010-12-11,269.0,282.0,269.0,274.0,10680000,10000,4,263.0,282.0
7,2010-12-12,274.0,274.0,274.0,274.0,320400000,300000,6,274.0,274.0
8,2010-12-13,274.0,274.0,274.0,274.0,117700000,110000,3,274.0,274.0
9,2010-12-14,274.0,274.0,274.0,274.0,160500000,150000,7,274.0,274.0
10,2010-12-18,277.0,277.0,277.0,277.0,216994680,200921,5,274.0,277.0
11,2010-12-21,274.0,277.0,274.0,277.0,216735000,200500,5,277.0,277.0
12,2010-12-25,277.0,277.0,277.0,277.0,43726450,40450,3,277.0,277.0
13,2010-12-27,277.0,277.0,277.0,277.0,216740500,200500,5,277.0,277.0
14,2011-01-02,277.0,277.0,277.0,277.0,648600000,600000,12,277.0,277.0
15,2011-01-03,278.0,278.0,278.0,278.0,210990000,195000,4,277.0,278.0
16,2011-01-05,278.0,281.0,278.0,280.0,903209580,827164,18,278.0,281.0
17,2011-01-08,280.0,280.0,280.0,280.0,186939480,171190,5,280.0,280.0
18,2011-01-09,280.0,280.0,280.0,280.0,109200000,100000,2,280.0,280.0
19,2011-04-13,280.0,280.0,280.0,280.0,65520000,60000,2,280.0,280.0
20,2011-04-18,258.0,258.0,258.0,258.0,10050000,10000,1,280.0,258.0
21,2011-04-20,237.0,237.0,237.0,237.0,46250000,50000,2,258.0,237.0
22,2011-04-23,237.0,237.0,237.0,237.0,35612500,38500,2,237.0,237.0
23,2011-04-24,237.0,254.0,237.0,244.0,66650000,70000,3,237.0,254.0
24,2011-04-27,254.0,254.0,254.0,254.0,49500000,50000,1,244.0,254.0
25,2011-05-03,234.0,234.0,234.0,234.0,48283000,53000,2,254.0,234.0
26,2011-05-04,218.0,218.0,218.0,218.0,643336100,756866,39,234.0,218.0
27,2011-05-08,218.0,218.0,218.0,218.0,736491000,866460,32,218.0,218.0
28,2012-04-14,199.0,199.0,199.0,199.0,9552000,48000,1,218.0,199.0
29,2012-06-16,150.0,150.0,150.0,150.0,75000000,500000,10,199.0,150.0
30,2012-06-17,160.0,160.0,150.0,156.0,483400000,3100000,63,150.0,158.0
31,2012-06-19,160.0,160.0,150.0,152.0,76120160,500001,21,156.0,150.0
32,2012-06-20,152.0,152.0,140.0,141.0,70562500,500500,14,152.0,140.0
33,2012-06-23,130.0,130.0,130.0,130.0,130000,1000,1,141.0,130.0
