,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-26,55.0,55.0,55.0,55.0,4444800,800,1,0.0,55.0
1,2001-03-27,55.0,55.0,55.0,55.0,24557520,4420,3,55.0,55.0
2,2001-04-03,55.0,55.0,55.0,55.0,2444640,440,1,55.0,55.0
3,2001-04-07,58.0,58.0,58.0,58.0,8749500,1500,2,55.0,58.0
4,2001-04-08,58.0,58.0,58.0,58.0,16040750,2750,2,58.0,58.0
5,2001-04-09,58.0,58.0,58.0,58.0,11666000,2000,3,58.0,58.0
6,2001-04-10,58.0,58.0,58.0,58.0,1458250,250,2,58.0,58.0
7,2001-04-11,58.0,58.0,58.0,58.0,7000800,1200,2,58.0,58.0
8,2001-04-15,58.0,59.0,58.0,59.0,6539601,1107,4,58.0,59.0
9,2001-04-16,59.0,59.0,58.0,59.0,47031043,8025,14,59.0,59.0
10,2001-04-21,59.0,59.0,59.0,59.0,100155760,16780,14,59.0,59.0
11,2001-04-23,59.0,59.0,59.0,59.0,2251750,375,2,59.0,59.0
12,2001-04-24,60.0,61.0,60.0,61.0,25357500,4150,5,59.0,61.0
13,2001-04-25,62.0,62.0,62.0,62.0,24982150,3965,6,61.0,62.0
14,2001-04-28,62.0,62.0,62.0,62.0,12600000,2000,3,62.0,62.0
15,2001-04-30,62.0,62.0,61.0,61.0,11817200,1900,5,62.0,61.0
16,2001-05-01,61.0,61.0,60.0,61.0,43775872,7095,12,61.0,61.0
17,2001-05-02,61.0,61.0,61.0,61.0,8233600,1328,1,61.0,61.0
18,2001-05-06,61.0,61.0,61.0,61.0,6863400,1107,3,61.0,61.0
19,2001-05-07,61.0,61.0,61.0,61.0,6200000,1000,4,61.0,61.0
20,2001-05-08,61.0,61.0,61.0,61.0,30798900,4967,11,61.0,61.0
21,2001-05-12,62.0,62.0,62.0,62.0,26238600,4165,6,61.0,62.0
22,2001-05-13,62.0,65.0,62.0,65.0,81561608,12500,13,62.0,65.0
23,2001-05-15,65.0,65.0,65.0,65.0,6550000,1000,4,65.0,65.0
24,2001-05-16,64.0,64.0,64.0,64.0,1386750,215,1,65.0,64.0
25,2001-05-19,62.0,62.0,62.0,62.0,12500000,2000,1,64.0,62.0
26,2001-05-20,63.0,63.0,62.0,63.0,32654825,5187,8,62.0,63.0
27,2001-05-21,63.0,64.0,63.0,64.0,21460000,3350,6,63.0,64.0
28,2001-05-23,64.0,64.0,64.0,64.0,36838500,5700,6,64.0,64.0
29,2001-05-27,64.0,64.0,64.0,64.0,1624500,250,2,64.0,64.0
30,2001-05-28,64.0,64.0,64.0,64.0,32363840,4980,5,64.0,64.0
31,2001-05-29,64.0,64.0,62.0,64.0,12797850,2000,3,64.0,64.0
32,2001-05-30,63.0,64.0,63.0,64.0,20084000,3125,5,64.0,64.0
33,2001-06-02,64.0,64.0,64.0,64.0,817021100,125704,63,64.0,64.0
34,2001-06-03,64.0,65.0,64.0,65.0,51758120,7912,12,64.0,65.0
35,2001-06-06,64.0,65.0,64.0,65.0,128270240,19588,20,65.0,65.0
36,2001-06-09,65.0,66.0,65.0,66.0,218793923,32902,21,65.0,66.0
37,2001-06-11,67.0,67.0,67.0,67.0,376529900,55650,19,66.0,67.0
38,2001-06-12,67.0,67.0,67.0,67.0,177048641,26173,33,67.0,67.0
39,2001-06-13,67.0,68.0,67.0,67.0,8920426000,1311800,25,67.0,67.0
40,2001-06-17,67.0,68.0,67.0,68.0,45457429,6699,9,67.0,68.0
41,2001-06-18,68.0,68.0,68.0,68.0,65568339,9572,24,68.0,68.0
42,2001-06-19,67.0,68.0,67.0,68.0,46610900,6800,10,68.0,68.0
43,2001-06-20,67.0,67.0,67.0,67.0,63287165,9355,14,68.0,67.0
44,2001-06-23,67.0,69.0,67.0,69.0,188472599,27508,24,67.0,69.0
45,2001-06-24,69.0,69.0,67.0,69.0,111953950,16025,17,69.0,69.0
46,2001-06-25,69.0,70.0,69.0,69.0,434182450,61375,29,69.0,69.0
47,2001-06-26,69.0,70.0,69.0,69.0,261149794,36923,11,69.0,69.0
48,2001-08-07,57.0,64.0,57.0,64.0,15576500,2500,3,69.0,64.0
49,2001-08-08,64.0,64.0,64.0,64.0,43298288,6649,1,64.0,64.0
50,2001-08-11,66.0,67.0,66.0,67.0,20820350,3050,5,64.0,67.0
51,2001-08-12,71.0,71.0,68.0,71.0,99808875,13925,11,67.0,71.0
52,2001-08-13,74.0,74.0,74.0,74.0,90432000,12000,4,71.0,74.0
53,2001-08-14,78.0,78.0,78.0,78.0,116520024,14727,26,74.0,78.0
