,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-07-03,10.0,10.0,10.0,10.0,1548886500,442539,319,0.0,10.0
1,2004-07-10,11.0,11.0,11.0,11.0,85627500,23300,20,10.0,11.0
2,2004-07-11,11.0,11.0,11.0,11.0,14660251,3800,6,11.0,11.0
3,2004-07-12,11.0,11.0,11.0,11.0,77880000,20000,11,11.0,11.0
4,2004-07-13,12.0,12.0,11.0,11.0,24679120,6037,6,11.0,11.0
5,2004-07-14,12.0,12.0,11.0,11.0,13276634,3200,5,11.0,11.0
6,2004-07-17,12.0,12.0,12.0,12.0,7527418,1800,4,11.0,12.0
7,2004-07-18,12.0,12.0,12.0,12.0,79073388,18827,11,12.0,12.0
8,2004-07-19,13.0,13.0,12.0,12.0,13190822,3000,3,12.0,12.0
9,2004-07-20,13.0,13.0,13.0,13.0,110503550,24950,4,12.0,13.0
10,2004-07-24,13.0,13.0,13.0,13.0,39143572,8418,9,13.0,13.0
11,2004-07-26,14.0,14.0,13.0,13.0,949374,200,3,13.0,13.0
12,2004-07-27,14.0,14.0,13.0,13.0,1768784,373,3,13.0,13.0
13,2004-07-31,14.0,14.0,13.0,13.0,59370638,12494,9,13.0,13.0
14,2004-08-01,14.0,14.0,14.0,14.0,23077210,4710,8,13.0,14.0
15,2004-08-02,14.0,14.0,14.0,14.0,19627820,3960,3,14.0,14.0
16,2004-08-03,14.0,14.0,14.0,14.0,69473675,13881,19,14.0,14.0
17,2004-08-04,15.0,15.0,14.0,14.0,37901390,7320,9,14.0,14.0
18,2004-08-07,15.0,15.0,15.0,15.0,42754420,8110,6,14.0,15.0
19,2004-08-08,16.0,16.0,16.0,16.0,190149946,35357,24,15.0,16.0
20,2004-08-09,16.0,16.0,16.0,16.0,38447490,6810,20,16.0,16.0
21,2004-08-11,17.0,17.0,17.0,17.0,253796400,44200,12,16.0,17.0
22,2004-08-14,17.0,17.0,16.0,16.0,664235735,116295,60,17.0,16.0
23,2004-08-15,16.0,16.0,16.0,16.0,217638863,40110,32,16.0,16.0
24,2004-08-16,15.0,15.0,15.0,15.0,235559972,44888,25,16.0,15.0
25,2004-08-17,15.0,16.0,15.0,15.0,114868246,22244,15,15.0,15.0
26,2004-08-18,15.0,15.0,14.0,15.0,55849501,11086,10,15.0,15.0
27,2004-08-23,15.0,15.0,15.0,15.0,101820,20,2,15.0,15.0
28,2004-08-28,14.0,14.0,14.0,14.0,67276760,13900,7,15.0,14.0
29,2004-09-08,13.0,14.0,13.0,14.0,8269900,1770,3,14.0,14.0
30,2004-09-12,14.0,14.0,13.0,14.0,16988780,3551,4,14.0,14.0
31,2004-09-14,13.0,14.0,13.0,14.0,201826187,42150,16,14.0,14.0
32,2004-09-15,14.0,14.0,14.0,14.0,4747830,1010,2,14.0,14.0
33,2004-09-21,13.0,14.0,13.0,14.0,3682930,810,2,14.0,14.0
