,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-17,257.0,257.0,257.0,257.0,375436,94,1,257.0,257.0
1,2001-07-08,225.0,225.0,225.0,225.0,1750000,500,1,257.0,225.0
2,2001-07-10,237.0,237.0,237.0,237.0,3675000,1000,2,225.0,237.0
3,2001-07-11,248.0,248.0,248.0,248.0,3858000,1000,1,237.0,248.0
4,2001-07-14,261.0,261.0,261.0,261.0,15880050,3921,16,248.0,261.0
5,2001-07-15,274.0,274.0,274.0,274.0,4252000,1000,2,261.0,274.0
6,2001-07-16,287.0,287.0,287.0,287.0,4464000,1000,1,274.0,287.0
7,2001-07-21,302.0,302.0,302.0,302.0,5136952,1096,2,287.0,302.0
8,2001-07-23,317.0,317.0,317.0,317.0,14763000,3000,7,302.0,317.0
9,2001-07-24,322.0,322.0,317.0,322.0,18392800,3684,8,317.0,322.0
10,2001-07-25,317.0,317.0,317.0,317.0,54083235,10990,13,322.0,317.0
11,2001-07-28,317.0,317.0,317.0,317.0,1915047,389,2,317.0,317.0
12,2001-07-30,325.0,325.0,317.0,318.0,13865944,2808,3,317.0,318.0
13,2001-07-31,318.0,318.0,318.0,318.0,5226465,1059,8,318.0,318.0
14,2001-08-01,318.0,318.0,318.0,318.0,6322520,1279,4,318.0,318.0
15,2001-08-04,318.0,318.0,318.0,318.0,1502860,304,4,318.0,318.0
16,2001-08-05,318.0,318.0,318.0,318.0,2313792,468,2,318.0,318.0
17,2001-08-06,318.0,318.0,318.0,318.0,3243920,656,4,318.0,318.0
18,2001-08-07,318.0,318.0,318.0,318.0,341295,69,2,318.0,318.0
19,2001-08-08,318.0,318.0,318.0,318.0,6330552,1280,4,318.0,318.0
20,2001-08-11,318.0,318.0,317.0,318.0,25776492,5220,11,318.0,318.0
21,2001-08-12,317.0,317.0,317.0,317.0,5764131,1171,3,318.0,317.0
22,2001-08-13,317.0,317.0,317.0,317.0,1077918,219,1,317.0,317.0
23,2001-08-14,317.0,317.0,317.0,317.0,802286,163,2,317.0,317.0
24,2001-08-15,317.0,317.0,317.0,317.0,7664002,1557,3,317.0,317.0
25,2001-08-18,317.0,317.0,317.0,317.0,1151748,234,1,317.0,317.0
26,2001-08-19,317.0,317.0,317.0,317.0,8073720,1640,3,317.0,317.0
27,2001-08-20,317.0,317.0,317.0,317.0,2303730,468,2,317.0,317.0
28,2001-08-21,317.0,317.0,317.0,317.0,4385331,891,4,317.0,317.0
29,2001-08-25,317.0,317.0,317.0,317.0,8065519,1639,5,317.0,317.0
30,2001-08-27,317.0,317.0,317.0,317.0,3459463,703,1,317.0,317.0
31,2001-08-28,317.0,317.0,317.0,317.0,3001810,610,5,317.0,317.0
32,2001-08-29,317.0,317.0,317.0,317.0,6914005,1405,4,317.0,317.0
33,2001-09-02,317.0,317.0,317.0,317.0,6137913,1247,4,317.0,317.0
34,2001-09-03,315.0,333.0,315.0,333.0,44983340,8902,8,317.0,333.0
35,2001-09-04,333.0,349.0,333.0,349.0,27610698,5094,2,333.0,349.0
36,2001-09-09,349.0,349.0,349.0,349.0,1181030,218,3,349.0,349.0
37,2001-09-11,349.0,349.0,348.0,348.0,2533284,468,2,349.0,348.0
38,2001-09-15,348.0,348.0,348.0,348.0,54100,10,1,348.0,348.0
39,2001-09-16,348.0,348.0,348.0,348.0,54100,10,1,348.0,348.0
40,2001-09-19,348.0,349.0,348.0,349.0,30579792,5651,13,348.0,349.0
41,2001-09-23,349.0,349.0,349.0,349.0,54190,10,1,349.0,349.0
42,2001-09-29,347.0,347.0,346.0,346.0,1232498,229,2,349.0,346.0
43,2001-09-30,346.0,346.0,346.0,346.0,107600,20,2,346.0,346.0
44,2001-10-02,346.0,346.0,346.0,346.0,5087294,947,2,346.0,346.0
45,2001-10-03,345.0,345.0,345.0,345.0,241065,45,5,346.0,345.0
46,2001-10-06,344.0,344.0,344.0,344.0,320760,60,5,345.0,344.0
47,2001-10-23,327.0,327.0,327.0,327.0,726297,143,1,344.0,327.0
48,2001-10-27,325.0,325.0,325.0,325.0,4732787,937,1,327.0,325.0
49,2001-10-28,324.0,324.0,324.0,324.0,3541714,703,1,325.0,324.0
50,2001-10-30,316.0,316.0,316.0,316.0,10663782,2171,5,324.0,316.0
51,2001-11-04,314.0,314.0,300.0,300.0,32591540,6928,14,316.0,300.0
52,2001-11-05,303.0,315.0,300.0,315.0,139613444,29447,63,300.0,315.0
53,2001-11-06,315.0,322.0,315.0,322.0,31075860,6297,28,315.0,322.0
54,2001-11-07,322.0,331.0,322.0,330.0,109096549,21363,33,322.0,330.0
55,2001-11-10,330.0,330.0,330.0,330.0,67897107,13233,28,330.0,330.0
56,2001-11-11,330.0,330.0,330.0,330.0,51310000,10000,16,330.0,330.0
57,2001-11-12,322.0,322.0,322.0,322.0,16250000,3250,6,330.0,322.0
58,2001-11-13,315.0,316.0,312.0,315.0,23606363,4827,9,322.0,315.0
59,2001-11-14,315.0,315.0,309.0,309.0,7774300,1607,3,315.0,309.0
60,2001-11-17,299.0,303.0,299.0,303.0,83081661,17742,33,309.0,303.0
61,2001-11-18,303.0,305.0,303.0,305.0,22054169,4685,5,303.0,305.0
62,2001-11-19,306.0,310.0,305.0,310.0,10059930,2109,5,305.0,310.0
63,2001-11-20,322.0,322.0,312.0,322.0,29892291,6036,7,310.0,322.0
64,2001-11-21,322.0,322.0,315.0,315.0,12829700,2580,5,322.0,315.0
65,2001-11-24,313.0,331.0,313.0,322.0,1101754191,214771,20,315.0,322.0
66,2001-11-25,322.0,338.0,322.0,338.0,51206733,10131,13,322.0,338.0
67,2001-11-26,339.0,355.0,338.0,339.0,1123977679,204140,7,338.0,339.0
68,2001-11-27,339.0,339.0,329.0,329.0,27487367,5303,9,339.0,329.0
69,2001-11-28,328.0,328.0,322.0,328.0,23561603,4640,17,329.0,328.0
70,2001-12-01,328.0,335.0,328.0,335.0,14243497,2766,4,328.0,335.0
71,2001-12-02,335.0,335.0,322.0,322.0,71673890,14110,16,335.0,322.0
72,2001-12-03,322.0,322.0,322.0,322.0,16106443,3220,7,322.0,322.0
73,2001-12-04,319.0,325.0,319.0,325.0,37318229,7510,19,322.0,325.0
74,2001-12-05,325.0,328.0,325.0,328.0,14378687,2837,5,325.0,328.0
