,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-08,51.0,51.0,51.0,51.0,11285091,1791,1,51.0,51.0
1,2001-04-09,51.0,51.0,51.0,51.0,5911276,938,2,51.0,51.0
2,2001-04-11,51.0,51.0,51.0,51.0,12606000,2000,2,51.0,51.0
3,2001-04-15,51.0,51.0,51.0,51.0,16689000,2620,4,51.0,51.0
4,2001-04-16,51.0,51.0,51.0,51.0,26719600,4175,5,51.0,51.0
5,2001-04-17,51.0,51.0,51.0,51.0,723200,113,2,51.0,51.0
6,2001-04-21,52.0,52.0,52.0,52.0,8125000,1250,1,51.0,52.0
7,2001-04-24,52.0,52.0,52.0,52.0,8127500,1250,1,52.0,52.0
8,2001-04-25,52.0,52.0,52.0,52.0,1788475,275,3,52.0,52.0
9,2001-04-28,52.0,52.0,52.0,52.0,18237167,2800,7,52.0,52.0
10,2001-05-01,52.0,53.0,52.0,53.0,26665000,4050,5,52.0,53.0
11,2001-05-02,54.0,54.0,54.0,54.0,41810120,6259,2,53.0,54.0
12,2001-05-30,44.0,44.0,44.0,44.0,15675000,2850,2,54.0,44.0
13,2001-06-20,46.0,46.0,46.0,46.0,14437500,2500,5,44.0,46.0
14,2001-06-23,48.0,48.0,48.0,48.0,18500000,3125,5,46.0,48.0
15,2001-06-25,49.0,49.0,49.0,49.0,17940775,2965,7,48.0,49.0
16,2001-06-26,49.0,49.0,49.0,49.0,3025000,500,4,49.0,49.0
17,2001-07-01,49.0,49.0,49.0,49.0,7572218,1250,3,49.0,49.0
18,2001-07-03,50.0,50.0,49.0,49.0,289758752,47734,16,49.0,49.0
19,2001-07-04,49.0,49.0,49.0,49.0,1211600,200,1,49.0,49.0
20,2001-07-08,49.0,49.0,49.0,49.0,14157739,2336,6,49.0,49.0
21,2001-07-09,49.0,49.0,49.0,49.0,60500000,10000,1,49.0,49.0
22,2001-07-10,49.0,49.0,49.0,49.0,144431650,23873,3,49.0,49.0
23,2001-07-15,49.0,49.0,47.0,49.0,40041853,6747,13,49.0,49.0
24,2001-07-16,49.0,49.0,49.0,49.0,2107488,348,3,49.0,49.0
25,2001-07-17,47.0,49.0,47.0,47.0,72082401,12182,11,49.0,47.0
26,2001-07-18,47.0,47.0,47.0,47.0,737500,125,1,47.0,47.0
27,2001-07-21,47.0,47.0,47.0,47.0,2950000,500,1,47.0,47.0
28,2001-07-22,47.0,49.0,47.0,49.0,23790900,3958,6,47.0,49.0
29,2001-07-24,49.0,49.0,49.0,49.0,9848682,1626,2,49.0,49.0
30,2001-07-25,49.0,49.0,49.0,49.0,24228000,4000,2,49.0,49.0
31,2001-07-28,49.0,49.0,49.0,49.0,1514250,250,1,49.0,49.0
32,2001-08-01,49.0,50.0,49.0,50.0,23182000,3750,5,49.0,50.0
33,2001-08-04,50.0,51.0,50.0,51.0,19437500,3125,9,50.0,51.0
34,2001-08-05,51.0,51.0,51.0,51.0,7882500,1250,2,51.0,51.0
35,2001-08-06,51.0,52.0,51.0,52.0,17280890,2700,7,51.0,52.0
36,2001-08-07,52.0,52.0,51.0,51.0,6636920,1036,4,52.0,51.0
37,2001-08-08,52.0,52.0,52.0,52.0,11965630,1864,4,51.0,52.0
38,2001-08-11,52.0,52.0,52.0,52.0,8025000,1250,2,52.0,52.0
39,2001-08-13,52.0,54.0,52.0,54.0,38078420,5718,5,52.0,54.0
40,2001-08-14,54.0,55.0,54.0,55.0,53417164,7818,6,54.0,55.0
41,2001-08-21,55.0,55.0,54.0,54.0,18322521,2683,4,55.0,54.0
42,2001-08-25,54.0,54.0,54.0,54.0,5085000,750,2,54.0,54.0
43,2001-08-26,54.0,54.0,54.0,54.0,1015050,150,1,54.0,54.0
44,2001-08-27,54.0,54.0,54.0,54.0,7442600,1100,1,54.0,54.0
45,2001-09-01,52.0,52.0,52.0,52.0,32500000,5000,1,54.0,52.0
46,2001-09-04,50.0,50.0,50.0,50.0,9300000,1500,3,52.0,50.0
47,2001-09-05,50.0,50.0,50.0,50.0,3534320,570,2,50.0,50.0
