,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2012-04-16,3.0,3.0,3.0,3.0,357983325000,23865555,1933,0.0,3.0
1,2012-04-17,3.0,3.0,3.0,3.0,7882166250,500455,111,3.0,3.0
2,2012-04-18,3.0,3.0,3.0,3.0,6145810680,371640,111,3.0,3.0
3,2012-04-21,3.0,3.0,3.0,3.0,9103716071,524317,174,3.0,3.0
4,2012-04-22,3.0,3.0,3.0,3.0,47829411351,2623521,1734,3.0,3.0
5,2012-04-23,3.0,3.0,3.0,3.0,108328157554,5659187,4613,3.0,3.0
6,2012-04-24,3.0,3.0,3.0,3.0,244830250210,12218680,9581,3.0,3.0
7,2012-04-28,3.0,4.0,3.0,3.0,84781966910,4104853,2978,3.0,3.0
8,2012-04-29,3.0,3.0,3.0,3.0,34227643117,1710975,1613,3.0,3.0
9,2012-04-30,3.0,4.0,3.0,3.0,32684903839,1581977,1096,3.0,3.0
10,2012-05-01,3.0,3.0,3.0,3.0,14783125959,719992,522,3.0,3.0
11,2012-05-02,3.0,4.0,3.0,3.0,22074115140,1063321,743,3.0,4.0
12,2012-05-05,4.0,4.0,3.0,3.0,62187305933,3105826,1642,3.0,3.0
13,2012-05-06,3.0,3.0,3.0,3.0,9653352330,478151,394,3.0,3.0
14,2012-05-07,3.0,3.0,3.0,3.0,12566933797,636197,424,3.0,3.0
15,2012-05-08,3.0,3.0,3.0,3.0,10184555348,524872,400,3.0,3.0
16,2012-05-09,3.0,3.0,3.0,3.0,12171869880,639385,439,3.0,3.0
17,2012-05-12,3.0,3.0,3.0,3.0,22082872903,1215741,632,3.0,3.0
18,2012-05-13,3.0,3.0,3.0,3.0,4374360462,238870,242,3.0,3.0
19,2012-05-14,3.0,3.0,3.0,3.0,16172003306,847763,491,3.0,3.0
20,2012-05-15,3.0,3.0,3.0,3.0,5318168379,274692,187,3.0,3.0
21,2012-05-16,3.0,3.0,3.0,3.0,2155146437,114038,148,3.0,3.0
22,2012-05-19,3.0,3.0,3.0,3.0,2743990440,144635,183,3.0,3.0
23,2012-05-20,3.0,3.0,3.0,3.0,3540688350,185900,175,3.0,3.0
24,2012-05-21,3.0,3.0,3.0,3.0,3892062608,200026,197,3.0,3.0
25,2012-05-22,3.0,3.0,3.0,3.0,3371172260,172929,157,3.0,3.0
26,2012-05-23,3.0,3.0,3.0,3.0,4063366879,209146,139,3.0,3.0
27,2012-05-26,3.0,3.0,3.0,3.0,5477229357,294968,158,3.0,3.0
28,2012-05-27,3.0,3.0,3.0,3.0,3522738355,185994,162,3.0,3.0
29,2012-05-28,3.0,3.0,3.0,3.0,5947648679,317202,169,3.0,3.0
30,2012-05-29,3.0,3.0,3.0,3.0,4542017381,243058,111,3.0,3.0
31,2012-05-30,3.0,3.0,3.0,3.0,13784491727,744445,491,3.0,3.0
32,2012-06-09,3.0,3.0,3.0,3.0,6721647359,428969,200,3.0,3.0
33,2012-06-10,3.0,3.0,3.0,3.0,4393902686,269527,157,3.0,3.0
34,2012-06-11,3.0,3.0,3.0,3.0,3484773294,204230,163,3.0,3.0
35,2012-06-12,3.0,3.0,3.0,3.0,2599713421,149473,109,3.0,3.0
36,2012-06-13,3.0,3.0,3.0,3.0,1421984902,82874,54,3.0,3.0
37,2012-06-16,3.0,3.0,3.0,3.0,3867676145,227916,100,3.0,3.0
38,2012-06-17,3.0,3.0,3.0,3.0,1800312196,106389,68,3.0,3.0
39,2012-06-19,3.0,3.0,3.0,3.0,1254443000,74028,65,3.0,3.0
40,2012-06-20,3.0,3.0,3.0,3.0,3862705640,229908,104,3.0,3.0
41,2012-06-23,3.0,3.0,3.0,3.0,15972090207,998758,325,3.0,3.0
42,2012-06-24,3.0,3.0,3.0,3.0,709719845,45004,65,3.0,3.0
