,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,551.0,551.0,550.0,550.0,27112000,3000,6,551.0,550.0
1,2001-03-26,551.0,551.0,551.0,551.0,51684550,5711,7,550.0,551.0
2,2001-03-27,551.0,554.0,551.0,551.0,37606800,4147,9,551.0,551.0
3,2001-03-28,554.0,554.0,554.0,554.0,65046800,7148,14,551.0,554.0
4,2001-03-31,554.0,554.0,554.0,554.0,50559600,5556,7,554.0,554.0
5,2001-04-03,554.0,554.0,554.0,554.0,15797600,1736,4,554.0,554.0
6,2001-04-07,555.0,555.0,554.0,554.0,63015140,6917,11,554.0,554.0
7,2001-04-08,554.0,555.0,554.0,555.0,92262935,10123,12,554.0,555.0
8,2001-04-09,560.0,578.0,556.0,578.0,69388775,7404,22,555.0,578.0
9,2001-04-10,578.0,584.0,578.0,578.0,65961400,6922,17,578.0,578.0
10,2001-04-11,578.0,578.0,578.0,578.0,121244010,12763,21,578.0,578.0
11,2001-04-14,578.0,578.0,578.0,578.0,28257219,2977,12,578.0,578.0
12,2001-04-16,575.0,575.0,572.0,572.0,161707361,17151,17,578.0,572.0
13,2001-04-17,572.0,572.0,572.0,572.0,20076164,2136,8,572.0,572.0
14,2001-04-18,572.0,584.0,572.0,579.0,183353585,19307,52,572.0,579.0
15,2001-04-21,584.0,587.0,580.0,587.0,56112681,5838,15,579.0,587.0
16,2001-04-22,591.0,597.0,587.0,597.0,58761010,6045,25,587.0,597.0
17,2001-04-23,609.0,609.0,597.0,609.0,192375885,19334,36,597.0,609.0
18,2001-04-24,609.0,609.0,597.0,607.0,88882497,8905,14,609.0,607.0
19,2001-04-25,600.0,603.0,597.0,603.0,94817462,9646,22,607.0,603.0
20,2001-04-28,587.0,597.0,587.0,597.0,114510716,11758,20,603.0,597.0
21,2001-04-29,597.0,606.0,597.0,606.0,125129283,12686,25,597.0,606.0
22,2001-04-30,606.0,606.0,581.0,606.0,57552997,5812,16,606.0,606.0
23,2001-05-01,603.0,603.0,600.0,600.0,25190590,2550,10,606.0,600.0
24,2001-05-02,597.0,601.0,597.0,600.0,117015970,11898,25,600.0,600.0
25,2001-05-05,609.0,630.0,601.0,630.0,187767258,18735,40,600.0,630.0
26,2001-05-06,642.0,661.0,642.0,660.0,321635967,29768,61,630.0,660.0
27,2001-05-07,660.0,660.0,645.0,646.0,285872137,26864,49,660.0,646.0
28,2001-05-08,645.0,645.0,640.0,641.0,74300492,7047,24,646.0,641.0
29,2001-05-09,641.0,658.0,641.0,657.0,327783118,30452,68,641.0,657.0
30,2001-05-12,657.0,671.0,657.0,671.0,286297157,26085,60,657.0,671.0
31,2001-05-13,671.0,671.0,663.0,663.0,283958083,25800,62,671.0,663.0
32,2001-05-15,663.0,663.0,651.0,657.0,956452776,89019,123,663.0,657.0
33,2001-05-16,658.0,659.0,651.0,651.0,641834430,59498,108,657.0,651.0
34,2001-06-12,548.0,549.0,548.0,549.0,86780983,9627,16,651.0,549.0
35,2001-06-13,549.0,549.0,536.0,536.0,218077712,24241,20,549.0,536.0
36,2001-06-16,536.0,536.0,535.0,535.0,89733759,10198,26,536.0,535.0
37,2001-06-17,533.0,533.0,529.0,529.0,16296053,1868,9,535.0,529.0
38,2001-06-18,523.0,536.0,523.0,536.0,263227624,30330,61,529.0,536.0
39,2001-06-19,535.0,537.0,535.0,537.0,103302411,11742,10,536.0,537.0
40,2001-06-20,548.0,551.0,548.0,551.0,579765020,64200,47,537.0,551.0
41,2001-06-23,551.0,551.0,550.0,550.0,333989691,36916,41,551.0,550.0
42,2001-06-24,548.0,550.0,547.0,547.0,94064808,10439,27,550.0,547.0
43,2001-06-25,544.0,544.0,536.0,536.0,111431586,12618,23,547.0,536.0
44,2001-06-26,536.0,545.0,536.0,536.0,163215224,18381,39,536.0,536.0
45,2001-06-27,539.0,546.0,539.0,546.0,167544820,18819,30,536.0,546.0
46,2001-06-30,546.0,546.0,540.0,544.0,194648854,21835,41,546.0,544.0
47,2001-07-01,544.0,544.0,542.0,542.0,120166300,13465,21,544.0,542.0
48,2001-07-02,541.0,541.0,539.0,540.0,46835740,5280,13,542.0,540.0
49,2001-07-03,540.0,540.0,536.0,536.0,110728671,12562,13,540.0,536.0
50,2001-07-04,536.0,536.0,535.0,535.0,31930455,3632,12,536.0,535.0
51,2001-07-07,530.0,535.0,530.0,532.0,29864344,3424,10,535.0,532.0
52,2001-07-08,530.0,532.0,529.0,530.0,23832528,2736,10,532.0,530.0
53,2001-07-09,527.0,529.0,524.0,524.0,147578665,17113,13,530.0,524.0
54,2001-07-10,524.0,524.0,517.0,517.0,215446788,25350,12,524.0,517.0
55,2001-07-11,515.0,515.0,515.0,515.0,203169131,24020,22,517.0,515.0
56,2001-07-14,499.0,515.0,499.0,515.0,47372419,5611,19,515.0,515.0
57,2001-07-15,515.0,523.0,514.0,517.0,189112457,22341,33,515.0,517.0
58,2001-11-17,256.0,256.0,256.0,256.0,4200000,1000,2,517.0,256.0
59,2001-11-18,243.0,243.0,243.0,243.0,12089700,3030,8,256.0,243.0
60,2001-11-19,231.0,231.0,231.0,231.0,30441730,8030,13,243.0,231.0
61,2001-11-20,219.0,231.0,219.0,231.0,102207671,27891,42,231.0,231.0
62,2001-11-21,231.0,231.0,228.0,231.0,144436410,38208,51,231.0,231.0
63,2001-11-24,231.0,243.0,231.0,243.0,1238921536,310609,10,231.0,243.0
64,2001-11-25,243.0,243.0,243.0,243.0,3668000,917,2,243.0,243.0
65,2001-11-26,246.0,248.0,246.0,247.0,140189328,34516,71,243.0,247.0
66,2001-11-27,247.0,250.0,246.0,247.0,95134575,23442,69,247.0,247.0
67,2001-11-28,248.0,248.0,247.0,247.0,75557415,18600,68,247.0,247.0
68,2001-12-01,248.0,248.0,247.0,247.0,99954723,24591,65,247.0,247.0
69,2001-12-02,247.0,247.0,247.0,247.0,43070925,10620,48,247.0,247.0
70,2001-12-03,247.0,247.0,247.0,247.0,79267411,19530,65,247.0,247.0
71,2001-12-04,247.0,247.0,247.0,247.0,19865054,4899,20,247.0,247.0
72,2001-12-05,246.0,246.0,244.0,245.0,43122726,10702,68,247.0,245.0
73,2001-12-08,247.0,247.0,244.0,246.0,24509700,6060,32,245.0,246.0
74,2001-12-09,246.0,246.0,244.0,246.0,28382920,7041,41,246.0,246.0
75,2001-12-10,247.0,247.0,246.0,247.0,83085217,20522,41,246.0,247.0
76,2001-12-11,247.0,260.0,243.0,247.0,121872124,30035,102,247.0,247.0
77,2001-12-12,247.0,260.0,247.0,256.0,30992550,7428,7,247.0,256.0
78,2001-12-15,256.0,268.0,256.0,268.0,81198790,18696,12,256.0,268.0
79,2001-12-17,256.0,268.0,256.0,268.0,52343320,12037,16,268.0,268.0
80,2001-12-18,272.0,282.0,256.0,282.0,223049274,49998,38,268.0,282.0
81,2001-12-19,279.0,292.0,279.0,292.0,722321269,154084,60,282.0,292.0
82,2001-12-22,291.0,291.0,291.0,291.0,521020,109,1,292.0,291.0
83,2001-12-23,289.0,289.0,286.0,286.0,8258118,1746,10,291.0,286.0
84,2001-12-24,285.0,286.0,279.0,279.0,88554070,19098,28,286.0,279.0
85,2001-12-25,279.0,279.0,279.0,279.0,173825432,37900,33,279.0,279.0
86,2001-12-26,279.0,279.0,278.0,278.0,100936840,22020,10,279.0,278.0
87,2001-12-29,278.0,278.0,272.0,272.0,90406028,20022,24,278.0,272.0
88,2001-12-30,268.0,272.0,268.0,272.0,32909776,7456,8,272.0,272.0
89,2001-12-31,265.0,271.0,265.0,271.0,3285288,750,2,272.0,271.0
90,2002-01-01,271.0,271.0,271.0,271.0,11194488,2512,5,271.0,271.0
91,2002-01-02,269.0,269.0,269.0,269.0,8928778,2021,2,271.0,269.0
92,2002-01-05,268.0,268.0,268.0,268.0,990000,225,1,269.0,268.0
93,2002-01-06,266.0,266.0,259.0,259.0,82280638,19102,12,268.0,259.0
94,2002-01-07,257.0,257.0,256.0,256.0,17075356,4060,5,259.0,256.0
95,2002-01-08,253.0,253.0,246.0,248.0,13164092,3238,13,256.0,248.0
96,2002-01-12,248.0,249.0,248.0,249.0,28940006,7087,8,248.0,249.0
97,2002-01-13,250.0,262.0,250.0,262.0,83434658,19688,37,249.0,262.0
98,2002-01-14,262.0,262.0,262.0,262.0,13011446,3027,10,262.0,262.0
99,2002-01-15,262.0,262.0,259.0,259.0,47079091,11030,21,262.0,259.0
100,2002-01-16,259.0,259.0,259.0,259.0,693565,163,1,259.0,259.0
101,2002-01-19,256.0,256.0,250.0,250.0,39836740,9580,9,259.0,250.0
102,2002-01-20,250.0,252.0,247.0,247.0,100877842,24631,25,250.0,247.0
103,2002-01-21,247.0,252.0,247.0,252.0,21900990,5350,18,247.0,252.0
104,2002-01-22,252.0,256.0,250.0,256.0,49157861,11854,27,252.0,256.0
105,2002-01-23,256.0,256.0,256.0,256.0,13801210,3286,4,256.0,256.0
106,2002-01-26,250.0,250.0,250.0,250.0,27492354,6707,11,256.0,250.0
107,2002-01-27,250.0,250.0,248.0,250.0,58827735,14406,28,250.0,250.0
108,2002-01-28,246.0,246.0,243.0,246.0,122940487,30506,62,250.0,246.0
109,2002-01-29,246.0,246.0,243.0,243.0,150152988,37518,143,246.0,243.0
110,2002-01-30,243.0,243.0,243.0,243.0,35752856,8945,10,243.0,243.0
111,2002-02-02,241.0,243.0,237.0,238.0,41377565,10461,10,243.0,238.0
112,2002-02-03,238.0,238.0,238.0,238.0,32029006,8207,19,238.0,238.0
113,2002-02-04,238.0,239.0,238.0,239.0,26880700,6863,10,238.0,239.0
114,2002-02-05,222.0,238.0,201.0,213.0,86182000,24565,28,239.0,213.0
115,2002-02-06,207.0,210.0,202.0,202.0,25352750,7532,11,213.0,202.0
116,2002-02-10,192.0,192.0,192.0,192.0,3159000,1000,1,202.0,192.0
117,2002-02-12,184.0,189.0,184.0,184.0,55046063,18104,21,192.0,184.0
118,2002-02-13,180.0,183.0,180.0,180.0,20620000,6960,7,184.0,180.0
119,2002-02-16,180.0,180.0,175.0,180.0,16277207,5560,11,180.0,180.0
120,2002-02-17,182.0,183.0,180.0,183.0,28414424,9474,11,180.0,183.0
121,2002-02-18,183.0,188.0,183.0,188.0,59431625,19637,13,183.0,188.0
122,2002-02-20,193.0,194.0,193.0,194.0,2224950,700,2,188.0,194.0
123,2002-02-24,201.0,201.0,195.0,201.0,4412200,1350,5,194.0,201.0
124,2002-02-25,206.0,206.0,193.0,193.0,109545051,34060,81,201.0,193.0
125,2002-02-26,192.0,193.0,192.0,193.0,55206046,17503,54,193.0,193.0
126,2002-02-27,193.0,193.0,188.0,189.0,33648236,10698,11,193.0,189.0
127,2002-03-02,189.0,189.0,189.0,189.0,24790700,7997,16,189.0,189.0
128,2002-03-04,189.0,189.0,189.0,189.0,2955095,953,2,189.0,189.0
