,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-09-08,950.0,950.0,950.0,950.0,53096032000,14196800,286,254.0,950.0
1,2020-09-20,1054.0,1054.0,1054.0,1054.0,1660000000,400000,16,950.0,1054.0
2,2020-09-22,1193.0,1193.0,1193.0,1193.0,1292225000,275000,6,1054.0,1193.0
3,2020-09-26,1346.0,1346.0,1346.0,1346.0,265000000,50000,1,1193.0,1346.0
4,2020-10-07,1389.0,1389.0,1389.0,1389.0,6547500000,1350000,56,1346.0,1389.0
5,2020-10-26,1459.0,1459.0,1459.0,1459.0,8656400000,1700000,66,1389.0,1459.0
6,2020-10-28,1524.0,1524.0,1524.0,1524.0,9386070792,1763636,73,1459.0,1524.0
7,2020-11-09,1532.0,1613.0,1532.0,1532.0,8168155300,1526758,31,1524.0,1532.0
8,2020-11-22,1609.0,1609.0,1609.0,1609.0,12505486588,2226364,45,1532.0,1609.0
9,2020-12-06,1609.0,1609.0,1609.0,1609.0,5000000635,890155,37,1609.0,1609.0
10,2020-12-12,1609.0,1609.0,1609.0,1609.0,842550000,150000,3,1609.0,1609.0
11,2020-12-20,1609.0,1609.0,1609.0,1609.0,40816509051,7266603,206,1609.0,1609.0
12,2020-12-27,1609.0,1609.0,1609.0,1609.0,6459550000,1150000,23,1609.0,1609.0
13,2020-12-28,1684.0,1684.0,1684.0,1684.0,1764000000,300000,6,1609.0,1684.0
14,2021-01-02,1767.0,1767.0,1767.0,1767.0,7070807660,1145998,41,1684.0,1767.0
15,2021-01-10,1855.0,1855.0,1855.0,1855.0,3093600000,480000,24,1767.0,1855.0
16,2021-01-16,1855.0,1855.0,1855.0,1855.0,7924855785,1229613,47,1855.0,1855.0
17,2021-01-19,1948.0,1948.0,1948.0,1948.0,5075250000,750000,31,1855.0,1948.0
18,2021-01-27,2045.0,2045.0,2045.0,2045.0,6868957690,966778,20,1948.0,2045.0
19,2021-01-31,2148.0,2148.0,2148.0,2148.0,12045512800,1614680,33,2045.0,2148.0
20,2021-02-20,2255.0,2255.0,2255.0,2255.0,5751771900,734300,17,2148.0,2255.0
21,2021-02-22,2255.0,2255.0,2255.0,2255.0,391650000,50000,1,2255.0,2255.0
22,2021-03-02,2255.0,2255.0,2255.0,2255.0,5013120000,640000,26,2255.0,2255.0
23,2021-03-09,2255.0,2255.0,2255.0,2255.0,97285860,12420,1,2255.0,2255.0
24,2021-03-10,2255.0,2255.0,2255.0,2255.0,5075784,648,1,2255.0,2255.0
25,2021-03-14,2368.0,2368.0,2368.0,2368.0,5794893568,704632,19,2255.0,2368.0
26,2021-03-16,2486.0,2486.0,2486.0,2486.0,5468545500,633300,21,2368.0,2486.0
27,2021-03-28,2486.0,2486.0,2486.0,2486.0,5440050000,630000,13,2486.0,2486.0
28,2021-04-03,2486.0,2486.0,2486.0,2486.0,431750000,50000,1,2486.0,2486.0
29,2021-05-15,2600.0,2600.0,2600.0,2600.0,5884905180,651706,16,2486.0,2600.0
30,2021-05-18,2600.0,2600.0,2600.0,2600.0,270900000,30000,1,2600.0,2600.0
31,2021-05-29,2605.0,2605.0,2605.0,2605.0,463314750,51195,2,2600.0,2605.0
32,2021-05-30,2692.0,2692.0,2692.0,2692.0,9350000000,1000000,20,2605.0,2692.0
33,2021-06-16,2677.0,2677.0,2677.0,2677.0,1395000000,150000,3,2692.0,2677.0
34,2021-07-07,2674.0,2674.0,2674.0,2674.0,5109500,550,1,2677.0,2674.0
35,2021-08-01,2799.0,2799.0,2799.0,2799.0,712000000,100000,2,2674.0,2799.0
36,2021-08-04,2909.0,2909.0,2909.0,2909.0,3700000000,500000,11,2799.0,2909.0
37,2021-09-01,2909.0,2909.0,2909.0,2909.0,740000000,100000,2,2909.0,2909.0
38,2021-09-05,2909.0,2909.0,2909.0,2909.0,7400000000,1000000,20,2909.0,2909.0
39,2021-10-10,2909.0,2909.0,2909.0,2909.0,462544400,62506,2,2909.0,2909.0
40,2021-10-13,3027.0,3027.0,3027.0,3027.0,770000000,100000,2,2909.0,3027.0
41,2022-02-08,3027.0,3027.0,3027.0,3027.0,15332000000,2000000,40,3027.0,3027.0
42,2022-02-19,3027.0,3027.0,3027.0,3027.0,15332000000,2000000,40,3027.0,3027.0
43,2022-06-11,3025.0,3025.0,3025.0,3025.0,1369978325,178825,6,3027.0,3025.0
44,2023-01-10,3130.0,3176.0,3040.0,3149.0,33803457920,4237771,184,3025.0,3040.0
45,2023-01-17,2992.0,3080.0,2992.0,2994.0,9527961662,1260992,83,3149.0,2993.0
46,2023-01-18,2845.0,3143.0,2845.0,3140.0,13521847544,1705958,104,2994.0,3143.0
47,2023-01-21,3249.0,3297.0,3229.0,3291.0,11290546791,1359137,88,3140.0,3296.0
48,2023-01-22,3453.0,3456.0,3439.0,3455.0,51351645240,5888217,252,3291.0,3456.0
49,2023-01-23,3625.0,3625.0,3566.0,3625.0,73795440100,8065294,380,3455.0,3625.0
