,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-01-09,18098.0,18098.0,16700.0,16940.0,3945473665,232914,89,10000.0,17000.0
1,2023-01-10,17000.0,18599.0,16828.0,17233.0,4264024813,247435,151,16940.0,17000.0
2,2023-01-11,17000.0,17099.0,16533.0,16662.0,5750248445,345110,84,17233.0,16649.0
3,2023-01-14,16604.0,16899.0,16591.0,16637.0,2476628780,148859,64,16662.0,16665.0
4,2023-01-16,16795.0,16795.0,16720.0,16755.0,7099662481,423734,74,16637.0,16781.0
5,2023-01-17,17068.0,17068.0,16760.0,16937.0,8791819049,519084,114,16755.0,16882.0
6,2023-01-18,17190.0,17330.0,17100.0,17247.0,15233471156,883277,172,16937.0,17286.0
7,2023-01-21,18497.0,18971.0,17916.0,18605.0,31436872448,1689733,276,17247.0,18955.0
8,2023-01-22,19500.0,20375.0,19500.0,19893.0,25643784017,1289084,283,18605.0,19901.0
9,2023-01-23,19501.0,19501.0,18002.0,18781.0,11757916397,626060,187,19893.0,18300.0
10,2023-01-24,18200.0,18460.0,17500.0,17743.0,12355028579,696348,96,18781.0,17725.0
11,2023-01-25,17026.0,17999.0,17026.0,17701.0,22616147274,1277669,304,17743.0,17984.0
12,2023-01-28,18593.0,19000.0,18500.0,18658.0,14717506260,788787,170,17701.0,18570.0
13,2023-01-29,18570.0,19280.0,18352.0,18955.0,25667077575,1354129,366,18658.0,18830.0
14,2023-01-30,19300.0,19500.0,18752.0,19035.0,18816253122,988483,244,18955.0,18764.0
15,2023-01-31,18755.0,18947.0,18470.0,18714.0,9129836070,487852,82,19035.0,18800.0
16,2023-02-01,18780.0,19100.0,18780.0,18951.0,8588530372,453202,116,18714.0,18943.0
17,2023-02-05,18150.0,18790.0,18000.0,18417.0,3360116852,182448,94,18951.0,18550.0
18,2023-02-06,18700.0,19100.0,18700.0,18865.0,9140002167,484507,163,18417.0,18998.0
19,2023-02-07,18880.0,19025.0,18763.0,18945.0,5849628057,308773,61,18865.0,18937.0
20,2023-02-08,18900.0,18995.0,18871.0,18949.0,4795847155,253089,75,18945.0,18966.0
21,2023-02-12,19345.0,19856.0,19345.0,19772.0,128854305671,6517100,385,18949.0,19850.0
22,2023-02-13,19800.0,19999.0,19702.0,19819.0,112694120312,5686301,309,19772.0,19786.0
23,2023-02-14,20140.0,20367.0,20000.0,20174.0,277537544687,13757233,591,19819.0,20200.0
24,2023-02-15,20658.0,21188.0,20226.0,20944.0,27166534981,1297111,358,20174.0,21089.0
25,2023-02-19,22397.0,23010.0,22396.0,22730.0,28402757893,1249569,301,20944.0,23000.0
26,2023-02-20,25000.0,25000.0,22291.0,22952.0,24369747494,1061759,407,22730.0,22450.0
27,2023-02-21,21300.0,22300.0,21250.0,21678.0,19879665591,917057,272,22952.0,21260.0
28,2023-02-22,22400.0,22800.0,22380.0,22470.0,17501217938,778884,225,21678.0,22500.0
29,2023-02-25,23991.0,24717.0,23991.0,24429.0,36263766240,1484450,460,22470.0,24717.0
30,2023-02-26,25008.0,25970.0,23390.0,24578.0,72613898127,2954382,672,24429.0,23390.0
31,2023-02-27,23013.0,23726.0,22222.0,22669.0,39782730425,1754905,468,24578.0,22480.0
32,2023-02-28,22600.0,22820.0,21710.0,22179.0,26289791090,1185347,266,22669.0,22690.0
33,2023-03-01,22280.0,22280.0,20360.0,20789.0,10582726562,509054,281,22179.0,20993.0
34,2023-03-04,20601.0,22178.0,20601.0,21735.0,25882349662,1190827,332,20789.0,21949.0
35,2023-03-05,21735.0,21735.0,20220.0,20606.0,10901379366,529034,203,21735.0,20448.0
36,2023-03-06,19600.0,19998.0,19400.0,19628.0,7176824993,365642,246,20606.0,19480.0
37,2023-03-07,19330.0,19432.0,18560.0,19032.0,6779547750,356216,184,19628.0,19210.0
38,2023-03-11,17521.0,17700.0,17222.0,17390.0,17668992172,1016054,392,19032.0,17228.0
39,2023-03-12,17807.0,18900.0,17600.0,18227.0,9540441168,523417,216,17390.0,18499.0
40,2023-03-13,19020.0,19670.0,18610.0,19115.0,11082094588,579770,224,18227.0,19270.0
41,2023-03-14,20200.0,20870.0,20050.0,20396.0,11642486897,570829,197,19115.0,20499.0
42,2023-03-15,21000.0,21200.0,20385.0,20680.0,18092493687,874884,334,20396.0,20670.0
43,2023-03-18,21650.0,22199.0,21650.0,21841.0,31090144733,1423498,366,20680.0,21854.0
44,2023-03-19,22216.0,22644.0,22208.0,22342.0,12544900969,561490,278,21841.0,22307.0
45,2023-03-25,23001.0,24240.0,23001.0,23485.0,18214057334,775573,329,22342.0,23346.0
46,2023-03-26,23180.0,23181.0,22302.0,22498.0,11434260140,508225,312,23485.0,22350.0
47,2023-03-27,22895.0,22949.0,22502.0,22815.0,16139152568,707379,290,22498.0,22840.0
48,2023-03-28,22840.0,23340.0,22837.0,23108.0,10417441963,450825,225,22815.0,23191.0
49,2023-03-29,23700.0,24240.0,23700.0,23857.0,18270002254,765829,330,23108.0,24072.0
50,2023-04-03,23996.0,23998.0,23352.0,23682.0,24518386911,1035334,436,23857.0,23450.0
51,2023-04-04,23449.0,23449.0,22327.0,22579.0,5585801256,247384,190,23682.0,22849.0
52,2023-04-05,23989.0,23990.0,23199.0,23604.0,7568216177,320636,194,22579.0,23754.0
53,2023-04-08,24400.0,24400.0,23423.0,23732.0,7305899635,307847,203,23604.0,23767.0
54,2023-04-09,23400.0,23799.0,23352.0,23499.0,4454282645,189548,193,23732.0,23400.0
55,2023-04-10,22809.0,23009.0,22270.0,22645.0,4969610220,219454,187,23499.0,22990.0
56,2023-04-11,23312.0,23458.0,23051.0,23230.0,3937224773,169491,111,22645.0,23150.0
57,2023-04-15,23303.0,23303.0,22813.0,22963.0,5122647201,223086,205,23230.0,22984.0
58,2023-04-16,22579.0,23090.0,22321.0,22781.0,4785785363,210080,154,22963.0,22861.0
59,2023-04-17,23001.0,23457.0,23001.0,23326.0,1618719004,69395,96,22781.0,23349.0
60,2023-04-18,23699.0,23699.0,22901.0,23200.0,4071190112,175479,126,23326.0,23200.0
61,2023-04-19,23187.0,23598.0,23187.0,23318.0,5282673057,226549,116,23200.0,23310.0
62,2023-04-24,23318.0,23350.0,23101.0,23259.0,8998206281,386874,165,23318.0,23300.0
63,2023-04-25,22353.0,23320.0,22353.0,23298.0,5008030216,214955,90,23259.0,23310.0
64,2023-04-26,23312.0,24450.0,23312.0,23964.0,36480184977,1522264,362,23298.0,24081.0
65,2023-04-29,25212.0,25990.0,25212.0,25536.0,14756279656,577861,289,23964.0,25661.0
66,2023-04-30,26050.0,26749.0,25801.0,26342.0,15778047223,598966,262,25536.0,26550.0
67,2023-05-01,28009.0,28009.0,26811.0,27183.0,11948810806,439565,305,26342.0,26856.0
68,2023-05-02,27192.0,27192.0,26000.0,26200.0,9164202817,349782,349,27183.0,26000.0
69,2023-05-03,24600.0,26000.0,24600.0,25751.0,5501876884,213655,235,26200.0,25997.0
70,2023-05-06,25800.0,25898.0,25400.0,25589.0,4685731303,183112,205,25751.0,25520.0
71,2023-05-07,24800.0,24830.0,23883.0,24469.0,5167552186,211187,226,25589.0,24280.0
72,2023-05-08,23800.0,24850.0,23800.0,24567.0,7491800735,304960,180,24469.0,24580.0
73,2023-05-09,24690.0,25300.0,24690.0,24736.0,18169894050,734546,251,24567.0,24888.0
74,2023-05-10,24523.0,24874.0,23740.0,24044.0,2569207514,106853,152,24736.0,24150.0
75,2023-05-13,23511.0,24300.0,23031.0,23548.0,7542636655,320304,149,24044.0,24300.0
76,2023-05-14,24988.0,24989.0,23700.0,24106.0,5152809749,213755,118,23548.0,23700.0
77,2023-05-15,24099.0,24099.0,23291.0,23605.0,2593688864,109881,95,24106.0,23675.0
78,2023-05-17,23201.0,23699.0,22550.0,22798.0,6775766563,297209,198,23605.0,22883.0
79,2023-05-20,22900.0,23490.0,22800.0,23169.0,3876034290,167294,143,22798.0,23251.0
80,2023-05-21,23663.0,24100.0,23663.0,23962.0,7650462896,319280,133,23169.0,23955.0
81,2023-05-22,24200.0,24600.0,24000.0,24183.0,9336593238,386084,168,23962.0,24084.0
82,2023-05-23,23678.0,24400.0,23675.0,23712.0,326080123479,13751867,623,24183.0,24318.0
83,2023-05-24,24317.0,24397.0,24011.0,24391.0,126427261619,5183294,248,23712.0,24300.0
84,2023-05-27,24290.0,24290.0,23550.0,23652.0,6552281051,277034,119,24391.0,23633.0
85,2023-05-28,23500.0,23765.0,23121.0,23177.0,1914049399,82584,122,23652.0,23126.0
86,2023-05-29,23500.0,23740.0,23178.0,23506.0,2524650718,107405,56,23177.0,23730.0
87,2023-05-30,23740.0,23839.0,23100.0,23231.0,5249093576,225948,80,23506.0,23201.0
88,2023-05-31,23080.0,23081.0,22681.0,22764.0,1764281200,77503,115,23231.0,22689.0
89,2023-06-03,22660.0,22940.0,22520.0,22659.0,2934723734,129515,95,22764.0,22766.0
90,2023-06-06,22702.0,22750.0,22515.0,22643.0,1353491387,59776,64,22659.0,22689.0
91,2023-06-07,22500.0,22500.0,21950.0,22000.0,3649677435,165891,132,22643.0,22001.0
92,2023-06-10,21022.0,21800.0,21022.0,21407.0,1646792746,76927,65,22000.0,21526.0
93,2023-06-11,21040.0,21700.0,20530.0,21134.0,2912109626,137794,127,21407.0,20967.0
94,2023-06-12,20967.0,21195.0,20630.0,20864.0,2756685680,132124,84,21134.0,21195.0
95,2023-06-13,21322.0,22774.0,21205.0,21677.0,19835795205,915059,186,20864.0,21768.0
96,2023-06-14,22769.0,22769.0,21677.0,21783.0,3514971083,161363,115,21677.0,21680.0
97,2023-06-17,22267.0,22267.0,21438.0,21835.0,2292901953,105010,83,21783.0,21594.0
98,2023-06-18,21970.0,21970.0,21204.0,21536.0,5947709935,276169,49,21835.0,21500.0
99,2023-06-19,21500.0,21500.0,20753.0,21056.0,5616221287,266730,71,21536.0,20999.0
