,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-01-15,10008.0,10008.0,10008.0,10008.0,94184940000,9418494,186,10008.0,10008.0
1,2022-01-16,10008.0,10008.0,10008.0,10008.0,1076370000,107637,40,10008.0,10008.0
2,2022-01-17,10008.0,10008.0,10008.0,10008.0,7792920000,779292,42,10008.0,10008.0
3,2022-01-18,10008.0,10008.0,10008.0,10008.0,8631390000,863139,62,10008.0,10008.0
4,2022-01-19,10008.0,10008.0,10008.0,10008.0,96784240000,9678424,150,10008.0,10008.0
5,2022-03-09,10289.0,10290.0,10289.0,10289.0,7976073739,775807,32,10008.0,10289.0
6,2022-03-12,10306.0,10308.0,10306.0,10306.0,13966898276,1356209,63,10289.0,10306.0
7,2022-03-13,10313.0,10313.0,10312.0,10312.0,4594165526,445860,23,10306.0,10312.0
8,2022-03-14,10317.0,10318.0,10317.0,10318.0,5774783080,560120,12,10312.0,10318.0
9,2022-03-15,10323.0,10325.0,10323.0,10324.0,30322498155,2939415,76,10318.0,10324.0
10,2022-03-16,10330.0,10331.0,10329.0,10330.0,56178003595,5442736,100,10324.0,10330.0
11,2022-03-19,10348.0,10353.0,10346.0,10347.0,59387739205,5743864,136,10330.0,10353.0
12,2022-03-26,10390.0,10391.0,10386.0,10388.0,1223440310,117862,13,10347.0,10390.0
13,2022-03-27,10395.0,10397.0,10395.0,10396.0,8679994585,835596,35,10388.0,10396.0
14,2022-03-29,10409.0,10411.0,10408.0,10409.0,16203299488,1557907,60,10396.0,10408.0
15,2022-03-30,10414.0,10415.0,10413.0,10414.0,880787914,84644,17,10409.0,10414.0
16,2022-04-03,10439.0,10439.0,10436.0,10437.0,20339934283,1950239,52,10414.0,10438.0
17,2022-04-04,10356.0,10445.0,10356.0,10443.0,18030821251,1727954,56,10437.0,10444.0
18,2022-04-05,10449.0,10451.0,10449.0,10449.0,16827047389,1611581,56,10443.0,10451.0
19,2022-04-06,10457.0,10457.0,10456.0,10456.0,36380880735,3482046,80,10449.0,10456.0
20,2022-04-09,10473.0,10474.0,10473.0,10474.0,4441692797,424412,29,10456.0,10473.0
21,2022-04-10,10479.0,10480.0,10479.0,10480.0,12262942295,1171061,36,10474.0,10480.0
22,2022-04-11,10485.0,10486.0,10485.0,10485.0,5446568975,519841,22,10480.0,10485.0
23,2022-04-12,10490.0,10491.0,10490.0,10491.0,13996579285,1335179,43,10485.0,10491.0
24,2022-04-13,10495.0,10497.0,10495.0,10496.0,4581967849,436868,29,10491.0,10497.0
25,2022-04-16,10513.0,10514.0,10513.0,10513.0,12347632685,1175363,32,10496.0,10514.0
26,2022-04-17,10610.0,10610.0,10519.0,10520.0,31455440540,2992345,89,10513.0,10520.0
27,2022-04-18,10525.0,10526.0,10525.0,10526.0,16731933034,1590798,37,10520.0,10526.0
28,2022-04-19,10530.0,10531.0,10530.0,10530.0,32260745949,3065932,75,10526.0,10530.0
29,2022-04-20,10539.0,10540.0,10539.0,10540.0,10517300995,998613,35,10530.0,10540.0
30,2022-04-24,10559.0,10560.0,10559.0,10559.0,5235885068,496235,27,10540.0,10560.0
31,2022-04-25,10565.0,10566.0,10565.0,10566.0,15048451844,1425324,66,10559.0,10566.0
32,2022-04-26,10573.0,10573.0,10572.0,10573.0,3903699544,369508,38,10566.0,10573.0
33,2022-04-27,10579.0,10584.0,10578.0,10580.0,116025665092,10975139,225,10573.0,10579.0
34,2022-04-30,10601.0,10602.0,10601.0,10602.0,13513313491,1275621,67,10580.0,10602.0
35,2022-05-01,10610.0,10611.0,10609.0,10610.0,64719247069,6104440,148,10602.0,10610.0
36,2022-05-02,10618.0,10620.0,10618.0,10618.0,21383745014,2015348,71,10610.0,10619.0
37,2022-05-07,10636.0,10637.0,10636.0,10636.0,21400479423,2013571,74,10618.0,10637.0
38,2022-05-08,10642.0,10643.0,10642.0,10642.0,21781056621,2048236,62,10636.0,10643.0
39,2022-05-09,10648.0,10649.0,10648.0,10648.0,36285357101,3410267,93,10642.0,10648.0
40,2022-05-10,10655.0,10656.0,10655.0,10655.0,3969103863,372786,26,10648.0,10656.0
41,2022-05-11,10662.0,10663.0,10662.0,10663.0,9360250213,878501,32,10655.0,10663.0
42,2022-05-14,10681.0,10682.0,10680.0,10681.0,83512617388,7824686,179,10663.0,10681.0
43,2022-05-15,10688.0,10689.0,10687.0,10689.0,7446374978,697192,29,10681.0,10687.0
44,2022-05-16,10694.0,10695.0,10694.0,10694.0,68951251324,6452478,115,10689.0,10694.0
45,2022-05-17,10700.0,10701.0,10700.0,10701.0,7931077160,741730,23,10694.0,10701.0
46,2022-05-18,10706.0,10710.0,10706.0,10709.0,39690048357,3709057,58,10701.0,10710.0
47,2022-05-21,10728.0,10729.0,10727.0,10728.0,50177688031,4680769,100,10709.0,10728.0
48,2022-05-22,10736.0,10736.0,10735.0,10736.0,92601863950,8631810,179,10728.0,10736.0
49,2022-05-23,10743.0,10743.0,10742.0,10743.0,7799392530,726549,34,10736.0,10743.0
50,2022-05-24,10750.0,10750.0,10749.0,10750.0,59545623518,5543262,127,10743.0,10749.0
51,2022-05-25,10756.0,10758.0,10756.0,10757.0,112803018453,10494297,213,10750.0,10757.0
52,2022-05-28,10779.0,10801.0,10778.0,10788.0,53071049021,4922947,126,10757.0,10783.0
53,2022-05-29,10809.0,10843.0,10807.0,10814.0,39638315913,3668096,146,10788.0,10843.0
54,2022-05-30,10833.0,11095.0,10833.0,10896.0,38555651864,3541103,296,10814.0,10908.0
55,2022-05-31,10904.0,10904.0,10903.0,10904.0,177764343518,16315332,433,10896.0,10904.0
