,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-03-14,10005.0,10005.0,10005.0,10005.0,514057520000,51405752,1274,10005.0,10005.0
1,2020-03-15,10005.0,10005.0,10005.0,10005.0,101262570000,10126257,632,10005.0,10005.0
2,2020-03-16,10005.0,10005.0,10005.0,10005.0,397490560000,39749056,1139,10005.0,10005.0
3,2020-04-21,10234.0,10285.0,10205.0,10244.0,10309640985,1006923,260,10005.0,10224.0
4,2020-04-22,10275.0,10275.0,10224.0,10262.0,210026026320,20477319,641,10244.0,10260.0
5,2020-04-25,10265.0,10285.0,10193.0,10259.0,6074460776,592406,290,10262.0,10278.0
6,2020-04-26,10267.0,10395.0,10255.0,10309.0,214782691717,20845297,638,10259.0,10295.0
7,2020-04-27,10383.0,10383.0,10307.0,10328.0,465023009792,45046358,1190,10309.0,10359.0
8,2020-04-28,10417.0,10425.0,10342.0,10343.0,420708010347,40693566,1024,10328.0,10405.0
9,2020-04-29,10605.0,10605.0,10340.0,10358.0,577957630195,55823810,1430,10343.0,10405.0
10,2020-05-02,10595.0,10595.0,10372.0,10381.0,784580917398,75615598,2259,10358.0,10382.0
11,2020-05-03,10455.0,10455.0,10346.0,10392.0,355009002009,34178406,1310,10381.0,10386.0
12,2020-05-04,10361.0,10424.0,10356.0,10371.0,639360370773,61681368,1494,10392.0,10370.0
13,2020-05-05,10254.0,10445.0,10254.0,10403.0,640426910094,61590247,1523,10371.0,10425.0
14,2020-05-06,10425.0,10455.0,10385.0,10413.0,59166957294,5684555,279,10403.0,10445.0
15,2020-05-09,10206.0,10445.0,10206.0,10404.0,13829141690,1329806,194,10413.0,10410.0
16,2020-05-10,10450.0,10506.0,10396.0,10426.0,21673239035,2079716,347,10404.0,10505.0
17,2020-05-11,10504.0,10886.0,10416.0,10586.0,4211459709,398036,179,10426.0,10704.0
18,2020-05-12,10607.0,10795.0,10466.0,10593.0,24352038333,2299978,231,10586.0,10515.0
19,2020-05-13,10515.0,10515.0,10416.0,10458.0,13644451136,1305309,116,10593.0,10488.0
20,2020-05-16,10555.0,10555.0,10467.0,10530.0,37298592268,3543886,221,10458.0,10534.0
21,2020-05-17,10695.0,10906.0,10530.0,10547.0,35675903860,3384236,245,10530.0,10584.0
22,2020-05-18,10664.0,10664.0,10536.0,10562.0,16493484105,1562348,146,10547.0,10536.0
23,2020-05-19,10589.0,10650.0,10535.0,10589.0,126717306848,11972592,432,10562.0,10589.0
24,2020-05-20,10650.0,10655.0,10566.0,10592.0,33444514514,3158995,151,10589.0,10587.0
25,2020-05-23,10593.0,10685.0,10545.0,10594.0,38790591599,3663453,118,10592.0,10625.0
26,2020-05-26,10703.0,10846.0,10586.0,10651.0,8627320182,810390,185,10594.0,10630.0
27,2020-05-27,10595.0,10705.0,10595.0,10614.0,26885855542,2534135,139,10651.0,10615.0
28,2020-05-30,10577.0,10625.0,10508.0,10558.0,72000115016,6822987,413,10614.0,10543.0
29,2020-05-31,10569.0,10569.0,10508.0,10516.0,43223530053,4112299,215,10558.0,10542.0
30,2020-06-01,10549.0,10595.0,10505.0,10522.0,51226530116,4870852,225,10516.0,10592.0
31,2020-06-02,10594.0,10594.0,10370.0,10503.0,23896819157,2276248,209,10522.0,10533.0
32,2020-06-06,10554.0,10591.0,10503.0,10568.0,52450808915,4965324,294,10503.0,10574.0
33,2020-06-07,10611.0,10611.0,10534.0,10596.0,61139982135,5772924,299,10568.0,10599.0
34,2020-06-08,10615.0,10625.0,10599.0,10607.0,3146952890,296827,121,10596.0,10623.0
35,2020-06-09,10408.0,10625.0,10408.0,10609.0,54508351500,5140394,206,10607.0,10611.0
36,2020-06-10,10625.0,10645.0,10611.0,10621.0,22032320410,2075436,140,10609.0,10645.0
37,2020-06-13,10615.0,10665.0,10565.0,10635.0,11400770830,1072716,146,10621.0,10665.0
38,2020-06-14,10665.0,10695.0,10645.0,10665.0,18189296170,1706039,147,10635.0,10655.0
39,2020-06-15,10675.0,10755.0,10575.0,10655.0,27115093840,2546826,189,10665.0,10705.0
40,2020-06-16,10745.0,10755.0,10655.0,10735.0,43914093410,4092219,189,10655.0,10715.0
41,2020-06-20,8004.0,10755.0,10505.0,10705.0,45939419230,4292525,178,10735.0,10715.0
42,2020-06-21,10715.0,10745.0,10715.0,10715.0,80480662350,7514195,259,10705.0,10725.0
43,2020-06-22,10755.0,10775.0,10715.0,10745.0,21858111090,2035063,164,10715.0,10755.0
44,2020-06-23,10785.0,11006.0,10755.0,10775.0,24300590110,2256950,200,10745.0,11006.0
45,2020-06-24,10826.0,10876.0,10775.0,10785.0,22560338240,2093657,124,10775.0,10856.0
46,2020-06-27,10806.0,10836.0,10795.0,10795.0,74805318890,6932684,207,10785.0,10806.0
47,2020-06-28,10826.0,10826.0,10795.0,10795.0,8422823200,780561,66,10795.0,10795.0
48,2020-06-29,10806.0,10846.0,10795.0,10795.0,45098492540,4179341,184,10795.0,10806.0
49,2020-06-30,10795.0,10846.0,10795.0,10806.0,6837871990,633179,134,10795.0,10826.0
50,2020-07-01,10856.0,10856.0,10795.0,10826.0,1487140590,137489,93,10806.0,10806.0
51,2020-07-04,10846.0,10916.0,10795.0,10795.0,111361756090,10320139,309,10826.0,10806.0
52,2020-07-05,10856.0,10856.0,10795.0,10806.0,3974077160,368030,104,10795.0,10816.0
53,2020-07-06,10906.0,10906.0,10795.0,10816.0,5544363500,512894,163,10806.0,10836.0
54,2020-07-07,10896.0,10896.0,10795.0,10795.0,102986454200,9543849,313,10816.0,10795.0
55,2020-07-08,10846.0,10846.0,10305.0,10775.0,224963710230,20897051,500,10795.0,10755.0
