date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,7786.0,7786.0,7068.0,7714.0,2718261459680,158125216,20533,7418.0,7786.0
2020-07-05,8091.0,8096.0,8078.0,8096.0,819245571910,45418510,5464,7714.0,8096.0
2020-07-06,8500.0,8500.0,8500.0,8500.0,318998048520,16842558,1288,8096.0,8500.0
2020-07-07,8921.0,8921.0,8921.0,8921.0,264941475680,13327036,1440,8500.0,8921.0
2020-07-08,9366.0,9366.0,8522.0,9155.0,3629155777270,177914950,27657,8921.0,8881.0
2020-07-11,8697.0,9613.0,8697.0,9155.0,2999403219260,147041263,24691,9155.0,9608.0
2020-07-12,9613.0,9613.0,9581.0,9613.0,1123641468040,52460208,8344,9155.0,9599.0
2020-07-13,9424.0,10093.0,9132.0,9864.0,2691234234830,122419244,21139,9613.0,10093.0
2020-07-14,10308.0,10308.0,10187.0,10304.0,216900930460,9448412,3238,9864.0,10277.0
2020-07-15,10322.0,10681.0,9792.0,10218.0,2307750082010,101328773,29318,10304.0,9792.0
2020-07-18,9711.0,9711.0,9711.0,9711.0,1372804076240,63438266,6385,10218.0,9711.0
2020-07-19,9227.0,10196.0,9227.0,9693.0,3537162817430,163783015,32821,9711.0,9963.0
2020-07-20,10052.0,10178.0,9604.0,10016.0,3230745589570,144735146,32430,9693.0,9662.0
2020-07-21,9518.0,10016.0,9518.0,9604.0,1917895328430,89631585,20887,10016.0,9518.0
2020-07-22,9245.0,9514.0,9123.0,9137.0,2044087089830,100380289,16230,9604.0,9159.0
2020-07-25,9357.0,9590.0,9245.0,9514.0,1853888104940,87456073,16677,9137.0,9276.0
2020-07-26,9424.0,9464.0,9038.0,9137.0,522529717470,25661980,8646,9514.0,9038.0
2020-07-27,8684.0,9065.0,8684.0,8746.0,2116834960590,108628729,19529,9137.0,8953.0
2020-07-28,9123.0,9182.0,8881.0,9155.0,1566320337450,76785080,13396,8746.0,8975.0
2020-07-29,8823.0,9150.0,8697.0,8711.0,1533124898970,78988241,13049,9155.0,8702.0
2020-08-01,9020.0,9146.0,8926.0,9110.0,788915205090,38858277,7517,8711.0,9146.0
2020-08-02,9563.0,9563.0,8675.0,9563.0,1681045733190,78900103,9237,9110.0,9563.0
