date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-06,5142.0,5142.0,5142.0,5142.0,204303177400,4692310,2020,4897.0,5142.0
2020-07-07,5398.0,5398.0,5398.0,5398.0,388854284350,8506985,2229,5142.0,5398.0
2020-07-08,5667.0,5667.0,5129.0,5552.0,4631778992010,98519016,42362,5398.0,5237.0
2020-07-11,5326.0,5829.0,5326.0,5637.0,1210845558720,25367828,11094,5552.0,5829.0
2020-07-12,5918.0,5918.0,5918.0,5918.0,336722413150,6719665,1248,5637.0,5918.0
2020-07-13,6213.0,6213.0,6213.0,6213.0,2523045021980,47957518,17025,5918.0,6213.0
2020-07-14,6523.0,6523.0,6523.0,6523.0,516737884600,9354415,2612,6213.0,6523.0
2020-07-15,6849.0,6849.0,6507.0,6814.0,4968209533610,86103451,40156,6523.0,6601.0
2020-07-18,6474.0,6474.0,6474.0,6474.0,821474794540,14984947,18258,6814.0,6474.0
2020-07-19,6377.0,6797.0,6377.0,6560.0,2789991559330,50221957,13037,6474.0,6797.0
2020-07-20,6887.0,6887.0,6887.0,6887.0,614658449520,10539411,2134,6560.0,6887.0
2020-07-21,7086.0,7231.0,6891.0,7181.0,7019238191450,115433634,53521,6887.0,7227.0
2020-07-22,7404.0,7540.0,7322.0,7507.0,1935171304590,30439309,19362,7181.0,7540.0
2020-07-25,7882.0,7882.0,7882.0,7782.0,92774740080,1390092,301,7507.0,7882.0
2020-07-27,7558.0,8171.0,7558.0,7988.0,1750948233610,25886967,10606,7782.0,8171.0
2020-07-28,8387.0,8387.0,8387.0,8387.0,429017331920,6040796,2280,7988.0,8387.0
2020-07-29,8806.0,8806.0,8392.0,8767.0,6462920776600,87054068,58552,8387.0,8806.0
2020-08-01,8975.0,9205.0,8857.0,9048.0,2285362099000,29825498,28320,8767.0,9205.0
2020-08-02,8596.0,9501.0,8596.0,9372.0,6003582542150,75648364,70164,9048.0,8963.0
2020-08-03,8904.0,8904.0,8904.0,8904.0,1975209012400,26196406,32639,9372.0,8904.0
2020-08-04,8459.0,9349.0,8459.0,8959.0,7891525214680,104025216,80773,8904.0,9259.0
2020-08-05,9403.0,9406.0,9247.0,9388.0,1273140317740,16014209,14069,8959.0,9406.0
2020-08-09,9857.0,9857.0,9857.0,9857.0,526349382970,6305851,3292,9388.0,9857.0
2020-08-10,10350.0,10350.0,9857.0,10288.0,6592045359680,75667991,65424,9857.0,10350.0
2020-08-11,9775.0,10802.0,9775.0,9830.0,4050126423760,48656072,40320,10288.0,9775.0
2020-08-12,10203.0,10321.0,9339.0,9784.0,2542699186400,30688762,31567,9830.0,9339.0
2020-08-15,9295.0,9295.0,9295.0,9295.0,253714286260,3223406,4738,9784.0,9295.0
2020-08-16,8831.0,8831.0,8831.0,8831.0,112377664060,1502777,2743,9295.0,8831.0
2020-08-17,8391.0,8595.0,8391.0,8405.0,2271886739970,31923005,20339,8831.0,8391.0
2020-08-18,8824.0,8824.0,7989.0,8543.0,3641081714900,50333374,40734,8405.0,8125.0
2020-08-19,8117.0,8117.0,8117.0,8117.0,134074154010,1950737,3376,8543.0,8117.0
2020-08-22,8054.0,8500.0,7711.0,7869.0,1038792744990,15590279,10130,8117.0,7711.0
2020-08-23,7475.0,7475.0,7475.0,7704.0,46016441400,726958,1451,7869.0,7475.0
2020-08-24,7319.0,7319.0,7319.0,7428.0,77745170820,1254359,1536,7704.0,7319.0
2020-08-25,7057.0,7765.0,7057.0,7322.0,5023870375030,81034512,49859,7428.0,7569.0
2020-08-26,7610.0,7688.0,7453.0,7662.0,719420275700,11088495,8938,7322.0,7688.0
2020-08-31,8045.0,8045.0,7279.0,7446.0,3269198337230,51851496,23942,7662.0,7279.0
2020-09-01,7074.0,7074.0,7074.0,7267.0,52983886100,884539,1623,7446.0,7074.0
2020-09-02,6905.0,6905.0,6905.0,7174.0,27679990350,473405,949,7267.0,6905.0
2020-09-05,6816.0,6816.0,6816.0,6816.0,259176595080,4490239,2672,7174.0,6816.0
2020-09-06,6476.0,6476.0,6476.0,6476.0,165439173240,3016761,2603,6816.0,6476.0
2020-09-07,6153.0,6153.0,6153.0,6421.0,17711499200,339952,667,6476.0,6153.0
2020-09-08,6101.0,6101.0,6101.0,6378.0,13457533320,260502,417,6421.0,6101.0
2020-09-09,6059.0,6059.0,6059.0,6138.0,76277753860,1486606,2166,6378.0,6059.0
2020-09-12,6024.0,6317.0,5833.0,5964.0,3182604754950,63023353,29732,6138.0,5833.0
2020-09-13,5666.0,5666.0,5666.0,5728.0,87927572240,1832588,1561,5964.0,5666.0
2020-09-14,5442.0,5442.0,5442.0,5442.0,205989488640,4470258,4138,5728.0,5442.0
2020-10-11,5790.0,5790.0,5501.0,5597.0,941683954630,19884317,14757,5442.0,5501.0
2020-10-12,5318.0,5318.0,5318.0,5457.0,58754610000,1305658,1892,5597.0,5318.0
2020-10-13,5185.0,5185.0,5185.0,5185.0,114347067520,2605904,1268,5457.0,5185.0
2020-10-14,4927.0,4927.0,4927.0,4927.0,122659609270,2942183,1533,5185.0,4927.0
2020-10-18,4681.0,4681.0,4681.0,4681.0,116332906380,2936958,977,4927.0,4681.0
2020-10-19,4447.0,4447.0,4447.0,4455.0,104381029140,2773878,571,4681.0,4447.0
2020-10-20,4233.0,4233.0,4233.0,4241.0,98998814520,2763786,756,4455.0,4233.0
2020-10-21,4030.0,4124.0,4030.0,4030.0,1847938681040,54186385,13752,4241.0,4030.0
2020-10-24,3829.0,3829.0,3829.0,3994.0,20243520000,624800,636,4030.0,3829.0
2020-10-26,3794.0,3794.0,3794.0,3796.0,112460972260,3502366,492,3994.0,3794.0
2020-10-27,3607.0,3607.0,3607.0,3650.0,82765509400,2711845,470,3796.0,3607.0
2020-10-28,3468.0,3468.0,3468.0,3588.0,35351282550,1204473,792,3650.0,3468.0
2020-10-31,3409.0,3409.0,3409.0,3409.0,231572920350,8026791,2937,3588.0,3409.0
2020-11-01,3239.0,3239.0,3239.0,3374.0,22427739120,818232,749,3409.0,3239.0
2020-11-02,3206.0,3206.0,3206.0,3335.0,24942019760,919352,572,3374.0,3206.0
2020-11-04,3168.0,3168.0,3168.0,3168.0,165642072890,6178369,1932,3335.0,3168.0
2020-11-07,3038.0,3149.0,3010.0,3056.0,561171194930,21696249,7237,3168.0,3010.0
2020-11-08,2903.0,2903.0,2903.0,2905.0,108816009120,4428816,517,3056.0,2903.0
2020-11-09,2760.0,2760.0,2760.0,2836.0,49444219840,2116619,473,2905.0,2760.0
2020-11-10,2694.0,2818.0,2694.0,2711.0,3432477168480,149660213,34221,2836.0,2731.0
2020-11-11,2844.0,2846.0,2777.0,2844.0,2083649105770,86550248,14004,2711.0,2846.0
2020-11-14,2986.0,2986.0,2986.0,2986.0,158839916970,6285711,1422,2844.0,2986.0
2020-11-15,3135.0,3135.0,2861.0,3059.0,4522922616880,174709921,44481,2986.0,2919.0
2020-11-16,2907.0,3152.0,2907.0,3012.0,2254124069390,88437663,27502,3059.0,2963.0
2020-11-17,3020.0,3162.0,2942.0,3143.0,1683414195130,63295051,14726,3012.0,3162.0
