date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,17777.0,17777.0,16934.0,17765.0,6222647068020,139987167,11356,16934.0,17777.0
2020-07-05,17777.0,18652.0,17589.0,18300.0,1991069918610,43481379,5901,17765.0,18652.0
2020-07-06,19212.0,19212.0,19212.0,19212.0,625057767180,13003074,822,18300.0,19212.0
2020-07-07,20171.0,20171.0,19623.0,20167.0,2776625023880,55023431,7174,19212.0,20171.0
2020-07-08,21174.0,21174.0,19160.0,20546.0,5269442565800,102492181,29737,20167.0,19403.0
2020-07-11,19519.0,21574.0,19519.0,19839.0,1920680881470,38688521,10048,20546.0,19943.0
2020-07-12,20503.0,20830.0,18848.0,20107.0,3320526383400,66003827,20828,19839.0,18848.0
2020-07-13,19104.0,19463.0,19104.0,19132.0,2615237905370,54636472,8598,20107.0,19104.0
2020-07-14,18936.0,18984.0,18176.0,18384.0,1632519227100,35491822,9145,19132.0,18176.0
2020-07-15,17465.0,18380.0,17465.0,17557.0,2716726831860,61836306,12295,18384.0,17465.0
2020-07-18,16786.0,18384.0,16746.0,17737.0,1498238316510,33762398,12363,17557.0,17705.0
2020-07-19,18384.0,18620.0,18380.0,18612.0,1374643580290,29519618,2622,17737.0,18620.0
2020-07-20,19539.0,19539.0,18105.0,19531.0,2284345271410,46740832,5706,18612.0,19539.0
2020-07-21,18632.0,20506.0,18632.0,20139.0,3015899576860,59845680,16173,19531.0,19264.0
2020-07-22,19395.0,20503.0,19136.0,19339.0,1229189052520,25403251,8445,20139.0,19136.0
2020-07-25,19343.0,20303.0,19343.0,20123.0,2055320924470,40822784,9385,19339.0,19899.0
2020-07-26,19983.0,19983.0,19120.0,19411.0,303945742650,6257284,3681,20123.0,19120.0
2020-08-03,18444.0,18444.0,18444.0,18480.0,109556961800,2373932,1300,19411.0,18444.0
2020-08-04,17557.0,18384.0,17557.0,17785.0,1990577561620,44727623,11476,18480.0,17845.0
2020-08-05,17945.0,18672.0,17945.0,18608.0,1070284899790,22985068,4626,17785.0,18672.0
2020-08-09,19535.0,19535.0,19535.0,19535.0,350565258160,7171957,1209,18608.0,19535.0
2020-08-10,20495.0,20510.0,18788.0,20159.0,4600661761710,91202446,17022,19535.0,19204.0
2020-08-11,19156.0,20095.0,19152.0,19176.0,1695767353410,35344524,5549,20159.0,19164.0
2020-08-12,19899.0,19955.0,18220.0,18464.0,1470668715750,31831109,4467,19176.0,18220.0
