date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-04,1535.0,1535.0,1535.0,1535.0,3389877241920,130782301,27352,1462.0,1535.0
2020-07-05,1612.0,1612.0,1612.0,1612.0,919314012480,33785888,5772,1535.0,1612.0
2020-07-06,1692.0,1692.0,1692.0,1692.0,1183716896910,41432163,3015,1612.0,1692.0
2020-07-07,1776.0,1776.0,1776.0,1776.0,1873853713820,62482618,3493,1692.0,1776.0
2020-07-08,1865.0,1865.0,1865.0,1865.0,171416438520,5445249,472,1776.0,1865.0
2020-07-11,1958.0,1958.0,1955.0,1958.0,1072885529600,32462556,6339,1865.0,1958.0
2020-07-12,2055.0,2055.0,2055.0,2055.0,2445764958000,70483140,4733,1958.0,2055.0
2020-07-13,2158.0,2158.0,2158.0,2158.0,1129789455160,31012612,3364,2055.0,2158.0
2020-07-14,2266.0,2266.0,2266.0,2266.0,1741452426000,45528168,3740,2158.0,2266.0
2020-07-15,2379.0,2379.0,2379.0,2379.0,3513491574400,87487340,6226,2266.0,2379.0
2020-07-18,2260.0,2260.0,2260.0,2260.0,8026956954000,210350025,92334,2379.0,2260.0
2020-07-21,2534.0,2661.0,2410.0,2551.0,12726426104270,296795933,101922,2260.0,2487.0
2020-07-22,2582.0,2678.0,2424.0,2628.0,15757991178140,356794099,131758,2551.0,2678.0
2020-07-25,2759.0,2759.0,2759.0,2759.0,5554518923960,119786908,35872,2628.0,2759.0
2020-07-26,2896.0,2896.0,2759.0,2894.0,7794512300180,160232294,65284,2759.0,2895.0
2020-07-27,2750.0,3039.0,2750.0,2969.0,16095612108590,322513995,130841,2894.0,3039.0
2020-07-28,3110.0,3118.0,2826.0,3053.0,14589420094700,284349243,120115,2969.0,2885.0
2020-07-29,2900.0,2900.0,2900.0,2900.0,1649131282500,33828334,29967,3053.0,2900.0
2020-08-01,2903.0,3045.0,2756.0,3005.0,9555174477160,189179480,78321,2900.0,2997.0
2020-08-02,3155.0,3155.0,3155.0,3005.0,44120960,832,1,3005.0,3155.0
2020-08-03,3094.0,3155.0,2855.0,2966.0,2624877905990,52651895,29191,3005.0,2855.0
2020-08-04,2856.0,3114.0,2818.0,2899.0,6609384526510,135666228,88078,2966.0,2818.0
2020-08-05,2754.0,3043.0,2754.0,2862.0,14549149159590,302400748,138991,2899.0,3013.0
2020-08-09,3005.0,3005.0,2999.0,3005.0,7782369717210,154077132,59961,2862.0,3005.0
2020-08-10,3106.0,3106.0,2855.0,2949.0,3944863925850,79598321,53406,3005.0,2855.0
2020-08-11,2802.0,2802.0,2802.0,2802.0,251861948070,5348523,6601,2949.0,2802.0
