date,open,high,low,adjClose,value,volume,count,yesterday,close
2020-07-08,773.0,773.0,773.0,773.0,6422416036800,219344810,33462,736.0,773.0
2020-07-11,811.0,811.0,811.0,811.0,617721160720,20095028,7750,773.0,811.0
2020-07-12,852.0,852.0,852.0,852.0,6069945016730,188098699,8234,811.0,852.0
2020-07-13,894.0,894.0,894.0,894.0,7591990720160,224084732,14758,852.0,894.0
2020-07-14,939.0,939.0,894.0,939.0,8350302799400,234756920,25093,894.0,939.0
2020-07-15,976.0,985.0,892.0,948.0,18982612783870,528324094,187692,939.0,947.0
2020-07-18,950.0,995.0,901.0,970.0,7047559956300,191737727,76115,948.0,984.0
2020-07-19,1018.0,1018.0,1018.0,1018.0,2859398483430,74096877,11696,970.0,1018.0
2020-07-21,1069.0,1069.0,1018.0,1067.0,13836560770460,342284555,101494,1018.0,1069.0
2020-07-22,1120.0,1120.0,1120.0,1120.0,1314045317000,30962425,6863,1067.0,1120.0
2020-07-25,1176.0,1176.0,1176.0,1176.0,9707406026000,217850225,20851,1120.0,1176.0
2020-07-26,1235.0,1235.0,1235.0,1235.0,10237510063640,218843738,22141,1176.0,1235.0
2020-07-27,1296.0,1296.0,1296.0,1296.0,11429617863510,232735041,22173,1235.0,1296.0
2020-07-28,1297.0,1361.0,1231.0,1281.0,17670632954850,364029625,209418,1296.0,1251.0
2020-07-29,1281.0,1345.0,1217.0,1314.0,8135149868150,163424246,71202,1281.0,1343.0
2020-08-01,1379.0,1379.0,1379.0,1379.0,1896439257180,36288543,10369,1314.0,1379.0
2020-08-02,1448.0,1448.0,1448.0,1448.0,9611517433260,175168898,20081,1379.0,1448.0
2020-08-03,1520.0,1520.0,1425.0,1518.0,23928966843460,416087090,211734,1448.0,1520.0
2020-08-04,1552.0,1593.0,1442.0,1575.0,14884992775200,249360663,174461,1518.0,1591.0
2020-08-05,1654.0,1654.0,1583.0,1654.0,3048574779280,48644941,11769,1575.0,1654.0
2020-08-11,1628.0,1737.0,1571.0,1633.0,5064935560410,81865872,37948,1654.0,1636.0
2020-08-12,1551.0,1583.0,1551.0,1551.0,4871473239400,82876368,76026,1633.0,1551.0
2020-08-16,1301.0,1320.0,1236.0,1279.0,7655615477410,157905712,77316,1551.0,1253.0
2020-08-17,1343.0,1343.0,1343.0,1343.0,3522112640800,69196712,28899,1279.0,1343.0
